Date,Open,High,Low,Close,Volume
2014-06-02,52.7419,53.7256,52.4553,53.3652,1050792.2435527
2014-06-03,53.118,53.2785,51.449,51.4687,802839.18468459
2014-06-04,51.2855,51.4538,50.0478,50.6957,842703.85318556
2014-06-05,50.7783,51.2726,50.6396,51.2155,383886.95779039
2014-06-06,51.3819,51.9344,51.2255,51.8399,481786.17503228
2014-06-09,51.7582,52.0949,51.449,52.0299,468625.90910172
2014-06-10,52.086,52.2062,51.7582,52.151,313968.66555697
2014-06-11,51.9502,52.2633,51.5641,52.0713,274612.77807546
2014-06-12,51.9276,51.9975,50.7272,50.8395,315362.98958835
2014-06-13,51.059,51.7886,50.8335,51.7719,395747.34407042
2014-06-16,51.7257,52.665,51.6429,52.2239,470537.13840038
2014-06-17,52.2239,53.0038,51.9423,52.1343,359641.15571523
2014-06-18,52.1343,52.5606,52.022,52.5449,226688.85574126
2014-06-19,52.536,52.6335,51.9817,52.3854,259182.80041138
2014-06-20,52.4297,52.608,51.9738,52.344,296966.64594054
2014-06-23,52.5055,52.6405,52.0643,52.1736,195269.34284477
2014-06-24,52.1195,52.7055,51.8537,51.8625,267439.06725414
2014-06-25,51.8379,52.6493,51.8379,52.5538,264548.86609368
2014-06-26,52.5449,53.3632,51.957,53.1555,395125.83911252
2014-06-27,53.1309,54.0526,52.9369,54.0151,569526.02038056
2014-06-30,53.9678,54.0052,53.3416,53.7659,361106.566915
2014-07-01,53.7571,54.7625,53.6773,54.3046,412709.75797877
2014-07-02,54.3834,54.5202,54.0052,54.3046,315870.75507683
2014-07-03,54.4227,54.9782,54.4227,54.6797,135676.96958519
2014-07-07,54.6492,54.8107,53.8043,53.8772,306872.1350899
2014-07-08,53.891,53.891,52.8915,53.2243,477313.77660971
2014-07-09,53.2332,53.5976,53.0579,53.4203,225685.51113602
2014-07-10,53.0422,53.2845,52.6552,53.0038,200384.57237578
2014-07-11,52.9536,53.3485,52.7695,53.1229,266091.45764771
2014-07-14,53.3849,54.3489,53.2943,54.2879,337861.06285214
2014-07-15,54.0781,54.4583,53.3327,53.3632,581809.88307799
2014-07-16,53.4922,53.5237,52.6493,53.2845,341908.96932634
2014-07-17,53.0659,53.4992,52.5823,52.665,313473.0864402
2014-07-18,52.6729,53.1555,52.3765,53.1229,215195.07614391
2014-07-21,53.0117,53.3553,52.665,52.8915,242370.68508763
2014-07-22,53.1869,54.0269,53.0186,53.9176,325845.30033264
2014-07-23,53.9097,53.9432,52.608,52.8659,535112.72216397
2014-07-24,52.7921,53.2756,52.4159,52.9063,245516.80005429
2014-07-25,52.6493,53.1555,52.2387,52.5203,240786.45676356
2014-07-28,52.4888,52.4888,51.5336,52.2564,317374.75645373
2014-07-29,52.2062,52.5203,51.4992,51.4992,328117.04312811
2014-07-30,51.9276,52.3923,51.2195,52.1826,508542.36968251
2014-07-31,48.2339,51.193,48.2339,49.7995,1033804.4413699
2014-08-01,49.8212,50.1758,48.8424,49.3978,503175.28846923
2014-08-04,49.5722,50.1363,49.2196,49.9592,415671.04630762
2014-08-05,49.7995,50.5705,49.2668,49.7592,375156.43798138
2014-08-06,49.7257,49.8292,49.2029,49.5308,357522.75809727
2014-08-07,49.5908,50.1029,49.3663,49.6066,247101.02837836
2014-08-08,49.8212,50.3125,49.5396,50.2072,318790.40663562
2014-08-11,50.7134,51.2274,50.4328,50.673,240754.97530327
2014-08-12,50.6159,51.0226,50.2436,50.5106,194753.45310847
2014-08-13,50.5785,51.2274,50.5785,50.6967,235986.04183542
2014-08-14,50.6493,51.4647,50.6493,51.3612,175041.99684548
2014-08-15,51.6686,51.7415,50.8452,51.3682,149705.51450105
2014-08-18,51.6342,52.2475,51.572,52.1973,215443.88123327
2014-08-19,52.2062,53.0659,52.1422,52.6405,216037.96685479
2014-08-20,52.4475,53.1309,52.1275,53.0186,202472.50406442
2014-08-21,53.0186,53.3632,52.7921,52.9536,340418.16985216
2014-08-22,52.8975,53.1633,52.665,53.0038,249934.35980411
2014-08-25,53.2332,53.3849,52.8915,53.1633,164955.74318222
2014-08-26,53.1309,53.5159,53.0492,53.309,184288.4063908
2014-08-27,53.4449,53.5562,53.0255,53.3553,412397.98996883
2014-08-28,53.25,53.4617,53.0816,53.3248,240448.28494822
2014-08-29,53.3485,53.5897,52.7921,53.2243,213106.12892428
2014-09-02,53.2243,53.6183,52.7921,52.9959,550888.9958912
2014-09-03,53.0117,53.565,52.6493,52.9703,348505.85855275
2014-09-04,53.0816,53.436,53.0492,53.1712,387620.04966174
2014-09-05,53.0579,53.0816,52.5538,52.9782,292900.45990874
2014-09-08,52.8167,52.8512,51.8123,52.1275,404848.53268604
2014-09-09,51.9817,52.3253,51.7257,51.7956,232617.52558481
2014-09-10,51.7345,51.9009,50.8542,51.3612,218454.93057999
2014-09-11,51.0915,51.3958,50.8679,51.2816,328854.3186174
2014-09-12,51.2687,51.4657,50.9123,51.3416,218581.8719521
2014-09-15,51.4293,51.4293,50.7025,51.0855,285788.69647702
2014-09-16,50.9822,51.9236,50.8679,51.7512,322167.04713405
2014-09-17,51.9236,52.4062,51.4558,51.7906,217083.96376107
2014-09-18,52.0585,52.1472,51.7198,51.9541,153639.68150583
2014-09-19,52.0753,52.5429,51.6803,51.6971,692124.98204432
2014-09-22,51.5809,51.5809,50.6533,50.931,243666.50261424
2014-09-23,50.6631,50.9822,50.2249,50.2329,292986.78004178
2014-09-24,50.2466,50.3629,49,49.6834,724321.37613818
2014-09-25,49.4422,49.5061,48.6425,48.6751,426792.12603642
2014-09-26,48.6918,48.9655,48.4505,48.7952,294883.79190677
2014-09-29,48.4406,48.5115,48.0202,48.3343,372938.51832767
2014-09-30,48.2959,48.3294,46.9941,47.1231,2246448.9654391
2014-10-01,46.9636,48.7401,46.3511,46.7598,1268240.7829343
2014-10-02,46.809,47.7622,46.5756,47.2531,475347.70863829
2014-10-03,47.7248,47.9709,47.4126,47.4392,462895.26779868
2014-10-06,47.5839,48.0202,47.4796,47.8872,393065.32676025
2014-10-07,47.5604,47.7474,46.4891,46.4891,681001.87125356
2014-10-08,46.4377,46.4377,45.009,45.9376,910619.5183324
