Date,Open,High,Low,Close,Volume
2014-06-02,143.491,144.25,142.966,144.155,3187519.9885455
2014-06-03,143.727,144.035,143.276,143.932,3470730.051793
2014-06-04,143.663,143.663,142.585,142.625,3716708.0269639
2014-06-05,142.585,143.884,142.104,143.828,4660577.4418759
2014-06-06,143.932,146.366,143.774,146.039,6279024.3684715
2014-06-09,145.39,147.9,145.121,147.434,5256280.7508337
2014-06-10,146.887,147.537,146.366,147.275,4065385.4586445
2014-06-11,146.793,147.006,145.39,145.857,4601184.1180588
2014-06-12,145.595,145.921,144.487,144.852,4791846.7498971
2014-06-13,144.424,145.454,144.424,145.294,3561100.8768998
2014-06-16,144.804,144.9,143.727,144.099,4965878.0390355
2014-06-17,143.932,144.955,143.332,144.376,3964457.3354538
2014-06-18,144.424,144.757,143.387,144.487,4883235.1763263
2014-06-19,144.424,146.151,144.424,145.873,5833255.6503466
2014-06-20,146.381,146.482,145.55,146.103,9182533.8480648
2014-06-23,146.53,146.586,144.091,144.543,5767207.5168907
2014-06-24,144.424,145.603,143.594,143.987,4877214.1580815
2014-06-25,143.371,143.594,142.657,143.125,4848240.2961194
2014-06-26,143.316,143.316,141.921,142.412,4275434.2794422
2014-06-27,142.412,143.172,142.08,143.172,6489972.1125214
2014-06-30,143.22,143.268,142.032,142.358,5478491.5487232
2014-07-01,142.302,143.546,142.247,143.014,5179684.1570224
2014-07-02,142.657,144.376,142.657,144.155,3929112.7337008
2014-07-03,145.231,145.667,145.066,145.502,3786941.4561804
2014-07-07,145.183,145.39,144.543,144.908,4663578.4820035
2014-07-08,144.25,144.376,142.72,142.84,5373010.7327685
2014-07-09,143.125,143.172,142.247,142.57,6981199.58152
2014-07-10,141.533,142.412,141.374,141.921,6135986.9935477
2014-07-11,141.874,143.82,141.478,143.82,6542211.9262999
2014-07-14,144.25,145.502,144.195,144.424,4665604.846919
2014-07-15,144.963,145.183,143.82,144.155,7652682.6256594
2014-07-16,144.591,147.03,144.424,146.381,8689312.8399995
2014-07-17,145.825,146.151,144.091,144.155,6930199.5748114
2014-07-18,145.011,145.066,142.192,143.316,10226027.189932
2014-07-21,142.617,142.617,139.331,140.725,10952158.960161
2014-07-22,141.207,141.374,140.036,140.947,6375595.4914604
2014-07-23,141.207,141.334,140.354,140.354,5917403.4519837
2014-07-24,140.678,141.271,140.298,140.511,4062796.0041636
2014-07-25,140.773,140.773,139.386,139.695,4547328.2624784
2014-07-28,139.055,139.386,137.81,138.633,6088638.2312851
2014-07-29,138.523,139.331,137.866,137.866,4158628.545548
2014-07-30,138.586,139.695,137.581,138.887,4769810.5048893
2014-07-31,138.239,138.46,136.249,136.249,7013140.3952277
2014-08-01,135.704,137.358,134.071,137.302,7420972.5320533
2014-08-04,137.2,137.692,135.973,136.892,5244613.6865438
2014-08-05,135.973,136.979,135.15,135.545,5110395.102234
2014-08-06,136.138,138.523,135.918,137.81,8717055.7326203
2014-08-07,138.737,139.22,137.692,138.127,6677166.5671491
2014-08-08,137.921,139.055,137.042,138.991,4232700.0740438
2014-08-11,139.98,140.836,139.331,139.695,5145330.6434058
2014-08-12,139.876,140.092,138.633,138.737,4020929.158701
2014-08-13,139.331,140.417,139.22,139.932,3668103.044707
2014-08-14,140.25,140.567,139.386,140.196,4305559.5711881
2014-08-15,140.567,140.678,138.183,138.887,5198393.6284771
2014-08-18,140.14,141.207,140.036,141.207,4948184.90637
2014-08-19,141.596,141.716,141.112,141.112,2978391.5540553
2014-08-20,141.271,143.014,140.891,142.784,5322306.1587018
2014-08-21,143.125,143.268,142.474,143.172,4095209.0050852
2014-08-22,142.617,142.84,141.43,141.652,4205988.6706045
2014-08-25,141.716,142.412,140.947,141.921,4032857.5672512
2014-08-26,142.032,142.358,140.891,140.891,4857586.8253848
2014-08-27,141.112,141.921,140.947,141.533,3909272.0329849
2014-08-28,141.011,141.334,140.63,140.891,2481403.1485395
2014-08-29,141.011,141.334,140.298,140.725,4045601.5718981
2014-09-02,140.25,141.011,139.592,140.036,4501831.6356248
2014-09-03,140.725,140.836,139.876,140.567,3685008.3569939
2014-09-04,140.63,141.533,140.25,140.63,4964340.2742582
2014-09-05,140.298,141.374,139.758,141.374,3883876.1885746
2014-09-08,141.596,142.302,141.151,141.271,3762123.8517273
2014-09-09,141.207,141.43,140.036,140.298,3999371.4135703
2014-09-10,140.773,141.011,140.036,140.567,3527417.7681246
2014-09-11,140.298,141.334,139.932,140.947,4172763.8611837
