Date,Open,High,Low,Close,Volume
2014-06-02,8.68181,8.72068,8.59214,8.60966,26672990.494422
2014-06-03,8.56351,8.59982,8.45298,8.5202,21837173.7333
2014-06-04,8.46538,8.56803,8.44914,8.51577,13571743.371284
2014-06-05,8.51577,8.56351,8.44914,8.45672,15545361.413965
2014-06-06,8.52522,8.55583,8.47473,8.48064,18532314.957612
2014-06-09,8.46991,8.52522,8.4334,8.48438,11687556.559975
2014-06-10,8.48438,8.48438,8.40091,8.44502,15306379.241067
2014-06-11,8.44156,8.61084,8.35663,8.44156,15461781.71652
2014-06-12,8.43734,8.54796,8.42552,8.44914,18435309.957555
2014-06-13,8.50779,8.61084,8.45672,8.6074,15465949.626255
2014-06-16,8.57266,8.60632,8.53535,8.55583,11405883.2863
2014-06-17,8.5518,8.63565,8.50938,8.6074,9921579.0657008
2014-06-18,8.63073,8.71399,8.59716,8.70336,12416499.790082
2014-06-19,8.731,8.87825,8.71832,8.78239,14688906.766963
2014-06-20,8.81418,8.81762,8.66773,8.81762,20599540.269938
2014-06-23,8.77805,8.85069,8.71054,8.80621,9094166.6819692
2014-06-24,8.76989,8.92461,8.76989,8.881,28837976.761181
2014-06-25,8.85837,8.92077,8.81762,8.89311,13002856.206728
2014-06-26,8.881,8.98188,8.85837,8.94044,14455878.750829
2014-06-27,8.93276,9.03257,8.89665,9.03257,35193406.095721
2014-06-30,9.02095,9.09968,8.96003,9.08345,12096778.84505
2014-07-01,8.96003,9.11967,8.95177,9.07577,13095975.763874
2014-07-02,9.03984,9.06633,8.98956,9.01711,11571364.137337
2014-07-03,9.03533,9.14772,9.00264,9.13985,8322779.2555354
2014-07-07,9.10352,9.1303,9.03257,9.06633,8505424.5383484
2014-07-08,9.08719,9.10352,8.88917,8.89311,17755966.072564
2014-07-09,8.90964,8.9932,8.90964,8.97717,12936677.684833
2014-07-10,8.88474,9.13492,8.87825,9.0551,25043745.231484
2014-07-11,9.0551,9.07105,8.92912,8.96003,9644982.0662895
2014-07-14,8.98572,9.06249,8.89665,8.92264,13733534.880479
2014-07-15,8.95541,9.09968,8.93276,9.07873,11295762.884278
2014-07-16,9.11967,9.17853,9.06633,9.08719,10972390.191907
2014-07-17,9.07577,9.22498,9.04762,9.15234,12875886.353921
2014-07-18,9.16878,9.22498,9.13886,9.20175,11388126.487052
2014-07-21,9.20175,9.30401,9.16001,9.26602,9877722.5352622
2014-07-22,9.26602,9.31385,9.23275,9.29613,8987294.6484081
2014-07-23,9.30007,9.32762,9.20175,9.31198,9241220.1290724
2014-07-24,9.35272,9.48165,9.32762,9.47082,10737822.833197
2014-07-25,9.4413,9.45803,9.35764,9.4541,7699323.1587041
2014-07-28,9.47476,9.52201,9.42556,9.49347,9944691.5578327
2014-07-29,9.47772,9.51413,9.39997,9.43342,7757547.9025878
2014-07-30,9.4413,9.55153,9.40194,9.52201,11112619.72829
2014-07-31,9.39603,9.47772,9.36551,9.38323,14412216.289323
2014-08-01,9.37437,9.39997,9.14772,9.1922,17260271.345283
2014-08-04,9.16878,9.37831,9.12754,9.34525,11063900.297806
2014-08-05,9.34525,9.51413,9.31582,9.48953,18971237.917832
2014-08-06,9.47082,9.47476,9.31198,9.41276,17393989.9198
2014-08-07,9.71883,10.0544,9.43342,9.50921,23325864.31819
2014-08-08,9.49739,9.52889,9.42948,9.49543,11772166.550075
2014-08-11,9.48165,9.67947,9.47772,9.63617,14392249.542812
2014-08-12,9.59877,9.66077,9.4846,9.56629,9744053.7480637
2014-08-13,9.53973,9.68341,9.53973,9.62239,14393951.456221
2014-08-14,9.6401,9.70506,9.58204,9.65683,8240120.1154332
2014-08-15,9.70998,9.70998,9.52201,9.6155,12887433.963411
2014-08-18,9.58204,9.6903,9.55547,9.67061,10226949.07044
2014-08-19,9.70998,9.78477,9.51807,9.6155,18466740.996004
2014-08-20,9.63223,9.67554,9.57416,9.63223,14790179.25139
2014-08-21,9.66077,9.71392,9.6155,9.63617,9192893.9167906
2014-08-22,9.66077,9.67061,9.54267,9.59483,12579163.085369
2014-08-25,9.63715,9.64503,9.51708,9.59877,8720621.5822914
2014-08-26,9.63223,9.7149,9.59877,9.70703,12236767.573385
2014-08-27,9.69129,9.74443,9.64895,9.66471,9633481.1959136
2014-08-28,9.65683,9.66274,9.57416,9.64503,9272962.0842401
2014-08-29,9.69523,9.70703,9.63223,9.69129,6235250.8782881
2014-09-02,9.70703,9.73557,9.66176,9.69129,16367303.289162
2014-09-03,9.69129,9.76707,9.66471,9.69523,12935195.242049
2014-09-04,9.70211,9.76214,9.67554,9.69719,7580857.7926058
2014-09-05,9.68735,9.73951,9.66176,9.73557,7907986.8872909
2014-09-08,9.74837,9.79462,9.69523,9.71686,7535829.7361009
2014-09-09,9.71097,9.85662,9.69129,9.79954,12141637.218248
2014-09-10,9.76017,9.8773,9.73557,9.85959,11514993.717019
2014-09-11,9.85959,9.92259,9.79462,9.88615,12620862.504065
2014-09-12,9.86942,9.87434,9.75231,9.78971,12453869.74428
2014-09-15,9.59483,9.70703,9.50921,9.65683,18483007.223925
