Date,Open,High,Low,Close,Volume
2014-06-02,44.0659,44.2299,43.5685,43.9163,1845810.7099792
2014-06-03,43.6408,43.674,43.0138,43.3918,1681914.9650752
2014-06-04,43.3254,43.6086,43.1084,43.593,1114617.7933463
2014-06-05,43.6008,44.0873,43.4074,44.0091,759917.58856107
2014-06-06,44.313,45.0789,44.1117,44.7907,1515588.0489432
2014-06-09,44.6773,45.5624,44.6558,45.4383,1640086.5361407
2014-06-10,45.2166,45.5585,45.0789,45.4765,941087.44482204
2014-06-11,45.2918,45.5263,45.0945,45.4471,884815.29966554
2014-06-12,45.6522,45.8359,45.1736,45.2947,968860.12127988
2014-06-13,44.9753,44.9908,44.2152,44.6675,1201199.2222462
2014-06-16,44.5553,45.1736,44.5171,45.0534,804742.24409949
2014-06-17,45.0534,45.6268,45.0143,45.5957,979104.820922
2014-06-18,44.8863,46.1593,44.8552,46.1534,1671447.1095056
2014-06-19,46.1671,46.1945,45.3475,46.0626,1566351.9278352
2014-06-20,46.2062,46.2209,45.2058,45.2546,3632071.544161
2014-06-23,45.2371,45.7657,45.1414,45.2781,1172712.0373599
2014-06-24,45.1501,46.0167,44.904,45.1501,1942740.2272765
2014-06-25,45.113,45.2693,44.6451,45.1833,1911563.9110995
2014-06-26,45.2371,45.365,44.5894,44.6373,1372698.6471003
2014-06-27,44.5386,45.753,44.5308,45.6611,2396552.3733835
2014-06-30,45.4872,46.0167,45.3855,45.8956,1249564.6867436
2014-07-01,45.7831,46.2286,45.5712,46.0001,1054324.7468914
2014-07-02,45.9718,46.4387,45.7667,46.1222,1099068.5339974
2014-07-03,46.086,46.764,45.8886,46.4934,1124709.968983
2014-07-07,46.5197,46.5363,46.0987,46.1593,1266873.6022361
2014-07-08,46.0792,46.175,45.0691,45.6923,2439943.9174612
2014-07-09,44.8952,45.0075,42.7236,43.6047,6918088.640249
2014-07-10,43.5031,43.6047,42.7929,43.2188,2397737.7612918
2014-07-11,43.3644,43.3868,42.8602,43.3429,1540804.6687457
2014-07-14,43.5979,44.0941,43.4309,43.8235,1398544.8122945
2014-07-15,43.7112,43.9016,43.2422,43.2676,1425309.1924747
2014-07-16,43.6291,43.6291,42.49,42.7236,2122484.137634
2014-07-17,42.49,42.912,42.1511,42.3083,1433249.6536181
2014-07-18,42.5125,42.912,42.2479,42.665,1380359.6515089
2014-07-21,42.5408,42.6552,42.1745,42.4666,1078165.5796917
2014-07-22,42.665,43.124,42.665,42.9375,1234254.9617388
2014-07-23,42.6552,43.1905,42.576,43.1484,1059542.2962595
2014-07-24,43.1992,43.7151,43.1992,43.6379,1296127.5017536
2014-07-25,43.6291,43.8382,42.9638,43.0292,1009838.9198483
2014-07-28,42.9893,43.6134,42.9414,43.3527,1143296.4009775
2014-07-29,43.132,43.5666,42.8662,43.3957,2753511.7760215
2014-07-30,46.4231,46.5363,40.5294,41.0061,12783383.915568
2014-07-31,40.8704,42.4295,40.6955,41.4653,3888669.1275531
2014-08-01,41.4439,41.9039,40.6056,41.0872,1869814.3032953
2014-08-04,41.1253,41.6011,41.0375,41.5073,1758731.7866722
2014-08-05,41.2249,41.482,40.9016,41.0872,1561540.7679313
2014-08-06,40.9807,41.5503,40.7385,41.4506,1114146.9138663
2014-08-07,41.6997,41.9997,41.3237,41.482,1436665.5771499
2014-08-08,41.5141,41.9547,41.482,41.8952,907571.0623598
2014-08-11,41.8952,42.1735,41.7496,42.0309,843925.55873786
2014-08-12,41.8043,42.0729,41.4282,41.7066,1198620.6452679
2014-08-13,41.7897,42.0876,41.6382,41.942,936223.05506392
2014-08-14,41.9772,42.3631,41.857,42.0153,671816.03786182
2014-08-15,42.3788,43.0586,42.0085,42.2546,1644336.7352728
2014-08-18,42.4979,42.8144,42.0876,42.2038,1151468.2072569
2014-08-19,42.1608,42.3474,42.1217,42.2849,1375169.740719
2014-08-20,42.3924,43.5979,42.3924,43.0128,1688446.882383
2014-08-21,43.1484,43.3341,42.9804,43.2579,662435.29970031
2014-08-22,43.2422,43.6506,43.0128,43.4366,1343783.576078
2014-08-25,43.5373,43.8088,43.2422,43.4767,693419.16948123
2014-08-26,43.4309,43.5666,43.2335,43.3038,635747.69334844
2014-08-27,42.8964,43.1484,41.0296,41.141,3868415.1680088
2014-08-28,40.9876,41.0746,40.0937,40.7893,3474220.4586681
2014-08-29,41.1253,41.305,40.6808,40.9456,1542427.1556494
2014-09-02,40.9671,41.095,40.3273,40.6379,2242754.9460224
2014-09-03,40.6877,40.8391,40.2422,40.3634,4190993.2030529
2014-09-04,40.7189,40.7189,39.4763,39.5213,2998056.8920289
2014-09-05,39.4626,40.1563,39.3425,40.1474,2093673.4790182
2014-09-08,39.9521,40.7189,39.6287,40.3634,2096897.9798048
2014-09-09,40.1768,40.3126,37.9025,38.9713,7041745.6862889
2014-09-10,39.1149,40.6516,39.1149,40.5197,6524191.8133619
2014-09-11,40.3467,40.6828,39.7704,40.3624,2033743.8286837
2014-09-12,40.1807,41.0775,39.8837,40.7053,3020166.7309148
2014-09-15,40.5695,40.9046,40.4562,40.7757,2023762.2073598
2014-09-16,40.7209,41.2162,40.591,40.8645,1528026.4327713
2014-09-17,40.8039,40.9261,40.295,40.3555,1562395.5165526
2014-09-18,40.4318,40.6456,40.3263,40.3467,1136720.4666748
2014-09-19,40.6066,40.6066,39.5721,39.6199,3405318.5069384
2014-09-22,39.5487,39.5878,39.0934,39.1842,1455205.9448475
2014-09-23,39.0465,39.5408,38.561,38.5932,1519886.3596743
