Date,Open,High,Low,Close,Volume
2014-06-02,137.696,138.068,136.089,137.911,2509126.3609942
2014-06-03,137.754,139.567,137.274,139.449,2794621.3180916
2014-06-04,139.146,140.233,138.627,139.959,2434687.435473
2014-06-05,140.223,140.841,139.234,140.106,2159955.3227603
2014-06-06,140.4,143.281,140.4,143.214,4035419.7307891
2014-06-09,143.105,143.801,142.733,143.076,2740648.9390881
2014-06-10,142.762,144.155,142.615,143.38,1963759.9344928
2014-06-11,142.312,143.184,141.948,142.576,2325294.774908
2014-06-12,142.85,143.634,142.243,143.037,2679536.0230155
2014-06-13,143.194,143.978,142.567,142.968,2043326.2105101
2014-06-16,142.645,143.537,141.734,142.939,2037832.5478093
2014-06-17,142.733,145.428,142.595,144.996,2842724.5388755
2014-06-18,144.692,146.613,144.183,146.398,3336951.1286575
2014-06-19,146.535,146.672,145.565,146.29,2676656.5437917
2014-06-20,146.789,147.437,146.005,146.389,5439623.9977855
2014-06-23,146.682,147.046,145.83,146.742,2027572.7449758
2014-06-24,146.124,146.976,144.752,144.996,1865771.9299467
2014-06-25,144.625,145.643,144.282,145.134,1858445.6858546
2014-06-26,143.918,144.909,143.389,144.811,2472789.0065926
2014-06-27,144.145,144.507,143.389,143.742,3609897.5969188
2014-06-30,143.811,144.712,143.389,144.321,2190681.6721116
2014-07-01,143.37,145.036,143.114,143.761,3420091.7546823
2014-07-02,143.918,144.625,143.565,143.821,2178546.4324199
2014-07-03,144.634,146.438,144.565,146.045,2089883.5733831
2014-07-07,145.604,145.604,143.831,144.615,2058356.2349495
2014-07-08,143.703,143.742,141.117,142.155,2818712.2126615
2014-07-09,142.419,142.488,141.027,141.929,2255333.2253027
2014-07-10,139.832,141.164,139.214,140.831,2557418.3499058
2014-07-11,140.488,142.35,139.959,142.056,2660909.2004669
2014-07-14,144.085,144.565,143.468,143.918,3488472.7538562
2014-07-15,146.261,146.662,144.055,145.791,5606251.1546747
2014-07-16,145.82,147.369,145.624,146.909,3834884.7163205
2014-07-17,146.712,147.917,145.555,146.653,4427039.1089214
2014-07-18,146.879,148.074,146.212,147.8,2974953.0410531
2014-07-21,146.682,148.329,146.585,148.025,2593904.6780731
2014-07-22,148.574,151.141,148.574,150.818,4466978.3632735
2014-07-23,150.995,152.738,150.494,152.406,3997386.5243428
2014-07-24,152.387,152.828,151.338,151.916,2335380.0947695
2014-07-25,151.612,152.092,150.574,151.151,2463196.5245998
2014-07-28,150.798,152.092,150.524,151.651,2672555.6837631
2014-07-29,151.837,152.661,151.2,151.288,3556206.8395544
2014-07-30,151.66,152.965,151.131,151.475,2731458.4821888
2014-07-31,150.357,151.043,148.897,148.976,4406622.5604484
2014-08-01,148.574,148.878,145.987,146.752,3643229.9668007
2014-08-04,146.996,148.152,146.585,148.005,2441122.8980758
2014-08-05,147.643,148.054,145.526,146.005,3186064.1725153
2014-08-06,144.929,147.241,144.82,146.3,1996509.6740994
2014-08-07,146.78,147.427,145.418,145.722,2237506.3714683
2014-08-08,145.938,148.632,145.379,148.466,2622288.2619041
2014-08-11,148.868,149.446,147.937,148.623,2434325.2047414
2014-08-12,148.064,149.162,147.711,148.525,1581362.6446758
2014-08-13,148.594,148.996,147.613,148.564,1985309.0917321
2014-08-14,148.906,149.162,148.005,148.858,1660786.0691369
2014-08-15,149.083,150.465,147.77,148.162,2838003.294946
2014-08-18,149.289,150.494,148.829,150.436,2178717.8542873
2014-08-19,150.494,150.896,149.662,149.966,2230227.0643162
2014-08-20,149.309,150.151,148.741,150.024,2036393.8285656
2014-08-21,150.191,151.622,149.476,150.936,2413788.252814
2014-08-22,151.122,152.544,150.651,151.22,3111260.9755259
2014-08-25,152.308,155.022,152.092,153.327,3556095.6194143
2014-08-26,153.787,154.405,153.268,153.327,3619668.6433567
2014-08-27,154.179,154.179,153.033,153.709,2401129.5642061
2014-08-28,153.072,153.67,152.073,153.572,2269242.8853948
2014-08-29,154.151,155.209,153.729,154.855,2969971.6032179
2014-09-02,154.983,155.806,154.199,155.425,2297556.0638161
2014-09-03,156.022,157.404,155.14,155.288,2773425.2082695
2014-09-04,155.562,156.973,155.248,155.679,1939165.9983717
2014-09-05,155.268,155.532,153.759,155.405,2964342.2315389
2014-09-08,155.268,156.414,154.954,155.709,2020083.2419625
2014-09-09,153.787,154.444,152.701,153.357,3010909.7980945
2014-09-10,154.16,155.767,153.964,155.502,2844888.7399506
2014-09-11,154.571,156.835,154.307,156.493,2206143.312324
2014-09-12,156.219,158.62,156.159,158.364,3891143.7405901
2014-09-15,158.139,159.422,157.806,159.05,2669633.3490723
2014-09-16,158.972,159.56,158.06,159.11,2478269.404506
2014-09-17,158.903,160.608,158.61,159.766,3271143.4982302
2014-09-18,160.667,162.892,160.393,162.461,4132081.2566
2014-09-19,162.755,163.01,160.717,160.971,6295806.8400733
2014-09-22,160.834,161.608,160.021,160.197,2121846.609063
2014-09-23,159.57,161.54,159.57,160.011,2287311.5665063
2014-09-24,160.168,162.647,159.481,162.382,3278243.2205689
2014-09-25,162.088,162.373,158.61,159.158,3563191.26028
2014-09-26,159.707,160.462,158.403,160.031,2235323.8037645
2014-09-29,158.306,159.56,157.522,158.913,2021054.6325441
2014-09-30,159.432,159.913,157.943,158.707,2356937.4149548
2014-10-01,158.373,158.933,155.905,156.219,4853693.8515581
2014-10-02,156.139,158.58,156.13,158.119,3227096.2412716
2014-10-03,159.599,162.98,159.57,162.598,3783968.3402496
2014-10-06,163.451,163.833,161.785,162.098,2242354.1410617
2014-10-07,161.284,161.284,158.757,158.894,3384545.1856806
2014-10-08,159.1,161.657,157.472,161.344,3660020.1264851
2014-10-09,160.657,160.942,156.258,156.708,5659829.6715306
2014-10-10,156.943,158.169,155.659,155.953,5095674.1839276
2014-10-13,156.493,158.373,154.307,154.571,3975055.7650179
2014-10-14,155.189,157.149,153.689,154.503,4114616.6334971
2014-10-15,152.591,153.807,148.28,153.248,7322423.8332207
2014-10-16,148.692,152.415,148.074,149.172,9020016.6261579
2014-10-17,151.984,153.475,151.367,152.945,5726521.9612377
2014-10-20,152.357,153.846,152.004,153.729,2669472.1308875
2014-10-21,154.954,155.934,154.179,155.767,3068496.3214676
2014-10-22,156.091,156.296,152.885,152.885,3572158.2565308
2014-10-23,154.581,156.571,154.513,155.659,3928640.2333327
2014-10-24,155.846,158.639,155.629,158.511,3355426.9367039
2014-10-27,158.109,159.217,157.629,158.982,2762707.2600882
2014-10-28,159.217,161.08,158.383,161.08,3512340.1877775
2014-10-29,160.883,161.941,160.295,160.873,3908431.8399843
2014-10-30,160.373,161.735,160.079,161.628,3232677.6556425
2014-10-31,163.431,164.255,162.647,164.245,3883198.1329655
2014-11-03,164.558,165.97,164.028,164.999,2666476.3296823
2014-11-04,164.676,165.116,163.235,164.489,2345133.7949471
2014-11-05,165.606,165.871,163.921,164.118,3633325.2521209
2014-11-06,164.588,165.499,164.058,165.136,2215537.8428749
2014-11-07,165.342,165.528,163.667,164.902,2291678.7426504
2014-11-10,164.715,165.871,164.715,165.813,1797424.6029254
2014-11-11,165.823,166.587,164.735,165.881,1885211.9859968
2014-11-12,164.862,165.039,163.695,164.402,2685935.7727293
2014-11-13,164.999,165.293,163.568,164.46,2023671.8771257
2014-11-14,164.568,164.999,163.931,164.245,1956616.3363189
2014-11-17,163.852,165.293,163.588,164.205,1843068.7362076
2014-11-18,164.078,164.862,163.901,163.941,2096414.9506022
2014-11-19,163.931,164.245,162.697,163.558,2614296.7377079
2014-11-20,162.392,164.138,162.158,164.028,3296578.2177958
2014-11-21,165.548,165.685,163.715,163.901,2738718.4023441
2014-11-24,164.362,165.039,163.971,164.312,2346728.6305343
2014-11-25,164.705,164.705,162.706,163.274,4254201.9908144
2014-11-26,164.195,164.195,162.315,162.961,2341240.0696748
2014-11-28,163.391,164.332,163.147,163.391,1378044.0655995
2014-12-01,163.137,163.588,160.951,163.216,2838721.6341996
2014-12-02,164.185,165.578,163.755,164.969,3592723.7787694
2014-12-03,164.568,166.372,164.205,165.588,3516214.5260529
2014-12-04,165.45,166.812,164.774,166.489,3645718.6449819
2014-12-05,167.136,170.781,166.999,169.507,4179971.2204179
2014-12-08,169.507,171.781,168.704,170.527,3130390.8396258
2014-12-09,167.988,171.056,167.303,170.761,5267440.935732
2014-12-10,169.527,169.977,166.175,166.528,7502268.8405232
2014-12-11,167.39,169.086,166.959,167.842,3665961.730851
2014-12-12,166.225,167.076,163.098,163.764,4426326.8918774
2014-12-15,165.009,165.479,160.794,160.913,5452333.7048065
2014-12-16,159.551,162.138,158.198,158.972,4770830.7656994
2014-12-17,159.648,161.735,159.257,160.481,5851324.223234
2014-12-18,163.029,166.235,162.872,166.185,4853739.7681297
2014-12-19,166.734,169.126,166.548,167.616,5532408.1242162
2014-12-22,168.194,168.694,167.176,168.635,3523409.1426396
2014-12-23,169.233,170.067,168.899,169.547,2705049.3109369
2014-12-24,170.517,170.644,169.136,169.89,804456.29382
2014-12-26,170.057,170.419,169.478,169.507,1171752.1334196
2014-12-29,169.606,170.811,168.969,170.134,1418061.8883074
2014-12-30,169.547,170.419,168.763,169.713,1310001.8286873
2014-12-31,170.547,170.704,168.067,168.115,1806276.2975629
2015-01-02,169.4,169.733,167.116,168.606,2164783.7053569
2015-01-05,167.44,168.302,162.608,163.344,3939553.0718513
2015-01-06,163.304,163.628,159.521,160.031,3955609.5867582
2015-01-07,162.078,163.02,161.118,162.451,2186970.5927575
2015-01-08,164.215,165.489,164.128,165.029,2262495.1901051
2015-01-09,165.206,165.921,162.167,162.5,2283640.2815144
2015-01-12,162.51,162.657,159.668,160.52,2403100.9156804
2015-01-13,161.814,164.245,159.03,160.393,3165302.739571
2015-01-14,157.12,158.296,154.474,156.306,6001019.389251
2015-01-15,156.266,157.502,153.915,154.816,3626394.910913
2015-01-16,153.435,156.199,150.946,153.709,5908109.7575246
2015-01-20,153.984,154.67,151.103,152.327,4159870.9861048
2015-01-21,151.377,154.728,149.927,153.64,4308622.3114832
2015-01-22,155.091,158.364,153.709,157.884,7181146.7053317
2015-01-23,157.434,158.697,156.493,156.551,3601648.9399216
2015-01-26,155.012,156.943,154.434,156.493,3155258.2344399
2015-01-27,153.709,154.945,152.905,153.072,3844787.3902638
2015-01-28,154.131,154.346,150.054,150.151,3196746.4078075
2015-01-29,150.21,152.905,150.132,152.651,2791729.5944486
2015-01-30,151.014,152.387,149.446,149.534,3501583.4656024
2015-02-02,150.074,152.308,149.387,152.21,3430111.7709752
2015-02-03,152.671,156.541,152.581,156.316,4342995.4569883
2015-02-04,155.012,156.718,154.846,155.062,3436611.5167783
2015-02-05,155.629,157.502,155.455,156.757,2806769.8225706
2015-02-06,157.894,160.119,157.09,159.09,3748325.8566316
2015-02-09,157.522,158.668,157.1,158.06,2792431.6078101
2015-02-10,159.011,160.295,158.159,160.06,2947490.849759
2015-02-11,159.599,163.216,159.364,162.745,4703887.4654011
2015-02-12,163.264,164.813,162.549,164.598,3558989.3837938
2015-02-13,164.685,165.94,163.344,163.911,3136658.9618342
2015-02-17,163.725,165.333,163.314,164.832,2448216.498205
2015-02-18,164.372,164.852,162.882,163.637,2133792.0602586
2015-02-19,162.775,164.666,162.442,163.999,1695359.2068206
2015-02-20,163.344,166.215,162.235,166.087,2671664.9022738
2015-02-23,165.421,165.421,164.148,165.068,1947593.219814
2015-02-24,164.842,167.616,164.509,166.695,3029304.9970485
2015-02-25,166.127,166.92,165.186,166.273,3200426.876114
2015-02-26,165.744,167.449,165.313,167.204,2815201.1254859
2015-02-27,166.342,167.479,165.136,165.136,2956710.8973378
2015-03-02,165.391,166.979,165.136,166.862,1907214.1867427
2015-03-03,165.911,167.783,165.803,166.41,1709973.941379
2015-03-04,165.588,166.008,164.402,165.029,1894679.9830622
2015-03-05,165.656,165.93,164.489,165.371,1528711.6425662
2015-03-06,163.558,166.528,162.343,162.627,4716703.2907207
2015-03-09,162.941,164.245,162.333,163.5,2567316.9423761
2015-03-10,161.451,161.951,158.953,158.953,3182018.4123725
2015-03-11,159.481,161.677,159.227,160.256,2412026.0768325
2015-03-12,161.775,165.313,161.755,165.264,3580055.9068471
2015-03-13,164.352,167.009,161.971,167.009,3557876.1620244
2015-03-16,165.342,167.469,165.224,166.959,2445477.8298007
2015-03-17,166.145,166.392,164.245,165.803,2164561.2650767
2015-03-18,165.029,167.95,164.607,167.322,3206957.2329648
2015-03-19,166.832,166.832,164.509,165.283,2410306.7563179
2015-03-20,165.705,168.724,165.224,168.037,3992693.8507246
2015-03-23,167.94,169.008,167.019,167.019,1828133.6060162
2015-03-24,166.999,167.479,166.312,166.42,2067893.6170564
2015-03-25,166.254,166.382,162.98,162.98,2921789.8140781
2015-03-26,162.295,163.529,160.961,162.892,2732368.650675
2015-03-27,162.843,163.971,162.078,163.618,1769511.4088612
2015-03-30,164.646,167.056,164.598,166.195,2762941.9447874
2015-03-31,165.578,165.783,163.529,163.529,2467294.3235237
2015-04-01,163.372,167.322,162.667,167.233,4633711.6384615
2015-04-02,167.086,167.656,166.028,166.665,2639381.470961
2015-04-06,165.45,167.577,164.372,167.086,2295365.3331662
2015-04-07,167.243,168.479,167.243,167.38,2043625.1784096
2015-04-08,167.763,168.655,167.204,167.518,2295593.895656
2015-04-09,167.547,169.703,167.39,169.547,2270838.7413502
2015-04-10,169.36,170.4,168.871,170.194,2028357.4081662
2015-04-13,169.713,171.732,169.459,170.134,2524212.5056878
2015-04-14,171.38,172.692,170.262,172.017,3755569.4508947
2015-04-15,172.457,175.869,171.742,174.947,5805408.6719951
2015-04-16,176.348,176.505,172.858,174.182,6869893.5719309
2015-04-17,172.084,172.497,170.204,171.703,5262327.8703915
2015-04-20,173.192,173.662,172.193,172.35,3007582.3772053
2015-04-21,173.095,173.575,171.036,171.262,2147402.7524513
2015-04-22,172.184,173.261,171.026,172.545,2227687.3677221
2015-04-23,172.231,174.437,171.919,173.388,2360187.2878564
2015-04-24,173.212,173.212,171.79,172.241,1661658.4839974
2015-04-27,173.124,173.388,170.841,170.988,2031002.2026907
2015-04-28,170.654,171.927,169.136,171.83,2194631.5176381
2015-04-29,170.341,173.77,170.057,172.751,2851100.7419049
2015-04-30,172.614,173.79,169.987,170.889,3141098.5841246
2015-05-01,172.654,172.751,171.252,171.87,2332718.9743527
2015-05-04,172.507,173.761,172.174,173.378,1817785.0311442
2015-05-05,172.536,174.339,171.154,171.644,2629268.6011566
2015-05-06,172.046,172.771,168.802,170.742,2796830.4153701
2015-05-07,170.751,172.212,169.487,171.742,2063553.9908554
2015-05-08,173.212,175.172,173.212,174.447,3669365.6793595
2015-05-11,174.447,175.692,174.241,175.505,2260422.8221733
2015-05-12,174.427,174.908,172.32,174.466,2583235.7075681
2015-05-13,174.418,175.525,173.879,175.26,2463552.6331218
2015-05-14,176.044,176.515,175.26,176.299,2249389.5802002
2015-05-15,176.23,176.563,175.584,176.563,2003020.6439533
2015-05-18,176.319,178.503,176.309,178.063,2487051.714102
2015-05-19,178.279,179.406,177.966,178.69,2724173.0528272
2015-05-20,178.503,179.19,177.622,178.426,2104821.7646793
2015-05-21,178.014,178.513,177.652,178.319,2557426.5128519
2015-05-22,178.063,181.19,178.043,180.777,3494536.8024131
2015-05-26,180.523,180.523,178.357,179.572,3830265.5092169
2015-05-27,179.994,182.435,179.112,181.875,3461322.795249
2015-05-28,181.601,182.052,180.895,181.944,3534810.7375538
2015-05-29,181.728,181.768,179.454,179.945,2584426.4773251
2015-06-01,181.003,182.258,180.543,181.367,2392669.6909795
2015-06-02,180.503,181.395,179.484,180.131,2555838.8198425
2015-06-03,181.17,183.414,180.455,181.788,2769478.4238478
2015-06-04,181.15,183.316,180.65,182.307,3967331.5773054
2015-06-05,184.139,184.972,182.013,183.659,3695310.583054
2015-06-08,184.315,184.766,182.797,183.11,2498603.3031502
2015-06-09,183.267,183.649,181.2,182.425,2611163.1867877
2015-06-10,183.022,186.237,182.709,185.982,3067697.3731217
2015-06-11,186.265,187.286,185.766,186.707,2319308.2743387
2015-06-12,186.315,186.766,185.041,185.933,2298769.2816747
2015-06-15,184.031,185.354,183.591,184.816,2181320.8137132
2015-06-16,184.894,186.394,184.248,186.394,2239068.5552712
2015-06-17,186.412,187.186,185.511,185.825,2037633.5759991
2015-06-18,186.285,187.648,185.041,187.276,2483132.4796233
2015-06-19,186.873,187.638,186.031,186.031,4770446.0868662
2015-06-22,187.687,189.206,187.638,188.932,2298538.6784484
2015-06-23,189.294,190.951,189.049,190.598,3134523.3310703
2015-06-24,188.687,189.373,186.502,187.119,4520422.1915194
2015-06-25,187.776,188.364,185.463,185.718,2789643.9617294
2015-06-26,186.442,187.286,185.501,186.021,3165480.2836479
2015-06-29,183.384,184.335,181.228,181.228,3772998.3611085
2015-06-30,183.189,183.944,181.66,182.228,4775063.2532333
2015-07-01,184.708,185.463,182.365,183.237,3231480.763676
2015-07-02,183.237,183.816,181.964,182.581,2081406.3538962
2015-07-06,180.435,181.993,179.994,181.571,3227579.8958259
2015-07-07,181.621,182.385,177.328,181.708,3785944.7935651
2015-07-08,180.023,180.465,177.769,178.103,2503759.2239575
2015-07-09,180.768,181.131,178.426,178.73,2585229.5071441
2015-07-10,181.219,181.514,179.935,180.817,2108906.2988158
2015-07-13,182.787,183.531,182.091,183.365,2339333.0014007
2015-07-14,183.277,185.668,183.022,185.189,2395474.6833206
2015-07-15,186.374,186.432,184.512,185.845,2901999.7717154
2015-07-16,184.482,186.893,182.669,184.295,5047623.0019249
2015-07-17,183.914,185.698,183.11,185.433,3264363.1511562
2015-07-20,185.6,186.756,184.325,185.384,2492645.372892
2015-07-21,185.012,185.698,183.904,184.581,2274824.2997658
2015-07-22,184.845,186.522,184.806,186.09,2636787.6948494
2015-07-23,186.472,187.286,183.855,184.178,2512352.7654258
2015-07-24,184.532,184.532,180.553,180.954,2811645.142107
2015-07-27,179.307,179.671,177.602,178.916,3334828.762681
2015-07-28,180.768,180.807,178.543,179.994,2312291.2018289
2015-07-29,180.268,181.651,179.504,180.503,2277105.8431905
2015-07-30,179.827,180.954,178.994,180.827,1538736.7607004
2015-07-31,180.994,181.062,178.798,178.964,1883750.8186515
2015-08-03,179.582,179.759,177.025,178.623,2378117.1988848
2015-08-04,178.906,180.777,178.72,179.063,1663059.4496156
2015-08-05,180.592,181.347,178.827,179.534,1759429.1501046
2015-08-06,179.798,180.386,178.309,178.984,1702452.8069498
2015-08-07,179.17,180.337,176.544,177.554,1937720.1365502
2015-08-10,178.533,180.268,178.347,179.778,1879509.1478032
2015-08-11,177.602,177.975,175.123,176.044,2926400.8582358
2015-08-12,174.466,175.906,171.565,175.535,3196412.7473872
2015-08-13,175.182,176.26,174.172,175.202,3842661.9631826
2015-08-14,175.28,176.76,175.202,176.319,4087300.3548639
2015-08-17,175.418,177.034,174.349,176.78,1834019.0901279
2015-08-18,176.396,177.25,175.575,175.575,1908270.2678897
2015-08-19,174.564,176.946,173.8,175.378,3118153.5631083
2015-08-20,173.172,173.869,171.713,171.713,3597910.3106245
2015-08-21,169.018,169.82,163.705,163.852,6194487.3331651
2015-08-24,155.748,163.088,150.21,156.62,8231156.6611605
2015-08-25,162.216,163.481,155.101,155.542,8255381.2239721
2015-08-26,159.736,161.491,156.306,160.923,6372891.5804874
2015-08-27,163.01,165.685,161.824,165.146,4352327.7450753
2015-08-28,164.275,165.381,163.098,164.412,2755395.3011518
2015-08-31,164.362,166.626,163.921,165.186,3263423.3919906
2015-09-01,161.334,163.294,158.57,159.491,6274036.2629221
2015-09-02,161.902,162.735,159.805,161.569,3475703.8654763
2015-09-03,162.03,164.549,161.364,162.088,3313898.9689742
2015-09-04,159.609,160.109,156.855,157.973,4905016.3341958
2015-09-08,161.06,163.147,160.814,162.775,3494202.1216244
2015-09-09,165.989,167.92,162.255,162.618,5431774.3047773
2015-09-10,162.432,164.479,161.804,162.794,3473625.3753349
2015-09-11,162.412,162.735,160.55,162.265,2896646.9198343
2015-09-14,162.559,162.765,160.53,161.08,3135875.3190122
2015-09-15,161.814,164.666,161.294,164.156,3531657.7996368
2015-09-16,164.607,165.773,163.391,165.206,3103333.73453
2015-09-17,165.049,166.9,162.872,163.274,4239458.6898555
2015-09-18,160.443,160.59,158.129,158.453,7456356.3503891
2015-09-21,160.53,161.481,159.129,160.57,3365284.7144439
2015-09-22,158.413,158.502,155.885,157.385,4758170.0363549
2015-09-23,157.462,157.816,155.649,157.11,3120372.8640694
2015-09-24,155.582,155.856,153.092,154.935,4462692.8165902
2015-09-25,156.914,158.6,156.012,157.482,3455950.5563709
2015-09-28,156.286,156.286,151.288,151.524,4451699.3689792
2015-09-29,151.514,151.769,146.692,150.484,5046154.6920017
2015-09-30,152.895,153.327,150.73,152.181,3347355.8237837
2015-10-01,152.728,154.278,151.543,154.141,4125558.0423269
2015-10-02,150.711,155.101,148.75,155.022,5104047.3258522
2015-10-05,156.071,158.56,155.729,158.246,3895840.4956814
2015-10-06,157.826,158.757,157.159,157.913,2122785.3478603
2015-10-07,159.217,160.942,158.119,159.589,2963127.9933119
2015-10-08,158.659,159.776,157.414,158.57,3714930.2239176
2015-10-09,158.473,159.639,156.052,156.905,3807537.8266396
2015-10-12,158.336,158.677,156.747,157.845,3493894.9907788
2015-10-13,157.237,160.393,157.188,158.483,3332965.570242
2015-10-14,158.276,159.579,156.865,157.198,3713457.8325214
2015-10-15,154.778,162.667,153.895,161.991,6531642.5147936
2015-10-16,162.138,163.441,160.794,162.196,3399882.3409656
2015-10-19,160.687,163.314,160.393,162.667,3043978.9129659
2015-10-20,162.216,162.843,161.05,162.48,3124503.3147774
2015-10-21,163.059,163.059,157.218,157.365,4237578.1511562
2015-10-22,157.845,161.294,157.826,160.736,2979891.6234215
2015-10-23,162.177,163.196,161.501,162.48,3352266.8562091
2015-10-26,163.852,164.646,163.411,163.764,2938898.328659
2015-10-27,162.872,163.608,161.559,163.147,2206372.8951821
2015-10-28,163.5,167.665,163.01,167.528,3690494.4448766
2015-10-29,167.263,168.115,165.803,166.283,3503337.4786377
2015-10-30,166.175,166.479,163.971,164.205,3187718.1894613
2015-11-02,164.95,166.763,164.352,166.097,2890684.9081032
2015-11-03,165.725,168.037,165.528,167.009,2789887.829743
2015-11-04,167.263,168.929,166.665,167.822,2482573.317818
2015-11-05,168.606,169.283,167.263,168.165,2496412.5725003
2015-11-06,171.644,174.682,171.565,174.427,4876810.2944417
2015-11-09,174.299,175.055,171.927,172.311,2973912.26543
2015-11-10,172.154,173.585,171.016,173.212,2454962.1527582
2015-11-11,173.652,174.202,172.281,172.858,1879445.8849713
2015-11-12,171.82,171.82,168.38,168.821,3616273.8781626
2015-11-13,168.694,169.37,166.449,166.725,2836356.4205777
2015-11-16,166.382,168.292,164.656,168.292,5282984.2054051
2015-11-17,168.733,169.027,166.665,166.9,2036913.1960089
2015-11-18,167.313,169.93,167.273,169.596,2865247.1274329
2015-11-19,169.713,170.067,167.842,169.056,2096247.6102079
2015-11-20,169.027,169.459,167.361,167.656,3348153.7517613
2015-11-23,167.518,167.675,165.116,165.666,3050802.1155068
2015-11-24,164.666,166.215,163.363,165.234,3059252.8054189
2015-11-25,165.499,166.185,164.794,165.626,1707818.9236183
2015-11-27,165.636,167.43,165.381,166.802,1247752.2223754
2015-11-30,167.39,167.9,166.283,166.989,3886265.3599489
2015-12-01,168.037,169.703,166.979,169.644,4712987.1095253
2015-12-02,169.85,170.331,166.783,167.185,2067938.5132598
2015-12-03,167.518,168.429,162.343,162.735,4095183.7200247
2015-12-04,163.088,167.499,162.363,166.959,4002569.9950932
2015-12-07,166.969,167.076,162.578,162.98,3982886.0710294
2015-12-08,161.608,162.118,159.766,160.727,3031350.8354057
2015-12-09,159.933,162.461,158.041,158.796,4446619.9757912
2015-12-10,159.04,161.618,158.443,160.021,2517594.3971669
2015-12-11,157.894,158.306,154.179,155.159,4267499.4299519
2015-12-14,155.258,156.943,151.935,155.012,5804938.2822283
2015-12-15,157.257,161.06,157.149,159.923,3867603.8448795
2015-12-16,161.687,164.215,159.648,163.628,3632151.8286244
2015-12-17,164.215,165.126,160.472,160.472,3195276.0571478
2015-12-18,159.237,159.815,154.111,154.199,7671028.5670714
2015-12-21,155.983,156.561,154.523,156.189,2814045.0482497
2015-12-22,157.198,158.776,155.582,158.227,2631185.8731133
2015-12-23,158.786,160.794,158.57,160.756,2694669.104649
2015-12-24,160.168,160.951,159.933,160.353,1260485.3978662
2015-12-28,159.717,159.844,158.05,159.599,1961147.7917524
2015-12-29,160.657,161.844,160.383,161.264,2104001.3885999
2015-12-30,161.06,161.264,159.766,159.923,1723319.3378245
2015-12-31,159.197,160.717,158.207,158.373,2018071.0757579
2016-01-04,154.484,155.699,152.701,155.649,4227145.9060871
2016-01-05,155.297,155.983,151.954,152.984,5142403.9890363
2016-01-06,150.514,151.151,148.603,149.22,6302369.8487085
2016-01-07,146.476,148.926,143.761,144.644,6451710.9469399
2016-01-08,146.555,148.015,143.781,144.055,5596601.5320595
2016-01-11,144.996,146.28,143.537,145.604,4991571.1124117
2016-01-12,146.672,147.8,143.498,145.595,5046475.0876347
2016-01-13,146.28,146.839,138.763,139.704,5974620.4216817
2016-01-14,140.851,142.792,137.735,141.821,4857017.1909742
2016-01-15,137.686,138.823,135.158,136.755,7086804.4765712
2016-01-19,138.48,139.499,136.451,137.793,6669244.2762175
2016-01-20,135.422,139.165,133.245,135.118,10652351.767159
2016-01-21,135.305,136.343,133.108,133.245,6521743.9223233
2016-01-22,135.823,137.94,135.206,137.823,6348528.2475926
2016-01-25,137.431,137.549,132.795,132.795,5739983.6796646
2016-01-26,133.05,137.166,132.864,135.706,5960471.9954171
2016-01-27,134.981,139.214,134.618,135.088,5862820.7123961
2016-01-28,136.206,138.881,134.021,138.009,4884846.7148411
2016-01-29,139.401,142.008,138.627,141.978,5554947.0386657
2016-02-01,140.96,141.468,139.224,140.283,3365109.2111035
2016-02-02,137.95,137.95,131.962,133.295,7176492.8057072
2016-02-03,134.001,135.186,129.169,134.157,6695545.288434
2016-02-04,133.834,138.793,133.579,137.519,5200439.4744428
2016-02-05,138.48,140.332,136.813,137.499,5229712.8193948
2016-02-08,135.177,135.177,127.65,131.11,9875645.4084816
2016-02-09,127.905,131.777,127.503,130.277,7871694.188677
2016-02-10,131.815,134.775,129.356,129.375,8658773.6110643
2016-02-11,126.032,126.896,122.181,123.641,11665057.059477
2016-02-12,126.336,128.709,126.288,128.405,10251647.030057
2016-02-16,131.443,132.237,129.58,130.933,11604195.153996
2016-02-17,132.521,133.452,132.09,132.638,6346308.9466316
2016-02-18,132.913,133.569,129.503,129.836,6709060.0660103
2016-02-19,129.159,129.836,127.827,129.08,5982096.6599075
2016-02-22,131.07,131.805,130.257,130.766,4876442.9618688
2016-02-23,130.071,130.11,126.592,127.336,4835325.1821788
2016-02-24,125.71,127.993,123.269,127.944,6501033.507792
2016-02-25,128.297,130.963,127.63,130.277,4889271.0316076
2016-02-26,131.55,133.54,130.923,132.031,6741065.9571571
2016-02-29,132.178,132.638,130.884,131.981,6237969.3061088
2016-03-01,133.217,136.598,132.981,136.49,7353155.2844132
2016-03-02,136.588,137.166,135.442,136.089,5718261.0598214
2016-03-03,135.902,137.372,135.362,137.088,4096726.5168307
2016-03-04,137.999,140.175,137.049,138.44,5956210.937572
2016-03-07,137.666,137.999,136.274,137.107,3140737.3737612
2016-03-08,135.902,136.118,133.717,133.805,4335464.1188765
2016-03-09,134.246,134.598,131.658,132.314,3682334.5599179
