Date,Open,High,Low,Close,Volume
2019-09-13,9.78,9.8,9.78,9.8,300
2019-09-19,9.95,9.95,9.95,9.95,613
2019-09-26,9.95,9.95,9.9,9.9,200
2019-09-27,9.8696,9.8696,9.8696,9.8696,100
2019-10-03,9.86,9.86,9.86,9.86,199
2019-10-07,9.85,9.85,9.85,9.85,500000
2019-10-08,9.85,9.85,9.85,9.85,50000
2019-10-10,9.825,9.83,9.825,9.825,224998
2019-10-15,9.85,9.85,9.85,9.85,4500
2019-10-16,9.85,9.85,9.85,9.85,5100
2019-10-17,9.85,9.85,9.85,9.85,9600
2019-10-18,9.85,9.85,9.85,9.85,100
2019-10-21,9.85,9.85,9.85,9.85,5000
2019-10-23,9.8376,9.85,9.8376,9.8497,1400
2019-10-25,9.81,9.85,9.81,9.85,1300
2019-10-29,9.83,9.83,9.83,9.83,100000
2019-10-30,9.85,9.85,9.85,9.85,9901
2019-10-31,9.85,9.85,9.835,9.835,200
2019-11-04,9.85,9.85,9.84,9.84,8000
2019-11-05,9.85,9.86,9.83,9.86,229500
2019-11-07,9.86,9.86,9.86,9.86,100
2019-11-08,9.87,9.87,9.87,9.87,3200
2019-11-11,9.87,9.87,9.86,9.87,35000
2019-11-12,9.92,9.92,9.87,9.87,6300
2019-11-13,9.87,9.87,9.87,9.87,88900
2019-11-14,9.85,9.86,9.85,9.85,206808
2019-11-15,9.85,9.92,9.85,9.9,88452
2019-11-18,9.92,9.92,9.89,9.9,521300
2019-11-19,9.9,9.92,9.9,9.9,111899
2019-11-20,9.92,9.92,9.9,9.92,20220
2019-11-22,9.81,9.92,9.81,9.91,3400
2019-11-26,9.8741,9.92,9.8741,9.92,200
2019-12-03,9.92,9.92,9.9,9.92,400
2019-12-04,9.91,9.92,9.85,9.85,293202
2019-12-05,9.91,9.91,9.85,9.9,11014
2019-12-06,9.9,9.9,9.9,9.9,100
2019-12-09,9.91,9.92,9.81,9.81,40837
2019-12-13,9.87,9.87,9.86,9.86,177415
2019-12-16,9.9,9.9,9.9,9.9,103
2019-12-18,9.88,9.88,9.86,9.86,89986
2019-12-20,9.895,9.895,9.895,9.895,540
2019-12-30,9.9,9.9,9.9,9.9,200
2020-01-02,9.9,9.9,9.9,9.9,275
2020-01-07,9.92,9.92,9.92,9.92,105000
2020-01-08,9.92,9.93,9.92,9.93,100275
2020-01-09,9.941,9.96,9.94,9.95,209074
2020-01-15,9.9942,9.9942,9.9942,9.9942,100
2020-01-17,10.05,10.05,10.05,10.05,25997
2020-01-21,10.0717,10.0717,10.0717,10.0717,1000
2020-01-22,10.1,10.1,10.0722,10.0722,1739
2020-01-23,10.07,10.07,10.07,10.07,2453
2020-01-24,10.05,10.0508,10.05,10.05,40020
2020-01-27,10.06,10.06,10.03,10.053,4430
2020-01-29,10.05,10.07,10.05,10.07,10400
2020-01-30,10.19,10.19,10.01,10.01,3800
2020-01-31,10.05,10.05,10.05,10.05,16389
2020-02-04,10.05,10.05,10.05,10.05,141
2020-02-05,10.05,10.05,10.05,10.05,13386
2020-02-06,10.01,10.05,10.01,10.05,1324
2020-02-07,10.03,10.06,10.025,10.051,28093
2020-02-10,10.0777,10.0777,10.03,10.03,261
2020-02-11,10.052,10.052,10.01,10.01,401
2020-02-12,10.15,10.15,10.1,10.15,2506
2020-02-14,10.06,10.15,10.06,10.1,30200
2020-02-20,10.1,10.1,10.1,10.1,223
2020-02-27,10.02,10.1,9.97,10.1,71101
2020-02-28,10.0378,10.0378,10.0378,10.0378,600
2020-03-04,10.11,10.11,10.11,10.11,100
2020-03-05,10.11,10.11,10.05,10.09,1400
2020-03-09,10,10.0599,9.985,10.009,1256
2020-03-10,9.96,9.97,9.92,9.97,54993
2020-03-11,9.97,9.98,9.94,9.94,534501
2020-03-12,9.9,9.9,9.84,9.84,510201
2020-03-16,9.7,9.7,9.65,9.65,32608
2020-03-17,9.6,9.66,9.56,9.56,1677
2020-03-18,9.5,9.53,9.44,9.44,9183
2020-03-19,9.4,9.7795,9.4,9.4656,1981
2020-03-23,9.91,9.91,9.4,9.4,207169
2020-03-24,9.605,9.77,9.539,9.57,782149
2020-03-26,9.75,9.77,9.7,9.76,683439
2020-03-27,9.79,9.79,9.7,9.76,165527
2020-03-30,9.79,9.9,9.731,9.9,16000
2020-03-31,9.98,10,9.98,10,706
2020-04-01,10.11,10.11,9.87,9.965,11820
2020-04-02,9.99,9.99,9.9,9.91,1150
2020-04-03,9.93,9.93,9.7814,9.84,6806
2020-04-06,9.91,9.91,9.81,9.83,3194
2020-04-07,9.82,9.82,9.7983,9.8,12200
2020-04-08,9.93,9.94,9.81,9.85,103864
2020-04-13,10,10,9.83,9.85,1459
2020-04-14,10,10,9.86,9.86,12908
2020-04-15,9.91,10,9.87,9.87,13749
2020-04-16,10,10,9.94,9.94,1194
2020-04-17,10,10,9.81,9.85,636871
2020-04-20,10,10,9.85,9.85,6322
2020-04-22,10,10,9.899,9.899,545
2020-04-23,10,10,9.88,9.88,400
2020-04-24,10,10,9.9,9.97,4238
2020-04-27,9.92,9.92,9.92,9.92,1561
2020-04-28,10,10,9.9206,9.97,1462
2020-05-01,10.1,10.1,9.98,9.98,400
2020-05-04,10,10.1,9.98,9.98,1562
2020-05-05,10.1,10.1,9.98,10,300
2020-05-06,10.03,10.03,9.99,9.99,644
2020-05-08,9.95,9.99,9.95,9.99,610
2020-05-11,9.91,9.91,9.9,9.9,10580
2020-05-12,9.92,9.99,9.9,9.97,14436
2020-05-13,10,10,10,10,100
2020-05-14,9.91,10.0196,9.91,10.0196,1710
2020-05-15,9.93,9.93,9.93,9.93,356
2020-05-18,10.03,10.03,9.975,9.975,1321
2020-05-19,9.98,9.98,9.95,9.95,2495
2020-05-20,9.94,9.94,9.94,9.94,156
2020-05-21,9.94,9.94,9.94,9.94,108
2020-05-22,9.9,9.99,9.9,9.99,1369
2020-05-26,10.03,10.03,10.03,10.03,362
2020-05-27,9.9,9.9,9.9,9.9,100
2020-05-28,9.9,9.9,9.9,9.9,158
2020-05-29,9.9,9.9333,9.9,9.9333,1378
2020-06-01,10.01,10.01,9.95,9.95,1179
2020-06-02,9.93,9.98,9.93,9.98,403
2020-06-03,9.99,9.99,9.99,9.99,378
2020-06-04,9.99,10.022,9.99,10.02,15214
2020-06-05,10.02,10.03,9.9474,10.0199,1185
2020-06-08,10,10.02,9.9643,10.02,515
2020-06-09,9.9995,10.02,9.9995,10.01,2881
2020-06-10,10,10.0498,10,10.0498,24573
2020-06-11,10.0127,10.02,10.01,10.02,805
2020-06-12,10.03,10.03,10.0057,10.0057,416
2020-06-15,10.02,10.05,9.9606,10.05,168138
2020-06-16,10.01,10.1,10,10.0452,317263
2020-06-17,10.01,10.0794,10.01,10.05,31168
2020-06-18,9.99,10.09,9.99,10.09,124140
2020-06-19,10.05,10.12,10.05,10.105,35853
2020-06-22,10.14,10.18,10.12,10.14,10709
2020-06-23,10.14,10.14,10.14,10.14,1506
2020-06-24,10.15,10.18,10.15,10.16,203002
2020-06-25,10.15,10.165,10.15,10.16,3592
2020-06-26,10.18,10.2,10.17,10.18,16693
2020-06-29,10.17,10.2279,10.17,10.2001,40464
2020-06-30,10.2,10.25,10.17,10.17,31349
2020-07-01,10.16,10.26,10.16,10.2,74721
2020-07-02,10.18,10.54,10.18,10.37,89737
2020-07-06,10.47,10.47,10.42,10.42,3077
2020-07-07,10.43,10.495,10.42,10.44,28925
2020-07-08,10.41,10.44,10.28,10.29,55126
2020-07-09,10.27,10.3,10.27,10.285,2495
2020-07-10,10.46,10.5,10.44,10.45,20138
2020-07-13,10.5,10.5,10.3,10.3616,31036
2020-07-14,10.2501,10.385,10.2501,10.385,732
2020-07-15,10.37,10.4699,10.37,10.455,48715
2020-07-17,10.43,10.47,10.35,10.46,369406
2020-07-20,10.5,10.5,10.45,10.45,71504
2020-07-21,10.54,10.6,10.54,10.59,7951
2020-07-22,10.58,10.66,10.55,10.55,260099
2020-07-23,10.5,10.59,10.46,10.46,90972
2020-07-24,10.42,10.6,10.3301,10.6,159829
2020-07-27,10.58,10.59,10.5201,10.5201,862
2020-07-28,10.4389,10.5,10.43,10.43,1746
2020-07-29,10.31,10.45,10.25,10.32,197923
2020-07-30,10.3,10.32,10.25,10.32,3777
2020-07-31,10.32,10.3699,10.25,10.3,28757
2020-08-03,10.39,10.4,10.275,10.4,21661
2020-08-04,10.3929,10.3929,10.1627,10.27,17349
2020-08-07,10.2,10.27,10.16,10.27,13664
