Date,Open,High,Low,Close,Volume
2014-06-02,67.769,68.71,66.593,67.97,163438
2014-06-03,67.54,68.7,67.1,67.72,141473
2014-06-04,67.51,67.702,66.44,67.36,117447
2014-06-05,67.48,68.39,66.66,68.17,132469
2014-06-06,68.55,68.89,68,68.69,164412
2014-06-09,68.3,69.5,68.3,69.3,191273
2014-06-10,69.02,69.49,68.66,69.09,89400
2014-06-11,68.59,69.42,68.52,69.06,76598
2014-06-12,68.75,69.29,68.19,68.51,63834
2014-06-13,68.85,69.77,68.35,68.97,89506
2014-06-16,68.85,69.42,68.22,68.99,102467
2014-06-17,69.01,70.217,68.36,68.83,73429
2014-06-18,68.66,69.19,68.04,68.93,56114
2014-06-19,68.76,69.13,68.28,68.58,103052
2014-06-20,68.93,70.74,68.32,70.45,192179
2014-06-23,70.54,70.54,69.42,70.24,73364
2014-06-24,69.81,71.87,69.77,70.67,152363
2014-06-25,70.55,71.57,70.276,71.05,84497
2014-06-26,70.56,71.13,69.67,70.26,78234
2014-06-27,69.84,70.33,69.62,70.05,191239
2014-06-30,69.97,72.065,69.58,70.82,168634
2014-07-01,70.89,72.66,70.89,71.29,153779
2014-07-02,71.16,71.74,69.8,70.12,137700
2014-07-03,70.33,70.945,70.11,70.51,102293
2014-07-07,70.44,70.44,69.046,69.37,81062
2014-07-08,69.21,69.268,67.53,68.13,117398
2014-07-09,68.46,68.63,67.71,67.93,80495
2014-07-10,66.63,67.21,66.01,66.8,158891
2014-07-11,66.61,66.84,65.923,66.3,82115
2014-07-14,66.96,66.96,66.09,66.48,75313
2014-07-15,66.34,66.93,65.22,65.95,169353
2014-07-16,66.5,66.58,65.12,65.7,99441
2014-07-17,65.38,65.6,63.74,64.1,161335
2014-07-18,64.16,66.37,63.97,66.09,80698
2014-07-21,65.9,65.9,64.6,64.96,95379
2014-07-22,65.36,65.66,65,65.5,54155
2014-07-23,65.64,66.26,65.23,65.54,57153
2014-07-24,65.59,65.91,64.75,65.33,108590
2014-07-25,64.79,65.06,64.07,64.65,120893
2014-07-28,64.72,64.88,63.76,64.62,107453
2014-07-29,64.96,66.49,64.16,65.91,256728
2014-07-30,67.5,67.5,62.18,62.36,715073
2014-07-31,61.65,62,60.14,60.44,244991
2014-08-01,60.51,60.61,59.67,60.45,148919
2014-08-04,60.71,61.19,60.19,60.82,210641
2014-08-05,60.468,62.32,60.468,62.29,147165
2014-08-06,62,63.07,62,62.81,161540
2014-08-07,62.99,63.41,62.81,63.31,230824
2014-08-08,63.37,64.17,63.27,63.81,147862
2014-08-11,64.08,64.99,63.76,63.89,200787
2014-08-12,63.45,63.985,63.06,63.5,124639
2014-08-13,63.78,63.95,63.25,63.3,98276
2014-08-14,63.29,63.72,62.83,63,123771
2014-08-15,63.56,63.66,61.91,63.02,145340
2014-08-18,63.6,63.6,62.8,63.1,137116
2014-08-19,63.31,63.66,63.1,63.31,51314
2014-08-20,63.15,63.84,62.64,63.28,83331
2014-08-21,63.11,63.86,62.44,63.19,81786
2014-08-22,63.06,64.14,62.81,63.49,123805
2014-08-25,63.78,64.44,63.215,63.46,63914
2014-08-26,63.54,63.954,63.15,63.39,81741
2014-08-27,63.19,63.2,61.56,61.67,189284
2014-08-28,61.49,61.49,60.51,60.68,152214
2014-08-29,60.9,60.9,60,60.48,177001
2014-09-02,60.65,60.87,60.02,60.58,266350
2014-09-03,60.75,60.87,60.33,60.69,131761
2014-09-04,60.69,62.78,60.41,62.66,206731
2014-09-05,62.75,63.76,61.953,63,1001104
2014-09-08,63.1,63.77,62.35,62.79,280793
2014-09-09,62.5,63.42,62.39,62.44,280557
2014-09-10,62.62,63.9,62.42,63.38,132899
2014-09-11,63.03,65.25,62.85,65.04,302481
2014-09-12,64.63,65.28,63.95,64.72,170193
2014-09-15,64.83,65.562,64.09,64.35,281132
2014-09-16,64.18,64.79,63.23,63.61,157763
2014-09-17,63.55,64.51,63.15,63.79,169668
2014-09-18,63.99,64.11,63.38,63.87,198863
2014-09-19,63.98,63.98,62.265,62.5,277675
2014-09-22,62.26,62.7,62,62.41,123757
2014-09-23,62.2,62.81,62.15,62.26,284558
2014-09-24,62.29,62.61,61.85,62.38,227341
2014-09-25,62.22,62.5,60.37,61.06,158588
2014-09-26,61.07,61.235,60.01,61.09,127351
2014-09-29,60.44,62.11,60.44,62.03,207999
2014-09-30,62.38,62.38,60.93,60.97,282725
2014-10-01,61,61.3,59.54,60.5,234472
2014-10-02,60.295,61.41,60.055,61.07,83372
2014-10-03,61.68,62.5,61.47,61.95,164560
2014-10-06,62,62.35,61.51,61.66,116983
2014-10-07,60.87,61.75,60.48,60.58,100144
2014-10-08,60.27,62.08,60.21,61.97,345874
2014-10-09,61.79,62.568,60.863,61.69,296252
2014-10-10,61.43,62.88,60.88,61.23,210855
2014-10-13,61.14,63,60.77,61.75,236877
2014-10-14,62.31,63.023,61.28,61.5,334055
2014-10-15,60.72,62.24,60.22,61.97,291047
2014-10-16,61.15,61.83,60.34,61.41,266973
2014-10-17,62.22,62.33,60.7,61.51,242568
2014-10-20,61.27,61.91,60.85,61.83,179828
2014-10-21,62.12,62.63,61.09,62.3,209718
2014-10-22,63.49,63.49,61.9,62.38,157976
2014-10-23,62.78,63.84,61.92,63.67,255159
2014-10-24,63.91,64.64,63.35,64.38,103195
2014-10-27,64.26,65.13,63.71,64.64,139307
2014-10-28,64.75,66.62,64.75,66.11,189615
2014-10-29,64.05,67.99,63.16,66.65,498127
2014-10-30,66.21,69.86,66.21,69.57,410942
2014-10-31,70.23,70.68,68.96,69.61,319422
2014-11-03,69.58,69.81,68.4,69.04,181907
2014-11-04,69.05,70.21,68.38,69.44,171384
2014-11-05,69.78,70.24,69.09,69.14,152132
2014-11-06,69.25,70.6,68.86,70.13,193915
2014-11-07,70.04,70.05,69.06,69.28,138375
2014-11-10,69.4,70.49,68.97,70.43,211063
2014-11-11,70.28,70.48,69.5,69.71,157083
2014-11-12,69.31,70.449,68.74,70.25,200405
2014-11-13,70.33,70.42,68.89,69.11,128832
2014-11-14,68.98,69.99,68.81,69.28,135028
2014-11-17,68.65,69.42,67.945,68.1,118151
2014-11-18,68.17,69.05,68.1,68.33,85649
2014-11-19,68.13,68.5,66.46,67.85,182397
2014-11-20,67.62,68.99,67.62,68.78,165986
2014-11-21,69.61,69.61,68.23,68.33,96393
2014-11-24,68.55,69.28,68.26,68.85,142653
2014-11-25,68.91,68.91,67.94,68.53,147513
2014-11-26,68.53,69.45,68.37,68.88,105322
2014-11-28,68.5,70.415,68.38,69.16,61003
2014-12-01,68.89,70.33,68.19,69.46,162178
2014-12-02,69.92,71.28,69.44,71.16,213445
2014-12-03,70.96,72.37,70.85,71.73,154062
2014-12-04,71.52,71.92,69.96,70.38,149365
2014-12-05,70.37,71.667,70.24,71.56,137969
2014-12-08,71.03,72.8,69.7,69.93,198307
2014-12-09,69.18,70.36,67.736,70.08,208809
2014-12-10,69.58,70.96,67.8,68.13,199444
2014-12-11,68.25,69.18,67.57,67.91,123081
2014-12-12,67.13,67.73,66.02,66.31,135053
2014-12-15,66.35,66.43,65,65.37,217538
2014-12-16,65.07,66.65,64.394,65.65,106878
2014-12-17,65.66,67.47,65.17,67.38,155061
2014-12-18,68.18,69.35,67.3,69.34,130130
2014-12-19,69.16,69.55,68.16,69.34,238453
2014-12-22,69.36,69.38,67.675,68.43,139123
2014-12-23,68.63,69.35,67.51,68.91,113672
2014-12-24,69.12,69.12,68,68.33,75630
2014-12-26,68.6,70.3,68.36,69.37,81605
2014-12-29,69.31,70.305,68.79,69.68,60124
2014-12-30,69.09,69.97,68.88,69.65,119967
2014-12-31,69.44,69.98,68.29,68.39,99343
2015-01-02,68.85,69.28,66.37,67.56,92411
2015-01-05,67.03,68.28,66.64,67.07,137175
2015-01-06,67.67,67.87,66.56,66.8,173555
2015-01-07,67.42,67.55,66.43,67.38,144980
2015-01-08,67.94,68.99,67.76,68.4,70492
2015-01-09,68.58,69.41,67.84,69.19,150455
2015-01-12,68.99,69.58,68.18,69.54,120319
2015-01-13,69.86,71.28,68.12,69.64,154786
2015-01-14,69.71,70.25,68.78,69.64,104886
2015-01-15,69.67,70.04,69.11,69.2,122540
2015-01-16,68.97,70.43,68.85,70.305,107983
2015-01-20,70.2,70.9,69.07,70.46,130881
2015-01-21,70.34,71.42,69.6,71,178274
2015-01-22,71.525,71.71,70.285,71.47,174465
2015-01-23,71.39,72.23,71.09,71.57,87645
2015-01-26,71.87,72.31,71.01,71.67,146403
2015-01-27,75.01,76.08,74.31,75.84,399897
2015-01-28,78.888,78.888,75.15,75.77,276524
2015-01-29,75.77,77.99,74.89,77.89,232355
2015-01-30,77.19,78.26,74.39,75.22,276616
2015-02-02,75.15,75.36,73.4,75.13,129138
2015-02-03,74.84,76.2,74.45,75.3,246575
2015-02-04,74.78,75.43,73.72,74.17,206853
2015-02-05,74.36,76,73.776,75.82,172717
2015-02-06,75.81,76.59,74.92,76.03,175022
2015-02-09,75.72,77.278,75.72,76.35,173503
2015-02-10,76.85,77.59,76.17,77.15,169078
2015-02-11,76.99,77.32,75.78,76.63,110967
2015-02-12,76.94,77.57,75.85,77.35,152794
2015-02-13,76.94,78.04,76.48,77.7,124323
2015-02-17,77.8,77.8,76.34,76.96,78539
2015-02-18,76.65,77.55,76.1,77.27,96354
2015-02-19,77.16,77.78,76.92,77.45,64357
2015-02-20,77.61,78.15,76.33,77.8,113644
2015-02-23,77.71,77.71,73.235,74.68,420162
2015-02-24,74.39,75.42,74,74.47,165968
2015-02-25,70,70,62.36,64.86,1674164
2015-02-26,64.57,67.04,64.09,66.01,487450
2015-02-27,66.01,67.08,65.76,66.65,320512
2015-03-02,66.65,67.54,65.71,66.9,365200
2015-03-03,67.1,67.39,66.71,67.07,213900
2015-03-04,66.72,67.8,66.25,66.86,240600
2015-03-05,66.38,66.45,64.12,64.15,278500
2015-03-06,63.7,64.11,62.29,62.54,204400
2015-03-09,62.37,64.3,62.37,63.76,346900
2015-03-10,63.5,64.78,62.51,64.33,243700
2015-03-11,64.33,65.21,63.49,64.64,329200
2015-03-12,65,66.86,64.92,66.79,207900
2015-03-13,66.99,67.18,65.95,66.21,275800
2015-03-16,66.36,67.52,66.23,67.35,200600
2015-03-17,67.01,67.58,66.82,67.27,152600
2015-03-18,67.25,67.63,66.07,66.76,306200
2015-03-19,66.8,67.69,66.29,67.38,262700
2015-03-20,67.81,67.81,66.37,66.5,288300
2015-03-23,66.62,66.65,66,66.11,177400
