Date,Open,High,Low,Close,Volume
2014-06-02,15.3595,15.7386,15.2161,15.2586,63668.296075965
2014-06-03,15.2279,15.2408,15.0171,15.0675,43161.555714176
2014-06-04,14.9448,15.0378,14.8894,14.9962,27431.907805606
2014-06-05,14.8805,15.6179,14.8647,15.6179,28872.71445499
2014-06-06,15.7386,15.7386,15.4159,15.6436,71551.306930453
2014-06-09,15.692,15.9256,15.3972,15.7227,84221.514071605
2014-06-10,15.7138,15.7525,15.4515,15.6219,35223.98415908
2014-06-11,15.5029,15.6089,15.4476,15.4555,29561.795896001
2014-06-12,15.4733,15.5376,15.2358,15.3922,31021.799828932
2014-06-13,15.4862,15.5753,15.3972,15.4902,23289.336092788
2014-06-16,15.5545,15.692,15.4426,15.6179,62320.444694282
2014-06-17,15.5842,15.6416,15.3595,15.5326,49452.20241759
2014-06-18,15.5456,15.6258,15.3378,15.5585,27608.724890909
2014-06-19,15.5496,15.6336,15.3842,15.5802,29383.968427352
2014-06-20,15.5545,15.7188,15.4655,15.7099,147927.19433132
2014-06-23,15.6673,15.8632,15.6673,15.7732,42173.400803167
2014-06-24,15.7138,15.8435,15.6673,15.6822,67965.456440504
2014-06-25,15.6673,15.7564,15.5585,15.701,57749.470443359
2014-06-26,15.6633,15.701,15.4021,15.4812,45625.88069163
2014-06-27,15.3378,15.6506,15.3378,15.5921,773692.96305268
2014-06-30,15.7435,15.7772,15.6,15.7099,102938.86553013
2014-07-01,15.6861,15.9425,15.6861,15.8594,77399.405728937
2014-07-02,15.7693,16.075,15.6861,15.9346,87469.896524461
2014-07-03,15.9642,16.0136,15.8969,15.985,22023.325762018
2014-07-07,15.8969,15.9425,15.4942,15.6336,68906.123334318
2014-07-08,15.5545,15.8128,15.4772,15.6633,107440.12333027
2014-07-09,15.6436,15.6881,15.5882,15.6386,50401.962761505
2014-07-10,15.4298,15.4772,15.3248,15.3496,40236.495931589
2014-07-11,15.3882,15.5069,15.3288,15.3922,35789.79883205
2014-07-14,15.4338,15.5663,15.3972,15.5376,39913.173261321
2014-07-15,15.5288,15.5456,15.3822,15.411,34905.713405534
2014-07-16,15.5209,15.5209,15.1982,15.3428,30736.871725758
2014-07-17,15.2358,15.4228,15.0932,15.1032,41300.429593442
2014-07-18,15.0537,15.7227,15.0537,15.6544,81353.035756316
2014-07-21,15.5069,15.5119,15.3288,15.4862,24963.541294774
2014-07-22,15.5882,15.7732,15.5249,15.6296,59173.100575886
2014-07-23,15.6129,15.7356,15.5069,15.597,49290.541082456
2014-07-24,15.5119,15.7643,15.1546,15.3081,97171.59739921
2014-07-25,15.1586,15.2318,14.8934,14.9695,46056.303996425
2014-07-28,15.0577,15.0577,14.8438,14.9151,27429.887038917
2014-07-29,14.9448,15.0062,14.7707,14.8092,35345.230160431
2014-07-30,14.9626,15.0577,14.4193,14.5747,72632.417109164
2014-07-31,14.4193,14.5816,14.3827,14.4876,69538.623308031
2014-08-01,14.5688,15.0458,14.5341,14.9151,49413.807850496
2014-08-04,14.9538,15.0577,14.8063,14.9358,66402.393406424
2014-08-05,14.9072,15.1427,14.7182,14.9448,69557.820591577
2014-08-06,14.8014,15.0577,14.7796,14.834,51335.556971905
2014-08-07,14.8221,14.9962,14.4708,14.64,146671.287834
2014-08-08,14.6053,14.8092,14.5895,14.733,41285.273843273
2014-08-11,14.7884,15.0171,14.7884,14.9695,27385.430171755
2014-08-12,14.8805,14.9588,14.8221,14.8934,16254.036864412
2014-08-13,14.9645,15.0488,14.9191,15.0131,28072.490846075
2014-08-14,14.9448,14.9884,14.9012,14.9358,18901.241227236
2014-08-15,15.1269,15.1269,14.7884,14.9835,69559.841358267
2014-08-18,15.1229,15.3595,15.026,15.2279,39509.019923485
2014-08-19,15.2071,15.3466,15.2071,15.2496,22697.25145286
2014-08-20,15.3466,15.4338,15.0418,15.2932,101638.50216564
2014-08-21,15.2971,15.312,15.1389,15.2794,62582.133980532
2014-08-22,15.2714,15.4159,15.2061,15.2971,58284.973615993
2014-08-25,15.3378,15.3595,15.2318,15.2754,42296.667571208
2014-08-26,15.2971,15.3496,15.2694,15.3466,34504.591217733
2014-08-27,15.2714,15.5802,15.1269,15.4476,59179.162875954
