Date,Open,High,Low,Close,Volume
2014-06-02,64.25,64.735,63.76,64.585,306106
2014-06-03,64.385,65.115,64.265,64.915,373866
2014-06-04,64.755,65.52,64.525,65.385,286506
2014-06-05,65.605,65.965,65.165,65.485,278844
2014-06-06,65.21,66.04,65.21,65.675,290666
2014-06-09,65.625,65.625,65.17,65.395,268272
2014-06-10,65.195,65.46,64.655,65.34,321000
2014-06-11,65.18,66.415,65.09,65.97,488256
2014-06-12,66.02,66.135,65.465,65.51,434440
2014-06-13,65.515,65.88,65.08,65.49,243156
2014-06-16,65.255,65.83,64.92,65.145,431828
2014-06-17,65.22,66.15,64.765,65.36,478104
2014-06-18,65.365,66.09,65.285,65.675,313136
2014-06-19,65.85,65.85,65.195,65.35,430648
2014-06-20,65.33,66.035,65.315,65.97,915552
2014-06-23,65.84,66.635,65.405,66.31,408302
2014-06-24,67.265,68.065,67.08,67.19,815520
2014-06-25,67.465,67.985,67.265,67.44,389896
2014-06-26,67.225,67.875,66.68,67.085,398964
2014-06-27,66.81,67.19,66.48,66.855,547076
2014-06-30,67.21,67.21,66.13,66.785,502364
2014-07-01,66.785,68.51,66.36,68.355,821648
2014-07-02,68.255,68.84,67.595,67.755,329600
2014-07-03,67.88,68.36,67.68,68.205,240488
2014-07-07,68.065,68.15,67.41,67.505,315184
2014-07-08,67.46,67.55,66.715,66.985,419848
2014-07-09,67.265,67.51,66.495,67.15,327160
2014-07-10,66.4,66.95,65.87,66.695,384438
2014-07-11,66.87,67.11,66.29,66.805,268160
2014-07-14,67.28,67.78,66.82,67.645,523508
2014-07-15,67.5,67.715,66.36,66.405,465414
2014-07-16,66.5,67,65.19,65.715,874446
2014-07-17,65.38,65.74,64.98,65.1,490212
2014-07-18,65.125,66.575,64.725,65.625,940466
2014-07-21,65.575,65.575,64.845,64.98,712846
2014-07-22,65.425,66.345,65.345,65.775,891316
2014-07-23,65.94,66.905,65.94,66.755,873312
2014-07-24,67.045,67.16,66.285,66.525,1154714
2014-07-25,70,70,64.09,64.53,2871346
2014-07-28,64.91,65.385,64.425,64.7,981848
2014-07-29,64.545,64.85,64.13,64.135,744568
2014-07-30,64.575,64.995,62.79,63.355,1176272
2014-07-31,63.01,63.255,62.22,62.24,842216
2014-08-01,62.215,62.74,61.83,62.335,1378270
2014-08-04,62.595,63.315,62.15,63.16,703408
2014-08-05,62.795,63.33,62.595,62.88,970780
2014-08-06,62.735,63.465,62.69,63.105,632648
2014-08-07,63.275,63.72,62.97,63.135,786778
2014-08-08,63.29,63.975,63.165,63.94,583848
2014-08-11,64.41,64.545,62.86,62.95,931312
2014-08-12,62.95,63.42,62.705,63.325,807406
2014-08-13,63.42,64.07,63.31,63.795,549408
2014-08-14,63.975,64.33,63.2,63.65,654398
2014-08-15,63.96,64.065,62.79,63.17,488102
2014-08-18,63.625,63.91,63.185,63.685,595158
