Date,Open,High,Low,Close,Volume
2014-06-02,20.879,21.518,20.198,21.489,1615148
2014-06-03,22.354,22.447,20.817,21.506,1676428
2014-06-04,21.852,22.559,21.247,22.503,934278
2014-06-05,22.625,23.517,22.578,23.174,1500570
2014-06-06,23.21,23.462,22.95,23.08,997523
2014-06-09,23.08,24.207,22.903,23.937,1119849
2014-06-10,24.077,24.44,23.154,23.649,1338176
2014-06-11,24.58,24.83,23.415,24.58,1102626
2014-06-12,24.207,24.523,23.527,24.068,1225355
2014-06-13,24.031,24.3,23.547,23.843,692805
2014-06-16,24.207,26.051,24.095,25.594,2176739
2014-06-17,25.51,26.135,25.148,26.097,2262905
2014-06-18,26.106,26.46,25.613,26.423,1369985
2014-06-19,26.274,27.484,26.033,27.299,1479129
2014-06-20,27.465,27.914,26.824,27.633,4991531
2014-06-23,27.597,28.368,27.429,27.904,1683890
2014-06-24,27.782,28.164,27.457,27.671,1393206
2014-06-25,27.381,27.996,27.205,27.791,1293173
2014-06-26,27.923,27.931,27.251,27.865,536138
2014-06-27,27.904,28.332,27.671,28.024,10478614
2014-06-30,27.988,28.21,27.447,27.726,940373
2014-07-01,27.8,28.378,27.755,28.248,850440
2014-07-02,28.154,28.583,27.969,28.257,833366
2014-07-03,29.57,29.608,28.267,28.304,1185393
2014-07-07,28.351,28.453,27.242,27.623,1209219
2014-07-08,27.652,27.652,26.795,27.28,1000375
2014-07-09,27.196,27.54,26.563,27,795648
2014-07-10,26.442,27.102,26.167,26.963,886907
2014-07-11,26.926,27.29,26.682,26.934,478810
2014-07-14,27.205,27.299,26.681,26.973,505177
2014-07-15,27.093,27.102,26.024,26.135,1123053
2014-07-16,26.376,26.647,25.734,26.264,490944
2014-07-17,26.003,26.321,24.794,25.017,980215
2014-07-18,24.905,26.143,24.746,26.041,765734
2014-07-21,25.893,26.25,25.152,25.893,626160
2014-07-22,25.977,26.209,25.697,25.772,1073831
2014-07-23,25.204,25.204,23.472,23.574,2959654
2014-07-24,22.634,22.811,21.758,22.234,3099019
2014-07-25,21.758,22.159,20.958,21.358,1646483
2014-07-28,20.976,21.107,20.315,20.484,1572327
2014-07-29,20.353,20.708,20.036,20.288,1417199
2014-07-30,20.39,20.847,20.223,20.436,719676
2014-07-31,20.083,20.39,19.79,20.204,846388
