Date,Open,High,Low,Close,Volume
2014-06-02,7.45975,7.46875,7.39366,7.43422,11861070.644643
2014-06-03,7.42314,7.43007,7.33827,7.34391,15466392.780796
2014-06-04,7.35221,7.501,7.34529,7.49833,17049140.754321
2014-06-05,7.47904,7.56639,7.44125,7.55413,13856765.956128
2014-06-06,7.55145,7.57451,7.51752,7.55759,7985035.3859901
2014-06-09,7.53978,7.57599,7.53058,7.56303,9570614.6807156
2014-06-10,7.51,7.56521,7.48319,7.54502,11406878.608729
2014-06-11,7.51119,7.58351,7.51119,7.5189,8653833.6845004
2014-06-12,7.53414,7.55047,7.47073,7.52444,10789392.826508
2014-06-13,7.51752,7.53572,7.49546,7.51486,6384283.6059998
2014-06-16,7.51,7.66206,7.49952,7.63466,11117479.3728
2014-06-17,7.631,7.67274,7.54384,7.58539,12780802.239424
2014-06-18,7.58123,7.83924,7.57639,7.83251,16805364.099999
2014-06-19,7.75852,7.8339,7.73882,7.82579,15848873.849211
2014-06-20,7.79373,7.86892,7.78562,7.80778,14796870.731489
2014-06-23,7.79126,7.79601,7.67135,7.71548,12058264.433478
2014-06-24,7.6114,7.64396,7.60211,7.61665,16364669.612104
2014-06-25,7.59716,7.64396,7.58657,7.61002,10075857.429207
2014-06-26,7.60458,7.66344,7.58657,7.6218,9692764.811586
2014-06-27,7.60329,7.63466,7.52969,7.57639,17992658.075336
2014-06-30,7.59864,7.66206,7.56431,7.61922,10156985.243656
2014-07-01,7.64148,7.73091,7.62416,7.67274,13249439.97733
2014-07-02,7.66997,7.70371,7.64762,7.67135,8238939.4973312
2014-07-03,7.67274,7.70371,7.66077,7.68293,6362899.6002852
2014-07-07,7.67501,7.70895,7.64762,7.65316,11776217.939575
2014-07-08,7.64762,7.65691,7.58261,7.59716,13147559.922877
2014-07-09,7.62566,7.65553,7.60903,7.61536,10290141.238587
2014-07-10,7.55937,7.68293,7.55284,7.66493,8812380.595979
2014-07-11,7.67135,7.69322,7.6401,7.67739,10122615.167442
2014-07-14,7.71162,7.75852,7.70093,7.71033,6705972.6400171
2014-07-15,7.71548,7.73882,7.69322,7.7232,21608851.635809
2014-07-16,7.7324,7.7505,7.67867,7.71795,13445518.826043
2014-07-17,7.6858,7.74922,7.65691,7.66077,8995170.1266517
2014-07-18,7.69322,7.73378,7.66621,7.7324,7401691.2335022
2014-07-21,7.70223,7.70647,7.6114,7.65553,7605118.7809405
2014-07-22,7.65316,7.67403,7.61665,7.631,11869264.393181
2014-07-23,7.66898,7.67403,7.58935,7.60102,16224205.351452
2014-07-24,7.71162,8.00178,7.71162,7.93154,28423379.819466
2014-07-25,7.93154,8.02097,7.90809,8.00692,13090444.259492
2014-07-28,8.02513,8.05372,7.97309,8.03255,11455709.549314
2014-07-29,8.01979,8.04323,7.89494,7.89494,15492778.349275
2014-07-30,7.94025,7.95202,7.73882,7.76346,15038449.851969
2014-07-31,7.73091,7.73091,7.62832,7.64256,11948564.635786
2014-08-01,7.64514,7.7597,7.62714,7.63466,12667603.975942
2014-08-04,7.66206,7.68709,7.61922,7.68135,10718649.218664
2014-08-05,7.70093,7.72606,7.65691,7.67739,9972615.7932976
2014-08-06,7.67611,7.82955,7.67611,7.82717,11349038.183724
2014-08-07,7.86388,7.88999,7.78186,7.79601,7168389.7600469
2014-08-08,7.81579,7.87149,7.75852,7.85586,9714284.2678685
2014-08-11,7.89494,7.92491,7.86892,7.88059,17283741.138074
2014-08-12,7.88059,7.90127,7.84933,7.85586,11313367.175562
2014-08-13,7.89118,7.91937,7.84448,7.85863,10527879.223556
2014-08-14,7.87654,7.90809,7.84686,7.87149,13094850.446252
2014-08-15,7.91473,7.94707,7.84686,7.85586,26756993.14186
2014-08-18,7.91581,7.94579,7.8704,7.91195,16202842.573065
2014-08-19,7.91819,7.9534,7.89978,7.95202,8322898.6329802
2014-08-20,7.96033,7.96033,7.90671,7.92333,6674065.9446552
2014-08-21,7.9443,8.02097,7.92639,7.95202,8224519.0659663
2014-08-22,7.97032,7.97864,7.85982,7.86674,12847348.901311
2014-08-25,7.90671,7.94707,7.88059,7.92887,10404432.204039
2014-08-26,7.94272,8.01187,7.89731,7.91819,10686801.15116
2014-08-27,7.9443,8.04056,7.92491,8.04056,10565507.189178
2014-08-28,8.01869,8.14711,8.01187,8.12752,11981289.088682
2014-08-29,8.14493,8.19578,8.12158,8.18361,12086298.65775
2014-09-02,8.17075,8.24742,8.14849,8.19806,13314462.314915
2014-09-03,8.20992,8.25633,8.20686,8.25513,10151468.160073
2014-09-04,8.24742,8.28501,8.13286,8.14107,13693126.507622
2014-09-05,8.13435,8.14849,8.07202,8.09398,9300470.6527678
2014-09-08,8.08716,8.11762,8.06539,8.10417,8331044.8727369
2014-09-09,8.11347,8.12633,8.05095,8.09694,10784353.863214
2014-09-10,8.11198,8.16788,8.11198,8.15641,7456080.7014996
2014-09-11,8.14483,8.22694,8.13811,8.2218,8546065.5736398
2014-09-12,8.20192,8.20884,8.092,8.1014,9070281.5099009
2014-09-15,8.12465,8.20736,8.08548,8.1851,8346833.9613336
2014-09-16,8.19074,8.33814,8.17213,8.3147,13392195.778562
2014-09-17,8.3225,8.3421,8.25039,8.26533,8222769.3276589
2014-09-18,8.25979,8.31884,8.24544,8.2953,6603570.9997941
2014-09-19,8.3147,8.44992,8.27819,8.40106,16931436.23239
2014-09-22,8.39205,8.56627,8.38968,8.55162,18505624.538678
2014-09-23,8.51928,8.53204,8.35149,8.35288,14570715.791734
2014-09-24,8.37494,8.50859,8.37365,8.50217,10779590.855181
2014-09-25,8.46002,8.46002,8.34605,8.37257,8058778.1120073
2014-09-26,8.36723,8.40254,8.30302,8.38543,9290730.3417744
2014-09-29,8.33952,8.39503,8.31608,8.39067,9893383.2759763
2014-09-30,8.40887,8.44548,8.36178,8.41946,8528876.4922322
2014-10-01,8.40887,8.44428,8.32132,8.3225,12607232.444801
2014-10-02,8.30935,8.36723,8.29372,8.32686,15799175.620662
2014-10-03,8.40254,8.49683,8.32686,8.47595,14069395.044762
2014-10-06,8.50741,8.50741,8.38829,8.46922,7499606.8317795
2014-10-07,8.43648,8.50741,8.40106,8.40106,12486196.243228
2014-10-08,8.42213,8.54144,8.397,8.5359,10702894.498122
