Date,Open,High,Low,Close,Volume
2020-10-29,412,443.8,410,434,1067705
2020-10-30,420,439.6,401,439.4,113593
2020-11-02,439.2,441,420,427.8,61022
2020-11-03,426,472.8,426,447,89625.2
2020-11-04,451.6,499.6,447,484,181618
2020-11-05,488.4,516.8,483.6,491.2,48711
2020-11-06,486,515.7,483.8,497.2,36006.9
2020-11-09,497.8,497.8,428.2,434.8,61760.8
2020-11-10,434,450.8,429.2,434.6,41851.3
2020-11-11,436.2,472.6,436.2,451.4,30660.5
2020-11-12,444.2,449.4,432.2,439.6,46851.5
2020-11-13,441.8,447,427.6,435.6,20641.8
2020-11-16,439,448.9,430,433.8,14093.2
2020-11-17,431.6,444,427.6,430,28219.6
2020-11-18,429.8,442.8,421.4,430,51614.2
2020-11-19,428.4,446.1,427.2,438.2,60046.4
2020-11-20,435.2,446.6,431.2,440,20561.7
2020-11-23,442,442,401.6,410.4,71519.6
2020-11-24,406.4,417,383,394.8,72564.1
2020-11-25,396.8,402,392.6,399.8,84545.5
2020-11-27,400.8,404.2,390.9,400,24702.6
2020-11-30,405,416,394.6,413.8,47762
2020-12-01,413,424,404.8,417.6,56228.3
2020-12-02,416.2,425,406.4,420,33091.6
2020-12-03,419.6,419.6,408,412.8,59784.9
2020-12-04,415,424,395,396.8,55269.8
2020-12-07,398.4,408,397.754,403,42302.8
2020-12-08,401,408.8,400.3,402,21268.1
2020-12-09,402.6,410,396.2,407.8,20665.5
2020-12-10,406,417,402,406.6,19319.7
2020-12-11,402,415.2,400.6,406.2,27080.1
2020-12-14,410.2,412.2,398.2,409,40339.4
2020-12-15,411.8,431.6,401.552,417.8,35418.7
2020-12-16,426.6,453.2,418.8,451,43959.8
2020-12-17,455.4,485,453.8,473,59712.4
2020-12-18,469.4,485.6,451,460,282754
2020-12-21,496,497,449.6,471,42056.4
2020-12-22,472,518.6,461.6,517,58631.1
2020-12-23,524,564,517.8,563.4,48022.2
2020-12-24,558.2,579,522.4,549.6,34671.4
2020-12-28,553.8,555.3,517.2,537,20302.9
2020-12-29,536.6,565.9,536.3,558.6,39132.4
2020-12-30,558.8,561.398,548.5,549.2,23905.3
2020-12-31,548.4,562.2,537.206,555,26841.5
2021-01-04,554.6,554.6,530,533,68287.5
2021-01-05,509.6,538.8,500,525.6,30131
2021-01-06,521,538.8,505.6,508.4,32668
2021-01-07,512.6,520.4,500.2,512.2,27014.3
2021-01-08,519.6,530.2,505.6,526,18566.5
2021-01-11,523.4,564.4,514.9,547,63232.6
2021-01-12,545,551,528.2,548.8,23594.1
2021-01-13,551.2,558.6,537.84,548,17153.7
2021-01-14,550.8,571.4,547.2,552,50937.2
2021-01-15,557.6,564.598,541.2,556.6,20682
2021-01-19,562.6,596.27,557.9,589.4,67581.7
2021-01-20,588.6,594.6,559.4,562.6,48514.9
2021-01-21,564.4,593,549.3,571,22835.1
2021-01-22,571.8,576.198,554.4,565.6,17845.2
2021-01-25,573.8,627,573.8,586.4,34313.1
2021-01-26,586.4,610.3,570.7,607.6,29151.4
2021-01-27,596.8,656.8,580.1,626.8,78772.1
2021-01-28,630,641.398,563.6,597.6,40037.6
2021-01-29,596.8,606.2,558,572,24759.7
2021-02-01,572,572.6,540,568.2,38036
2021-02-02,568,593.8,562,587.4,41962.9
2021-02-03,598.4,605.6,581.272,589.4,35675.4
2021-02-04,630,630,564.2,573.4,43679.9
2021-02-05,584.8,606,559,561,38486.7
2021-02-08,561.6,573.398,540.8,554.8,30840.3
2021-02-09,532,548,509.8,539.2,66558
2021-02-10,535,538.6,515,531.6,77454.6
2021-02-11,520,523.6,490,518.4,623531
2021-02-12,508,533,503.8,528.4,319307
2021-02-16,534.4,539,484,489.4,215826
2021-02-17,487.6,493.598,466.4,480.8,96481
2021-02-18,477.2,480,455.6,461,153292
2021-02-19,466,499.4,463.2,493.8,172919
2021-02-22,499,520.6,485.4,490.8,151810
2021-02-23,484.2,495,451.2,480,70633.1
2021-02-24,477,488.8,469,477.8,49872.3
2021-02-25,479.8,483.7,450.2,465.6,80864.3
2021-02-26,465.6,491.4,449.2,485.6,123220
2021-03-01,488.6,504,471,485.8,68951.5
2021-03-02,484.2,490.6,475.6,480,38498.4
2021-03-03,480.6,480.6,442.8,445.4,45525.1
2021-03-04,446,449.8,416.6,418.6,110145
2021-03-05,419,451.6,408.4,450.2,73858.5
2021-03-08,439,451,433.8,439.2,59658.2
2021-03-09,456.6,469.6,442.2,466.8,34179.3
2021-03-10,472.8,485,465,482.2,35938.8
2021-03-11,486.4,494.2,478,485.2,46494.4
2021-03-12,477.8,482.4,462,474.6,82413.7
2021-03-15,475.4,478.8,458.8,473,46988
2021-03-16,474.6,479.8,455.22,458.6,55739
2021-03-17,459,470,444.8,461,66022.9
2021-03-18,452.8,468,449.8,458.2,90950.2
2021-03-19,468.6,485.4,455.8,471.8,132489
2021-03-22,475.818,479,460,475.6,86064
2021-03-23,476.6,499,466.4,470,111774
2021-03-24,469.8,476.9,458.8,459.4,73225.6
2021-03-25,455.8,469.6,444.4,454.4,63718.1
2021-03-26,453.4,461.8,417.5,437.4,73824.3
2021-03-29,437.4,441.5,424.2,431.8,47703.1
2021-03-30,428.4,473.8,426.4,471.6,56095.2
2021-03-31,473.2,494.1,466.8,489.8,53619.2
2021-04-01,493.8,512.4,484.8,497.4,82375
2021-04-05,500.2,520,485.8,514.2,57325.9
2021-04-06,512,527.6,500.9,511.2,89412.7
2021-04-07,508.6,509,483.4,488.8,44590.6
2021-04-08,493.8,502.4,489.4,495.6,20237.2
2021-04-09,492.8,500.4,488.6,499,52844.7
2021-04-12,499.2,515.4,474.8,502.2,59495.9
2021-04-13,503.4,515.4,491.6,513.8,22297.3
2021-04-14,514.6,526,510.2,521.6,34229.2
2021-04-15,519.2,534,513,521.2,59502
2021-04-16,521.2,543.8,514.402,527.4,66289.4
2021-04-19,524.6,527.4,503.8,518.6,34894.1
2021-04-20,520.2,532,504.5,509.2,51136.4
2021-04-21,507.6,519.6,505.4,513.6,54144.5
2021-04-22,531,557.8,524.4,536.8,121766
2021-04-23,537.2,549,526,546.2,34351
2021-04-26,546.6,566.8,543.8,559.6,35763
2021-04-27,559.4,617,553.4,583,339047
2021-04-28,595,596.182,574.4,583.6,86135.5
2021-04-29,591.4,604.2,576.2,595,60874.1
2021-04-30,587.6,594,566.6,568.4,45839.4
2021-05-03,575.2,596.4,571.2,590.4,83510.3
2021-05-04,589.8,592.1,569.4,580.4,51098.7
2021-05-05,594.6,606,578.4,599.4,121003
2021-05-06,584.4,584.4,511.6,545,199884
2021-05-07,538,563.1,538,560,68366.6
2021-05-10,561.6,593.372,552.6,553.8,138168
2021-05-11,523.8,557.4,520.4,539.2,74467.2
2021-05-12,534.8,535.9,508.2,522.2,74525.3
2021-05-13,523.2,548.8,523.2,539.2,66764.4
2021-05-14,541.4,556,537,548.6,43073.4
2021-05-17,545,552.6,531.6,537.4,40361.2
2021-05-18,538.8,555.4,538.8,549.2,35617.3
2021-05-19,541,550.8,528,545.6,49687.7
2021-05-20,539.6,568.2,539.6,564,65985.1
2021-05-21,568.4,573,556.2,564.4,38966.1
2021-05-24,566.8,576.4,561,566.6,30145
2021-05-25,568.6,584.6,565.6,580.8,54136.7
2021-05-26,584,598.6,573.6,590.2,47501.5
2021-05-27,587,592,575.5,579.8,92762.4
2021-05-28,579.4,595.8,579.2,583.2,36092.2
2021-06-01,585.2,588.8,571,582,43446.9
2021-06-02,580.2,592.8,564.4,585.2,72798.8
2021-06-03,590.4,621,577,602.2,157824
2021-06-04,610,612,584.76,595.2,69405.8
2021-06-07,600.2,631,597.7,625,118240
2021-06-08,589.8,601,576,600.4,156384
2021-06-09,597.4,600,552.4,554.8,223681
2021-06-10,538.2,571.4,535.588,543.4,810566
2021-06-11,544,550.8,531.4,541.6,205661
2021-06-14,540.8,551.4,533.2,545.2,172425
2021-06-15,546.4,551.6,535.8,541.6,190364
2021-06-16,550,561,522,528.2,265534
2021-06-17,527.2,530.8,500.4,502.4,203549
2021-06-18,500.1,514,498.3,511.4,155922
2021-06-21,514.6,530.6,507.4,522.2,104884
2021-06-22,518,541.6,516.2,537.8,121615
2021-06-23,537.4,546.8,535.8,541,49045.5
2021-06-24,547.8,567.4,544,553.2,160460
2021-06-25,560.4,560.4,544.9,552.4,230545
2021-06-28,553.2,553.2,537.8,542,85588.8
2021-06-29,544.8,548.4,540,546.4,42774.2
2021-06-30,545.8,555.2,542.4,549.8,60470.7
2021-07-01,548.8,554.2,539.22,553.4,71357.3
