Date,Open,High,Low,Close,Volume
2014-06-02,65.3296,65.5327,64.8921,65.2695,639359.90947778
2014-06-03,64.966,65.2371,63.3864,63.9007,2074833.609955
2014-06-04,64.6536,64.6536,63.8594,64.0466,1010399.7038189
2014-06-05,64.4003,64.8054,63.7313,64.6891,573468.40178255
2014-06-06,64.7689,65.5573,64.7689,65.4163,543544.56110701
2014-06-09,65.2597,65.8796,65.2124,65.5849,681261.81028874
2014-06-10,65.2124,65.6687,65.2124,65.508,360206.36753617
2014-06-11,65.2301,65.7701,65.2301,65.439,438420.94895935
2014-06-12,65.2458,65.2458,64.3068,64.492,377420.51631096
2014-06-13,64.8567,64.9255,64.0623,64.2644,459474.89606966
2014-06-16,64.094,64.7472,63.9953,64.0623,367274.07245343
2014-06-17,64.0623,64.419,63.7224,64.0189,520230.77496572
2014-06-18,64.1117,64.1658,63.4672,63.9165,609074.81927597
2014-06-19,64.1885,64.4684,63.4947,63.8515,642478.2235066
2014-06-20,64.1027,64.3826,63.9589,64.084,801219.99216869
2014-06-23,64.0189,64.2733,63.7914,63.9421,382759.0942822
2014-06-24,63.9165,64.2397,63.4513,63.4592,571415.57090708
2014-06-25,63.344,63.8357,63.0463,63.4435,407672.11989937
2014-06-26,63.344,63.9589,63.0877,63.8594,358841.53435401
2014-06-27,63.8919,64.3225,63.68,64.2565,564415.85396246
2014-06-30,64.1204,64.4427,63.9254,64.0623,437281.3893582
2014-07-01,64.2733,64.698,64.1027,64.2733,707376.29500456
2014-07-02,64.0623,64.2644,63.8357,63.9589,507037.04928961
2014-07-03,64.0367,64.5581,63.9953,64.428,328207.37157625
2014-07-07,64.1117,64.4378,62.2787,62.3348,1211716.1497974
2014-07-08,62.3703,62.4875,61.9189,62.0767,1209885.5482653
2014-07-09,62.1318,62.4206,61.8293,62.0323,776925.96152632
2014-07-10,60.4832,62.2727,60.1874,61.9279,770250.96325701
2014-07-11,62.0845,62.3269,61.4409,61.7702,613825.85939407
2014-07-14,62.387,62.4383,61.8214,61.849,438380.35912494
2014-07-15,61.849,62.3605,61.5395,61.8746,664169.4310172
2014-07-16,62.2856,62.3191,61.8214,62.1821,472190.67644558
2014-07-17,61.98,62.5319,61.6183,61.644,559152.36718488
2014-07-18,61.7602,62.4541,61.6273,62.3516,444050.75899251
2014-07-21,61.8884,62.6728,61.7602,62.3792,515522.35417375
2014-07-22,62.7615,62.9202,61.8884,62.0845,707391.51619247
2014-07-23,62.3013,62.387,61.5819,61.8214,555255.74308118
2014-07-24,62.051,62.1732,61.7702,62.0421,445471.40319699
2014-07-25,61.8746,62.2727,61.3533,61.4755,555219.21223021
2014-07-28,61.5986,61.7328,60.896,61.2036,1117749.6683841
2014-07-29,61.1325,61.1325,57.508,57.6342,2726191.8744855
2014-07-30,56.829,59.1478,56.5343,58.7349,1783781.158055
2014-07-31,58.2145,58.6915,57.5159,57.7387,1034375.1042612
2014-08-01,57.5523,58.2521,57.4478,57.8795,779960.05164874
2014-08-04,57.9061,58.5802,57.8175,58.4225,798342.17290878
2014-08-05,58.0638,58.8935,57.8894,58.4303,813930.69881529
2014-08-06,58.2521,58.6403,58.0323,58.3377,643330.61002928
