Date,Open,High,Low,Close,Volume
2014-06-02,76.4504,77.0159,75.4411,76.7841,410421.40318599
2014-06-03,76.6396,77.7191,76.6396,77.5765,564220.13350702
2014-06-04,77.3853,78.0895,77.2417,77.8697,377782.07099218
2014-06-05,77.9905,79.4127,77.3853,79.1136,444107.75451196
2014-06-06,80.5468,81.6165,79.6375,81.5194,781454.89570249
2014-06-09,81.2768,82.7624,81.2768,82.0701,499133.30483308
2014-06-10,82.0057,82.3137,81.4818,81.7521,244931.80060735
2014-06-11,81.453,82.0948,80.9251,81.1401,334662.45086035
2014-06-12,81.041,81.1123,80.1764,80.3309,450242.4587038
2014-06-13,80.4448,80.6191,79.5999,79.9248,291929.53114089
2014-06-16,80.0149,80.5091,79.0869,79.9149,250422.34066582
2014-06-17,79.5999,81.2312,79.3949,80.2565,371917.95612282
2014-06-18,80.1674,80.6102,79.4127,80.322,222431.49071347
2014-06-19,80.3596,80.9786,80.0347,80.6805,313634.22765373
2014-06-20,80.6567,80.6637,79.8872,80.6191,687954.16884442
2014-06-23,80.7874,81.1935,80.1862,80.3131,165055.44806869
2014-06-24,79.7554,80.4448,78.8254,78.8344,647599.00231321
2014-06-25,78.8076,80.105,78.7987,79.9872,338695.03949469
2014-06-26,80.0882,80.5211,79.275,80.3229,341612.96166625
2014-06-27,80.9291,81.0262,80.0149,80.9737,565840.64045697
2014-06-30,80.7568,81.4966,80.314,80.9103,402592.48674368
2014-07-01,81.2628,82.2197,80.938,81.6224,474397.60404376
2014-07-02,81.4322,81.8393,80.7379,81.1431,233031.92838796
2014-07-03,81.244,81.4154,80.6835,81.244,379884.18654969
2014-07-07,81.2064,82.0681,80.2952,80.7568,291623.60366062
2014-07-08,80.6745,80.6745,79.7614,80.1427,341478.67666666
2014-07-09,80.3884,80.6488,79.3295,79.4365,290470.57005511
2014-07-10,77.8637,79.275,76.9178,78.6719,279551.07929889
2014-07-11,78.4897,78.9503,77.9648,78.8562,220824.10936499
2014-07-14,79.499,79.5821,79.0146,79.068,249709.51954017
2014-07-15,78.9017,79.49,78.5145,78.9503,194275.05625037
2014-07-16,79.3929,79.6554,78.2529,79.3672,323749.01807404
2014-07-17,78.5402,78.7353,77.3705,77.4764,600228.70663042
2014-07-18,77.3853,78.6917,77.3853,78.5946,472774.06810886
2014-07-21,77.6686,79.3295,77.0972,79.2018,962171.20564077
2014-07-22,79.3483,81.1797,79.3483,80.4329,649841.4608402
2014-07-23,82.0127,83.0863,81.2628,82.2939,761019.34388503
2014-07-24,82.2463,82.8585,81.3074,81.4402,538794.83381002
2014-07-25,80.8469,81.4966,80.631,80.9925,450348.47317716
2014-07-28,80.7726,81.4322,79.6732,79.9793,462701.68347788
2014-07-29,79.9248,81.0093,79.3196,79.3196,356833.61105598
2014-07-30,79.4454,79.7287,78.3648,78.6322,515754.35493283
2014-07-31,77.6319,78.4016,77.007,77.0694,504253.2990656
2014-08-01,76.8188,77.6944,76.5296,77.007,605691.98582431
2014-08-04,76.7921,77.1268,76.0849,76.7623,541160.47105846
2014-08-05,76.3553,76.9,75.8779,76.2226,374313.88322078
2014-08-06,75.768,76.1315,75.4609,75.8234,465725.62012281
2014-08-07,75.8779,76.2226,75.2579,75.5263,261498.32897794
2014-08-08,75.7174,76.9426,75.5174,76.8574,525994.34339788
2014-08-11,77.2516,77.5586,76.7623,76.7921,234024.42579095
2014-08-12,76.5197,77.0248,75.8779,76.0215,365653.00557799
2014-08-13,76.4018,76.6286,76.3652,76.5573,286829.73014139
2014-08-14,76.7821,76.7821,75.8501,76.4206,484182.23510419
2014-08-15,76.9089,76.9426,75.2975,75.9244,492167.64910242
2014-08-18,76.5107,77.1971,76.2226,76.7525,536299.95987025
2014-08-19,77.1971,77.5398,76.7921,76.8901,401200.16332686
2014-08-20,76.5663,77.1367,76.5197,76.8376,383496.75593717
2014-08-21,76.7821,76.7821,76.0046,76.1315,293861.01387937
2014-08-22,76.0571,76.5573,75.8878,76.2849,416750.97207649
2014-08-25,76.5989,76.7425,76.2384,76.385,338942.4065992
2014-08-26,76.4118,76.5475,75.8413,75.8601,211165.68601095
2014-08-27,75.8977,76.1394,75.6441,75.8977,286146.18920362
2014-08-28,75.6531,75.8977,75.1162,75.3638,575460.69666827
2014-08-29,75.3638,75.9423,75.136,75.6629,280910.08388122
2014-09-02,75.5986,76.4018,75.3362,75.6719,350504.04216549
2014-09-03,75.8413,75.9522,75.2916,75.563,336085.0641267
2014-09-04,75.5808,76.3751,75.038,75.146,500345.908476
2014-09-05,74.7468,74.9053,73.4177,74.7657,892547.96716862
2014-09-08,74.6488,75.249,74.4308,74.7379,383998.55777775
2014-09-09,74.8776,74.8776,73.9357,73.9902,315278.96648331
2014-09-10,74.008,74.3764,73.4652,74.0981,561797.95520612
2014-09-11,73.7336,74.2248,73.4563,73.6138,427518.00392339
2014-09-12,73.5574,73.6741,72.5907,72.8808,470183.27631223
2014-09-15,72.8323,73.0077,72.1559,72.3233,481391.53030065
2014-09-16,72.1391,73.3909,71.9132,73.2037,563705.20606498
2014-09-17,73.4563,74.4308,73.1502,73.8108,423176.45882383
2014-09-18,73.8574,73.8831,72.3499,72.6105,400066.31329272
2014-09-19,72.7769,72.7769,71.6626,72.1103,633195.16919917
2014-09-22,71.9399,72.0558,71.0189,71.1436,392031.42587358
2014-09-23,70.8089,71.0535,70.4325,70.6217,504004.92229945
2014-09-24,70.3701,70.9931,70.0809,70.686,338912.11674967
2014-09-25,71.2753,71.3021,69.8422,70.4741,588620.62662819
2014-09-26,70.5741,70.7276,69.8422,70.4563,470627.5274387
2014-09-29,69.8492,71.003,69.8066,70.4563,416234.02531114
2014-09-30,70.5751,70.9594,69.5075,69.7055,373866.60310936
2014-10-01,69.3143,69.7808,68.5804,68.6349,728818.20484777
2014-10-02,68.3457,69.7421,68.3457,69.6134,614000.49155088
2014-10-03,70.1571,70.5206,69.7719,70.0244,598158.90024575
2014-10-06,70.1829,70.4047,69.342,69.6432,497196.77378635
2014-10-07,69.6332,70.277,69.1816,69.2519,769356.12013783
2014-10-08,69.242,69.9581,68.3635,69.8848,599509.82753487
2014-10-09,69.8304,69.8304,68.2357,68.3556,554910.04342259
2014-10-10,68.2001,68.8904,67.6752,67.685,608436.24619188
2014-10-13,67.7752,68.3278,66.767,66.7966,739767.98545351
2014-10-14,67.0849,67.7663,66.6917,67.6266,987681.31691645
2014-10-15,66.5252,68.6181,66.1152,68.003,814640.45484953
2014-10-16,67.0016,69.2084,66.8432,69.1172,791649.44939323
2014-10-17,69.6234,70.483,68.9429,69.2331,1163596.6857039
