Date,Open,High,Low,Close,Volume
2014-06-02,6.8591,6.98657,6.46785,6.64086,13495.94154945
2014-06-03,6.64998,6.76842,6.55892,6.76842,12194.53278486
2014-06-04,6.69561,6.80494,6.52281,6.79551,20940.483552937
2014-06-05,6.76842,6.83172,6.6862,6.80494,8133.0487317719
2014-06-06,6.83172,6.83172,6.6862,6.6862,28024.139160047
2014-06-09,6.6862,6.75901,6.64086,6.64086,11038.285028868
2014-06-10,6.58609,6.76842,6.54086,6.66823,8466.7174390372
2014-06-11,6.63163,6.71367,6.55982,6.58609,2721.7689112275
2014-06-12,6.56804,6.69671,6.55892,6.55892,32018.083021634
2014-06-13,6.55892,6.58609,6.54532,6.54989,17540.288539022
2014-06-16,6.45883,6.57797,6.45883,6.51358,17967.707064341
2014-06-17,6.51358,6.54086,6.50406,6.52281,6388.0924409071
2014-06-18,6.51358,6.78619,6.51358,6.72261,13992.916391388
2014-06-19,6.51358,6.73162,6.51358,6.61338,2467.7371461797
2014-06-20,6.58609,6.91365,6.50406,6.60455,5946.5610397523
2014-06-23,6.51358,6.56804,6.4496,6.49524,13063.482711333
2014-06-24,6.55892,7.32315,6.55892,7.20462,46759.989894889
2014-06-25,7.35976,7.59606,6.92675,7.51422,152219.46264192
2014-06-26,7.59606,7.59606,7.45073,7.45073,32996.911767115
2014-06-27,7.28109,7.63227,7.28109,7.63227,31865.865575115
2014-06-30,7.59606,7.59606,7.33219,7.52314,19631.010287869
2014-07-01,7.59606,7.59606,7.32315,7.32315,30324.537921314
2014-07-02,7.38675,7.48644,7.30491,7.31423,11982.83964732
2014-07-03,7.35976,7.4413,7.27753,7.33219,10592.721377474
2014-07-07,7.45976,7.5777,7.30491,7.30491,7450.5903788455
2014-07-08,7.41413,7.41413,6.94094,7.27753,34279.167343071
2014-07-09,7.57215,7.5777,7.14112,7.17039,8769.1362069513
2014-07-10,7.1685,7.29587,7.1685,7.232,2044.3508710998
2014-07-11,7.24112,7.28655,7.232,7.232,15553.397233827
2014-07-14,7.11404,7.33219,7.00463,7.15035,11555.421122
2014-07-15,7.05114,7.0819,7.00463,7.00463,6894.1398458834
2014-07-16,7.12307,7.36869,6.93201,7.09549,8264.0968645347
2014-07-17,7.05017,7.20462,6.91365,7.00463,19522.139531419
2014-07-18,6.99549,7.11404,6.95959,7.02317,5990.9157923797
2014-07-21,6.95959,7.19558,6.88638,7.13209,17456.619346566
2014-07-22,7.14112,7.37752,7.11404,7.13209,11472.759992104
2014-07-23,7.15035,7.25005,7.11404,7.14112,22389.069451246
2014-07-24,7.15035,7.29498,7.05017,7.15938,13652.191246206
2014-07-25,7.25014,7.25014,7.01395,7.06851,12649.16899929
2014-07-28,6.97745,7.21403,6.97745,7.11404,10065.504658744
2014-07-29,7.14112,7.40519,7.14112,7.22306,10095.746535534
2014-07-30,7.41413,7.41413,7.232,7.35976,29162.241789964
2014-07-31,7.36869,7.49607,7.1685,7.37752,12027.194399946
2014-08-01,7.36869,7.39596,7.20462,7.29587,4951.6032933148
2014-08-04,7.28655,7.35519,7.27753,7.27941,1621.9726585797
2014-08-05,7.27753,7.35976,6.86813,6.98657,18553.391411535
2014-08-06,7.05948,7.05948,6.86813,6.88638,8828.6118979744
2014-08-07,6.8955,7.00463,6.76258,6.77726,5375.9976309543
2014-08-08,6.73172,6.84124,6.71367,6.75018,15952.590007472
2014-08-11,6.79551,6.88638,6.75018,6.79551,24549.347516713
2014-08-12,6.77726,6.94094,6.64086,6.64086,15259.04296639
2014-08-13,6.64998,6.75018,6.50406,6.64086,15484.848979765
2014-08-14,6.6862,6.71367,6.59552,6.6862,6025.1899194101
2014-08-15,6.72261,6.77726,6.60455,6.60455,16292.307090096
2014-08-18,6.74095,6.96842,6.73172,6.88638,26780.18996136
2014-08-19,6.88191,7.05274,6.77508,6.84521,17131.015139779
2014-08-20,6.79045,6.79809,6.74502,6.77229,4270.1530029481
2014-08-21,6.6353,6.80871,6.6353,6.79977,8165.3067336827
2014-08-22,6.82696,6.90928,6.82696,6.90928,3919.3472321677
2014-08-25,6.90928,6.92774,6.85453,6.85453,2908.2604847746
2014-08-26,6.85453,6.85453,6.69918,6.80871,4903.2162904485
2014-08-27,6.80871,6.90017,6.69006,6.69918,15695.534054746
2014-08-28,6.76298,6.76298,6.6719,6.73559,2818.5429169601
2014-08-29,6.76298,6.76298,6.6719,6.6719,16929.402627836
2014-09-02,6.73559,6.85453,6.6719,6.74502,17939.481312668
2014-09-03,6.72657,6.84521,6.68044,6.72657,11269.131355042
2014-09-04,6.77229,6.77229,6.47064,6.47064,34134.006334472
2014-09-05,6.36122,6.62429,6.36122,6.41577,13600.78005566
2014-09-08,6.36122,6.47064,6.27887,6.4247,36475.735660689
2014-09-09,6.37015,6.45208,6.33354,6.4247,7171.3570498047
2014-09-10,6.28761,6.45217,6.28761,6.44771,5931.4401013567
2014-09-11,6.4615,6.4615,6.31538,6.40655,11950.581645408
2014-09-12,6.37015,6.51645,6.32421,6.35139,7430.4291276512
2014-09-15,6.39762,6.47985,6.35139,6.36122,7491.9209437938
2014-09-16,6.35139,6.43402,6.31538,6.3881,4735.8779055359
2014-09-17,6.43402,6.45217,6.26995,6.29683,16029.20276201
2014-09-18,6.36122,6.3881,6.22362,6.26995,17781.215490794
2014-09-19,6.30635,6.40853,6.23304,6.34276,15133.035146425
2014-09-22,6.4247,6.52569,6.30635,6.35139,9117.9258526123
2014-09-23,6.4508,6.47054,6.43392,6.43392,2260.0762588786
2014-09-24,6.26995,6.4615,6.26995,6.4615,4481.8461404881
2014-09-25,6.39762,6.40655,6.23304,6.26995,6377.0037527502
2014-09-26,6.2512,6.37015,6.22362,6.22362,9593.7313807972
2014-09-29,6.17839,6.30625,6.13226,6.13315,4924.3856042025
2014-09-30,6.23304,6.33354,6.21489,6.28761,11865.904390392
2014-10-01,6.24207,6.24207,6.12671,6.16886,3031.2441170598
2014-10-02,6.0778,6.32421,6.0778,6.32421,3661.2832168809
2014-10-03,6.31439,6.35139,6.22789,6.24207,2766.1236638549
