Date,Open,High,Low,Close,Volume
2014-06-02,44.62,44.62,43.14,43.49,3133466
2014-06-03,43.67,43.89,43.22,43.27,2281507
2014-06-04,43.19,43.49,42.62,42.98,2559621
2014-06-05,43.87,44.2,42.79,42.87,3567339
2014-06-06,43.26,44.63,42.9,44.42,3972500
2014-06-09,44.89,45.35,44.63,44.99,3731951
2014-06-10,45.23,46.29,45.12,45.48,3547900
2014-06-11,45.74,45.79,44.08,44.3,5847806
2014-06-12,37.23,38.5,37,37.25,36558596
2014-06-13,37.15,37.64,36.26,37.61,13793328
2014-06-16,37.5,38.3,37.44,38.25,5503862
2014-06-17,38.08,39.06,38,38.71,5025091
2014-06-18,39.4,40.3,38.92,39.88,5507366
2014-06-19,40.2,40.47,39.99,40.27,4052812
2014-06-20,40.2,40.43,39.98,40.23,2694248
2014-06-23,41.73,41.94,41.04,41.25,6326230
2014-06-24,41.02,41.66,40.71,41.11,3328371
2014-06-25,41,41.56,40.8,41.12,1898585
2014-06-26,41.11,41.25,40.15,40.49,2405354
2014-06-27,40.34,40.66,40.01,40.42,1904116
2014-06-30,39.9,40.67,39.52,40.48,2441767
2014-07-01,40.38,40.75,39.9,40.27,2266819
2014-07-02,40.28,41.69,40.27,41.4,2569500
2014-07-03,43.06,43.71,42.16,42.6,4047574
2014-07-07,42.04,42.16,40.73,40.82,2209582
2014-07-08,41.31,41.31,40.05,40.75,1777838
2014-07-09,40.56,41.07,40.17,40.29,1834000
2014-07-10,39.89,40.24,39.26,39.98,2024821
2014-07-11,39.79,40.25,39.71,40.17,1461835
2014-07-14,40.38,40.38,38.81,38.87,2528804
2014-07-15,39.11,39.19,38.57,38.66,1800978
2014-07-16,39.04,39.04,37.83,38.11,2772054
2014-07-17,37.94,38.94,37.76,37.98,2440711
2014-07-18,38,38.36,37.52,38.15,2497740
2014-07-21,38.06,38.06,37.26,37.51,2010559
2014-07-22,37.74,37.83,37.46,37.53,1583812
2014-07-23,37.59,37.76,37.28,37.56,2156340
2014-07-24,37.93,39.64,37.81,39.51,4198001
2014-07-25,39.13,39.56,38.84,39.03,1581821
2014-07-28,38.98,39.55,38.55,39.45,1264071
2014-07-29,39.5,39.71,38.75,39.17,1520742
2014-07-30,39.51,39.67,39.105,39.45,1378388
2014-07-31,39.46,39.97,38.41,38.47,3119906
2014-08-01,38.4,39.31,38.12,38.3,2035511
2014-08-04,38.4,38.63,37.89,38.5,1214149
2014-08-05,38.19,39.03,38.1,38.7,2472704
2014-08-06,38.6,40.35,38.6,39.97,3964070
2014-08-07,40.41,40.49,38.91,39.03,2795778
2014-08-08,40.01,40.39,39.45,40.11,7146867
2014-08-11,40.29,40.57,39.63,40.38,1946152
2014-08-12,40.41,40.7,39.23,39.29,1730967
2014-08-13,39.46,39.53,38.52,38.77,1724848
2014-08-14,38.92,39.04,38.29,38.75,1376625
2014-08-15,38.72,38.97,37.9,38.37,1585132
2014-08-18,38.68,38.96,38.52,38.79,1631013
2014-08-19,39.01,40.09,38.91,39.99,2778837
2014-08-20,39.94,40.25,39.61,40,2222713
2014-08-21,40.02,40.25,39.67,39.8,1586008
2014-08-22,39.92,40.66,39.5,40.45,2471815
2014-08-25,40.81,41,40.3,40.83,1769933
2014-08-26,40.87,42.14,40.77,41.67,2346570
2014-08-27,41.67,41.94,41.28,41.49,1371586
2014-08-28,40.75,41,40.34,40.59,1799366
2014-08-29,40.63,40.63,39.7,39.93,2074938
2014-09-02,40.07,40.28,39.65,40.11,1948465
2014-09-03,40.2,40.32,39.1,39.13,2712772
2014-09-04,39.23,39.54,38.97,39.04,2335982
2014-09-05,38.85,39.21,38.51,39.14,1925447
2014-09-08,39.16,39.43,39.015,39.07,2615546
2014-09-09,39.02,39.1,38.55,38.68,2520599
2014-09-10,38.65,38.72,37.81,38.39,5096723
2014-09-11,43.7,45.49,42.65,43.73,28292528
2014-09-12,43.68,45.5,43.62,45.19,8978527
2014-09-15,44.65,45.08,43.71,44.2,3454224
2014-09-16,43.94,44.3,43.17,43.44,3033102
2014-09-17,43.42,44.27,43.38,44.01,2645345
2014-09-18,44.02,44.71,43.86,44.3,1970148
2014-09-19,44.51,44.77,42.85,43.24,3291061
2014-09-22,43.47,43.55,41.62,41.73,2264158
2014-09-23,41.63,42.49,41.52,41.96,3220468
2014-09-24,42,42.83,41.83,42.66,1925158
2014-09-25,42.45,42.75,41.66,42.23,1513541
2014-09-26,42.27,43.13,42.05,42.99,2036307
2014-09-29,42.56,42.66,42.04,42.27,1491207
2014-09-30,42.15,42.46,41.63,42.01,1941942
2014-10-01,41.82,42.01,41.185,41.46,2199899
2014-10-02,41.43,42.66,40.07,42.36,4868541
2014-10-03,42.5,43,41.87,42.07,1857784
2014-10-06,42.39,42.39,41.065,41.33,1374814
2014-10-07,40.91,41.24,40.65,41,1435459
2014-10-08,41.17,42.32,40.91,42.23,1942459
2014-10-09,41.96,42,40.93,41.07,1830285
2014-10-10,40.96,41.33,40.05,40.35,1504739
2014-10-13,40.37,40.66,39.01,39.08,2510683
2014-10-14,39.22,40.2,39.15,39.44,3898546
2014-10-15,38.99,39.85,37.86,39.6,2233688
2014-10-16,38.67,40.07,38.26,40,2592926
2014-10-17,40.27,40.37,38.67,38.84,1653240
2014-10-20,38.87,40.6,38.75,40.49,2779079
2014-10-21,40.74,41.28,40.62,41.2,1232338
2014-10-22,41.3,42.09,40.85,40.85,1452645
2014-10-23,41.48,42.37,40.94,41.41,1483916
2014-10-24,41.39,41.73,40.8,41.4,849912
2014-10-27,41.12,41.84,40.37,41.51,1190545
2014-10-28,41.5,41.77,40.75,41.73,1206956
2014-10-29,41.5,41.68,40.75,41.18,1238762
2014-10-30,40.56,42.06,40.48,41.68,1059693
2014-10-31,41.93,42.245,41.43,41.65,1082201
2014-11-03,41.77,42.18,41.52,41.93,1143390
2014-11-04,41.77,41.77,40.87,41.52,1270236
2014-11-05,41.51,41.71,41.13,41.29,905010
2014-11-06,41.21,42.99,41.21,42.78,1872788
2014-11-07,42.45,43.89,42.36,43.76,1800454
2014-11-10,43.69,44.55,42.81,43.3,1552597
2014-11-11,43.18,43.35,42.66,43.18,1411413
