Date,Open,High,Low,Close,Volume
2014-06-02,25.102,25.387,24.819,25.319,5246581
2014-06-03,25.357,25.803,25.348,25.784,8559773
2014-06-04,25.615,25.965,25.521,25.937,5443981
2014-06-05,26.06,26.211,25.803,25.859,9084704
2014-06-06,25.898,26.155,25.851,26.155,4327853
2014-06-09,26.202,26.26,25.812,26.024,6005322
2014-06-10,26.07,26.08,25.652,25.869,5930684
2014-06-11,25.643,25.776,25.387,25.541,9495191
2014-06-12,25.283,25.293,24.147,24.379,14320075
2014-06-13,24.36,25.064,24.342,24.933,10244103
2014-06-16,24.838,24.96,24.573,24.741,6872678
2014-06-17,25.102,25.31,24.914,25.246,7863634
2014-06-18,25.237,25.338,24.829,25.283,6200264
2014-06-19,25.387,25.671,25.338,25.671,7237146
2014-06-20,25.793,25.955,25.708,25.869,9201919
2014-06-23,25.859,25.947,25.396,25.521,4747063
2014-06-24,25.502,25.708,25.246,25.255,4439453
2014-06-25,25.237,25.652,25.064,25.568,4226327
2014-06-26,25.605,25.69,25.357,25.652,3419294
2014-06-27,25.588,25.793,25.492,25.728,9821328
2014-06-30,25.738,25.821,25.396,25.464,5150949
2014-07-01,25.766,26.38,25.643,26.288,7637635
2014-07-02,26.042,26.211,25.662,26.042,7955504
2014-07-03,26.155,26.335,26.118,26.269,3217907
2014-07-07,26.241,26.269,25.671,25.756,6725760
2014-07-08,25.482,25.482,24.515,25.31,12724495
2014-07-09,26.07,26.211,25.444,25.793,8814327
2014-07-10,25.605,26.015,25.531,25.851,9355201
2014-07-11,25.918,26.183,25.821,26.015,5063599
2014-07-14,26.137,26.38,26.033,26.163,4353379
2014-07-15,26.305,26.536,26.07,26.45,7353432
2014-07-16,26.571,26.696,26.4,26.571,4881905
2014-07-17,26.363,26.646,25.889,26.08,5724713
2014-07-18,26.155,26.536,26.146,26.363,5229219
2014-07-21,26.344,26.43,26.118,26.221,4573271
2014-07-22,26.325,26.608,26.288,26.588,4590569
2014-07-23,26.715,27.463,26.705,27.37,7487028
2014-07-24,27.727,27.967,26.887,27.188,10569318
2014-07-25,27.302,28.153,27.255,27.717,8500174
2014-07-28,27.833,27.852,27.245,27.691,6586526
2014-07-29,27.785,27.833,27.188,27.215,6220166
2014-07-30,27.35,27.587,27.188,27.342,4583506
2014-07-31,27.111,27.235,26.743,26.811,6704196
2014-08-01,26.743,27.055,26.39,26.951,6045540
2014-08-04,27.178,27.275,26.636,26.951,4669962
2014-08-05,26.763,27.016,26.506,26.666,6562506
2014-08-06,26.42,26.792,26.11,26.656,5080207
2014-08-07,26.82,27.007,26.42,26.598,5513465
2014-08-08,26.536,26.828,25.995,26.811,4581354
2014-08-11,27.007,27.35,26.887,27.149,4016344
2014-08-12,27.188,27.302,26.989,27.205,4510971
2014-08-13,27.302,27.842,27.265,27.737,4263681
2014-08-14,27.803,28.211,27.698,28.201,5842191
