Date,Open,High,Low,Close,Volume
2014-06-02,23.75,23.95,23.57,23.75,953693
2014-06-03,23.67,23.85,23.37,23.57,962346
2014-06-04,23.57,24.12,23.37,23.98,1064140
2014-06-05,24.16,24.3,23.74,24.12,802103
2014-06-06,24.24,24.3,23.93,24.02,1036203
2014-06-09,24.21,24.27,23.96,24.03,1118004
2014-06-10,23.87,24.05,23.73,23.86,713900
2014-06-11,23.58,23.8,23.53,23.61,713599
2014-06-12,23.6,23.6,22.88,23.09,1150583
2014-06-13,23.15,23.71,23.15,23.51,2513754
2014-06-16,23.46,23.69,23.37,23.49,1293524
2014-06-17,23.42,23.77,23.31,23.75,1537589
2014-06-18,23.74,23.81,23.31,23.8,1416537
2014-06-19,23.87,23.97,23.59,23.94,1784950
2014-06-20,23.98,23.98,23.42,23.57,20953139
2014-06-23,23.61,23.74,23.43,23.46,1419841
2014-06-24,23.46,24.02,23.39,23.61,2689249
2014-06-25,23.51,24.13,23.51,24.11,1672198
2014-06-26,24.06,24.42,23.93,24.22,2926035
2014-06-27,24.06,24.33,23.98,24.14,13637759
2014-06-30,24.18,24.7,24.12,24.69,2156735
2014-07-01,24.78,25.23,24.75,24.94,2624133
2014-07-02,25.01,25.28,24.81,24.84,943400
2014-07-03,24.91,25.14,24.8,25.14,1282093
2014-07-07,25.01,25.24,24.91,24.95,1346450
2014-07-08,24.89,24.95,24.1,24.14,2004907
2014-07-09,24.24,24.44,24.09,24.3,1506309
2014-07-10,23.85,24.65,23.85,24.62,2121268
2014-07-11,24.57,24.57,24.07,24.11,1326582
2014-07-14,24.25,24.34,24.06,24.09,1028049
2014-07-15,24.25,24.25,23.73,23.91,719685
2014-07-16,24.01,24.16,23.75,23.91,1766226
2014-07-17,23.71,24.17,23.67,23.91,2392664
2014-07-18,24,24.26,23.96,24.11,1588009
2014-07-21,24,24.11,23.67,23.78,978304
2014-07-22,23.88,24.21,23.84,24.03,923760
2014-07-23,24.13,24.2,23.95,24,826028
2014-07-24,24.04,24.36,23.99,24.21,1245495
2014-07-25,24.13,24.27,23.86,24.01,690449
