Date,Open,High,Low,Close,Volume
2014-06-02,176.678,177.056,175.722,176.668,1165847.1900601
2014-06-03,176.818,178.719,176.031,178.351,1929237.8720929
2014-06-04,177.852,178.222,175.463,176.588,1386674.6204581
2014-06-05,177.305,177.604,175.672,175.801,1320959.3804705
2014-06-06,176.578,176.708,175.264,175.871,1354573.750626
2014-06-09,175.722,176.528,173.93,173.99,929035.10727504
2014-06-10,173.323,174.348,171.928,172.954,1164787.6394024
2014-06-11,172.377,174.677,171.47,174.427,1213808.1774152
2014-06-12,173.621,174.129,169.937,170.753,1341150.097459
2014-06-13,170.813,171.5,169.619,170.186,926904.95851197
2014-06-16,170.286,170.943,169.369,170.156,1017381.5458609
2014-06-17,169.419,172.416,168.932,172.048,1105988.1016225
2014-06-18,171.948,173.064,170.086,172.625,1075245.0635338
2014-06-19,173.323,174.159,171.43,172.665,965785.94824009
2014-06-20,172.834,173.81,171.45,172.864,1502265.0691787
2014-06-23,172.217,173.98,171.54,173.551,992609.15105195
2014-06-24,169.329,174.01,169.329,171.839,1002752.7165904
2014-06-25,171.889,175.144,170.863,174.567,1042576.7566195
2014-06-26,174.677,176.071,174.617,175.254,1106827.7076413
2014-06-27,175.384,176.359,175.055,176.041,1112183.7111082
2014-06-30,176.121,176.17,173.133,173.551,1441153.6019067
2014-07-01,173.83,177.175,173.293,176.538,1553883.7660082
2014-07-02,176.121,177.704,175.971,176.518,990285.16979889
2014-07-03,176.488,177.265,175.623,177.037,521641.39447676
2014-07-07,176.967,177.714,175.981,176.688,958808.98291382
2014-07-08,176.22,177.027,173.024,175.174,1287357.062076
2014-07-09,175.503,177.047,174.507,176.758,1149021.9273408
2014-07-10,175.354,176.887,174.487,176.111,903931.28903761
2014-07-11,176.111,176.379,174.766,176.091,531039.7594578
2014-07-14,177.037,177.654,176.041,177.425,800393.6056662
2014-07-15,176.997,177.365,175.184,175.911,1028935.1674405
2014-07-16,176.678,176.678,174.437,175.583,877600.19980137
2014-07-17,175.443,177.505,175.194,175.851,1210086.191882
2014-07-18,176.041,178.479,175.364,178.411,1472878.8585199
2014-07-21,178.192,178.192,175.214,175.613,1096457.16727
2014-07-22,175.911,178.012,175.841,177.763,731043.75541291
2014-07-23,177.694,178.431,176.838,177.674,700192.25147485
2014-07-24,180.343,181.507,178.609,180.402,1552373.278625
2014-07-25,180.053,181.905,178.451,178.729,678420.74516379
2014-07-28,178.739,178.909,176.828,178.381,653940.60555995
2014-07-29,178.609,179.496,177.555,178.052,795787.8243237
2014-07-30,178.529,179.286,177.395,178.212,1174141.814593
2014-07-31,180.013,182.562,178.431,178.779,2729313.1104051
2014-08-01,179.874,182.224,177.265,182.124,2380506.0209418
2014-08-04,182.712,183.061,178.649,180.491,1437932.7687699
2014-08-05,179.008,180.323,177.952,178.739,1159981.9996894
2014-08-06,178.032,179.844,176.877,177.455,1097480.5626447
2014-08-07,177.724,177.932,173.203,173.89,1542290.9762052
2014-08-08,174.139,177.017,173.671,176.887,1034643.6849177
2014-08-11,177.145,179.456,177.135,178.252,965765.8619717
2014-08-12,177.056,178.222,175.065,175.334,1356598.44648
2014-08-13,176.608,177.594,175.961,176.808,884455.64320386
2014-08-14,177.435,179.216,177.435,179.048,869213.17843392
2014-08-15,179.626,180.313,176.838,178.112,917981.63377843
2014-08-18,178.539,179.446,177.684,179.028,634443.8691444
2014-08-19,179.088,181.317,178.959,180.94,775741.7284676
2014-08-20,180.521,181.238,179.864,180.412,517027.57862692
2014-08-21,180.67,181.158,179.814,180.273,744580.89599629
2014-08-22,180.383,180.75,178.589,178.919,1033806.0875258
2014-08-25,179.973,181.417,178.988,180.72,749227.85418899
2014-08-26,180.62,180.99,179.874,180.581,605895.25587758
2014-08-27,180.88,180.88,178.381,178.959,668448.91722014
2014-08-28,178.529,180.442,178.529,180.133,632838.97629981
2014-08-29,180.98,182.054,180.063,181.975,865237.10160554
2014-09-02,181.945,182.254,180.103,182.244,899598.68094526
2014-09-03,183.678,183.926,181.258,181.925,663809.99353481
2014-09-04,182.334,183.798,181.777,182.572,1059525.5498895
2014-09-05,182.484,185.032,182.064,185.032,1068655.7631874
2014-09-08,185.092,186.615,184.942,186.247,926168.79677537
2014-09-09,186.217,186.595,183.131,183.309,968365.02510174
2014-09-10,183.141,184.036,182.114,182.464,749131.4401007
2014-09-11,182.084,182.484,180.103,180.72,1108656.5623785
2014-09-12,180.99,181.347,179.098,179.586,1192925.4884806
2014-09-15,180.173,180.303,178.212,178.939,682652.92191418
2014-09-16,178.062,182.394,177.555,182.234,1123904.0487155
2014-09-17,182.234,183.051,180.94,182.474,775806.00452646
2014-09-18,182.532,183.798,181.955,182.881,603001.82891559
2014-09-19,184.126,184.355,182.592,182.702,1062939.2112029
2014-09-22,181.787,182.234,180.313,181.288,677243.68983597
2014-09-23,182.931,182.931,180.273,181.637,911950.73169346
2014-09-24,182.044,184.245,181.607,184.086,1106767.4488361
2014-09-25,183.339,183.548,180.6,180.99,670475.62170098
2014-09-26,181.139,182.254,180.233,181.747,686753.53360659
2014-09-29,180.91,183.638,180.67,183.339,1097749.7186411
2014-09-30,183.319,184.126,181.317,181.617,870552.93253572
2014-10-01,181.865,181.935,179.098,179.695,787508.26449216
2014-10-02,179.893,183.081,179.536,181.796,1022930.3775044
2014-10-03,183.18,187.471,182.454,186.217,1319530.2424744
2014-10-06,186.615,186.894,182.911,183.438,1146419.7512705
2014-10-07,181.995,182.861,180.67,180.71,823069.99836835
2014-10-08,181.825,186.436,181.317,186.346,1209066.8137611
2014-10-09,186.207,186.585,182.672,182.731,1323704.1690465
2014-10-10,182.811,184.932,180.94,180.96,1502005.9563164
2014-10-13,181,181,176.907,176.947,1276801.7280356
2014-10-14,177.255,178.172,173.472,175.991,1467238.6343552
2014-10-15,173.093,174.527,166.343,172.625,2471946.7491736
2014-10-16,169.847,174.806,169.419,172.924,1732468.7696625
2014-10-17,175.712,179.426,174.925,178.431,1383404.5759638
2014-10-20,177.564,180.323,177.564,180.173,984078.5128655
2014-10-21,181.697,184.773,181.697,183.728,1505984.0417716
2014-10-22,184.185,184.623,182.304,182.502,850200.52108663
2014-10-23,184.892,186.545,184.096,185.43,1055561.5248221
2014-10-24,185.281,187.879,184.753,187.392,831028.17790561
2014-10-27,187.929,189.732,187.392,189.124,1689189.8914697
2014-10-28,188.945,191.096,185.44,187.73,2163620.5207158
2014-10-29,182.901,188.348,181.945,185.132,2475224.8281753
2014-10-30,185.33,190.607,184.564,189.841,1353551.3595649
2014-10-31,192.718,193.018,189.562,189.782,1549840.4001807
2014-11-03,190.339,191.216,189.105,189.762,909249.12859462
2014-11-04,189.822,190.837,188.168,189.722,747781.6428647
2014-11-05,191.244,192.151,187.083,188.119,1267269.7893697
2014-11-06,188.576,189.543,187.043,189.085,717071.74711881
2014-11-07,188.536,188.646,184.892,185.958,998602.8935404
2014-11-10,186.575,188.218,184.872,187.81,763181.78484153
2014-11-11,187.86,189.523,186.764,189.493,959659.63638026
2014-11-12,188.806,190.12,187.979,189.503,959126.34595443
2014-11-13,189.303,191.264,189.095,191.086,929658.78590864
2014-11-14,190.459,191.574,189.533,191.504,1066667.2226166
2014-11-17,190.379,192.061,189.672,190.697,965922.53486516
2014-11-18,190.697,194.073,189.89,194.063,1390460.8820502
2014-11-19,193.137,194.073,191.196,192.45,964000.27897996
