Date,Open,High,Low,Close,Volume
2014-06-02,34.168,34.6686,34.0458,34.5602,7065652.3326509
2014-06-03,34.4814,35.5683,34.439,35.5082,13975575.209647
2014-06-04,35.5752,36.6591,35.5752,36.5587,22518785.55689
2014-06-05,36.6946,36.8838,36.1911,36.329,11701298.208442
2014-06-06,36.3566,36.6897,36.2846,36.5714,8469911.7498998
2014-06-09,36.4906,36.8434,36.2472,36.4798,8626121.2099373
2014-06-10,36.9696,36.9696,36.5143,36.737,9711382.7041267
2014-06-11,36.5655,36.8355,36.4562,36.6138,6545195.6569299
2014-06-12,36.6286,36.7842,36.1162,36.2541,7443601.4916166
2014-06-13,36.3369,36.5655,36.1605,36.3487,5869930.9715989
2014-06-16,36.2167,36.4424,36.0906,36.329,5804285.0445483
2014-06-17,36.2699,37.5894,36.2699,37.4701,14008061.256777
2014-06-18,37.2514,37.7696,37.1696,37.7293,11538525.982355
2014-06-19,37.7696,37.7786,37.4524,37.5578,8737361.4644746
2014-06-20,37.6761,37.95,37.5381,37.6672,10494803.641207
2014-06-23,37.6672,37.8801,37.4701,37.7362,7336098.7764889
2014-06-24,37.344,37.9106,37.3115,37.4041,7212552.9550548
2014-06-25,37.272,37.3509,36.8838,37.3184,7838115.3684163
2014-06-26,37.1647,37.2021,36.5359,37.1647,6885003.2414428
2014-06-27,37.0691,37.2021,36.7222,37.0691,9308820.3817506
2014-06-30,36.8503,37.2376,36.803,37.075,6221620.9478977
2014-07-01,37.0947,37.7943,37.0947,37.4898,6211776.2914186
2014-07-02,37.4701,37.95,37.3617,37.4366,5703617.064127
2014-07-03,37.8367,38.419,37.8367,38.1865,6867488.662928
2014-07-07,38.0318,38.0634,37.5766,37.7864,4786565.1395375
2014-07-08,37.7786,37.7786,37.2445,37.3617,6882539.2865999
2014-07-09,37.619,37.8801,37.477,37.6042,5934404.7949249
2014-07-10,36.7222,37.1785,36.4847,37.0031,7540684.1538913
2014-07-11,36.8907,37.3253,36.7764,37.1971,6367807.1451742
2014-07-14,37.6829,37.8633,37.3184,37.4622,13823849.173207
2014-07-15,37.619,37.8101,37.1499,37.4622,6392373.6273972
2014-07-16,37.7864,37.8367,37.1971,37.344,5126427.5237051
2014-07-17,37.075,37.5509,36.5783,36.7153,9679940.8948605
2014-07-18,36.9754,37.3253,36.6759,37.2582,6102969.5474716
2014-07-21,37.1084,37.2445,36.803,37.0474,4664400.4723626
2014-07-22,37.1971,37.272,36.3763,37.0405,9682501.2565033
2014-07-23,37.1084,37.1577,36.6591,36.8907,5353990.1933454
2014-07-24,36.9902,37.0159,36.6454,36.803,8913113.0902494
2014-07-25,36.7961,36.9626,36.329,36.5359,7373611.1697214
2014-07-28,36.4906,36.6512,35.9762,36.5783,7822439.622758
2014-07-29,36.5291,36.6641,36.0551,36.0984,7927261.2140409
2014-07-30,36.1911,36.6,36.0748,36.329,10939934.132363
