Date,Open,High,Low,Close,Volume
2014-06-02,113.583,114.944,112.658,113.503,398120.09874598
2014-06-03,112.906,113.463,111.624,112.329,430481.88030509
2014-06-04,111.882,113.533,111.424,113.463,451344.49041534
2014-06-05,113.643,118.386,113.323,117.442,749233.96568967
2014-06-06,118.108,119.38,117.182,119.053,376345.47844824
2014-06-09,118.754,119.848,117.839,118.406,325707.29427858
2014-06-10,118.396,121.042,118.009,120.912,408746.47543988
2014-06-11,120.226,121.2,118.963,119.46,313547.49362005
2014-06-12,119.649,120.385,118.356,118.476,409306.55225844
2014-06-13,118.784,122.244,118.386,122.224,702952.71662738
2014-06-16,121.529,123.458,120.633,121.19,476613.30630461
2014-06-17,121.687,122.234,119.977,120.982,594763.37139832
2014-06-18,121.21,124.721,120.574,124.104,809819.79791315
2014-06-19,124.164,124.423,122.811,124.065,285571.80736174
2014-06-20,123.985,124.87,122.801,124.82,707268.42525438
2014-06-23,125.805,126.174,123.518,123.816,651308.00302256
2014-06-24,123.08,123.587,121.2,121.589,727200.92574674
2014-06-25,121.619,122.046,120.872,121.14,485408.62395615
2014-06-26,121.509,121.638,119.639,120.395,398450.91611278
2014-06-27,119.759,122.693,119.759,122.354,821873.0130371
2014-06-30,123.876,124.005,120.315,122.185,5377866.6614942
2014-07-01,123.319,124.562,122.146,122.146,19978031.620584
2014-07-02,120.276,120.276,116.855,117.591,2596996.7712573
2014-07-03,118.386,119.231,116.984,117.222,1192915.3583775
2014-07-07,116.308,116.974,115.134,115.861,1581125.0134543
2014-07-08,115.432,117.839,115.294,116.974,1551669.1959987
2014-07-09,117.142,118.246,116.328,118.217,1529606.9958624
2014-07-10,117.829,119.898,117.442,119.629,1372320.9346196
2014-07-11,121.539,121.539,118.197,119.47,978947.91425853
2014-07-14,119.729,119.957,118.734,119.818,658152.60428632
2014-07-15,119.699,120.385,119.579,119.818,716825.93003065
2014-07-16,120.276,120.276,118.953,120.027,930055.31959876
2014-07-17,119.112,120.146,118.336,118.585,620930.12014032
2014-07-18,118.555,121.807,118.058,120.763,1258167.827073
2014-07-21,119.957,120.395,118.058,118.316,756324.92031168
2014-07-22,119.908,120.455,119.719,120.345,761214.783092
2014-07-23,119.898,121.946,119.5,121.797,640035.07445374
2014-07-24,121.569,122.732,120.853,122.046,918422.41346972
2014-07-25,121.36,121.986,120.276,121.111,689873.86711397
2014-07-28,120.962,121.837,118.993,119.212,957456.85170376
2014-07-29,122.254,122.791,119.38,119.52,1786793.8687339
2014-07-30,120.455,122.185,118.256,118.933,1255221.6420131
2014-07-31,118.187,118.356,114.417,114.924,1766460.1642009
2014-08-01,114.717,117.452,114.397,116.358,1117524.192085
2014-08-04,116.665,117.531,116.038,117.302,567866.61229677
2014-08-05,116.526,118.774,116.457,117.152,924463.6011284
2014-08-06,116.545,117.61,116.208,116.675,508597.01087308
2014-08-07,117.372,118.088,115.811,116.398,659086.73599986
2014-08-08,116.507,117.839,116.288,117.63,908505.93665714
2014-08-11,118.068,118.266,116.535,116.585,928175.99540867
2014-08-12,116.218,117.242,115.403,116.208,625735.5189121
2014-08-13,117.014,117.272,116.408,117.054,591041.92740285
2014-08-14,117.482,118.028,116.625,117.949,672455.17639969
2014-08-15,118.167,118.426,116.535,117.402,507624.66925092
2014-08-18,117.969,118.575,117.442,118.406,580845.91494295
2014-08-19,118.774,120.037,118.774,119.49,738395.42345049
2014-08-20,118.953,119.579,118.585,119.54,521107.73937663
2014-08-21,119.808,119.808,118.943,119.49,678168.56326332
2014-08-22,119.142,120.027,118.655,119.53,555299.57445418
2014-08-25,119.798,120.256,119.291,119.629,526509.41382778
2014-08-26,119.987,121.996,119.649,120.952,1102215.0905365
2014-08-27,121.19,121.589,119.619,120.375,448829.67511334
2014-08-28,120.286,121.787,119.609,121.17,536322.3216775
2014-08-29,121.419,121.767,120.495,121.559,371109.71544245
2014-09-02,121.667,121.667,119.589,120.475,786013.01379082
2014-09-03,121.677,121.986,119.053,120.156,770665.70233368
2014-09-04,120.415,122.424,120.146,121.35,836239.93868078
2014-09-05,121.429,123.249,120.942,122.693,999697.90569072
2014-09-08,122.742,123.448,121.419,122.056,901406.93784384
2014-09-09,121.986,122.483,120.743,121.519,733927.88071289
2014-09-10,121.35,121.897,120.405,121.37,629379.53756641
2014-09-11,120.753,121.936,120.753,121.887,657486.94745708
2014-09-12,121.727,121.857,119.023,119.908,747168.61957599
2014-09-15,119.947,119.947,118.784,118.873,533174.02631142
2014-09-16,118.823,119.46,117.749,119.142,396631.92335735
2014-09-17,119.808,120.942,118.853,119.172,835650.7016688
2014-09-18,120.057,120.057,118.326,119.062,817963.53607022
2014-09-19,119.092,119.56,118.048,119.202,1630007.552875
2014-09-22,118.983,120.524,118.704,119.37,857587.21131625
2014-09-23,118.555,120.763,118.108,120.653,1050421.5593928
2014-09-24,120.136,122.781,119.898,122.732,1400190.0353433
2014-09-25,122.762,122.861,120.803,121.23,731121.46347663
2014-09-26,121.101,122.106,120.495,121.33,598261.5890855
2014-09-29,120.017,121.081,119.649,120.365,536691.34895292
2014-09-30,120.872,121.14,119.122,119.669,629293.06251004
2014-10-01,119.4,119.4,115.551,116.398,1118493.5171355
2014-10-02,116.018,116.308,113.066,114.557,1247426.8206532
2014-10-03,114.866,115.491,113.87,114.03,644606.1861542
2014-10-06,114.14,114.607,111.365,112.25,1146313.3471875
2014-10-07,111.424,111.683,109.505,109.565,1091145.2777978
2014-10-08,109.316,110.241,106.382,110.142,1484199.5470789
2014-10-09,111.007,111.762,107.367,107.556,1406774.205914
2014-10-10,107.288,107.755,104.035,104.065,1150976.9670878
2014-10-13,103.966,105.218,99.3711,99.5899,1012688.2690999
2014-10-14,100.237,100.932,98.6442,99.6494,1321032.1764793
2014-10-15,97.9817,101.996,97.5302,101.439,2069690.9824918
2014-10-16,99.4506,105.725,99.4109,105.11,1390643.59133
2014-10-17,106.969,109.813,106.362,109.246,1575279.9029584
2014-10-20,108.749,111.087,108.003,110.987,958479.46952148
2014-10-21,111.574,112.856,111.335,112.389,618828.57516585
2014-10-22,112.379,113.483,110.679,110.738,834805.05605945
2014-10-23,111.176,113.423,109.963,112.767,1028447.8453607
2014-10-24,113.056,114.289,111.892,114.07,676184.66458645
2014-10-27,112.449,112.846,110.817,111.971,1738912.8311289
2014-10-28,106.591,110.857,103.747,108.501,3672462.9147072
2014-10-29,108.6,108.719,104.075,106.8,2904111.9284171
2014-10-30,106.184,108.322,105.925,107.118,1035021.9606923
2014-10-31,108.312,108.879,107.486,108.521,1007621.4341112
2014-11-03,109.286,109.683,108.242,109.028,942741.00926288
2014-11-04,108.809,109.038,107.078,108.699,1264498.6056181
2014-11-05,109.763,111.951,108.59,111.832,1287637.7218634
2014-11-06,112.309,114,111.981,113.95,924083.51308996
2014-11-07,114.04,115.373,113.9,114.895,683811.56345315
2014-11-10,114.577,116.008,114.577,115.881,568453.83826092
2014-11-11,115.691,117.282,115.651,116.545,622169.93112287
2014-11-12,116.268,117.969,115.831,117.262,623412.75867716
2014-11-13,117.172,117.869,115.134,115.671,597416.94900006
2014-11-14,115.294,117.551,115.294,117.402,418979.69228449
2014-11-17,117.122,117.601,116.008,116.725,504556.81579775
2014-11-18,116.945,118.396,116.725,118.336,653726.28802907
2014-11-19,118.635,119.251,117.262,118.983,601713.55267276
2014-11-20,118.286,120.256,117.749,119.39,492950.05329039
2014-11-21,121.062,121.966,120.405,120.862,799333.1890429
2014-11-24,121.449,121.449,120.564,120.912,507157.1006322
2014-11-25,121.17,122.234,118.038,118.187,987555.19893868
2014-11-26,118.575,119.331,115.501,116.865,902364.19660734
2014-11-28,116.595,116.595,111.683,111.772,658818.26111556
2014-12-01,111.305,111.444,107.416,107.715,1250928.0549122
2014-12-02,106.641,110.47,106.641,110.42,1107598.6655573
2014-12-03,110.033,113.523,110.033,111.673,983348.08689408
2014-12-04,111.932,112.668,110.977,111.345,466573.15005095
2014-12-05,111.017,111.832,109.456,109.833,540992.98024517
2014-12-08,109.286,109.645,105.258,105.935,1056573.3546817
2014-12-09,106.114,106.879,104.761,106.849,753218.85694988
2014-12-10,106.194,106.631,102.663,103.857,1119702.1568767
2014-12-11,104.124,105.895,103.37,103.777,1232397.254752
2014-12-12,103.897,103.956,100.007,100.007,911574.79563422
2014-12-15,100.664,101.599,97.5202,97.5789,856162.38393403
2014-12-16,96.4105,100.704,95.9679,99.2717,1399043.7380845
2014-12-17,99.759,103.677,99.0926,103.597,1005449.502463
2014-12-18,104.751,107.506,104.045,107.466,1010250.8791391
2014-12-19,108.212,111.275,107.248,111.027,1720226.1747625
2014-12-22,111.474,111.474,105.755,106.144,1374231.4300509
2014-12-23,106.542,106.551,103.797,104.094,837851.79351048
2014-12-24,104.503,105.188,103.33,104.005,479970.75064421
2014-12-26,104.254,105.358,103.757,103.817,366965.95140426
2014-12-29,103.757,104.631,103.25,104.234,486289.46290239
2014-12-30,103.995,104.234,102.414,103.28,561013.96684172
2014-12-31,103.877,104.861,102.723,102.723,418263.7592597
2015-01-02,103.946,104.901,102.066,103.23,514000.69637205
2015-01-05,102.335,102.683,98.482,99.0031,721377.93677679
2015-01-06,99.0131,100.495,96.9584,98.0504,859175.93909599
2015-01-07,98.6829,101.261,98.0414,100.325,798488.54895748
2015-01-08,101.35,104.592,101.171,104.194,811158.15023901
2015-01-09,104.334,104.761,101.718,102.216,762198.18547718
2015-01-12,102.663,102.803,99.9971,102.493,573267.281224
2015-01-13,103.577,104.503,99.7491,101.231,703906.95881913
2015-01-14,99.4606,100.087,98.0981,99.3313,847691.8505058
2015-01-15,99.9871,100.335,97.3074,97.3562,620679.74468643
2015-01-16,97.396,100.594,97.396,100.495,725571.97701054
2015-01-20,101.211,101.499,99.8088,101.022,558812.87500003
2015-01-21,100.574,103.29,100.574,102.753,691884.91493644
2015-01-22,102.991,103.687,101.35,103.34,969938.42001389
2015-01-23,103.02,103.587,101.36,102.265,402782.71312236
2015-01-26,102.543,104.831,100.734,104.661,627944.65494508
2015-01-27,103.33,104.483,101.639,103.887,542966.82368292
2015-01-28,104.094,104.473,99.9971,100.127,629613.82463773
2015-01-29,99.9482,103.18,98.0604,102.434,997765.28873334
2015-01-30,101.669,102.365,99.4009,100.297,669018.2956711
2015-02-02,101.201,105.955,100.525,105.507,965339.15364391
2015-02-03,105.805,107.775,105.258,107.268,683446.55827338
2015-02-04,106.292,108.739,106.134,107.059,814806.19098895
2015-02-05,107.695,110.967,106.979,109.486,1222302.8002072
2015-02-06,109.406,110.857,109.266,109.823,946271.40371521
