Date,Open,High,Low,Close,Volume
2014-06-02,110.178,110.692,109.733,110.217,2172288.8877079
2014-06-03,110.033,110.856,109.674,110.672,2662283.0619254
2014-06-04,110.692,110.739,110.178,110.178,1724735.4708195
2014-06-05,110.555,111.311,109.877,111.292,1991528.5112307
2014-06-06,111.504,111.999,111.156,111.999,2284042.2529005
2014-06-09,111.999,112.706,111.979,112.55,2325511.5021864
2014-06-10,112.279,112.453,111.882,112.279,2195130.1671461
2014-06-11,112.018,112.279,111.67,111.835,1923883.2630803
2014-06-12,112.066,112.269,110.575,110.799,2375192.6271119
2014-06-13,110.904,111.311,110.623,111.01,1777077.1443399
2014-06-16,110.711,111.156,110.411,110.992,1645338.1758491
2014-06-17,110.749,111.504,110.449,111.273,1561727.5712879
2014-06-18,111.457,111.815,110.565,111.767,1731281.019167
2014-06-19,111.921,112.066,111.504,111.902,2015019.1833994
2014-06-20,112.145,112.542,111.678,112.416,5429355.8102416
2014-06-23,112.366,112.542,111.524,111.591,1795181.6768038
2014-06-24,111.292,111.989,110.779,110.816,1813694.0155133
2014-06-25,110.739,111.805,110.662,111.243,1706777.5421199
2014-06-26,111.311,111.504,110.382,111.311,1925187.2106454
2014-06-27,110.886,111.574,110.789,111.273,2559020.3260086
2014-06-30,111.447,111.457,110.789,110.923,2425567.5388654
2014-07-01,111.06,112.155,111.03,111.941,2282468.8434871
2014-07-02,111.688,112.542,111.186,112.473,2093558.5366227
2014-07-03,112.493,112.851,112.299,112.619,1474955.6940074
2014-07-07,112.657,112.736,111.912,112.232,1624335.6379892
2014-07-08,112.463,112.609,111.892,111.941,2061957.1660601
2014-07-09,112.125,112.329,111.544,112.038,1965039.6888411
2014-07-10,111.137,111.678,110.923,111.417,2673039.855022
2014-07-11,111.631,111.902,111.166,111.748,2463651.4801021
2014-07-14,112.299,112.833,112.095,112.299,2730540.5356546
2014-07-15,112.299,112.657,111.785,112.348,2525408.8320024
2014-07-16,112.522,113.238,112.319,113.191,2546171.8482193
2014-07-17,112.55,112.803,111.098,111.166,3588306.7712246
2014-07-18,111.38,112.348,111.166,112.163,2754270.7294664
2014-07-21,112.018,112.192,111.243,111.738,1963884.4098819
2014-07-22,112.252,112.803,112.212,112.376,2076595.8616465
2014-07-23,112.56,112.639,111.921,112.038,2388127.8282547
2014-07-24,112.687,113.394,111.892,112.386,3331703.7248496
2014-07-25,112.803,113.026,111.961,112.376,2068378.8239026
