Date,Open,High,Low,Close,Volume
2014-06-02,43.0244,43.0571,42.7625,42.9044,2053136.2201161
2014-06-03,42.7456,42.7456,42.2605,42.3488,2667756.9967205
2014-06-04,42.2893,42.9371,41.9004,42.2794,2845501.3533532
2014-06-05,42.2893,42.3865,41.7248,42.2427,2854599.6484044
2014-06-06,42.2188,42.3319,41.9351,42.1672,3352157.2409649
2014-06-09,42.0879,42.6593,42.0879,42.4499,2797242.8916231
2014-06-10,42.3865,42.6326,42.0879,42.4867,2457231.1584391
2014-06-11,42.3955,42.5402,42.1236,42.2288,1944751.9991112
2014-06-12,42.2288,42.3955,42.0382,42.0462,2541481.6125355
2014-06-13,42.0125,42.0799,41.7417,42.0294,1752590.0805332
2014-06-16,41.9946,42.9877,41.9182,42.9539,6120560.9766591
2014-06-17,42.9142,43.6475,42.5839,43.3012,6285587.2756073
2014-06-18,43.3012,43.5948,43.0571,43.3102,4324094.2523203
2014-06-19,43.6305,43.9212,43.3855,43.8002,5594141.0439478
2014-06-20,43.9758,44.0789,43.6475,43.8072,6837675.1659059
2014-06-23,43.8369,44.3409,43.6127,43.9401,3527711.1926402
2014-06-24,43.9668,44.0462,43.3429,43.3696,2974916.6875808
2014-06-25,43.4659,43.7595,43.1266,43.2228,2495767.3671481
2014-06-26,43.2148,43.2665,42.9222,43.2228,2126862.0455143
2014-06-27,43.0333,43.3696,42.946,42.9976,5995079.904074
2014-06-30,43.1454,43.1652,42.7368,42.7804,3569559.721041
2014-07-01,42.8359,42.9044,42.6424,42.6931,2759658.2440186
2014-07-02,42.7368,42.7804,42.2794,42.4499,4929112.7290513
2014-07-03,42.5036,42.5988,42.3081,42.5571,2283621.657368
2014-07-07,42.5314,42.6067,42.1236,42.1871,3296541.3168396
2014-07-08,42.0382,42.0969,41.2674,41.6891,5258238.9660844
2014-07-09,41.698,41.7854,41.0968,41.5611,4120556.9449042
2014-07-10,40.9628,41.1534,40.5244,40.955,3705218.6670065
2014-07-11,40.9291,41.1127,40.833,40.8954,2303109.507825
2014-07-14,40.9907,41.3905,40.833,41.1822,3360822.091869
2014-07-15,41.3369,41.7764,40.9471,41.0701,2557342.6442916
2014-07-16,41.0968,41.4648,41.0968,41.3637,2113562.3662649
2014-07-17,41.2674,41.4898,40.9471,41.1385,2443065.598905
2014-07-18,41.1623,41.4074,41.0422,41.3448,2587496.244797
2014-07-21,41.2496,41.2496,40.708,40.8577,2673063.1594891
2014-07-22,40.9628,41.0878,40.825,40.8954,2360062.0527389
2014-07-23,40.9907,41.1822,40.7555,41.0968,2300810.2378259
2014-07-24,41.4074,41.7327,40.8151,40.955,4108709.8075525
2014-07-25,40.9202,41.0085,40.6108,40.7467,2457586.9858436
2014-07-28,40.7903,41.079,40.6206,41.0611,2039556.3141855
2014-07-29,41.0968,41.2258,40.833,40.833,1560013.8699914
2014-07-30,40.8864,41.0244,40.6018,40.8151,2234623.3165589
2014-07-31,40.4471,41.0085,39.7536,39.8925,4205220.6829549
2014-08-01,39.8756,40.0394,39.4937,39.832,3144507.2541993
2014-08-04,39.946,40.6891,39.6564,40.6108,4262991.7317001
2014-08-05,40.4281,40.8954,40.326,40.7555,4184439.556124
2014-08-06,40.3767,40.8151,40.3697,40.6891,3370455.6400414
2014-08-07,40.7903,40.8776,39.8577,39.9837,3111096.7745326
2014-08-08,39.9837,40.0571,39.4679,40.0394,2624866.1863473
2014-08-11,40.2128,40.457,40.1504,40.2278,1615997.7176369
2014-08-12,40.2278,40.3697,40.1157,40.2545,1742856.739406
2014-08-13,39.954,39.9767,39.3657,39.5561,3761950.4578083
2014-08-14,39.5561,39.7873,39.443,39.7635,1659758.4403333
2014-08-15,39.8052,40.2188,39.7456,40.1841,2711700.1691625
2014-08-18,40.3617,40.6732,40.2893,40.6554,2773945.7727196
2014-08-19,40.6206,41.0085,40.457,40.7555,1802648.8474884
2014-08-20,40.708,40.9986,40.5918,40.9728,2145884.1955155
2014-08-21,40.9124,41.2258,40.8954,41.1385,2026841.2805298
2014-08-22,41.1285,41.2258,40.9628,41.0701,2220453.7249862
2014-08-25,41.2258,41.2496,41.0611,41.1197,1645039.4835044
2014-08-26,41.1822,41.2674,41.0878,41.1197,2073577.6476967
2014-08-27,41.1385,41.5274,41.1197,41.4818,2865763.3552172
2014-08-28,41.2674,41.7069,41.1534,41.4995,2237631.217338
2014-08-29,41.4738,41.6048,41.2496,41.3201,1962788.3156801
2014-09-02,41.4261,41.4421,40.9798,41.2248,2480444.6125421
