Date,Open,High,Low,Close,Volume
2014-06-02,33.8777,33.9367,33.4174,33.8179,4499070.8916314
2014-06-03,33.8336,33.8542,33.1719,33.2053,6283715.8745857
2014-06-04,33.1719,33.54,32.8901,33.1129,7464148.2414259
2014-06-05,33.215,33.4555,32.8763,33.1345,11572454.661814
2014-06-06,33.3182,33.3182,32.7398,33.056,5514394.8525096
2014-06-09,32.9725,33.4007,32.783,32.9853,6335987.0812725
2014-06-10,32.9853,33.002,32.1016,32.3049,10957815.507971
2014-06-11,32.0829,32.3814,32.0438,32.3049,5675770.401113
2014-06-12,32.457,32.7358,31.9857,32.6633,11041575.123416
2014-06-13,32.7231,32.8557,32.4718,32.5758,5474599.4356693
2014-06-16,32.5641,32.683,32.3206,32.3707,5194542.4489029
2014-06-17,32.3206,32.671,31.981,32.6349,10232922.10881
2014-06-18,32.6583,33.5056,32.3324,33.4144,8953325.0876289
2014-06-19,33.5479,33.8306,33.4555,33.7845,7802733.1723292
2014-06-20,33.915,34.0045,33.545,33.7805,9462675.2566279
2014-06-23,33.8218,33.9868,33.4535,33.541,5128115.9211871
2014-06-24,33.5714,33.6843,32.5347,32.5885,8268133.4019322
2014-06-25,30.4374,30.95,29.3888,30.5209,36576628.430518
2014-06-26,30.403,30.7723,30.189,30.5062,12810891.456098
2014-06-27,30.5455,30.6298,29.8396,29.9298,19423840.257148
2014-06-30,29.9642,29.9769,29.381,29.4281,10320701.802836
2014-07-01,29.5037,29.7708,29.3526,29.6324,7673768.8070464
2014-07-02,29.5009,30.2834,29.4733,30.1125,8329916.5199077
2014-07-03,30.1606,30.5306,29.9809,30.4982,5734697.6031174
2014-07-07,30.3265,30.5306,29.8082,29.9574,7042482.0260456
2014-07-08,29.9956,30.0329,29.329,29.3378,8659987.6841911
2014-07-09,29.4311,29.6372,29.0943,29.436,6667751.0174333
2014-07-10,29.1296,29.3614,28.9195,29.1807,8699530.5093195
2014-07-11,29.6746,29.9936,29.379,29.7257,7533526.4255199
2014-07-14,29.863,29.8887,29.3152,29.4311,6480775.0951025
2014-07-15,29.1994,30.0202,29.1209,29.7885,8619750.2318546
2014-07-16,29.866,30.0329,29.4017,29.5657,6773574.722637
2014-07-17,29.4104,29.6068,28.8931,28.9313,6966184.0512572
2014-07-18,29.1434,29.2779,28.9402,28.9933,7143808.9876643
2014-07-21,29.0433,29.0914,28.5906,28.624,6795482.9796045
2014-07-22,28.7929,29.0237,28.5278,28.571,6899634.2832303
2014-07-23,28.7565,29.1434,28.5985,28.8784,5670543.3822957
2014-07-24,28.9579,29.4919,28.9313,29.1876,7348024.2943481
2014-07-25,29.2151,29.6579,29.0855,29.6195,8124419.9213938
2014-07-28,29.7148,29.9102,29.2662,29.3231,7363880.5353742
2014-07-29,29.5961,30.3392,29.5371,30.0172,10751618.171158
2014-07-30,30.025,30.2038,29.5764,29.7748,8403122.2832524
2014-07-31,30.6692,32.0319,30.6388,31.4684,20985727.868422
2014-08-01,31.5499,32.4522,31.2229,31.4988,17380410.991054
2014-08-04,31.4763,31.9947,31.2072,31.8414,8481092.6596187
2014-08-05,31.49,32.3403,31.3938,32.0535,10435013.811785
2014-08-06,31.9162,32.9145,31.9162,32.7005,10371508.384998
2014-08-07,32.8173,33.0069,32.2872,32.6062,5360210.0195825
2014-08-08,32.7358,33.0599,32.4904,32.9853,4343152.5462282
2014-08-11,33.1522,33.3015,32.7535,32.8282,4741079.2147281
2014-08-12,32.7939,32.9803,32.4452,32.6339,4187082.4420947
2014-08-13,32.8026,33.0766,32.3,32.9558,5969167.8969338
2014-08-14,33.0766,33.6656,33.0069,33.5155,6050710.2052938
2014-08-15,33.6412,33.7236,33.163,33.5793,9130195.3044445
2014-08-18,33.5941,34.1812,33.5941,34.1498,6600712.3622215
2014-08-19,34.1468,34.783,34.1271,34.7231,5532199.5126701
2014-08-20,34.6131,34.8478,34.403,34.6102,5270518.5729613
2014-08-21,34.6494,34.6494,34.0869,34.1379,6300066.0953715
