Date,Open,High,Low,Close,Volume
2014-06-02,17.2889,17.3898,17.1107,17.2205,53958.035090301
2014-06-03,17.1898,17.3571,17.0373,17.2057,32866.064798199
2014-06-04,17.2285,17.2285,16.8195,16.9284,39422.714440811
2014-06-05,17.08,17.4037,16.9888,17.4037,37087.690723356
2014-06-06,17.4195,17.4997,17.1968,17.4462,42073.855123477
2014-06-09,17.4373,17.572,17.2889,17.572,47799.309039677
2014-06-10,17.4552,17.5483,17.4037,17.4641,36208.016995889
2014-06-11,17.3542,17.5196,17.1641,17.2889,32044.968655339
2014-06-12,17.1898,17.3066,17.1344,17.2125,36291.843539379
2014-06-13,17.2285,17.4462,17.2285,17.3215,21082.880666905
2014-06-16,17.2739,17.4037,17.1968,17.3443,23312.868715408
2014-06-17,17.3809,17.4829,17.3631,17.4373,33713.419858296
2014-06-18,17.5166,17.6373,17.4373,17.6314,38921.775096583
2014-06-19,17.6453,17.6917,17.5096,17.6066,58398.821978558
2014-06-20,17.663,17.6917,17.571,17.6314,77085.071468335
2014-06-23,17.5889,17.673,17.4997,17.5403,46249.022964289
2014-06-24,17.5096,17.6917,17.4641,17.4641,38433.965210972
2014-06-25,17.3631,17.6373,17.3284,17.5889,35292.994725987
2014-06-26,17.4126,17.5403,17.3284,17.4899,20503.164570962
2014-06-27,17.3542,17.663,17.3542,17.6216,109376.46996237
2014-06-30,17.572,17.7561,17.5245,17.7244,53134.91903073
2014-07-01,17.7838,18.2086,17.7107,18.0334,85948.465994454
2014-07-02,17.9582,18.0265,17.8839,17.9156,30712.833584698
2014-07-03,18.0602,18.0602,17.8225,17.9156,15506.900587288
2014-07-07,17.7998,17.8145,17.6314,17.6453,47471.072574203
2014-07-08,17.6216,17.7404,17.572,17.6917,38999.541889942
2014-07-09,17.8215,17.8215,17.5809,17.5977,18899.350702744
2014-07-10,17.3215,17.5641,17.2889,17.2889,30349.24857679
2014-07-11,17.2057,17.4641,17.2057,17.2285,23067.448835071
2014-07-14,17.3898,17.4859,17.1541,17.1898,36238.315746548
2014-07-15,17.2057,17.2889,16.9532,17.0373,49687.93116409
2014-07-16,17.1027,17.1541,16.9196,17.0067,39521.690359631
2014-07-17,16.9433,17.1541,16.9036,17.1107,49845.484667515
2014-07-18,17.0304,17.3364,17.0304,17.2967,35861.601280022
2014-07-21,17.2739,17.3364,17.0878,17.2373,19063.973914659
2014-07-22,17.2472,17.4829,17.2472,17.4373,37738.10390417
2014-07-23,17.4552,17.4829,17.373,17.3978,11024.705406464
2014-07-24,17.474,17.5492,17.2285,17.3443,39284.350146136
2014-07-25,17.2285,17.3284,17.0947,17.0947,32508.539540423
2014-07-28,17.174,17.2562,17.0373,17.0947,23543.139220417
2014-07-29,17.2125,17.2125,17.0304,17.0373,16191.652352182
2014-07-30,17.1838,17.2562,17.0067,17.1364,46931.754812474
2014-07-31,16.9888,17.1838,16.9532,17.0067,65108.985291177
2014-08-01,17.0878,17.1541,16.9433,16.962,40051.918496164
2014-08-04,17.1898,17.2205,16.9036,17.2125,42811.124722847
2014-08-05,17.2285,17.2325,16.9036,17.0621,70600.128868947
2014-08-06,16.8601,17.1541,16.8601,17.0234,37929.995991677
2014-08-07,17.0304,17.1185,16.9186,17.0373,41818.335659586
2014-08-08,17.1274,17.1274,16.962,16.9977,53680.296542594
2014-08-11,17.1364,17.1968,17.0878,17.1898,40541.748298485
2014-08-12,17.174,17.1898,17.0521,17.1364,30337.129076525
2014-08-13,17.1641,17.1978,17.0433,17.1838,44329.092130863
2014-08-14,17.2067,17.2899,17.0611,17.1641,28144.509487168
2014-08-15,17.3146,17.3463,16.9957,17.0512,45139.078731814
2014-08-18,17.1107,17.2295,16.9957,17.2125,33416.492101839
2014-08-19,17.1838,17.2383,17.1185,17.2215,36132.270119242
2014-08-20,17.174,17.174,16.9957,17.0304,33941.670446595
2014-08-21,17.069,17.1274,16.9957,17.0947,37971.404284244
2014-08-22,17.1274,17.1274,17.0057,17.079,32427.742871999
2014-08-25,17.1274,17.2125,17.0224,17.0611,30488.622829821
2014-08-26,17.074,17.174,16.9868,17.0433,46842.878477207
2014-08-27,16.977,17.3225,16.977,17.2987,49081.956150909
2014-08-28,17.3146,17.4007,17.265,17.265,37396.737980078
2014-08-29,17.2899,17.3839,17.174,17.3383,28569.701954749
2014-09-02,17.4779,17.5938,17.3839,17.5126,67892.430518386
2014-09-03,17.6878,17.6878,17.4146,17.4393,43633.230824061
2014-09-04,17.4225,17.5344,17.2482,17.2829,40090.296913665
2014-09-05,17.2215,17.5344,17.2215,17.4007,22694.774201964
2014-09-08,17.3146,17.5522,17.265,17.375,38173.395955305
2014-09-09,17.265,17.2987,17.1107,17.1274,36042.383825621
2014-09-10,17.1433,17.2522,17.0224,17.1978,56656.643815665
2014-09-11,17.1838,17.3661,17.1641,17.265,18590.303446022
2014-09-12,17.3304,17.3463,17.0868,17.0868,39834.777449774
2014-09-15,17.1027,17.2067,17.0224,17.0304,27011.336212521
2014-09-16,17.0224,17.2295,17.0224,17.0512,28355.590783426
2014-09-17,17.1364,17.2115,16.9957,17.0136,32789.307963197
2014-09-18,17.0433,17.1274,17.0057,17.0057,24622.784702234
2014-09-19,17.079,17.1185,16.8928,16.9166,62801.230449315
2014-09-22,16.8928,16.977,16.8077,16.8155,44019.034915786
2014-09-23,16.8502,16.9323,16.7343,16.7502,61017.643993854
2014-09-24,16.8077,16.977,16.7502,16.7828,32993.319550967
2014-09-25,16.8155,16.9166,16.6542,16.7828,44974.455519901
2014-09-26,16.8928,16.9166,16.776,16.866,23149.255461849
2014-09-29,16.7254,16.8402,16.6382,16.7066,32946.861466622
2014-09-30,16.6819,16.8759,16.5531,16.5531,64228.301605355
2014-10-01,16.6056,16.6542,16.47,16.4798,47249.891694393
2014-10-02,16.5531,16.866,16.5057,16.7413,30402.77636962
2014-10-03,16.5057,17.1027,16.4798,16.9096,56393.044684932
2014-10-06,17.0057,17.0947,16.8255,16.8928,26713.398497706
2014-10-07,16.8155,17.069,16.768,16.8155,31411.724766566
2014-10-08,16.768,17.1453,16.6759,17.1364,48218.441757127
2014-10-09,17.1453,17.1453,16.4977,16.5531,101473.54583214
2014-10-10,16.5531,17.0433,16.5531,16.8077,41019.458600543
2014-10-13,16.7828,17.4146,16.7195,17.3383,46505.552386536
2014-10-14,17.4007,17.5611,17.2899,17.5522,65784.647430874
2014-10-15,17.3463,17.6096,17.2383,17.5126,54675.105522565
2014-10-16,17.2482,17.7214,17.2482,17.5344,53175.317364943
2014-10-17,17.7374,17.7531,17.3304,17.3908,53958.035090301
2014-10-20,17.2295,17.6413,17.2295,17.6413,41773.897491951
2014-10-21,17.669,17.7374,17.5443,17.6096,35745.456069161
2014-10-22,17.7214,17.7374,17.5284,17.5522,26805.304708039
2014-10-23,17.6967,17.9067,17.6176,17.7057,42162.731458743
2014-10-24,17.7819,17.8651,17.5443,17.6265,22005.982603649
2014-10-27,17.5037,17.7631,17.4393,17.6967,33329.635683282
2014-10-28,17.8374,18.7424,17.7374,18.7345,130212.92079057
2014-10-29,18.6433,18.7345,18.481,18.5305,44303.843171981
2014-10-30,18.5453,18.9314,18.5453,18.8671,77537.532811508
2014-10-31,19.1385,19.1552,18.8344,19.0484,82376.243291755
2014-11-03,19.0484,19.1385,18.9641,19.0017,24179.412984257
2014-11-04,18.9938,19.1295,18.9147,19.0196,41417.382192531
2014-11-05,19.082,19.2671,18.876,19.1295,32736.79012872
2014-11-06,19.2256,19.2256,18.9543,19.18,34214.359202526
2014-11-07,19.1552,19.3117,18.9394,19.2503,29806.900939993
2014-11-10,19.2503,19.3424,19.1275,19.3424,42474.808590532
2014-11-11,19.3335,19.3692,19.0888,19.3424,27734.466394916
2014-11-12,19.1899,19.5652,19.1483,19.5573,25684.250933655
2014-11-13,19.4463,19.5652,18.9631,19.0097,39489.371692261
2014-11-14,19.0097,19.0097,18.5335,18.6226,57328.266121939
2014-11-17,18.4998,18.6691,18.3651,18.6394,28878.749211471
2014-11-18,18.7225,18.8413,18.675,18.7622,18892.280994257
2014-11-19,18.6394,18.7989,18.381,18.3908,28798.962501404
2014-11-20,18.3147,18.5592,18.3147,18.4146,22953.323540922
2014-11-21,18.7077,18.7225,18.4503,18.4503,25678.191183523
2014-11-24,18.4503,18.6721,18.3513,18.6394,22005.982603649
2014-11-25,18.6888,18.9631,18.5097,18.5691,46637.856931081
2014-11-26,18.679,18.9938,18.6553,18.9938,24673.282619999
2014-11-28,19.0097,19.3176,18.7157,18.7721,23320.94838225
2014-12-01,18.8583,19.0187,18.6394,18.6394,35669.709192514
2014-12-02,18.7305,18.8493,18.5245,18.7532,42784.865805608
2014-12-03,18.7622,18.9294,18.5691,18.5691,34525.426375959
2014-12-04,18.5245,18.6988,18.3571,18.5691,38190.565247344
2014-12-05,18.5424,19.0384,18.5424,18.9533,36088.841909963
2014-12-08,18.9206,19.1215,18.3394,18.3651,38045.131244182
2014-12-09,18.3147,19.3355,18.3147,19.1899,41444.651068125
2014-12-10,19.1385,19.2592,18.7989,18.7989,32922.622466096
2014-12-11,18.8493,18.9938,18.8156,18.9037,20327.43181714
2014-12-12,18.6988,18.9701,18.6553,18.6553,18931.669370113
2014-12-15,18.6651,18.8156,18.1067,18.1612,42632.362093957
2014-12-16,18.1939,18.5424,18.1939,18.2919,39359.087064428
2014-12-17,18.4324,18.9294,18.2363,18.874,52919.797901052
2014-12-18,19.0731,19.2087,18.7721,19.0641,32706.491378061
2014-12-19,19.0007,19.0731,18.6988,18.8413,122135.27386488
2014-12-22,18.7809,19.1552,18.7058,19.1146,19861.841015346
2014-12-23,19.1385,19.4632,19.0523,19.4058,25214.620298441
2014-12-24,19.3355,19.8661,19.3275,19.7265,21853.478891999
2014-12-26,19.7345,20.0949,19.7018,19.8494,25814.535561489
2014-12-29,19.8494,20.172,19.582,19.9672,39052.059724416
2014-12-30,19.983,20.0503,19.7156,19.8315,16348.195897255
2014-12-31,19.9325,19.9672,19.591,19.6414,23032.100292635
2015-01-02,19.8404,19.8404,19.173,19.4721,16887.513658985
2015-01-05,19.4295,19.4721,19.1215,19.2087,23303.77909021
2015-01-06,19.181,19.2691,18.7809,18.7989,25825.645103397
2015-01-07,19.0007,19.0245,18.8226,18.9127,33697.260524612
2015-01-08,19.1078,19.2444,18.8493,18.9127,38526.88137966
2015-01-09,18.8076,18.9384,18.7809,18.8325,27536.514557277
2015-01-12,18.884,18.9127,18.7622,18.8413,25049.997086526
2015-01-13,19.0097,19.0097,18.6553,18.9127,41177.012103969
2015-01-14,18.7472,19.0781,18.7472,18.9453,46541.910887327
2015-01-15,19.0285,19.0285,18.6047,18.8325,35576.793023826
2015-01-16,18.7404,18.9294,18.7404,18.9127,36720.065882027
2015-01-20,18.9127,19.0007,18.8156,18.9631,45396.618112416
2015-01-21,18.7622,19.0007,18.6721,18.7899,45225.93515037
2015-01-22,18.7404,19.0285,18.6721,19.0007,72221.112029206
2015-01-23,18.9127,19.2691,18.8651,18.986,55266.941118771
2015-01-26,18.9384,19.5156,18.9127,19.3702,31142.065885701
2015-01-27,19.181,19.4463,19.181,19.2918,22982.612333226
2015-01-28,19.181,19.378,18.8651,18.9127,45250.174150897
2015-01-29,19.0484,19.4463,18.9938,19.1652,59002.777075029
2015-01-30,19.0187,19.082,18.5869,18.6305,60454.087231596
2015-02-02,18.5691,18.9533,18.5245,18.884,42778.806055476
2015-02-03,18.9631,19.3275,18.8096,19.1652,50546.395766095
2015-02-04,19.1552,19.4632,19.0285,19.082,47272.11077821
2015-02-05,19.0097,19.2918,18.986,19.1552,52996.554736054
2015-02-06,19.1215,19.1385,18.8226,18.884,55671.934419247
2015-02-09,18.9384,19.2918,18.874,18.9701,36236.295829837
2015-02-10,19.173,19.48,19.0007,19.3176,36442.327334318
2015-02-11,19.3562,19.3731,19.0641,19.0731,31192.563803466
2015-02-12,19.182,19.3295,19.1146,19.182,33401.342726508
2015-02-13,19.2543,19.2781,18.9107,19.0888,30733.032751803
2015-02-17,19.174,19.3562,18.9938,19.0978,33879.053028566
2015-02-18,19.0087,19.4077,19.0087,19.3206,34366.862914176
2015-02-19,19.3385,19.5196,19.3295,19.38,39399.48539864
2015-02-20,19.4325,19.5097,19.2771,19.5019,39054.079641127
2015-02-23,19.5196,19.5681,19.3295,19.5364,26193.269944727
2015-02-24,19.5681,19.8869,19.5057,19.8781,42210.199501442
2015-02-25,19.9216,20.0592,19.7414,19.8484,18511.526694309
2015-02-26,19.8642,20.172,19.7959,19.9741,33145.823262617
2015-02-27,19.9741,20.0246,19.8869,19.982,27852.631522486
2015-03-02,20.1403,20.1403,19.4246,19.4414,55756.770921092
2015-03-03,19.475,19.6998,19.2374,19.5681,32360.075662193
2015-03-04,19.4166,19.5019,19.1146,19.1146,24095.586440767
2015-03-05,19.3028,19.3028,18.9998,18.9998,25373.183760222
2015-03-06,18.9017,18.9998,18.5453,18.6186,44232.136128754
2015-03-09,18.5295,19.2097,18.5295,19.082,47726.592038096
2015-03-10,18.8651,19.0484,18.8136,18.9443,33059.976802416
2015-03-11,18.9443,18.985,18.6948,18.7592,31894.4848604
2015-03-12,18.985,19.3295,18.9621,19.2196,36898.828510916
2015-03-13,19.2196,19.2196,18.882,19.1493,24095.586440767
2015-03-16,19.3562,19.4582,19.1078,19.1999,21650.477262584
2015-03-17,19.0641,19.1146,18.8563,18.9196,38994.492098164
2015-03-18,18.9017,18.9523,18.6443,18.7532,77408.25814203
2015-03-19,18.7592,18.8919,18.6533,18.8919,37366.439229419
2015-03-20,18.9017,19.1562,18.9017,19.0731,83459.928606994
2015-03-23,19.1215,19.3028,18.9998,19.0641,40389.244586835
2015-03-24,19.1662,19.2454,19.1146,19.2374,28053.613235191
2015-03-25,19.3295,19.5364,18.9384,19.082,42487.938049149
2015-03-26,19.1662,19.3652,19.1562,19.2374,25843.824353793
2015-03-27,19.2611,19.5453,18.985,19.1305,31425.86418354
2015-03-30,19.1562,19.5523,19.1215,19.5196,30847.158045952
2015-03-31,19.3385,19.6037,19.3385,19.5523,20902.098121306
2015-04-01,19.4166,19.8206,19.4166,19.8127,16180.542810274
2015-04-02,19.7582,20.0078,19.5681,19.9018,30498.722413374
2015-04-06,19.9404,20.172,19.8869,19.982,40389.244586835
2015-04-07,19.9988,20.0592,19.7325,19.7325,19850.731473438
2015-04-08,19.5019,19.6831,19.4929,19.5276,20370.860026418
2015-04-09,19.6137,19.6137,19.1909,19.4246,31006.73146609
