Date,Open,High,Low,Close,Volume
2014-06-02,75.1608,75.766,74.2927,75.5468,268497
2014-06-03,75.2709,75.6182,74.5824,74.7669,191869
2014-06-04,75.5001,75.5001,74.5527,74.8096,223249
2014-06-05,74.9862,75.8286,74.4087,75.8186,194290
2014-06-06,76.0399,76.8544,76.0041,76.7273,160586
2014-06-09,76.8017,77.8832,75.6916,77.285,200127
2014-06-10,77.0478,77.3038,76.5617,76.9208,283374
2014-06-11,76.7473,76.7562,75.7839,76.0944,169705
2014-06-12,75.7382,76.0845,75.123,75.1787,155931
2014-06-13,75.3593,75.4704,74.8295,75.1787,155110
2014-06-16,74.8017,75.1697,74.4257,74.5258,205228
2014-06-17,74.6727,76.0399,74.254,75.1043,412489
2014-06-18,75.8563,77.1124,75.0496,75.3682,448671
2014-06-19,74.7025,75.4704,74.7025,75.0786,253602
2014-06-20,74.9505,75.4426,72.8849,73.2589,858217
2014-06-23,73.7937,74.7937,73.2976,74.1399,243366
2014-06-24,73.9138,74.2639,72.8948,73.125,321589
2014-06-25,73.0337,73.5297,72.5754,72.8481,337036
2014-06-26,72.244,73.0525,71.7687,72.5198,340746
2014-06-27,72.3898,72.8373,72.0703,72.5754,371256
2014-06-30,72.6846,73.6578,72.1537,73.5218,639989
2014-07-01,73.7352,74.4813,73.6925,73.8968,362343
2014-07-02,73.8968,74.3016,73.0525,73.371,233856
2014-07-03,73.6578,74.1955,73.125,73.9692,169850
2014-07-07,73.3612,73.7837,72.2895,72.4364,225557
2014-07-08,72.4811,72.8104,71.6676,72.0703,231898
2014-07-09,72.3442,72.4543,71.4086,71.7975,171794
2014-07-10,70.219,71.116,70.219,70.6874,198925
2014-07-11,71.116,71.116,70.347,70.6497,163214
2014-07-14,71.9959,73.1974,71.8849,71.987,260940
2014-07-15,72.126,72.2638,71.1347,71.3203,197684
2014-07-16,71.5922,71.9503,70.7687,71.5365,284234
2014-07-17,71.2181,71.4928,70.476,70.9145,323318
2014-07-18,71.1904,72.2261,71.098,72.1627,475921
2014-07-21,71.8849,72.3997,70.7111,71.8422,202412
2014-07-22,72.1725,73.1349,71.9226,72.2827,184531
2014-07-23,72.5852,72.5852,71.4364,71.8075,230438
2014-07-24,71.2935,72.4364,71.2935,71.852,155236
2014-07-25,71.73,72.1824,71.2876,71.7033,209790
2014-07-28,71.7886,71.7886,70.7399,71.4086,178806
2014-07-29,71.4184,71.9672,70.7776,70.7875,216434
2014-07-30,71.1248,71.6299,70.1902,70.7488,215638
2014-07-31,70.3103,70.7588,68.8519,68.9173,248380
2014-08-01,68.7974,69.0721,67.3477,68.3012,335468
2014-08-04,68.5125,68.8806,67.9253,68.7577,187557
2014-08-05,68.3935,69.0136,68.082,68.6346,174623
2014-08-06,68.211,68.9273,67.5899,68.0988,168016
2014-08-07,68.4213,68.9273,68.2021,68.3012,188164
2014-08-08,68.4124,69.593,68.0551,69.5841,161147
2014-08-11,69.5672,70.4591,69.5672,70.1248,193566
2014-08-12,69.8241,70.5464,69.6317,70.0246,111993
2014-08-13,70.347,71.4464,70.0335,70.854,193529
2014-08-14,70.7776,71.4928,70.5097,71.3987,129080
2014-08-15,71.5108,71.7975,70.4294,71.4741,213978
2014-08-18,71.8679,73.0248,71.5108,72.9692,177417
2014-08-19,73.0862,73.4077,72.6766,73.0148,146086
2014-08-20,72.7956,73.1726,72.4623,73.0962,194835
