Date,Open,High,Low,Close,Volume
2014-06-02,337.973,337.973,327.494,332.802,67769.64339395
2014-06-03,329.981,335.279,329.394,330.305,47914.154853018
2014-06-04,330.795,333.046,328.806,331.881,26734.354441387
2014-06-05,329.844,333.605,329.247,332.675,42761.897567326
2014-06-06,332.831,336.436,332.831,333.977,42550.538618033
2014-06-09,333.615,336.063,332.851,334.751,28045.392561646
2014-06-10,333.967,333.967,330.216,331.803,54852.242101584
2014-06-11,328.864,328.864,326.426,328.336,56943.368324552
2014-06-12,327.034,327.405,322.558,324.252,66046.097952363
2014-06-13,323.332,326.76,323.076,325.398,29968.044259814
2014-06-16,323.243,326.544,321.353,324.977,115754.25123006
2014-06-17,323.87,329.56,323.527,324.664,88749.316491272
2014-06-18,323.419,327.836,323.419,325.722,54742.988924896
2014-06-19,326.466,328.169,325.006,326.75,51961.627679113
2014-06-20,328.552,330.501,326.573,329.981,126029.15512739
2014-06-23,329.423,331.99,327.709,330.363,69807.674615162
2014-06-24,329.912,334.193,325.231,326.181,77922.020364149
2014-06-25,326.426,332.724,326.426,330.942,58088.99509319
2014-06-26,330.079,332.018,328.306,331.705,54875.726429283
2014-06-27,331.245,338.542,330.412,338.365,130514.66171797
2014-06-30,337.865,338.316,331.93,333.38,96248.985489171
2014-07-01,335.309,337.111,332.694,335.916,101100.03074567
2014-07-02,335.916,338.149,332.273,334.957,54101.764672931
2014-07-03,335.398,336.543,333.243,335.064,81649.902121988
2014-07-07,340.088,340.088,331.617,333.987,48684.032378465
2014-07-08,334.251,336.533,332.234,333.526,61314.516449809
2014-07-09,339.149,339.149,331.871,332.685,32731.026466529
2014-07-10,328.512,331.01,325.878,327.973,47279.056947409
2014-07-11,328.13,329.354,326.073,327.973,40387.938354241
2014-07-14,330.285,332.861,328.973,329.59,30552.08927912
2014-07-15,329.041,329.884,327.347,327.661,46883.907607425
2014-07-16,328.58,329.364,326.005,328.219,59014.073392998
2014-07-17,328.297,329.775,325.603,325.682,33911.369197852
2014-07-18,325.78,329.139,325.77,328.904,56482.8712901
2014-07-21,327.034,330.265,327.034,328.699,46459.147593384
2014-07-22,329.765,332.411,329.041,330.05,32401.224821012
2014-07-23,329.785,334.076,328.806,330.843,58050.1948996
2014-07-24,328.287,336.19,328.287,335.858,57924.604799294
2014-07-25,332.195,335.848,332.097,333.38,36100.516962522
2014-07-28,332.244,336.299,331.577,335.211,32129.62346588
2014-07-29,337.18,337.562,330.51,330.51,61102.136442788
2014-07-30,334.526,343.135,332.43,335.485,95792.572685623
2014-07-31,333.497,334.388,328.101,329.031,75975.884338281
2014-08-01,328.316,332.341,323.214,331.509,85859.723126526
2014-08-04,331.813,333.782,328.552,333.536,49277.266917306
2014-08-05,331.157,334.203,329.325,330.912,42370.832458246
2014-08-06,330.716,332.341,329.884,331.186,29632.116267942
2014-08-07,330.549,332.488,328.973,330.608,22333.595642076
2014-08-08,330.118,334.673,330.118,334.369,27002.892623341
2014-08-11,334.967,339.844,334.967,335.926,27321.462633871
2014-08-12,335.73,338.139,333.243,334.574,37956.799908495
2014-08-13,336.739,340.912,334.545,339.364,50606.684076633
2014-08-14,339.52,341.352,338.385,340.196,22005.836112011
2014-08-15,340.745,341.577,337.826,341.479,23515.980488852
2014-08-18,342.567,346.533,342.567,345.455,23610.938857374
2014-08-19,345.858,348.168,345.858,348.051,18730.282926815
2014-08-20,347.228,348.541,344.457,347.394,23359.758656765
2014-08-21,347.747,349.157,346.904,346.924,35384.755496554
2014-08-22,345.544,347.659,343.712,345.926,28348.646706286
2014-08-25,345.534,349.637,345.524,347.747,20908.199056498
2014-08-26,347.052,347.747,345.269,347.101,49346.698842678
2014-08-27,347.033,347.033,344.544,345.544,19322.49640793
2014-08-28,343.428,346.023,341.724,344.643,26515.848088011
2014-08-29,346.219,346.425,343.889,345.965,29864.917429483
2014-09-02,347.414,352.487,346.709,350.881,90807.768867005
2014-09-03,353.8,353.946,350.117,351.459,34946.721732076
2014-09-04,351.997,353.329,347.404,348.932,36635.551210976
2014-09-05,349.51,352.83,348.668,351.39,22862.503544174
2014-09-08,350.147,351.547,345.465,348.639,48559.463335886
2014-09-09,348.825,348.825,344.084,344.3,34798.668361797
2014-09-10,345.015,345.015,341.646,342.273,39156.542736615
2014-09-11,340.549,344.26,340.118,343.359,31027.902179463
2014-09-12,342.243,342.684,339.451,340.343,23248.463364624
2014-09-15,340.108,340.108,336.494,339.677,42275.874089723
2014-09-16,338.032,344.828,336.759,341.704,46094.629985181
2014-09-17,342.879,344.486,341.097,341.587,23327.084809531
2014-09-18,342.037,345.142,341.166,343.135,47991.755240198
2014-09-19,343.007,344.76,338.139,339.04,109884.19036295
2014-09-22,339.168,340.049,335.956,337.64,55421.992312725
2014-09-23,336.73,338.071,334.33,335.896,37431.976237302
2014-09-24,335.72,339.305,335.348,338.052,33515.198800142
2014-09-25,337.983,337.983,332.919,332.969,38356.033479385
2014-09-26,333.076,335.124,331.724,332.635,55839.604922683
2014-09-29,328.385,330.128,326.897,329.315,79237.142715311
2014-09-30,330.373,330.373,323.968,324.839,74696.49900753
2014-10-01,322.724,324.066,314.909,317.074,89479.372765403
2014-10-02,315.897,321.764,315.614,320.119,36822.404774845
2014-10-03,322.685,323.958,321.411,322.185,35839.126184651
2014-10-06,324.458,324.458,321.127,321.333,31688.526528223
2014-10-07,320.002,321.363,313.479,313.802,47626.216574269
2014-10-08,315.153,317.426,311.971,316.026,42553.60179121
2014-10-09,314.105,316.447,309.571,309.669,47531.258205745
2014-10-10,309.415,309.415,302.676,304.821,50703.684560609
2014-10-13,305.017,308.279,301.805,301.864,81915.377130762
2014-10-14,302.656,308.288,301.883,302.912,39405.680821772
2014-10-15,296.878,306.799,291.561,303.401,48726.91680296
2014-10-16,299.582,312.352,296.506,309.141,70042.517892155
2014-10-17,314.419,317.866,312.323,315.026,51491.941125126
2014-10-20,315.163,321.099,311.608,320.609,39106.510908037
2014-10-21,323.106,329.13,321.383,328.179,63707.875759689
2014-10-22,329.002,330.059,320.266,320.785,39348.501589113
2014-10-23,325.692,328.669,324.095,326.387,28453.81565207
