Date,Open,High,Low,Close,Volume
2014-06-02,5.9919,6.0416,5.8929,6.0294,204964200
2014-06-03,5.9999,6.08,5.9579,5.9653,171354120
2014-06-04,5.9537,6.0643,5.9043,6.0459,174354250
2014-06-05,6.053,6.1343,5.9796,6.1193,189411810
2014-06-06,6.143,6.2127,6.1194,6.1447,157335570
2014-06-09,6.1349,6.1521,6.0013,6.0441,166169010
2014-06-10,6.0791,6.2291,6.0717,6.1184,229408480
2014-06-11,6.0767,6.18,6.0714,6.1429,137512060
2014-06-12,6.1336,6.1464,6.0071,6.035,158275460
2014-06-13,6.0429,6.1129,5.9601,6.1101,157854970
2014-06-16,6.0933,6.1601,6.0489,6.1466,125496000
2014-06-17,6.2577,6.4013,6.2539,6.3379,289964710
2014-06-18,6.3381,6.4403,6.2893,6.4097,187873280
2014-06-19,6.4159,6.4213,6.258,6.3056,173180140
2014-06-20,6.3029,6.3269,6.214,6.2883,132432370
2014-06-23,6.2774,6.3123,6.2221,6.2789,106889160
2014-06-24,6.2579,6.4277,6.2214,6.2337,203832510
2014-06-25,6.2143,6.3537,6.1904,6.3459,157557190
2014-06-26,6.297,6.3163,6.2393,6.2801,142397640
2014-06-27,6.2617,6.3313,6.2486,6.3154,155874180
2014-06-30,6.3214,6.3839,6.2813,6.2943,106117970
2014-07-01,6.5176,6.7669,6.5043,6.7586,380195550
2014-07-02,6.7643,6.7981,6.6577,6.6677,173222000
2014-07-03,6.7166,6.7517,6.6981,6.7479,113594950
2014-07-07,6.7443,6.7461,6.5714,6.5803,183166130
2014-07-08,6.5663,6.5857,6.2754,6.3579,261997890
2014-07-09,6.374,6.4191,6.2819,6.3286,210119910
2014-07-10,6.2056,6.3456,6.1171,6.265,243907580
2014-07-11,6.3066,6.3447,6.245,6.2851,142225930
2014-07-14,6.3329,6.5069,6.2714,6.4654,174343540
2014-07-15,6.4384,6.4481,6.3181,6.4156,135181200
2014-07-16,6.4879,6.51,6.3343,6.3491,134493590
2014-07-17,6.3326,6.4121,6.2613,6.2766,132706280
2014-07-18,6.31,6.3471,6.2249,6.3453,117665520
2014-07-21,6.4527,6.5357,6.3946,6.4564,345887570
2014-07-22,6.3283,6.3524,6.0723,6.1584,571747330
2014-07-23,6.1487,6.2201,6.093,6.1129,172768120
2014-07-24,6.1353,6.1459,5.986,6.0769,186329780
2014-07-25,6.0714,6.1167,6.0057,6.0266,116150930
2014-07-28,6.0316,6.0844,5.9789,6.0666,119609000
2014-07-29,6.0459,6.1199,6.0459,6.0611,92860390
2014-07-30,6.0679,6.2184,6.0616,6.2051,152688760
2014-07-31,6.1466,6.1853,6.0184,6.0389,138249370
2014-08-01,6.0251,6.1104,5.893,6.0771,189475300
2014-08-04,6.1029,6.1429,6.0111,6.0386,106942570
2014-08-05,6.0186,6.1143,6.0044,6.0407,106651020
2014-08-06,6.009,6.2129,6.0079,6.1471,158351340
2014-08-07,6.2201,6.4279,6.2079,6.4239,273225820
2014-08-08,6.4314,6.4424,6.315,6.3693,155045450
2014-08-11,6.4174,6.5379,6.4101,6.4506,132532540
2014-08-12,6.4376,6.4714,6.3344,6.3773,108473540
2014-08-13,6.4,6.4887,6.3831,6.4504,90580630
2014-08-14,6.4601,6.5,6.4031,6.441,66650430
2014-08-15,6.4579,6.6,6.4086,6.5584,220489570
2014-08-18,6.6009,6.7071,6.5893,6.6571,135171610
2014-08-19,6.6727,6.7214,6.6061,6.6879,109025980
2014-08-20,6.6714,6.7679,6.6363,6.7456,121656010
2014-08-21,6.7326,6.8021,6.681,6.7436,117470150
2014-08-22,6.7277,6.8507,6.715,6.8456,137442760
2014-08-25,6.8793,6.9329,6.8219,6.8704,134936130
2014-08-26,6.8357,6.8836,6.7793,6.848,101560340
2014-08-27,6.8486,6.8606,6.7661,6.7814,103945590
2014-08-28,6.75,6.8211,6.7259,6.7887,75859770
2014-08-29,6.8121,6.8643,6.7734,6.8234,98390600
2014-09-02,6.8357,6.8399,6.7799,6.8086,88098360
2014-09-03,6.8646,6.9657,6.8076,6.8199,162260980
2014-09-04,6.8444,6.8813,6.7447,6.7524,119591290
2014-09-05,6.7604,6.8193,6.7153,6.7954,119532980
2014-09-08,6.7771,6.8657,6.7743,6.8476,76703620
2014-09-09,6.9471,6.9899,6.8057,6.843,197454810
2014-09-10,6.8687,6.925,6.8149,6.9199,91050960
2014-09-11,6.8974,6.9194,6.8524,6.8794,78651300
2014-09-12,6.9093,6.927,6.8017,6.8079,134292340
2014-09-15,6.822,6.822,6.5264,6.5393,205668540
2014-09-16,6.3957,6.5449,6.3657,6.5273,268397080
2014-09-17,6.5273,6.5553,6.447,6.4933,121333450
2014-09-18,6.5353,6.5909,6.476,6.5573,106303330
2014-09-19,6.5857,6.5904,6.4881,6.536,119616910
2014-09-22,6.5181,6.5279,6.2697,6.3254,161711690
2014-09-23,6.3033,6.4001,6.2929,6.3414,114716350
2014-09-24,6.3494,6.4523,6.322,6.4366,95533480
2014-09-25,6.4221,6.4621,6.3203,6.3356,98436730
2014-09-26,6.3571,6.4377,6.3413,6.4107,104046950
2014-09-29,6.3439,6.4363,6.3146,6.4223,95171790
2014-09-30,6.4614,6.5313,6.4257,6.4454,124767370
2014-10-01,6.4099,6.4286,6.247,6.2686,154166950
2014-10-02,6.27,6.4356,6.2554,6.4283,184517900
2014-10-03,6.4733,6.58,6.4644,6.5649,152921160
2014-10-06,6.6,6.6744,6.5857,6.6211,137111380
2014-10-07,6.5879,6.6611,6.5143,6.5179,137591020
