Date,Open,High,Low,Close,Volume
2014-06-02,105.474,106.324,104.88,106.047,1088890.1035356
2014-06-03,105.325,106.166,104.791,105.622,2022370.2910985
2014-06-04,105.632,106.413,105.138,106.305,1428687.4746638
2014-06-05,106.256,107.67,106.096,107.532,1410324.1188539
2014-06-06,107.739,108.313,107.482,107.829,1144589.5542434
2014-06-09,107.601,108.62,107.185,108.214,1062750.2894705
2014-06-10,107.839,107.849,106.968,107.601,1086410.1258152
2014-06-11,106.918,107.334,106.256,106.295,1119567.4481485
2014-06-12,105.849,106.086,103.732,103.93,1787971.9730869
2014-06-13,104.326,105.562,104.039,105.038,1124193.9102528
2014-06-16,104.671,106.206,104.671,105.692,1276163.7919304
2014-06-17,105.532,105.939,104.801,105.275,860012.61612164
2014-06-18,105.215,105.799,104.484,105.582,963882.65281972
2014-06-19,105.682,106.859,105.355,106.374,1143958.9486618
2014-06-20,107.047,107.917,106.68,107.324,1864210.5709786
2014-06-23,107.443,107.443,106.246,106.562,806255.51145236
2014-06-24,106.047,106.592,104.841,104.861,911780.88780244
2014-06-25,104.811,105.196,104.484,104.948,831077.52154536
2014-06-26,105.038,105.038,103.94,104.711,707293.89031579
2014-06-27,104.504,104.988,104.296,104.929,1026333.8277125
2014-06-30,105.295,105.315,103.821,104.019,1079832.2223995
2014-07-01,103.761,105.415,102.841,104.741,1445812.8627851
2014-07-02,104.365,105.038,103.94,104.118,1138667.5210561
2014-07-03,104.554,105.632,104.395,105.365,623832.63522457
2014-07-07,105.206,105.206,104.257,104.444,833742.43647961
2014-07-08,104.237,104.741,103.247,103.781,1240419.3697746
2014-07-09,104.167,104.524,103.623,104.177,794321.50293563
2014-07-10,102.792,104.958,102.792,104.286,924730.53511665
2014-07-11,104.534,105.999,103.989,105.789,834682.28133698
2014-07-14,105.702,106.71,105.552,106.383,1065993.2595214
2014-07-15,106.7,107.67,106.473,107.077,1206215.080482
2014-07-16,107.314,107.492,106.69,107.116,905783.06067509
2014-07-17,106.453,107.829,106.393,106.592,923455.17575108
2014-07-18,106.948,108.155,106.8,107.71,808453.53571555
2014-07-21,107.591,108.956,107.284,108.798,1468278.1866335
2014-07-22,109.145,110.431,108.877,110.015,1414929.3586551
2014-07-23,108.66,111.292,108.63,110.084,1252327.1030588
2014-07-24,110.431,111.579,109.56,111.242,1375611.5048696
2014-07-25,110.768,111.599,110.708,110.915,1095083.9843213
2014-07-28,111.292,111.717,110.074,111.134,1451346.830999
2014-07-29,110.915,111.292,109.738,109.867,1219803.4180648
2014-07-30,110.481,110.598,108.966,109.451,1182104.5228402
2014-07-31,108.61,108.699,106.968,107.175,1662483.4834978
2014-08-01,106.879,108.561,106.839,107.759,1185274.7307085
2014-08-04,107.393,107.799,106.276,107.265,1577822.6629812
2014-08-05,107.047,108.897,106.859,106.997,1414832.3424117
2014-08-06,106.086,106.256,104.851,105.196,1394803.5410912
2014-08-07,105.899,106.403,104.335,104.612,1497474.0123638
2014-08-08,104.998,106.908,104.821,106.849,1447836.0556931
2014-08-11,107.166,107.849,107.106,107.353,815524.60503485
2014-08-12,107.433,108.146,106.8,106.968,885206.52181411
2014-08-13,107.363,109.303,107.086,108.838,873741.42514018
2014-08-14,109.026,109.51,108.64,108.709,834101.19446281
2014-08-15,109.135,109.55,107.532,108.581,998396.18138808
2014-08-18,109.243,110.371,109.243,110.184,836502.34648548
2014-08-19,110.481,110.778,109.937,110.431,762232.36986491
2014-08-20,110.441,111.658,110.214,111.47,1075544.306561
2014-08-21,111.796,111.796,111.015,111.352,840338.5304409
2014-08-22,111.589,111.866,110.808,110.955,788977.52486496
2014-08-25,111.599,111.708,110.847,111.342,773962.24003629
2014-08-26,111.352,111.371,110.441,110.638,893249.77473854
2014-08-27,110.925,111.183,110.371,110.975,848723.36138877
2014-08-28,110.431,111.212,110.431,110.935,780724.07007994
2014-08-29,110.955,111.648,110.827,111.242,928476.77692981
2014-09-02,112.272,112.519,111.767,112.4,1175547.8417277
2014-09-03,112.875,112.875,111.599,111.856,986500.57513433
2014-09-04,112.272,112.449,111.075,111.242,1185489.9854984
2014-09-05,111.322,111.599,110.798,111.529,1146231.7562791
2014-09-08,111.529,112.222,111.499,111.549,1217056.6456752
2014-09-09,111.836,113.162,111.569,112.321,1327124.6055026
2014-09-10,112.222,113.964,112.202,113.667,1307450.5198219
2014-09-11,113.31,113.637,113.003,113.449,1078976.2561692
2014-09-12,113.439,113.954,113.123,113.667,1042360.7089952
2014-09-15,113.459,114.459,113.251,114.142,852565.6088594
2014-09-16,113.795,115.587,113.746,115.369,833006.72996762
2014-09-17,116.259,116.556,115.369,115.903,930544.43561601
2014-09-18,116.002,116.259,115.517,115.794,1080662.9239832
2014-09-19,116.566,117.387,116.457,116.863,2082726.5214867
2014-09-22,116.279,116.863,115.29,115.34,1154654.98949
2014-09-23,114.923,114.923,112.568,112.638,1344791.6676492
2014-09-24,112.459,113.885,112.272,113.667,1145659.7646778
2014-09-25,114.211,114.449,112.272,112.688,1192539.8325144
2014-09-26,113.983,115.714,113.598,115.369,1128149.3433407
2014-09-29,114.756,116.151,114.172,115.389,1219398.1731317
2014-09-30,115.557,116.23,114.805,115.21,1590367.0653622
2014-10-01,114.182,114.409,111.717,111.925,1792606.5198782
2014-10-02,112.103,112.578,110.618,110.955,1543303.0708976
2014-10-03,111.648,112.855,111.609,112.311,1253862.1829926
2014-10-06,112.865,113.37,111.222,111.708,1042465.8099255
2014-10-07,111.143,111.212,108.917,108.956,1176330.0351896
2014-10-08,108.907,110.56,107.917,110.471,1145136.2811981
2014-10-09,110.254,110.648,108.126,108.432,882638.62312319
2014-10-10,107.849,109.65,107.582,108.422,1370369.5959716
2014-10-13,108.59,109.49,106.136,106.206,1122629.523329
2014-10-14,106.69,109.817,106.572,108.581,1321851.3684427
2014-10-15,107.265,108.017,103.366,106.047,2247765.2996108
2014-10-16,104.335,107.136,103.663,106.315,1330657.6136976
2014-10-17,107.116,109.283,107.116,108.808,1210402.9483194
2014-10-20,108.491,109.066,107.887,109.006,1113230.0641695
2014-10-21,108.868,110.351,107.849,110.284,1665659.7548813
2014-10-22,111.045,112.429,108.927,109.402,2196283.0237308
2014-10-23,111.143,113.251,109.777,112.964,2132528.1930681
2014-10-24,112.935,114.429,112.381,114.349,1185348.5034768
2014-10-27,114.389,114.508,113.043,114.349,1500138.927298
2014-10-28,115.487,117.407,115.013,117.358,1897380.0203423
2014-10-29,117.525,118.971,116.962,118.594,2002162.6160794
2014-10-30,117.734,120.455,116.942,120.049,2035339.1395442
2014-10-31,121.276,121.741,119.94,120.593,1716472.0123308
2014-11-03,120.465,120.533,119.099,119.762,1434429.6235664
2014-11-04,120.553,121.949,119.624,121.137,1515976.8290234
2014-11-05,121.771,121.939,119.802,120.505,1548926.9812538
2014-11-06,120.356,121.237,119.615,120.742,1382495.6158032
2014-11-07,120.762,120.782,118.357,119.001,2089504.5209042
2014-11-10,118.664,119.05,117.902,118.594,1245656.2257433
2014-11-11,118.783,120.376,118.714,119.653,703556.74377544
2014-11-12,119.06,119.634,118.337,118.921,901009.05303405
2014-11-13,119.03,120.693,119.03,119.969,1109281.7051827
2014-11-14,119.178,120.049,118.694,118.971,1367035.6731926
2014-11-17,118.971,119.455,118.594,118.812,879290.55214208
2014-11-18,119.089,120.95,118.723,120.713,1373606.5025072
2014-11-19,120.089,120.495,119.385,120.266,1136518.0049146
2014-11-20,119.615,121.237,119.347,121.039,873190.65584205
2014-11-21,122.334,122.919,121.346,121.652,1222486.5235447
2014-11-24,121.494,123.097,121.346,123.018,821515.35806112
2014-11-25,122.879,124.443,122.879,123.77,1345490.9930699
2014-11-26,123.77,124.472,123.582,124.304,912434.73685912
2014-11-28,124.354,125.235,123.631,123.839,1002250.5558891
2014-12-01,123.631,124.007,121.87,121.939,1578516.9354726
2014-12-02,122.167,123.641,122.038,123.126,2427541.4514501
2014-12-03,123.493,124.721,123.275,123.869,1328355.4990899
2014-12-04,123.66,124.274,122.226,122.879,1081654.3087198
2014-12-05,125.848,130.707,125.639,129.777,2442293.9839529
2014-12-08,129.777,130.034,128.144,128.786,2683009.4742262
2014-12-09,127.193,130.093,126.896,129.667,1488493.9463396
2014-12-10,129.163,129.578,126.699,126.808,1826421.7336117
2014-12-11,127.313,128.985,126.739,128.015,1303614.3358664
2014-12-12,127.125,127.125,124.374,124.404,1393590.8380494
2014-12-15,125.334,126.155,123.453,124.681,1413026.4254653
2014-12-16,124.087,128.441,124.077,126.352,1952121.4356472
2014-12-17,126.362,127.243,124.739,126.185,1737895.4221494
2014-12-18,127.688,130.548,127.668,130.508,1605426.8159691
2014-12-19,130.647,132.458,130.528,131.725,2628420.6573876
2014-12-22,132.112,134.426,132.022,133.764,1363812.9148592
2014-12-23,134.426,134.596,132.804,132.943,1063624.4462465
2014-12-24,133.141,134.229,132.933,133.338,475278.53378128
2014-12-26,133.507,134.081,133.081,133.141,625213.09552045
2014-12-29,132.606,133.17,131.972,132.754,905870.98164562
2014-12-30,132.269,132.794,131.685,132.468,1079316.8236068
2014-12-31,132.468,132.834,129.38,129.52,1821625.4930815
2015-01-02,130.291,131.053,127.006,128.688,2329829.9250323
2015-01-05,127.797,128.698,125.175,125.946,6561758.2958254
2015-01-06,126.026,128.262,124.414,126.689,3552269.9616271
2015-01-07,127.46,130.746,127.313,130.657,2697189.004542
2015-01-08,131.666,134.546,131.637,133.695,3946747.1023221
2015-01-09,133.962,135,133.378,134.219,2152314.4537801
2015-01-12,134.269,134.962,132.497,133.537,1808371.659421
2015-01-13,134.446,136.159,132.646,133.566,1695936.9074905
2015-01-14,131.934,133.982,130.944,133.655,1595367.4442378
2015-01-15,134.09,134.942,132.774,133.833,1655080.9420138
2015-01-16,133.735,134.883,132.993,134.733,1327860.3120145
2015-01-20,135.881,136.159,132.893,135.08,1247290.3430921
2015-01-21,134.289,136.337,133.932,135.526,1657150.6218717
2015-01-22,136.169,138.117,135.307,137.535,1284580.961626
2015-01-23,137.445,138.187,136.762,137.238,1133321.5218139
2015-01-26,137.395,137.455,135.684,136.664,1239722.0655256
2015-01-27,135.14,136.06,134.012,134.397,1644387.9329432
2015-01-28,135.476,136.634,133.605,133.695,2242998.366071
2015-01-29,136,138.939,135.07,138.761,2548783.4592212
2015-01-30,137.356,139.909,137.029,137.93,2688112.9328603
2015-02-02,138.177,140.245,135.901,139.899,1666824.9603873
2015-02-03,139.295,142.115,138.544,141.007,2319545.1926524
2015-02-04,140.75,143.422,140.602,142.214,1852621.1722429
2015-02-05,143.441,144.104,142.284,143.233,1243661.3292396
2015-02-06,144.302,144.302,142.135,142.591,1199169.2758093
2015-02-09,142.165,144.361,141.493,143.184,1895455.8648495
2015-02-10,144.827,145.044,143.55,144.906,1440496.1705328
2015-02-11,144.471,146.736,144.342,146.112,1996024.3175164
2015-02-12,147.023,147.657,146.272,146.994,1417185.9968985
2015-02-13,147.083,147.251,145.935,146.866,1103041.3374471
2015-02-17,146.38,147.726,145.985,147.251,1201879.6671077
2015-02-18,145.826,147.34,145.549,147.33,1342487.5318699
2015-02-19,147.45,149.547,147.163,149.497,1190347.8717665
2015-02-20,149.043,151.378,148.923,151.308,1552553.9739345
2015-02-23,150.884,151.348,149.686,149.844,1362496.121473
2015-02-24,149.21,150.111,148.489,149.547,1357091.5082502
2015-02-25,149.646,149.814,147.053,148.172,1532976.904497
2015-02-26,147.736,148.607,146.282,146.736,1455670.1173428
2015-02-27,146.519,147.855,146.112,146.212,1432777.315672
2015-03-02,146.122,147.984,145.985,147.45,2668065.9409943
2015-03-03,146.322,146.944,143.56,144.371,2484343.45134
2015-03-04,144.074,144.897,143.313,144.658,1390753.1129317
2015-03-05,144.501,145.262,143.66,144.065,1217124.3549284
2015-03-06,143.194,143.194,140.819,141.513,2019095.9928858
2015-03-09,141.056,142.878,140.939,142.304,1435524.0880616
2015-03-10,141.176,141.63,139.721,139.721,1544891.7118823
2015-03-11,140.335,140.939,139.385,139.444,1440283.9475005
2015-03-12,139.652,141.186,139.652,141.166,1687131.6728216
2015-03-13,140.622,141.888,137.94,139.008,1773383.1554947
2015-03-16,139.592,142.501,139.592,142.372,1503411.204339
2015-03-17,141.216,142.482,141.216,142.204,1273904.1219293
2015-03-18,141.72,144.144,140.74,143.66,1837645.3002632
2015-03-19,143.58,144.55,142.699,143.393,1382485.5099446
2015-03-20,143.56,144.797,142.996,143.461,4980022.6443628
2015-03-23,143.817,144.718,143.441,143.54,1328762.7651948
2015-03-24,142.976,143.976,142.234,143.006,1080663.934569
2015-03-25,143.303,143.501,140.423,140.433,1348596.5234427
2015-03-26,139.474,141.106,138.603,140.542,1312781.3602762
2015-03-27,140.393,141.957,140.206,141.581,1628082.1299609
2015-03-30,142.194,144.332,141.878,143.501,1181310.2023478
2015-03-31,142.878,143.69,142.047,142.047,1333172.9619234
2015-04-01,141.235,142.324,139.513,141.65,1643046.8854962
2015-04-02,141.76,143.6,141.393,142.64,1033293.7325864
2015-04-06,141.62,144.124,141.473,143.58,1429403.9800442
2015-04-07,143.797,145.252,143.451,143.728,1090211.9498511
2015-04-08,143.204,145.481,142.996,144.906,1157848.4408333
2015-04-09,144.877,145.748,143.877,145.203,842675.00496801
2015-04-10,145.371,146.419,144.847,145.865,715606.96966702
2015-04-13,145.578,146.409,144.322,144.342,1075339.1576299
2015-04-14,144.204,145.025,143.086,144.025,789053.31880506
2015-04-15,144.57,145.084,143.718,144.025,727636.98384124
2015-04-16,143.56,144.887,142.798,144.154,1035465.481617
2015-04-17,143.115,143.184,140.899,141.294,1277532.1251958
2015-04-20,142.224,144.025,141.977,143.51,959290.55063495
2015-04-21,144.461,144.57,143.006,143.363,1117604.8903926
2015-04-22,143.253,143.402,141.74,142.996,875198.68996202
2015-04-23,142.491,144.668,142.194,143.65,982292.49557943
2015-04-24,143.373,143.52,142.294,142.749,713053.21917825
2015-04-27,142.966,143.748,141.186,141.275,1395745.4071203
2015-04-28,141.176,142.037,140.206,141.61,1283281.3481996
2015-04-29,142.966,144.154,139.731,140.393,1583656.7751979
2015-04-30,139.572,140.156,134.813,135.891,2794204.2372965
2015-05-01,136.654,137.712,136.11,137.663,1288076.5781439
2015-05-04,137.812,138.899,137.228,137.515,1166234.282367
2015-05-05,137.375,138.079,134.733,135.239,1410363.5317028
2015-05-06,135.871,136.475,134.496,135.259,1430828.9061183
2015-05-07,135.259,135.98,134.743,135.397,1218498.7517091
2015-05-08,136.762,138.098,136.554,137.94,1058679.6495938
2015-05-11,137.88,138.968,137.663,137.96,845947.28200901
2015-05-12,137.613,137.663,136.485,137.148,1074111.2958001
2015-05-13,137.118,137.802,136.861,136.971,933332.64202617
2015-05-14,138.137,139.305,137.702,139.118,1039525.0050492
2015-05-15,139.158,140.186,138.821,139.425,756835.84132909
2015-05-18,139.335,140.008,138.939,139.434,798800.41950317
2015-05-19,139.592,140.671,139.068,140.226,1082125.2417343
2015-05-20,140.662,141.463,139.869,140.829,1239814.0288396
2015-05-21,141.363,142.759,141.186,142.224,1223925.5978209
2015-05-22,141.819,142.115,140.799,141.166,1084179.7628043
2015-05-26,141.106,141.106,139.464,139.839,976321.95427053
2015-05-27,140.602,140.859,139.493,140.552,980931.23641507
2015-05-28,140.126,142.422,139.829,142.324,1416504.8620234
2015-05-29,141.542,142.571,140.345,141.166,2152852.0854621
2015-06-01,141.076,142.611,140.365,141.838,1499504.2793729
2015-06-02,141.176,142.976,139.622,142.204,1419253.6555848
2015-06-03,142.412,143.155,141.73,142.135,1340920.1131884
2015-06-04,141.443,142.204,139.968,140.216,1068699.6084763
2015-06-05,139.652,139.949,138.791,139.483,1047274.177486
2015-06-08,139.255,139.819,138.771,138.909,1063062.5605038
2015-06-09,138.978,139.949,138.474,139.425,1057696.349544
2015-06-10,139.998,141.096,138.721,140.592,1433709.0758425
2015-06-11,140.829,142.808,140.789,142.601,1041866.5325057
2015-06-12,141.522,143.086,141.086,142.808,1158466.9193846
2015-06-15,141.581,142.392,140.997,141.858,1042088.8613967
2015-06-16,141.027,144.985,141.027,143.194,982884.69889815
2015-06-17,143.64,144.897,142.868,144.431,937551.83802561
2015-06-18,144.817,147.123,144.758,146.459,1297280.9942308
2015-06-19,145.845,147.173,145.845,146.361,2191529.2278071
2015-06-22,147.013,147.717,146.638,146.736,1082909.4563681
2015-06-23,146.906,147.4,145.194,145.738,1409554.0524224
2015-06-24,145.638,146.025,144.451,144.748,979951.97870885
2015-06-25,145.104,145.529,143.65,143.768,1004763.8829432
2015-06-26,144.025,144.401,143.165,143.441,2297644.7863042
2015-06-29,142.621,143.283,140.671,140.71,1190038.6324908
2015-06-30,141.888,142.115,140.255,140.662,1015552.8976713
2015-07-01,141.552,142.354,141.027,141.997,828166.02365928
2015-07-02,142.501,142.956,140.463,141.413,1100503.7563321
2015-07-06,140.403,141.503,140.206,141.196,1091815.7496238
2015-07-07,141.73,143.214,140.226,143.115,1112456.9659805
2015-07-08,142.096,143.432,142.067,142.501,1001829.1415821
2015-07-09,144.56,145.441,144.144,144.273,1385576.8921152
2015-07-10,145.688,147.153,145.164,146.657,1315999.0656803
2015-07-13,148.092,148.626,147.201,148.349,1063173.7249493
2015-07-14,148.221,149.715,148.112,149.418,1319490.6398548
2015-07-15,149.151,149.923,148.736,149.517,1117569.5198872
2015-07-16,150.18,150.804,149.399,150.616,988859.28255055
2015-07-17,150.081,150.714,149.25,149.873,893119.40916157
2015-07-20,150.338,151.051,149.863,150.587,989762.74631665
2015-07-21,149.983,150.27,147.183,147.905,940147.02253496
2015-07-22,147.885,148.3,146.984,147.469,1020998.9449147
2015-07-23,147.746,148.607,146.439,146.766,1378697.8341108
2015-07-24,146.459,147.183,145.598,146.142,750356.97532852
2015-07-27,145.371,145.638,143.787,144.154,1094296.7379301
2015-07-28,144.916,145.925,143.64,144.867,1786124.62212
2015-07-29,151.288,156.514,148.241,153.812,3503871.9938165
2015-07-30,153.288,156.077,152.832,155.553,1868334.7719066
2015-07-31,155.94,155.94,153.168,153.426,1964751.7378272
2015-08-03,153.278,153.732,151.328,152.664,1518462.870259
2015-08-04,153.04,153.595,152.169,152.634,1570064.3952716
2015-08-05,153.445,154.762,153.327,154.029,1263900.3324207
2015-08-06,154.237,154.396,152.268,153.298,987306.01207123
2015-08-07,153.158,153.693,151.675,153.089,983560.78084394
2015-08-10,154.425,155.93,154.079,155.396,933943.03589051
