Date,Open,High,Low,Close,Volume
2014-06-02,36.14,36.46,35.98,36.21,61285
2014-06-03,36.17,36.25,35.8,35.87,46167
2014-06-04,35.83,36.17,35.364,35.52,41738
2014-06-05,35.5,36.6,35.5,36.46,37341
2014-06-06,36.6,37.41,36.45,37.31,47310
2014-06-09,37.31,38.27,37.31,38.08,54832
2014-06-10,38.11,38.39,37.44,37.81,31500
2014-06-11,37.65,37.84,37.015,37.44,22951
2014-06-12,37.01,37.41,36.24,36.68,23918
2014-06-13,36.92,37.51,36.71,37.385,28842
2014-06-16,37.38,37.85,37.1,37.72,41796
2014-06-17,37.57,38.88,37.54,38.46,47715
2014-06-18,38.5,38.6,37.9,38.3,40099
2014-06-19,38.28,38.73,38.18,38.6,49158
2014-06-20,38.89,38.98,37.94,38.61,192293
2014-06-23,38.5,38.99,38.42,38.85,40354
2014-06-24,38.65,39.59,38.25,38.375,46788
2014-06-25,38.05,39.02,37.96,38.77,36534
2014-06-26,38.92,39.2,38.39,39.13,26177
2014-06-27,38.87,40.12,38.79,40,93630
2014-06-30,40,40.54,39.47,40.33,40367
2014-07-01,40.49,41.43,40.49,40.64,34645
2014-07-02,40.7,41.01,40.08,40.12,22200
2014-07-03,40.13,41.08,40.07,40.92,8968
2014-07-07,41,41,39.42,39.52,37813
2014-07-08,39.62,40.05,39.05,39.93,21979
2014-07-09,40.07,40.07,39.29,39.46,13287
2014-07-10,38.93,38.93,38.087,38.68,26460
2014-07-11,38.85,40.15,38.01,38.41,47130
2014-07-14,38.64,39.46,36.88,38.7,40382
2014-07-15,38.49,38.87,37.6,37.74,20105
2014-07-16,37.79,38.45,37.633,38.26,32663
2014-07-17,37.83,37.92,36.92,37.11,27287
2014-07-18,37.31,37.85,37.1,37.39,31857
2014-07-21,37.29,37.3,36.93,37.09,27114
2014-07-22,37.27,37.96,37.09,37.84,26449
2014-07-23,37.95,38.45,37.55,37.77,27775
2014-07-24,37.52,37.89,37.29,37.41,25469
2014-07-25,37.3,37.3,36.6,36.86,19373
2014-07-28,36.69,36.69,36.02,36.51,20534
2014-07-29,36.33,36.4,35.84,36.29,27912
2014-07-30,36.46,36.839,36.15,36.38,16302
2014-07-31,35.84,36.82,35.34,35.85,39369
2014-08-01,36,36.08,35.45,35.78,37359
2014-08-04,35.75,36.82,35.53,36.61,40584
2014-08-05,37,37,35,35.54,60455
2014-08-06,35.16,36.57,35.16,35.69,34120
2014-08-07,34.99,35.61,34.527,35.01,39464
2014-08-08,34.98,35.88,34.95,35.69,23699
2014-08-11,35.89,36.69,35.51,36.24,32333
2014-08-12,36.17,36.25,35.34,36.04,35922
2014-08-13,36.27,36.32,35.67,36.03,27171
2014-08-14,36.14,38.86,35.9,36.18,27655
2014-08-15,36.61,36.61,35.21,35.7,41679
2014-08-18,36.03,36.39,35.98,36.25,16008
2014-08-19,36.303,36.53,36.21,36.26,14368
2014-08-20,36.16,36.48,35.67,35.86,13153
2014-08-21,35.99,36.68,35.64,36.14,20830
2014-08-22,35.98,36.84,35.98,36.56,29729
2014-08-25,36.85,38.07,36.85,37.39,79530
2014-08-26,37.3,38.24,37.3,37.61,32486
2014-08-27,37.8,38.12,37.21,37.56,28383
2014-08-28,37.34,37.34,36.7,36.8,28257
2014-08-29,37.07,37.07,36.58,36.96,39752
2014-09-02,37.23,37.82,36.6,37.13,41387
2014-09-03,37.3,37.62,36.83,37.15,54981
2014-09-04,37.15,37.42,36.42,36.55,37196
2014-09-05,36.35,36.98,36,36.75,33638
2014-09-08,36.72,36.98,36.59,36.62,15916
2014-09-09,36.64,36.81,36.15,36.34,18614
2014-09-10,36.18,36.42,35.91,36.34,46914
2014-09-11,36.18,36.66,36.08,36.41,17395
2014-09-12,36.53,36.53,35.98,35.98,22836
2014-09-15,35.58,36.13,35.52,35.79,20019
2014-09-16,35.75,36.1,35.68,35.96,24765
2014-09-17,35.99,36.35,35.24,36.04,42242
2014-09-18,36.03,36.43,32.9,35.75,81928
2014-09-19,35.84,36.44,35.27,35.6,79979
2014-09-22,35.32,35.605,35.25,35.32,21925
2014-09-23,35.25,35.477,34.92,35.03,30082
2014-09-24,35,35.52,34.6,35.22,28805
2014-09-25,35.25,35.62,34.68,34.78,23972
2014-09-26,34.94,35.25,34.63,34.91,28096
2014-09-29,34.75,35.13,34.14,34.64,26786
2014-09-30,34.67,34.78,34.02,34.1,60162
2014-10-01,34.05,34.155,33.55,33.86,37715
2014-10-02,34,34.63,33.92,34.38,34623
2014-10-03,34.69,34.78,33.55,33.82,41799
2014-10-06,33.95,33.95,33.39,33.53,52379
2014-10-07,33.15,33.71,33.15,33.47,28377
2014-10-08,33.5,34.21,33.39,33.57,141184
2014-10-09,33.46,33.77,32.81,32.84,42060
2014-10-10,32.85,32.86,32.29,32.32,38804
2014-10-13,32.29,32.5,32.15,32.28,47917
2014-10-14,32.53,32.57,32.25,32.47,45959
2014-10-15,32.03,32.91,31.79,32.61,56087
2014-10-16,32.25,33.76,32.25,33.35,82046
2014-10-17,33.85,33.85,32.88,33,53338
2014-10-20,32.8,33.59,32.8,33.19,23502
2014-10-21,33.18,34.05,33.01,33.54,38709
2014-10-22,33.22,33.74,33.08,33.2,24093
2014-10-23,33.63,33.96,33.2,33.39,35554
2014-10-24,33.29,34.13,33.19,33.93,29807
2014-10-27,33.82,33.86,33.405,33.82,22532
2014-10-28,34.04,35.16,33.6,34.61,68746
2014-10-29,34.65,35.23,34.57,34.97,31104
2014-10-30,34.85,35.67,34.85,35.44,37783
2014-10-31,35.64,36.07,35.46,35.78,45140
2014-11-03,35.76,35.92,34.88,35.13,40464
2014-11-04,34.52,34.93,33.44,33.98,119376
2014-11-05,33.66,34,33,33.38,53811
2014-11-06,33.22,33.67,33.16,33.38,29443
2014-11-07,33.3,33.8,33.3,33.79,29246
2014-11-10,33.62,33.78,33.27,33.33,34071
2014-11-11,33.21,33.43,33.02,33.15,47754
2014-11-12,33.1,33.81,33,33.76,31885
2014-11-13,33.69,33.83,33.15,33.25,32716
2014-11-14,33.1,33.86,33.1,33.6,42967
2014-11-17,33.46,33.69,33.19,33.34,33356
2014-11-18,33.34,34.233,33.34,33.68,24557
2014-11-19,33.44,33.44,32.74,33.02,50451
2014-11-20,33.1,33.15,32.86,33,38615
2014-11-21,33.52,34.15,33.45,33.57,31726
2014-11-24,33.58,33.96,33.32,33.84,16780
2014-11-25,33.72,34.11,33.575,33.92,24566
2014-11-26,33.95,33.95,33.66,33.73,12547
2014-11-28,33.43,33.52,32.85,33.04,28294
2014-12-01,33.08,33.08,31.85,32.29,71267
2014-12-02,32,32.76,31.92,32.05,63486
2014-12-03,32.05,32.9,31.82,32.36,46831
2014-12-04,32.24,32.7,31.66,31.67,48202
2014-12-05,31.61,32.03,31.23,31.42,59057
2014-12-08,31.36,31.49,30.59,30.7,49718
2014-12-09,30.6,30.91,30.27,30.87,111350
2014-12-10,30.65,30.74,29.26,29.26,55203
2014-12-11,29.26,29.45,27.62,27.9,82228
2014-12-12,27.5,27.57,26.65,27.2,68373
2014-12-15,27.3,27.5,26.46,26.77,44300
2014-12-16,26.84,27.86,26.8,27.44,51550
2014-12-17,27.25,29,27.25,28.89,46506
2014-12-18,29.08,29.15,26.03,29.04,36609
2014-12-19,28.92,29.66,27.7,29.42,169081
2014-12-22,29.26,29.92,29.14,29.84,43315
2014-12-23,29.89,30.31,29.42,30.25,63729
2014-12-24,30.37,30.4,29.53,29.53,11437
2014-12-26,29.69,29.87,29.03,29.59,35821
2014-12-29,29.72,29.8,29,29.33,46786
2014-12-30,29.48,30.37,29.23,30.27,22680
2014-12-31,30.17,30.4,30.09,30.12,39898
2015-01-02,30.12,30.28,28.79,28.84,37390
2015-01-05,28.51,28.51,26.16,26.56,71131
2015-01-06,26.5,27,26.15,26.84,64258
2015-01-07,26.7,26.85,26.3,26.53,67399
2015-01-08,26.78,27.22,26.47,26.91,57069
2015-01-09,26.74,26.91,26.48,26.56,38216
2015-01-12,26.41,26.41,24.72,24.89,54275
2015-01-13,24.9,25.18,24.33,24.63,58399
2015-01-14,24.19,24.5,23.3,23.5,92933
2015-01-15,23.65,23.65,22.68,22.69,88679
2015-01-16,22.56,24.48,22.52,24.26,138723
2015-01-20,24.14,24.43,23.46,24,75446
2015-01-21,23.97,23.97,23.16,23.56,48849
2015-01-22,23.79,24.52,23.78,24.4,49797
2015-01-23,24.61,24.67,24.1,24.6,44684
2015-01-26,24.64,24.75,23.8,24.48,34347
2015-01-27,24.17,24.87,24.07,24.52,19869
2015-01-28,24.72,24.75,24.16,24.29,40334
2015-01-29,24.37,24.69,24.06,24.69,40824
2015-01-30,24.38,24.8,23.9,23.93,37756
2015-02-02,24.06,24.34,23.61,24.23,25737
2015-02-03,24.2,25.29,24.2,25.14,30284
2015-02-04,24.87,24.87,23.94,24.11,26978
2015-02-05,24.33,24.83,24.24,24.76,35692
2015-02-06,24.87,25.61,24.83,25.5,28857
2015-02-09,25.5,26.48,25.5,26.15,42609
2015-02-10,26.15,26.15,24.77,24.84,30068
2015-02-11,24.73,24.76,24.008,24.17,16669
2015-02-12,24.14,24.73,24.14,24.65,12432
2015-02-13,24.58,26.5,24.29,26.32,30694
2015-02-17,26.16,26.49,24.93,25.22,27590
2015-02-18,25.22,25.72,25.22,25.67,30914
2015-02-19,25.46,25.7,24.93,25.44,16699
2015-02-20,25.51,25.51,24.94,25.11,15632
2015-02-23,24.83,24.89,24.24,24.65,53581
2015-02-24,24.64,25.12,24.63,24.87,11965
2015-02-25,24.93,25.03,24.43,24.67,10070
2015-02-26,24.55,24.72,23.92,24.28,21137
2015-02-27,24.22,24.5,23.84,24.22,22700
2015-03-02,23.96,24.44,23.79,24.43,15900
2015-03-03,24.32,24.32,23.62,23.93,49600
2015-03-04,23.78,24.25,23.54,24.06,27900
2015-03-05,23.91,24.23,23.62,23.83,34900
2015-03-06,23.55,23.96,23.49,23.8,24700
2015-03-09,23.85,23.85,23.15,23.28,14300
2015-03-10,23,23.01,21.66,22.31,61900
