Date,Open,High,Low,Close,Volume
2014-06-02,30.0601,30.2655,29.8418,30.1915,2169706.6276686
2014-06-03,30.0874,30.2158,29.9957,30.0512,1648069.8032667
2014-06-04,30.0337,30.0765,29.8593,29.9178,1687140.6116922
2014-06-05,29.9957,30.658,29.9178,30.6248,3062636.7749003
2014-06-06,30.6725,30.7573,30.4768,30.6005,2193569.2576483
2014-06-09,30.5401,30.6531,29.9402,30.0414,2383672.5149682
2014-06-10,30.0181,30.1564,29.8535,30.0337,2096603.2589701
2014-06-11,30.0259,30.1691,29.9256,30.1564,2694106.4285894
2014-06-12,30.0473,30.3424,29.9869,30.3347,2288755.9035553
2014-06-13,30.3658,30.4895,30.1135,30.4437,3044963.3766025
2014-06-16,30.4437,30.6725,30.1068,30.175,3400426.3122274
2014-06-17,30.1564,30.4816,30.0725,30.3268,2568687.2135263
2014-06-18,30.321,30.7359,30.2089,30.6725,1934571.2681037
2014-06-19,30.7107,30.8947,30.5684,30.8888,2150655.3347262
2014-06-20,30.8557,31.2034,30.7027,31.2034,3494001.9918923
2014-06-23,31.1741,31.2346,30.8684,30.8888,2384659.2189572
2014-06-24,30.8616,30.9015,30.6317,30.806,2240221.5668599
2014-06-25,30.7749,30.9298,30.658,30.7573,1903535.7826943
2014-06-26,30.7573,30.7904,30.47,30.6248,2393450.227859
2014-06-27,30.6278,30.9248,30.4836,30.8294,2286503.2203587
2014-06-30,30.8362,30.9921,30.5879,30.9687,2625674.7593187
2014-07-01,31.0154,31.3126,30.7934,31.2715,3191439.1217469
2014-07-02,31.1771,31.29,30.9451,31.069,2249284.6637503
2014-07-03,31.0496,31.0496,30.66,30.8362,1361429.7275675
2014-07-07,30.8099,31.1051,30.7281,31.0496,2083727.8499967
2014-07-08,30.9921,31.3485,30.9044,31.1927,2332663.7176965
2014-07-09,31.2376,31.4439,31.0223,31.2501,2195965.6854427
2014-07-10,30.9921,31.5317,30.9774,31.4731,2097135.1139817
2014-07-11,31.4731,31.5113,31.2307,31.4517,1248104.5669141
2014-07-14,31.5113,31.6836,31.3349,31.6281,1509163.2379428
2014-07-15,31.6368,31.8014,31.517,31.6368,1883286.2758546
2014-07-16,31.6679,31.6952,31.3417,31.558,2157681.3653165
2014-07-17,31.4731,31.7147,31.4439,31.5763,1618306.4575478
2014-07-18,31.6242,31.9591,31.5843,31.9241,1484311.8504797
2014-07-21,31.7879,31.8685,31.5843,31.7771,1544895.064711
2014-07-22,31.8014,31.8609,31.517,31.5376,2196990.3790757
2014-07-23,31.6163,31.7147,31.3718,31.5705,3786507.8739281
2014-07-24,31.7225,31.7606,30.886,31.1771,3633224.7953312
2014-07-25,31.1567,31.29,31.0223,31.1567,1687588.2734395
2014-07-28,31.1284,31.4439,31.0885,31.2151,2393332.1519394
2014-07-29,31.259,31.3718,31.069,31.069,2316927.7912273
2014-07-30,31.1157,31.2481,30.1993,30.4088,3676269.1151384
2014-07-31,30.286,30.359,30.1107,30.1331,3004780.6010384
2014-08-01,30.0844,30.207,29.9382,30.0844,3691053.2470209
2014-08-04,30.1195,30.4088,29.9149,30.3337,2099574.6651556
2014-08-05,30.3337,30.5275,30.1797,30.2791,1980244.060556
2014-08-06,30.207,30.4321,30.1993,30.3414,1794614.3404687
2014-08-07,30.359,30.5342,30.2985,30.4826,1441088.8766724
2014-08-08,30.4768,30.7134,30.3795,30.66,1498817.7338906
2014-08-11,30.6481,30.8206,30.4321,30.5879,2318824.1931709
2014-08-12,30.6481,30.732,30.4768,30.6406,1928031.9156514
2014-08-13,30.7466,31.2103,30.7388,31.1955,1499133.9720057
2014-08-14,31.1731,31.3077,31.0825,31.1879,1180759.196104
2014-08-15,31.3077,31.3982,31.1314,31.293,1736770.4875723
2014-08-18,31.3212,31.5969,31.2346,31.5813,1802671.2251747
2014-08-19,31.6271,31.7196,31.5142,31.6798,1174229.0843759
2014-08-20,31.6495,31.8441,31.5629,31.7994,1471491.8858514
2014-08-21,31.7263,31.9435,31.6798,31.7819,1139020.8986424
2014-08-22,31.7741,31.8441,31.3914,31.5629,1528669.3798624
2014-08-25,31.6991,31.706,31.3379,31.3748,1586466.0023909
2014-08-26,31.4226,31.4557,31.2687,31.329,1563805.693297
2014-08-27,31.4147,31.4489,31.1879,31.293,1704577.8581508
2014-08-28,31.2044,31.4245,31.1597,31.332,1266307.7667295
2014-08-29,31.3007,31.4587,31.258,31.4362,1550832.7433468
2014-09-02,31.4167,31.5024,31.1974,31.3699,2491516.8994575
2014-09-03,31.3699,31.517,31.258,31.332,2042828.4049381
2014-09-04,31.2695,31.558,31.1527,31.3622,2641006.1474198
2014-09-05,31.3855,31.8853,31.3007,31.8793,2390667.7431448
2014-09-08,31.7635,31.856,31.4303,31.6173,3533340.781318
2014-09-09,31.6291,31.6445,31.1489,31.3699,2649521.9880915
2014-09-10,31.4002,31.4002,30.9347,30.963,2315104.2883297
2014-09-11,30.9278,31.0534,30.6396,30.7466,3201309.2418792
2014-09-12,30.7164,30.7534,29.7989,29.8711,3912233.059635
2014-09-15,29.8974,30.1301,29.6392,29.7989,2071608.1269091
2014-09-16,29.8398,30.358,29.8398,30.1038,4195849.365045
2014-09-17,30.1505,30.3639,29.8788,29.8974,2783832.8332748
2014-09-18,29.9178,30.0522,29.3519,29.3519,3245601.059446
2014-09-19,29.494,29.6392,29.2847,29.605,3187142.1850201
2014-09-22,29.5672,29.5847,29.2604,29.2672,2797849.9850533
