Date,Open,High,Low,Close,Volume
2014-06-02,54.0009,54.193,53.6177,54.1852,2448493.2597475
2014-06-03,53.9578,54.0167,53.5873,53.7834,2487288.4731071
2014-06-04,53.5805,53.8824,53.4031,53.6177,1549658.5734534
2014-06-05,53.7168,54.0568,53.5873,53.9901,2650794.6854566
2014-06-06,54.145,54.145,53.4874,53.7226,2059438.0849724
2014-06-09,53.7089,54.1166,53.7089,54.0568,1894550.2650772
2014-06-10,53.9823,54.096,53.6315,53.8,1644256.8543619
2014-06-11,53.4923,53.7392,53.3992,53.654,2321123.1254075
2014-06-12,53.7912,53.8294,53.2698,53.4502,2580917.3838764
2014-06-13,53.6766,53.7834,53.1483,53.5149,1258875.0822193
2014-06-16,53.5471,53.6158,52.867,53.3835,1923255.8658724
2014-06-17,53.4355,53.7668,53.2846,53.6227,2787213.6349485
2014-06-18,53.5413,53.7158,53.0729,53.6471,1971347.8490615
2014-06-19,53.6373,54.247,53.5471,54.147,1610493.1822194
2014-06-20,54.4175,54.5674,54.0891,54.5605,2339152.3896066
2014-06-23,54.3096,54.5067,54.0979,54.1891,1983893.5394417
2014-06-24,53.9755,54.5311,53.9676,54.3773,1588700.7211011
2014-06-25,54.1254,54.5674,53.9676,54.5155,1379179.0184395
2014-06-26,54.5389,54.5674,53.9755,54.3714,1262697.4617366
2014-06-27,54.3469,54.7085,54.3469,54.6732,1527122.2483019
2014-06-30,54.5762,54.7506,54.147,54.2714,2184748.0526693
2014-07-01,54.4851,54.8937,54.4605,54.7232,1349379.5599716
2014-07-02,54.5517,54.7654,54.3096,54.4018,1331717.6360357
2014-07-03,54.6223,56.1394,54.5155,55.9217,2660873.0737351
2014-07-07,55.8542,55.8542,55.3004,55.3612,1634714.1706339
2014-07-08,55.2142,55.3063,54.5389,54.7232,1293478.5350191
2014-07-09,54.7584,54.9653,54.4605,54.9035,1805871.2643554
2014-07-10,54.3322,54.4851,54.0745,54.3773,1268458.5815322
2014-07-11,54.4312,54.4449,54.1127,54.3096,1635671.2960976
2014-07-14,54.5017,54.6066,54.0891,54.2185,2507781.978239
2014-07-15,54.4312,54.5155,53.752,54.1195,3028812.3057101
2014-07-16,54.4018,54.6223,53.998,54.3773,2757959.0645377
2014-07-17,54.1254,54.5605,54.0265,54.1568,2399762.5126562
2014-07-18,54.4018,54.5929,54.147,54.5067,1618365.4881392
2014-07-21,54.4527,54.6164,54.0979,54.3528,2049580.1008517
2014-07-22,54.7584,55.3152,54.0666,55.2084,4058407.8810523
2014-07-23,55.1711,55.6278,54.88,55.0653,2441936.2360482
2014-07-24,55.2456,55.6542,54.9869,55.5219,1993987.2335645
2014-07-25,55.5493,56.4971,55.5259,56.4813,3521921.7120041
2014-07-28,55.7532,55.7532,55.1711,55.6003,3858521.7175742
2014-07-29,55.5758,55.6542,54.8732,54.9114,2620484.0117888
2014-07-30,55.3789,55.4583,54.5429,54.6497,2612539.258206
2014-07-31,54.6497,54.6732,53.1885,53.3365,3045494.6556106
2014-08-01,53.165,54.0185,53.0003,53.7579,2264093.5495351
2014-08-04,53.7579,54.1048,53.4355,53.9755,1441935.0208604
2014-08-05,53.8598,53.9911,53.3992,53.6697,1483905.686718
2014-08-06,53.3453,53.7392,53.1081,53.5717,1818405.7304499
2014-08-07,53.7912,54.0185,53.3649,53.4188,1777453.4134332
2014-08-08,53.3718,54.1254,53.1797,54.0813,1712685.2026813
2014-08-11,54.1401,54.7986,54.1401,54.3714,1135538.5480479
2014-08-12,54.3096,54.4605,54.1048,54.1803,1239131.5634583
2014-08-13,54.4782,54.5605,54.1195,54.242,1220919.6495171
2014-08-14,54.4243,54.8281,54.2185,54.8046,1132243.7099642
2014-08-15,55.0731,55.1799,54.0979,54.5831,1481474.0982531
2014-08-18,54.9417,55.124,54.9035,55.0261,830363.48161065
2014-08-19,55.0868,55.2622,54.6223,54.638,1054585.9375301
2014-08-20,54.6732,55.0868,54.5429,54.8888,984106.60607411
2014-08-21,54.9114,55.3524,54.8673,55.3298,1417995.6599812
2014-08-22,55.222,55.3357,54.835,54.9349,944272.63608118
2014-08-25,55.1574,55.1574,54.5831,54.7232,1358184.5020042
2014-08-26,54.8585,55.0868,54.638,54.7986,894305.17677016
2014-08-27,54.8114,55.1015,54.5223,55.1015,1479235.3634265
2014-08-28,55.0261,55.272,54.6291,55.0339,1213275.9108723
2014-08-29,55.0868,55.421,54.7506,54.8732,1471053.8794517
2014-09-02,54.8428,55.3152,54.6732,54.9721,1461782.6193627
2014-09-03,55.3298,55.4681,54.7144,54.8888,1367201.6850778
2014-09-04,54.9349,55.1476,54.7418,54.8732,1542483.1936442
2014-09-05,54.8428,55.1172,54.6458,55.1084,1181334.6545916
2014-09-08,55.1084,55.1084,54.4527,54.638,1325885.0889667
2014-09-09,54.7418,54.8585,54.34,54.835,1483421.0016484
2014-09-10,54.6997,54.7986,54.2244,54.638,1739790.832552
2014-09-11,54.5517,54.7418,54.2106,54.3861,1504965.5080891
2014-09-12,54.3469,54.3626,53.8216,54.1254,1175631.6970043
2014-09-15,54.1656,54.1656,53.409,53.6011,1344598.0142114
2014-09-16,53.5629,53.9265,53.2934,53.8158,1631217.2954054
2014-09-17,53.8824,54.0421,53.3649,53.5943,1326929.9679378
2014-09-18,53.6628,53.998,53.508,53.8432,1362188.5108738
2014-09-19,54.2058,54.3979,53.8,54.2508,2906055.352843
2014-09-22,54.1264,54.1264,53.3757,53.6746,1700079.3093135
2014-09-23,53.2081,53.4149,52.5525,52.7475,2921225.4853263
2014-09-24,52.6858,53.4404,52.4339,53.361,1921570.1822197
2014-09-25,53.2012,53.261,52.7602,52.9857,2128177.6521259
2014-09-26,53.0925,53.7216,53.0455,53.6991,1417749.7460827
2014-09-29,53.0837,53.4982,52.9474,53.0611,1793863.3193051
2014-09-30,53.0925,53.3874,52.8464,52.8464,3209972.2788785
2014-10-01,52.7161,52.868,51.5871,51.7577,2117619.6807259
2014-10-02,51.7646,51.941,50.8962,51.5176,1909536.7274289
2014-10-03,51.8724,52.527,51.8724,52.232,2059232.9866587
2014-10-06,52.3624,52.4104,51.7949,51.8116,1845886.8637007
2014-10-07,51.7116,51.7273,50.5895,50.6541,2921830.5763711
2014-10-08,50.7806,51.6342,50.3974,51.4156,4563342.5826546
2014-10-09,51.4813,51.5529,50.321,50.5973,2437542.4383436
2014-10-10,50.7139,51.2275,50.2818,50.2818,2836830.0802302
2014-10-13,50.1945,50.4827,49.5761,49.832,2485738.501274
2014-10-14,50.1749,50.7453,50.1749,50.4768,2865694.8618061
2014-10-15,49.392,50.4984,49.1391,50.4611,3155514.084849
2014-10-16,49.9986,51.3344,49.9132,50.7728,2545123.1363898
2014-10-17,50.9913,51.7577,50.812,51.5029,2537201.8517682
2014-10-20,51.303,51.7038,51.1961,51.6342,1613784.9591342
2014-10-21,53.5463,53.7158,52.1957,52.9602,2549020.0043493
2014-10-22,52.379,52.7083,51.3608,51.396,3405530.9699773
2014-10-23,51.5176,53.2728,51.4892,53.2532,4273875.3940306
2014-10-24,53.1601,53.9598,53.1464,53.8686,2436675.1071666
2014-10-27,53.6834,53.9274,53.0679,53.1101,2169687.1018752
2014-10-28,53.4767,53.7304,53.0758,53.7304,1494485.0863001
2014-10-29,53.6746,54.0607,53.507,53.8,2107501.4972521
2014-10-30,53.6609,54.4507,53.5139,54.3077,1514570.435584
2014-10-31,54.9799,55.2485,54.9192,55.1495,2540259.95946
2014-11-03,55.325,55.8679,55.325,55.7316,1560028.7931633
2014-11-04,55.719,55.9022,55.3465,55.3739,2048966.8466899
2014-11-05,55.7856,55.9119,55.1966,55.5131,1344279.6526498
2014-11-06,55.6709,55.9531,55.4171,55.8757,1536509.8328076
2014-11-07,55.9453,55.9453,55.5199,55.8042,2610850.5133846
2014-11-10,55.7698,56.0109,55.7512,56.0021,1054069.6203824
2014-11-11,56.0913,56.1834,55.9923,56.0913,1070554.0146965
2014-11-12,55.9923,56.4255,55.9923,56.3314,1176426.5805184
2014-11-13,56.4755,56.7,56.254,56.5157,1423765.9632834
2014-11-14,56.4833,57.183,56.4667,56.8449,1686333.6407399
2014-11-17,56.792,57.1762,56.7156,57.0213,1687723.4114026
2014-11-18,57.0213,57.4515,56.7989,57.2497,1465315.2082278
2014-11-19,57.2683,57.5143,56.9909,57.4595,1628683.6679785
2014-11-20,57.4065,57.5143,57.183,57.2977,1512074.562573
2014-11-21,57.6368,57.7642,57.3673,57.5741,2188612.2681609
2014-11-24,57.8044,58.4894,57.727,58.4129,1578740.6980183
2014-11-25,58.4129,58.6806,58.2807,58.4571,2479806.9764119
2014-11-26,58.3963,58.9039,58.2807,58.8187,1035096.4957846
2014-11-28,58.8187,59.3939,58.7266,59.3029,975781.24716299
2014-12-01,59.0039,59.4234,58.8481,59.2548,1387147.2409836
2014-12-02,59.2548,59.9781,59.1333,59.7615,2139051.9443083
2014-12-03,59.8928,59.931,59.5772,59.7987,1325576.9313014
2014-12-04,59.6625,60.0457,59.4028,59.9781,1798107.1197354
2014-12-05,59.931,60.1525,59.8369,60.1133,1526372.261931
2014-12-08,60.0976,60.2368,59.591,60.176,1742821.389724
2014-12-09,59.5566,60.0976,59.2548,59.9849,2919246.9498528
2014-12-10,59.8625,59.8987,59.4401,59.4606,2925879.482384
2014-12-11,59.7389,60.2368,59.3529,59.4861,1362922.1710107
2014-12-12,58.9549,59.4675,58.2963,58.3336,2173714.5797061
2014-12-15,58.6894,58.8697,57.5976,57.9327,1937374.9970469
2014-12-16,57.9043,58.2807,57.3359,57.4065,2347731.8255331
2014-12-17,57.6408,58.5737,57.1988,58.511,2154984.307838
2014-12-18,59.3449,59.3939,58.4639,59.1254,2828705.7380742
2014-12-19,59.2088,59.7654,58.9696,59.2558,3155801.8347219
2014-12-22,59.442,59.6723,59.1333,59.4802,2250589.7133015
2014-12-23,59.7341,60.1192,59.3547,59.984,1666397.2683407
2014-12-24,59.8663,60.0966,59.7429,59.7654,714604.3607587
2014-12-26,59.6723,60.0966,59.4037,59.8331,1259807.7183322
2014-12-29,59.7262,60.2769,59.4185,60.2123,1154699.4243358
2014-12-30,60.2064,60.2525,59.6106,59.9438,1056417.5368984
2014-12-31,60.2201,60.5396,59.8125,59.8409,1645067.0437202
2015-01-02,60.2064,60.2995,58.4159,58.6512,1539156.7234824
2015-01-05,58.56,58.7305,57.3947,57.6025,2117301.3191644
2015-01-06,57.7201,57.7887,56.5294,57.2242,2861242.9018931
2015-01-07,57.7044,57.7044,56.9165,57.4173,2042714.919487
2015-01-08,57.8897,58.4591,57.8417,58.3219,1519504.0193975
2015-01-09,58.4522,58.4747,57.6898,57.8122,1068940.778707
2015-01-12,58.0278,58.0847,57.2184,57.4721,1075662.0851352
2015-01-13,57.9661,58.5012,56.7744,57.4937,1512918.4247889
2015-01-14,56.9165,57.7338,56.6078,57.6898,1688148.9138742
2015-01-15,57.0782,57.5192,56.4285,56.5069,2346800.2098099
2015-01-16,56.0061,56.8753,56.0061,56.8381,2483885.4737238
2015-01-20,56.8538,57.0939,56.3138,56.9645,1862713.0885376
2015-01-21,56.7382,57.6898,56.6598,57.6456,1673541.0160716
2015-01-22,57.9602,58.4845,57.4319,58.2748,1682249.0210904
2015-01-23,58.3924,58.4591,57.3801,57.4408,1463060.1471672
2015-01-26,57.5319,57.8201,56.9381,57.6192,969308.91580214
2015-01-27,57.1468,57.5476,56.645,56.9919,1447835.934034
2015-01-28,57.4251,57.5104,56.3971,56.6676,2180567.5163954
2015-01-29,56.6362,57.48,56.0658,57.3105,1399944.9676
2015-01-30,56.7156,57.0782,56.1296,56.2374,1762680.2125121
2015-02-02,56.499,56.7989,55.6042,56.5069,2249685.6480981
2015-02-03,56.9223,57.3713,56.6598,57.3477,1349199.9713985
2015-02-04,57.3311,57.8328,57.1027,57.2242,1375005.624893
2015-02-05,57.2722,58.2895,57.0635,58.122,2035552.804743
2015-02-06,58.0484,58.3591,57.6398,57.8328,1442185.0163173
2015-02-09,57.3311,58.6766,57.3311,58.56,3303514.45653
2015-02-10,58.5345,58.56,55.8228,58.0847,5706070.7959663
2015-02-11,57.8269,58.6228,57.4487,58.4218,3486287.6656879
2015-02-12,58.7236,59.4097,58.5227,59.0716,1950341.0879506
2015-02-13,59.2029,59.9751,59.0941,59.9114,2349019.5572339
2015-02-17,59.7958,59.9751,59.4802,59.634,1707381.2174356
2015-02-18,59.6958,60.0055,59.6272,59.7341,1321448.4348981
2015-02-19,59.8585,60.1917,59.7174,60.175,1150587.2541664
2015-02-20,60.0966,60.228,59.5439,60.2064,1628020.4147254
2015-02-23,60.2525,60.3838,59.8507,60.1192,1231352.1129939
2015-02-24,59.9908,60.4769,59.8909,60.3535,1220788.0192561
2015-02-25,60.1917,61.1825,60.1917,61.1394,2186845.9737284
2015-02-26,61.1394,62.2067,60.9806,61.9518,3218483.3487005
2015-02-27,61.9518,62.0842,61.3041,61.4422,1696315.0920046
2015-03-02,61.456,62.5536,61.4422,62.1988,2066233.8798428
2015-03-03,62.1684,62.4458,61.5422,61.7509,1599936.2312089
2015-03-04,61.6725,61.6813,60.7699,61.0884,1384005.4613431
2015-03-05,61.452,61.5853,60.5818,60.8699,973545.57350515
2015-03-06,60.5749,60.8071,59.7507,59.9447,1513279.6427144
2015-03-09,60.178,60.4877,59.8909,60.3867,958085.65036968
2015-03-10,59.8663,59.9986,59.4019,59.5145,1236198.9636899
2015-03-11,59.7095,59.7742,59.1823,59.3607,1174453.146993
2015-03-12,59.5508,60.5268,59.4077,60.4005,1130457.0077393
2015-03-13,60.3319,60.373,59.4606,59.9045,1033594.4822636
2015-03-16,60.2956,60.7925,59.984,60.6278,1161458.4851799
2015-03-17,60.2623,60.4661,59.8213,59.9673,916794.56399911
2015-03-18,59.9585,61.065,59.4547,60.7347,1041572.9087039
2015-03-19,60.668,60.8699,60.3319,60.8151,829834.91978739
2015-03-20,61.0953,61.3727,60.8533,60.8757,1841308.3754749
2015-03-23,60.9081,61.3658,60.8855,61.0002,1057780.777431
2015-03-24,60.9218,61.2247,60.6278,60.6278,976996.53120064
2015-03-25,60.767,60.8993,60.0055,60.0545,1506979.7571993
2015-03-26,59.8585,60.0624,59.5145,59.7419,1577861.1221657
2015-03-27,59.7654,60.1212,59.688,59.8751,857361.97057122
2015-03-30,60.0976,60.7856,60.0976,60.668,1051093.1438602
2015-03-31,60.5582,61.1394,60.3319,60.619,1325447.3418196
2015-04-01,59.7507,60.4877,59.6948,60.3867,1669059.4648598
2015-04-02,60.2779,61.3265,60.2779,61.1982,1281352.2247728
2015-04-06,61.3824,61.501,60.962,61.4295,1140362.9501721
2015-04-07,61.3109,61.4432,60.8454,60.8454,1630142.8251353
2015-04-08,60.8924,61.6324,60.7611,61.3433,1800142.7970277
2015-04-09,61.2433,61.3991,60.568,60.7287,2575746.0492813
2015-04-10,60.7121,61.1472,60.472,61.1168,1174582.7364748
2015-04-13,60.619,60.7435,60.0368,60.1868,2066548.1598458
2015-04-14,60.1074,60.6052,59.8331,60.5964,2138199.9189755
2015-04-15,60.7219,60.7983,60.0447,60.1623,2047744.419925
2015-04-16,60.1702,60.5436,59.8909,60.1623,1939404.5520014
2015-04-17,59.8585,59.9908,59.4401,59.8125,2074651.0738197
2015-04-20,60.13,60.915,59.9986,60.5436,3112011.8141715
2015-04-21,60.4357,60.5366,59.4322,59.5792,2334580.0237185
2015-04-22,59.5792,60.7121,59.2205,60.5268,2704651.8699997
2015-04-23,60.4877,60.8454,60.1133,60.4808,1318398.4903234
2015-04-24,60.6052,60.6278,59.7948,60.2466,1952003.3026419
2015-04-27,60.3397,60.6425,60.0447,60.0624,2107839.2462164
2015-04-28,60.0447,60.2545,59.3019,59.3509,1915158.0538466
2015-04-29,59.244,59.4224,58.7687,59.2656,2340155.4326032
2015-04-30,59.2372,59.4145,58.5933,58.8941,1941772.8763099
2015-05-01,59.2372,59.7595,59.0568,59.6654,1327017.7214451
2015-05-04,59.8507,60.1623,59.7095,59.9114,1054180.842851
2015-05-05,59.7164,60.0447,59.2754,59.2921,1576960.1181311
2015-05-06,59.3509,59.7331,58.6158,58.8785,1735189.8957546
2015-05-07,59.2921,59.5704,58.9118,59.3067,1608499.3409016
2015-05-08,59.9447,60.6425,59.7742,59.9301,1197736.3973464
2015-05-11,59.9673,60.4877,59.7742,59.7742,1313124.0963766
2015-05-12,59.4077,59.5704,58.9403,59.4077,995045.18280253
2015-05-13,59.4401,59.883,59.393,59.6723,1040832.1058396
2015-05-14,60.0702,60.5092,59.7595,60.472,1404970.3864794
2015-05-15,60.5749,60.7347,60.4514,60.7347,2362207.0726851
2015-05-18,60.6347,60.9081,60.5964,60.6504,1603200.457604
2015-05-19,60.8611,61.1022,60.4269,60.472,1558312.4978221
2015-05-20,60.6112,60.8533,60.1133,60.3035,1402871.4450307
2015-05-21,60.3573,60.5818,60.1535,60.3152,1111548.1676876
2015-05-22,60.3249,60.619,59.7742,59.8331,1445874.7451839
2015-05-26,59.6948,59.7262,58.5345,58.7021,2142717.1838241
2015-05-27,58.9118,59.0568,58.5414,58.7942,2290377.7657615
2015-05-28,58.7374,58.7687,58.3728,58.5933,1419072.1710304
2015-05-29,58.4424,58.5345,57.5653,57.9357,3020132.8716009
2015-06-01,58.1248,58.3973,57.4947,58.0622,1621913.3828485
2015-06-02,57.8603,58.3659,57.7211,58.0033,1232920.4518402
2015-06-03,58.314,58.5414,57.9769,58.2807,855431.39340983
2015-06-04,58.0092,58.1308,57.48,57.5114,1166220.6435373
2015-06-05,57.4319,57.5653,56.9695,57.1918,1866775.2596156
2015-06-08,57.0351,57.2801,56.9743,57.0351,1653365.8725013
2015-06-09,56.9341,56.9527,56.2824,56.6019,1513045.9734913
2015-06-10,56.8733,57.4301,56.8048,57.3056,1587535.4361547
2015-06-11,57.3359,57.4781,57.1262,57.234,797577.34272437
2015-06-12,56.9635,57.0243,56.5784,56.7499,1427387.3260454
2015-06-15,56.1776,56.4529,56.0247,56.1403,1627957.1505689
2015-06-16,56.1776,56.6578,56.008,56.6166,1472352.8354383
2015-06-17,56.7499,57.085,56.6166,56.844,1040293.3401202
2015-06-18,56.8989,57.4869,56.8518,56.9459,2097451.6798829
2015-06-19,56.7274,56.7568,56.3128,56.4755,2197358.0275955
2015-06-22,56.7274,57.1644,56.7274,56.9635,1390978.8040074
2015-06-23,57.0243,57.0311,56.2422,56.2422,1291921.4204587
2015-06-24,56.0903,56.3432,55.5278,55.5278,1156549.3907171
2015-06-25,55.7522,55.8228,55.0917,55.2798,1665774.8306724
2015-06-26,55.4563,55.761,55.3318,55.4504,1611481.9397613
2015-06-29,55.1211,55.325,54.1676,54.1676,2047631.1566771
2015-06-30,54.3939,54.738,54.0245,54.3939,2110832.0489723
2015-07-01,55.178,55.9629,54.6742,54.7164,1716879.0040203
2015-07-02,54.8398,55.076,54.0891,54.292,2175127.8193301
2015-07-06,54.192,54.2842,53.8158,54.2136,2435999.6092379
2015-07-07,54.3165,55.2622,53.9891,55.2084,2232106.3757214
2015-07-08,54.833,55.0917,54.3469,54.6056,2550212.8398153
2015-07-09,55.4415,55.8787,55.4063,55.568,2924017.2713271
2015-07-10,56.3206,57.0488,56.256,56.8989,3069910.5384425
2015-07-13,57.234,57.234,56.6706,56.8675,2407255.2336372
2015-07-14,56.8224,57.0557,56.7116,56.8675,1906719.4316875
2015-07-15,57.2674,57.5104,56.8303,57.141,3632060.526828
2015-07-16,57.3997,57.6408,57.1262,57.4927,2074970.4557709
2015-07-17,57.6114,57.8005,57.4301,57.7662,2874959.9995573
2015-07-20,57.6917,58.0651,57.4623,57.972,4657376.5881031
2015-07-21,58.1562,58.3621,56.0384,57.2674,5215275.633331
2015-07-22,57.1958,57.7211,56.7568,57.6917,2636703.1048018
2015-07-23,58.0259,58.3219,57.0488,57.1742,2293551.1774804
