Date,Open,High,Low,Close,Volume
2014-06-02,9.89467,9.972,9.86333,9.924,6117855
2014-06-03,9.86733,9.98667,9.86733,9.89933,6009180
2014-06-04,9.86933,10.0613,9.86267,10.0567,5752590
2014-06-05,10.0707,10.1367,9.99333,10.0967,7255710
2014-06-06,10.1333,10.2393,10.108,10.2247,8489100
2014-06-09,10.2773,10.2807,10.132,10.1573,5646690
2014-06-10,10.1133,10.1433,10.022,10.1227,5898930
2014-06-11,10.1253,10.1573,10.038,10.068,5077515
2014-06-12,10.004,10.064,9.88267,9.91667,6102105
2014-06-13,9.938,9.976,9.86733,9.96933,5115780
2014-06-16,9.92467,10.02,9.884,9.90667,7363515
2014-06-17,9.86267,9.96,9.814,9.91867,5500500
2014-06-18,10.0013,10.1,9.99133,10.0753,12515670
2014-06-19,10.1007,10.134,10.0093,10.038,5668920
2014-06-20,10.0987,10.126,10.0007,10.066,18092325
2014-06-23,10.0433,10.07,9.96667,9.988,7981095
2014-06-24,10.07,10.078,9.936,9.944,8787180
2014-06-25,9.898,9.99733,9.84733,9.94933,7225320
2014-06-26,9.938,9.97067,9.896,9.954,6413175
2014-06-27,9.928,10.0153,9.92667,9.984,10362585
2014-06-30,9.98333,10.0413,9.95267,10.04,10347345
2014-07-01,10.002,10.1393,10.0007,10.1007,7340970
2014-07-02,10.0707,10.132,10.012,10.1267,5533500
2014-07-03,10.138,10.2073,10.114,10.1967,4122960
2014-07-07,10.1793,10.2267,10.1447,10.1667,4415820
2014-07-08,10.1593,10.2107,10.134,10.138,8709000
2014-07-09,10.1667,10.3867,10.1393,10.3767,9664125
2014-07-10,10.2547,10.3207,10.2213,10.2393,8477895
2014-07-11,10.2487,10.2807,10.1307,10.2733,6740205
2014-07-14,10.3273,10.4247,10.2773,10.3927,9025485
2014-07-15,10.3747,10.3947,10.2547,10.2833,7729410
2014-07-16,10.3007,10.3233,10.208,10.2613,10703400
2014-07-17,10.204,10.3093,10.126,10.1373,9189480
2014-07-18,10.112,10.196,10.0287,10.1887,10973775
2014-07-21,10.1207,10.1913,10.0113,10.0133,13042755
2014-07-22,9.998,10.0467,9.71867,9.72533,24987870
2014-07-23,9.726,9.80067,9.70067,9.774,16017555
2014-07-24,10.218,10.2667,10.016,10.118,24809415
2014-07-25,10.078,10.166,10.078,10.116,13670700
