Date,Open,High,Low,Close,Volume
2014-06-02,73.7078,74.2088,73.4205,73.6848,4370948.8407055
2014-06-03,73.7078,74.2515,73.493,74.0347,4073696.8970849
2014-06-04,73.7365,74.1014,73.5337,73.98,4182384.7725076
2014-06-05,74.4214,74.5815,73.6034,74.5278,6306496.173564
2014-06-06,74.8132,75.0378,74.4076,74.6789,5145652.243887
2014-06-09,74.5278,75.0229,74.3569,74.5348,3251434.7522206
2014-06-10,74.3927,74.5955,74.1561,74.3767,3689540.12249
2014-06-11,74.1561,74.4901,74.1481,74.3122,4081797.8879847
2014-06-12,74.6879,75.6213,74.6114,75.3171,6753589.7909077
2014-06-13,75.6144,76.8182,75.4612,76.8003,5852078.1659631
2014-06-16,76.8749,77.2178,76.6542,76.8749,5724822.2922752
2014-06-17,76.4166,76.5469,75.9096,76.4325,4505057.3097007
2014-06-18,76.3569,76.8938,75.8739,76.8182,3745315.5404012
2014-06-19,76.8749,77.0955,76.6154,76.8749,4244547.0265326
2014-06-20,77.0557,77.4803,76.7934,77.3719,9817940.2411807
2014-06-23,77.4981,78.5796,77.4803,78.2596,6722715.8915278
2014-06-24,78.3908,78.3998,75.2287,75.4702,7449306.2694075
2014-06-25,75.4782,76.4564,75.3718,76.3381,6371348.3629754
2014-06-26,76.5081,76.5081,75.35,76.3569,3423280.7814561
2014-06-27,76.0965,76.3122,75.0994,76.0359,5671413.8967887
2014-06-30,75.8033,76.7377,75.8033,76.3471,5515730.6169368
2014-07-01,77.196,77.4027,76.4166,76.4782,4455143.6171058
2014-07-02,76.4325,76.5766,75.3411,76.0587,7186740.8112229
2014-07-03,76.1204,76.4395,75.7158,76.0051,3245833.570384
2014-07-07,76.0737,76.1124,75.35,75.5786,3872059.3807639
2014-07-08,75.4941,76.1661,75.3718,75.7973,3434884.5229226
2014-07-09,75.9286,76.0876,75.4702,75.85,3035042.8296501
2014-07-10,75.2157,75.5468,74.3122,74.7019,6485808.4333296
2014-07-11,74.8052,74.9235,74.1908,74.7555,4188675.0365205
2014-07-14,75.0994,75.4275,74.9553,75.2943,3510856.5873378
2014-07-15,75.3579,75.5309,73.8489,74.0347,5125367.0729576
2014-07-16,74.2674,75.8182,74.2674,75.68,4181975.3470393
2014-07-17,75.7973,76.0051,74.2674,74.3569,3739478.9640694
2014-07-18,74.4145,75.1353,74.02,75.0816,4555039.4075336
2014-07-21,75.2525,75.2525,74.4145,74.829,3503507.0480961
2014-07-22,75.1064,75.8877,74.9384,75.3341,3454103.3769076
2014-07-23,75.3171,75.68,74.9314,75.5846,2280397.2505777
2014-07-24,75.5309,75.5786,74.6572,75.0458,3162448.5912858
2014-07-25,74.6789,75.0816,74.3927,74.4613,3491850.9967417
2014-07-28,74.5428,74.842,74.02,74.2605,3147266.6522992
2014-07-29,74.0587,74.3489,73.8419,73.8956,3033116.4174345
2014-07-30,74.2158,74.6282,72.9622,72.988,5710929.9932157
2014-07-31,73.5219,73.7157,72.5188,72.6908,7318406.8108395
2014-08-01,72.6372,73.5964,72.0287,72.822,6973236.9980369
2014-08-04,73.4702,75.3032,73.3618,74.9484,6887645.9500151
2014-08-05,74.5745,74.5875,73.2097,73.7305,6339046.0012736
2014-08-06,73.5884,74.8052,73.4383,73.9523,3908749.7372881
2014-08-07,74.0587,74.2088,72.7336,73.1173,4396598.793017
2014-08-08,73.3876,74.2813,73.172,74.2445,4040481.1242646
2014-08-11,74.5428,75.173,74.0347,74.2236,3322408.2044688
2014-08-12,73.9473,74.6789,73.6858,74.2515,4006870.0094074
2014-08-13,74.3847,75.1064,73.7892,74.3847,3304011.2192985
2014-08-14,74.6114,74.9991,74.2008,74.3698,4653375.96092
2014-08-15,74.4145,74.842,73.8956,74.7396,5755750.5134617
2014-08-18,74.9692,75.0656,74.013,74.842,3991883.2265407
2014-08-19,75.192,75.9593,74.8718,75.7346,4258449.3851859
2014-08-20,75.4017,75.8092,75.0746,75.6899,2579658.0950835
2014-08-21,75.7079,76.2486,75.5379,76.0737,3583322.8833083
2014-08-22,76.0587,76.4942,75.85,76.2029,4114905.0171916
2014-08-25,76.5469,77.024,76.3798,76.8391,4295614.5545381
2014-08-26,77.0409,77.1394,76.7079,76.7377,3074647.4505028
2014-08-27,76.9246,77.1254,76.5926,76.9027,3002456.7874029
2014-08-28,76.8093,77.7159,76.7019,77.3799,3785116.3233332
2014-08-29,76.6443,77.4246,76.6443,77.1631,3341482.2003027
2014-09-02,76.9306,77.1314,75.9384,76.1423,3647725.4088759
2014-09-03,76.7546,77.0409,76.1661,76.2128,4004309.8427814
