Date,Open,High,Low,Close,Volume
2014-06-02,30.1683,30.5764,30.1424,30.5475,1446985.6294548
2014-06-03,30.6072,30.8498,30.4591,30.5427,1253814.0099781
2014-06-04,30.5764,30.6881,30.5052,30.5639,1369603.5297524
2014-06-05,30.6708,30.7121,30.2559,30.5852,1230026.5102495
2014-06-06,30.5852,30.6612,30.4475,30.5543,1212835.2210283
2014-06-09,30.6072,30.7391,30.4475,30.6015,1680315.2777141
2014-06-10,30.4831,30.8662,30.4533,30.8055,1584922.1675604
2014-06-11,30.7189,30.844,30.613,30.6554,1086135.8246533
2014-06-12,30.6612,30.666,30.2915,30.4533,1160963.1784685
2014-06-13,30.3637,30.41,30.1279,30.3878,1414910.5299124
2014-06-16,30.4475,30.6333,30.2338,30.4417,1289532.6613002
2014-06-17,30.382,30.5543,30.1885,30.4533,2227812.1781323
2014-06-18,30.382,30.4417,30.0894,30.3454,1320308.0507551
2014-06-19,30.3136,30.9027,30.3031,30.8498,2232368.955465
2014-06-20,30.7006,31.0336,30.5764,31.0144,2735537.5343021
2014-06-23,31.0711,31.3917,30.9614,31.2695,1852920.1019153
2014-06-24,31.2483,31.7536,31.1145,31.4841,1924448.8310083
2014-06-25,31.4504,31.7055,31.3339,31.6208,1461401.9181617
2014-06-26,31.5409,31.7604,31.5159,31.6708,1572551.5456496
2014-06-27,31.6073,31.949,31.462,31.7931,1557057.8793563
2014-06-30,31.7402,32.077,31.5756,32.077,1682507.4346161
2014-07-01,32.0655,32.2214,31.8614,31.9538,1302102.7590996
2014-07-02,31.8614,31.9365,31.4784,31.5852,1204512.2973593
2014-07-03,31.562,31.7247,31.1675,31.2136,1174205.4684555
2014-07-07,31.2445,31.4937,30.9057,31.0452,2253814.6913751
2014-07-08,30.8979,31.206,30.6333,30.8729,1168062.2344454
2014-07-09,30.8248,31.1578,30.5812,31.1145,1492835.9936241
2014-07-10,30.9105,31.1184,30.793,30.9643,1120977.6132146
2014-07-11,30.922,31.2262,30.9057,31.153,1255427.4790155
2014-07-14,31.1675,31.2916,31.0933,31.1607,1019112.9649839
2014-07-15,31.1145,31.2136,30.9971,31.1184,972450.15214281
2014-07-16,31.1848,31.5804,31.076,31.4986,1336017.8159279
2014-07-17,31.4408,31.7189,31.2916,31.5159,1067096.2666508
2014-07-18,31.4986,31.7604,31.3493,31.5534,1742520.5868838
2014-07-21,31.4696,31.8181,31.3667,31.7931,893642.63098572
2014-07-22,31.6439,32.0347,31.6439,31.9538,1002100.372913
2014-07-23,31.8855,32.3686,31.8614,32.0866,1367380.2047428
2014-07-24,32.0866,32.1675,31.6824,31.8422,1757433.4874387
2014-07-25,31.9047,32.0222,31.6487,31.7305,778669.71563085
2014-07-28,31.7931,31.8903,31.4408,31.562,987118.90252139
2014-07-29,31.6333,31.8941,31.4456,31.8326,1222615.7731966
2014-07-30,31.9028,32.0212,31.4533,31.6766,1425297.8212422
2014-07-31,31.4976,31.6217,30.9412,30.9672,2359930.6694839
2014-08-01,30.8392,31.1424,30.3849,30.4186,1597509.9272875
2014-08-04,30.434,31.1799,30.2877,31.1799,1057201.4314213
2014-08-05,31.049,31.2454,30.6563,30.7209,1064616.3242219
2014-08-06,30.5533,31.1145,30.4446,30.5014,1267802.2566739
2014-08-07,30.6457,31.1482,30.23,30.5273,1785363.2286688
2014-08-08,30.639,30.7642,30.2655,30.5273,1068550.7783393
2014-08-11,30.9075,31.3532,30.7209,31.1106,2160592.9593849
2014-08-12,31.023,31.1684,30.7815,30.9153,1270697.7738709
2014-08-13,31.0134,31.666,30.8777,31.3224,1795127.1578463
2014-08-14,31.5852,31.8017,31.2945,31.3311,1310395.5535979
2014-08-15,31.5351,31.6169,31.0711,31.3224,1486079.786831
2014-08-18,31.3407,31.4389,31.0933,31.2078,1389184.3738905
2014-08-19,31.1799,31.5399,31.0606,31.461,1405372.0500466
2014-08-20,31.3647,31.9308,31.2551,31.7893,2522860.9130826
2014-08-21,31.8142,31.8883,31.4273,31.59,1726460.6999689
2014-08-22,31.6448,31.6487,31.3407,31.4533,1410805.6901401
2014-08-25,31.6073,31.8017,31.2136,31.7363,1383929.4309473
2014-08-26,31.6977,32.1771,31.6592,32.077,1538540.9066247
2014-08-27,32.0905,32.308,32.0347,32.1637,1147268.9509212
2014-08-28,32.2772,32.2772,31.9856,32.1299,1120299.1874056
2014-08-29,32.1213,32.6372,32.0713,32.361,1275562.0765321
2014-09-02,32.2638,32.5265,32.1299,32.2936,1590122.0468468
2014-09-03,32.3032,32.3407,32.206,32.3407,1347238.3346678
2014-09-04,32.3734,32.3937,32.0982,32.2156,1378368.0016126
2014-09-05,32.2705,32.6007,32.2397,32.5949,1301505.3703704
2014-09-08,32.5901,32.8134,32.4053,32.8095,1482924.5354039
2014-09-09,32.7228,32.9895,32.616,32.8008,1373957.7143856
2014-09-10,32.7595,32.8095,32.3186,32.54,1220053.754751
2014-09-11,32.3995,32.4698,31.9856,32.3253,1333030.8722819
2014-09-12,32.1954,32.3359,30.9268,31.1963,2577249.2608635
2014-09-15,31.1578,31.3311,30.6245,31.1684,1949548.5080673
2014-09-16,31.0654,31.5265,30.9586,31.4822,1699546.00011
2014-09-17,31.4014,31.8825,31.3802,31.7363,1480522.513244
2014-09-18,31.6977,32.077,31.4138,32.0491,1498762.0898179
2014-09-19,32.1213,32.2465,31.8932,32.1521,2112929.6502895
2014-09-22,32.0549,32.0549,31.2136,31.3263,1903113.2224118
2014-09-23,31.2675,31.4273,30.9153,31.0442,1424767.9634128
2014-09-24,30.9528,31.3263,30.5417,31.2166,1240376.3998502
2014-09-25,31.2762,31.4273,30.7959,31.1963,1291049.5092039
2014-09-26,31.1106,31.6073,30.949,31.4822,954759.13426289
2014-09-29,31.3532,31.64,31.2608,31.5351,1094925.2309996
2014-09-30,31.461,31.8017,31.1963,31.7853,1129492.7402139
2014-10-01,31.7893,32.2638,31.2223,31.2502,1848246.9636475
2014-10-02,31.1049,31.5265,30.5533,31.3744,1829684.2776914
2014-10-03,31.4071,31.4976,31.1741,31.359,1134332.1083889
2014-10-06,31.3802,31.3802,30.8392,30.9672,1222681.2262226
2014-10-07,31.0173,31.0981,30.6285,30.7401,963585.94233828
2014-10-08,30.7006,30.846,30.0548,30.8085,1761651.5713354
2014-10-09,30.8017,30.9412,29.5168,29.6284,2822509.0217794
2014-10-10,29.0259,30.1202,27.8583,29.5119,5491237.7174177
2014-10-13,29.4099,29.7862,28.1028,28.2337,2800910.562142
2014-10-14,28.0527,28.3511,25.1815,27.482,11110701.029546
2014-10-15,26.9775,29.2308,26.5059,29.0345,4385032.7482737
2014-10-16,28.7216,30.2733,28.5186,29.997,4037543.6722681
2014-10-17,30.3675,30.6496,29.3925,30.0173,3476042.9411004
2014-10-20,30.0894,30.4282,29.7766,29.9113,1959355.0336586
2014-10-21,30.0249,30.4446,29.9315,30.1867,2168604.2019778
2014-10-22,30.408,30.8825,29.5908,29.689,2863849.3607775
2014-10-23,29.9864,30.4571,29.8776,30.3108,1275368.8342649
2014-10-24,30.1279,30.5812,30.1048,30.3002,1240029.3949188
2014-10-27,30.1982,30.6342,29.7766,30.3916,2120021.4337079
2014-10-28,30.3955,30.6563,30.1645,30.2579,1816875.2244002
2014-10-29,30.4157,30.5447,30.0221,30.4543,1309440.7705681
2014-10-30,30.2463,31.0548,30.2463,30.5852,2075443.7672659
2014-10-31,30.9027,31.1366,30.1039,30.7921,1959307.2425603
2014-11-03,30.5938,31.1366,30.5938,30.9951,1884587.9381848
2014-11-04,30.7468,30.8662,29.7891,29.8517,1966990.1810863
2014-11-05,29.8661,30.0538,29.3713,29.687,2164834.9388307
2014-11-06,29.5138,30.048,28.558,28.6495,3651520.4258863
2014-11-07,28.7698,29.6765,28.7198,29.663,2355731.2864518
2014-11-10,29.687,29.9662,28.738,28.7804,3073597.2188185
2014-11-11,28.8343,29.148,28.4137,29.098,2810039.7008612
2014-11-12,28.944,29.4657,28.7804,29.0037,1920308.6673807
2014-11-13,28.9854,29.2943,28.3646,28.5773,3280880.7184844
2014-11-14,29.1249,29.1953,28.6495,28.9604,2637566.821649
2014-11-17,28.8343,29.2077,28.7198,28.8844,2283117.9072139
2014-11-18,28.4137,29.2895,28.4137,29.2828,3279865.6771132
2014-11-19,29.3165,29.9999,29.1423,29.3713,3713087.827787
2014-11-20,29.1692,29.8295,29.1568,29.716,3110340.261944
2014-11-21,30.048,30.4543,29.5485,29.687,13885431.420232
2014-11-24,29.6736,29.7641,29.021,29.1365,2991708.2107556
2014-11-25,29.1038,29.4705,29.0277,29.2231,2115616.3411655
2014-11-26,29.2183,29.8161,29.0547,29.7824,2666247.7142724
2014-11-28,28.9604,29.0277,28.0652,28.1134,2216804.6414611
2014-12-01,27.8448,27.9238,26.836,27.1691,4617300.6030004
2014-12-02,27.0488,27.7977,26.9448,27.4261,5161102.0047929
2014-12-03,27.4425,28.2048,27.3712,28.0826,3475356.203796
2014-12-04,28.1201,28.4137,27.917,27.9449,2985548.3537548
2014-12-05,28.0036,28.1134,27.4492,27.5522,2485666.9713337
2014-12-08,27.3221,27.481,26.2567,26.3433,3832908.4228122
2014-12-09,26.0901,27.0719,25.9554,26.9891,3501542.6088737
2014-12-10,26.7995,26.8149,25.5646,25.5944,4535785.6122289
2014-12-11,25.5944,26.863,25.5944,26.4222,3856355.1512309
2014-12-12,25.8736,26.3597,25.4086,25.7658,4002586.5617087
2014-12-15,25.7812,26.2625,24.4759,24.7965,4797036.6902229
2014-12-16,24.3133,25.7658,23.8292,25.58,4757738.9012103
2014-12-17,25.6089,28.0989,25.3769,27.7639,6671879.4000948
2014-12-18,28.3165,28.6803,27.2249,27.8573,4397915.5660862
2014-12-19,27.7977,28.1134,27.4367,28.07,4239816.3791671
2014-12-22,27.8314,28.4705,27.4752,28.4435,3007888.6143533
2014-12-23,28.4137,28.5686,27.9132,28.1423,3076497.9307001
2014-12-24,28.1365,28.3704,27.8699,28.2299,840300.49268361
2014-12-26,28.2606,28.3271,28.0094,28.1547,955644.30851904
2014-12-29,28.0604,28.6206,28.0325,28.3328,1968142.362131
2014-12-30,28.1586,28.5253,28.0325,28.2019,1608140.3298566
2014-12-31,28.2953,28.789,27.9517,28.0431,2295174.7701747
2015-01-02,28.0604,28.7659,27.8699,28.5841,2492115.6527984
2015-01-05,28.2789,28.3877,27.4261,27.5243,3000808.259241
2015-01-06,27.5406,27.8573,26.6811,27.1739,3077420.5066854
2015-01-07,27.3866,27.8699,26.8803,27.0988,2042498.0385844
2015-01-08,27.3866,28.1856,27.2846,27.9517,2722274.4655768
2015-01-09,28.1201,28.4089,27.6985,28.0325,2737722.4186456
2015-01-12,27.8881,27.8881,26.3394,26.5676,3173039.0661509
2015-01-13,26.5676,26.9612,25.759,25.8043,2751596.3822801
2015-01-14,25.5251,26.2066,25.0496,26.1421,3535922.0705054
2015-01-15,26.5406,26.6272,25.9929,26.2451,2585515.0430019
2015-01-16,26.2884,27.4185,26.2567,27.3327,3629556.260453
2015-01-20,27.3327,27.6773,26.6561,27.5686,3718104.8541754
2015-01-21,27.6696,28.3598,27.5445,28.2953,2294686.4698221
2015-01-22,28.5975,28.6889,27.813,28.0768,2227076.6107927
2015-01-23,28.0036,28.5705,27.6514,28.2115,2447376.9511338
2015-01-26,28.3039,28.4329,27.4001,28.1471,2987205.4581428
2015-01-27,27.6917,28.3598,27.5406,28.1856,1865097.4815588
2015-01-28,28.2404,28.4204,27.454,27.5705,1675433.3131253
2015-01-29,27.5782,27.7524,26.6321,27.0757,2368848.9040083
2015-01-30,27.0074,27.6648,26.7312,27.4578,2374864.3487771
2015-02-02,27.7717,27.9651,27.1316,27.839,5970945.0227192
2015-02-03,27.7572,28.8034,27.7524,28.4474,2741298.4395255
2015-02-04,28.2029,28.6081,27.7841,28.4656,1987582.9497848
2015-02-05,29.1173,29.1471,28.2356,28.8853,2449581.5752788
2015-02-06,29.0008,29.1019,28.2808,28.6196,1459651.3094509
2015-02-09,28.7573,29.0576,28.2808,28.4204,1775606.5720497
2015-02-10,28.6196,28.815,27.892,28.1596,1716921.1811661
2015-02-11,27.8274,28.2404,27.7572,27.8246,1995634.7109176
2015-02-12,28.1008,28.5368,27.9719,28.4137,1425932.6117006
2015-02-13,28.891,29.0576,28.4724,28.5032,1604798.0697838
2015-02-17,28.5869,28.9912,28.2722,28.6649,1716193.9253219
2015-02-18,28.5157,28.7737,27.8823,28.0884,2041195.2116862
2015-02-19,27.6041,28.3107,26.9699,27.9613,2484372.4559309
2015-02-20,27.9854,28.7419,27.8621,28.5696,2146778.2151549
2015-02-23,28.5032,28.5869,27.8496,28.2404,2519691.1165386
2015-02-24,28.1056,28.5157,28.1056,28.5099,1040867.2651594
2015-02-25,28.5416,29.1798,28.4512,29.1173,2489299.0948073
2015-02-26,27.712,27.8795,27.1864,27.5185,22628257.029665
2015-02-27,27.7399,27.839,27.4675,27.6215,3548223.0836425
2015-03-02,27.7014,27.7841,27.2086,27.2818,2930899.2328068
2015-03-03,27.3135,28.9325,26.9988,27.479,5473853.1859293
2015-03-04,27.479,27.5021,26.9853,27.429,1996257.0341329
2015-03-05,27.5021,27.8246,27.2635,27.609,1825038.1517835
2015-03-06,27.4954,27.5907,26.9083,26.9372,4268835.9652266
2015-03-09,27.0411,27.1027,26.2374,26.2942,2840410.9438541
2015-03-10,26.0574,26.5493,25.8534,26.5291,6461232.8616177
2015-03-11,26.5021,26.5021,25.8736,25.8919,3928572.6955022
2015-03-12,25.9929,26.2942,25.7119,25.7898,2491846.568136
2015-03-13,25.7186,25.9573,25.5309,25.9438,2890985.3542004
2015-03-16,25.9179,25.9746,25.3635,25.8225,2175234.6974036
2015-03-17,25.7186,25.9795,25.6522,25.8534,1371890.2299141
2015-03-18,25.7119,26.5782,25.6233,26.5002,2017387.9721561
2015-03-19,26.2268,26.5291,26.1392,26.3798,1679650.3580851
2015-03-20,26.4924,26.5887,26.1324,26.2519,3424498.1636705
2015-03-23,26.3212,26.5887,26.0805,26.4924,2025146.7530774
2015-03-24,26.5349,26.5935,25.9063,26.0208,1866399.26952
2015-03-25,26.0516,26.1815,25.9063,25.94,2117622.5283588
2015-03-26,26.0286,26.5349,26.0055,26.5146,3573320.6828277
2015-03-27,26.5079,26.8005,26.1989,26.5935,3214814.7197186
2015-03-30,26.7033,27.0643,26.6542,26.9641,2093420.4927989
2015-03-31,26.8524,27.2962,26.8245,27.0045,2308765.1040299
2015-04-01,27.02,27.2423,26.9699,26.9737,2289019.0689215
2015-04-02,27.0575,27.3914,26.8871,27.1643,1804991.8639052
2015-04-06,27.2423,27.6215,27.1517,27.4896,1339388.1272975
2015-04-07,27.4896,27.8756,27.3694,27.5185,3014473.3965546
2015-04-08,27.6484,27.661,27.1403,27.3481,1266240.7344826
2015-04-09,27.4069,27.6119,27.3568,27.584,1561606.3451936
2015-04-10,27.6581,27.9535,27.5281,27.9449,1657253.9948929
2015-04-13,27.9449,28.1056,27.6484,27.7187,1330894.8179736
2015-04-14,27.712,28.0181,27.584,27.839,1587897.6829003
2015-04-15,27.9882,28.0046,27.6937,27.9334,1917356.008653
2015-04-16,27.8862,28.3203,27.8121,28.2808,1606843.73658
2015-04-17,28.2596,28.3636,27.916,28.0662,2453552.3921884
2015-04-20,28.1836,28.4512,28.0383,28.199,2686990.0898875
2015-04-21,28.3203,28.5532,28.1653,28.2808,4132984.5735202
2015-04-22,28.2808,28.5253,28.1008,28.1971,1696219.324091
2015-04-23,28.2029,28.4925,28.0662,28.3444,2141824.5639186
2015-04-24,28.3203,28.4656,28.1971,28.3001,1866890.6866834
2015-04-27,28.4262,28.4262,28.0325,28.0441,2390158.5391818
2015-04-28,28.0489,28.6331,27.9719,28.5937,2164399.6242611
2015-04-29,28.4983,28.5677,27.892,27.9998,4221123.826096
2015-04-30,28.0238,28.302,27.7977,28.1172,1845743.1256694
2015-05-01,28.1355,28.2423,27.8371,28.1056,1459020.6747402
2015-05-04,28.1672,28.2981,27.9286,27.9613,1718321.6681348
2015-05-05,28.0835,28.4098,28.0114,28.3319,2473220.5070278
2015-05-06,28.1461,28.3935,27.3886,27.5406,2141241.7203063
2015-05-07,27.4954,27.5117,26.8544,27.2981,3921701.1667109
2015-05-08,27.5117,27.6041,27.0305,27.2048,1468287.9920699
2015-05-11,27.0844,27.1479,26.6648,26.8611,2388039.1078642
2015-05-12,26.9833,27.2269,26.7119,26.9833,1340769.9134016
2015-05-13,27.1027,27.5185,26.787,27.0565,1812238.4489247
2015-05-14,27.2124,27.4203,27.0479,27.2096,1557572.1531319
2015-05-15,27.2519,27.3549,27.0921,27.1701,1801229.8733165
2015-05-18,27.1701,27.8997,27.1701,27.7687,2519495.7963976
2015-05-19,27.8419,27.8997,27.659,27.8274,1935018.9752361
2015-05-20,27.0479,27.6542,26.9564,27.4165,4056099.0856658
2015-05-21,26.3481,27.0691,26.1604,26.6869,12294652.765252
2015-05-22,25.887,26.8688,25.8803,26.7678,9419202.6348214
2015-05-26,26.428,26.4886,26.3076,26.4048,3616726.4284234
2015-05-27,26.3866,26.7157,26.375,26.5926,2290556.6955637
2015-05-28,26.4357,26.5425,26.3606,26.3991,1508456.4102218
2015-05-29,26.375,26.4559,26.3076,26.3452,1949811.3591082
2015-06-01,26.2778,26.5694,26.2778,26.4463,1592883.5411811
2015-06-02,26.4463,26.9227,26.3866,26.8216,1950586.4060507
2015-06-03,26.8101,26.8101,26.3288,26.375,2069750.3929424
2015-06-04,26.3,26.4415,25.7283,25.7504,2975780.2688295
2015-06-05,25.5982,25.8466,25.2633,25.8129,3204780.6669417
2015-06-08,25.7225,25.7946,25.3018,25.451,2784557.6950155
2015-06-09,25.504,25.6618,25.1113,25.3365,2621089.282092
2015-06-10,25.4597,25.4972,25.2498,25.3057,1891594.5287757
2015-06-11,25.3057,25.3865,25.0718,25.117,1933389.9221449
2015-06-12,24.9929,25.3625,24.8341,25.3114,2865641.5269651
2015-06-15,25.1786,25.605,25.066,25.5319,2352396.2989374
2015-06-16,25.5781,25.7225,25.2296,25.4453,1805108.2248402
2015-06-17,25.4453,25.7446,25.2498,25.4019,1537255.7416542
2015-06-18,25.3827,25.4934,25.145,25.245,2135864.1828065
2015-06-19,25.1382,25.2113,24.8591,24.9871,4387395.2908306
2015-06-22,25.1382,25.1604,24.9534,24.9746,2300893.0789843
2015-06-23,24.9871,25.2566,24.9688,25.0814,2059298.6875235
2015-06-24,25.0814,25.3461,25.0141,25.3316,2368789.6846038
2015-06-25,25.3673,25.5146,25.0044,25.0141,1733642.8708993
2015-06-26,24.8543,25.0313,24.5655,24.7369,2903778.8234377
2015-06-29,24.5511,24.6781,24.4366,24.4923,2281287.3003602
2015-06-30,24.6444,24.6839,24.1257,24.45,3508237.5183886
2015-07-01,24.4558,24.5106,23.6905,23.7936,3737814.5264916
2015-07-02,23.7936,24.1642,23.6501,24.1257,3343250.1796875
2015-07-06,23.9321,24.0592,23.7974,23.9601,3385493.3548694
2015-07-07,23.9601,24.5106,23.6116,24.4423,2681374.6358329
2015-07-08,24.3807,24.5511,23.7194,23.8205,1992588.5478671
2015-07-09,24.0265,24.2662,23.7416,23.8148,1643293.799494
2015-07-10,23.9032,24.2748,23.8475,24.245,1838789.5208614
2015-07-13,24.5453,24.5511,24.1449,24.4317,1474346.0332525
2015-07-14,24.4558,24.8302,24.3297,24.578,1788231.7335059
2015-07-15,24.578,24.8543,24.0447,24.0842,2028216.8116771
2015-07-16,24.0948,24.1949,23.3315,23.474,3443228.1184708
2015-07-17,23.2766,23.3604,23.0784,23.1573,2574801.5254792
2015-07-20,23.0399,23.1082,22.4788,22.5201,5075829.1791804
2015-07-21,22.5586,22.934,22.4008,22.653,3273931.2694241
2015-07-22,22.5913,22.653,21.6365,22.0129,4343376.5724518
2015-07-23,22.0292,22.4008,21.8955,22.1977,4311477.053249
2015-07-24,22.3084,22.7723,22.2708,22.6867,3233834.5379196
2015-07-27,22.4884,23.4682,22.3373,23.3383,4691778.8740104
2015-07-28,23.369,23.9533,23.293,23.6839,3617344.5958911
2015-07-29,23.5963,24.2007,23.3979,24.2007,4148992.5135891
2015-07-30,24.0746,24.219,23.7176,23.8609,2665266.9578196
2015-07-31,23.6819,23.9273,23.5578,23.8205,3574608.9646089
2015-08-03,23.5731,23.7262,23.2035,23.448,3379165.1900875
