Date,Open,High,Low,Close,Volume
2019-10-25,13.5,16,13.29,15.94,4975772
2019-10-28,15.9,18.15,15.8606,17.21,1163966
2019-10-29,17.23,17.25,16.11,16.43,546078
2019-10-30,16.39,16.9,16,16.21,349162
2019-10-31,16.2,17.38,16.12,16.43,1200518
2019-11-01,16.46,18.7,16.2161,18.38,559417
2019-11-04,18.9,19.85,18.7,19.05,725169
2019-11-05,19.2,19.88,19.2,19.79,342484
2019-11-06,19.88,20.2365,19.21,19.9,521618
2019-11-07,19.99,21.04,19.61,20.92,431627
2019-11-08,20.85,21.785,19.44,21.75,302073
2019-11-11,21.64,22.75,20.76,21.99,376209
2019-11-12,22.15,22.495,20.19,20.81,365394
2019-11-13,20.74,21.655,20.2,20.5,422388
2019-11-14,20.42,20.9999,19.27,20.56,364985
2019-11-15,22.41,23.99,21.305,23.76,1286673
2019-11-18,24,25.95,23.02,24.92,918691
2019-11-19,25.5,29.29,24.25,26.82,1193859
2019-11-20,26.34,28.7,25.0297,26.56,1023359
2019-11-21,26.5,28.72,26.27,27,784173
2019-11-22,27,28.13,25.57,25.68,466887
2019-11-25,25.73,26.53,25.18,25.72,483025
2019-11-26,25.79,25.99,25.13,25.76,445482
2019-11-27,25.76,27.4,25.56,26.99,634422
2019-11-29,27.23,27.89,26.64,26.64,192045
2019-12-02,27.56,28.97,27.06,28.54,1231595
2019-12-03,27.69,29.199,27.5,27.72,550980
2019-12-04,28.15,29.04,25.11,26.34,1550691
2019-12-05,27.62,27.91,24.17,27.86,1440461
2019-12-06,27.57,32,26.43,30.49,2538626
2019-12-09,31.47,31.5,25.52,27.81,1903451
2019-12-10,28,28.78,27.02,27.33,743843
2019-12-11,27.3,27.57,25.35,26.46,1062257
2019-12-12,26.44,27.15,25.05,25.16,656431
2019-12-13,25.27,26.41,25.2,25.99,671108
2019-12-16,26.22,26.7,24.32,24.91,1044935
2019-12-17,24.88,25.76,24.6,25.49,646355
2019-12-18,25.47,25.8,24.26,24.46,657507
2019-12-19,24.54,24.9825,22.9,23.84,967143
2019-12-20,23.84,24.64,23.1,23.54,2407534
2019-12-23,23.53,25.9,23.13,25.7,873389
2019-12-24,25.63,25.99,25.41,25.65,265414
2019-12-26,25.56,26.8371,24.7901,26.27,721325
2019-12-27,26.56,27.99,26.3396,27.95,576451
2019-12-30,28.13,28.65,26.84,28.205,547690
2019-12-31,28.14,28.45,27.34,27.45,343189
2020-01-02,27.4,27.65,25.35,25.96,653947
2020-01-03,25.52,26.65,25.21,25.91,401861
2020-01-06,25.67,28,25.38,27.97,366922
2020-01-07,27.83,30,27.27,29.32,1133763
2020-01-08,29.49,30.67,28.53,29.39,844414
2020-01-09,29.86,30.468,27.26,28.6,1247554
2020-01-10,28.5,29.55,27.84,29.26,562754
2020-01-13,29.5,31.85,29.1372,31.81,1587473
2020-01-14,32.89,35.43,32.07,33.34,1721126
2020-01-15,33.65,35.2,29.55,31.03,1297532
2020-01-16,31.28,32.34,30.91,31.61,462097
2020-01-17,31.85,31.97,29.5,30.49,632690
2020-01-21,30.56,32.88,30,32.37,511723
2020-01-22,32.57,34.23,31.35,32.02,670646
2020-01-23,31.91,33.56,31.45,32.5,484264
2020-01-24,32.94,33.08,31.61,32.1,368839
2020-01-27,30.37,32.09,30,31.62,490416
2020-01-28,32.27,33.86,31.465,31.85,682101
2020-01-29,32.08,32.2799,30.38,30.51,491436
2020-01-30,30.23,30.38,28.0223,28.69,1192113
2020-01-31,28.55,28.8,26.72,27.8,671642
2020-02-03,28,28.45,26.39,26.65,563323
2020-02-04,26.88,28.71,26.69,28.705,574508
2020-02-05,29.03,30.21,28.84,30.05,403487
2020-02-06,30.1,30.88,29.75,29.9,276891
2020-02-07,29.81,30.14,28.87,28.95,290729
2020-02-10,28.87,30.36,28.8001,29.97,233944
2020-02-11,30.3,31.4,30.26,30.96,265664
2020-02-12,31.49,34.88,31.406,34.28,1595273
2020-02-13,33.44,34.85,32.5,33.08,593209
2020-02-14,33.1,34.05,32.73,33.01,304240
2020-02-18,33.25,35.85,33.01,35.6,719890
2020-02-19,36,36.5,33.52,34.76,810069
2020-02-20,34.76,35.07,33.42,33.67,430176
2020-02-21,33.67,34.07,29.6,29.99,1254231
2020-02-24,28.49,30.9181,28.05,29.06,548476
2020-02-25,30,30.33,27.25,27.59,754273
2020-02-26,27.64,28.49,26.7,26.94,574895
2020-02-27,25.64,28.17,25.5,26.64,604468
2020-02-28,26.05,28,25.77,27.53,626985
2020-03-02,27.71,28.02,26.1205,27.41,753885
2020-03-03,28,29,26.31,26.58,582747
2020-03-04,27.25,29.17,26.985,28.73,632753
2020-03-05,28.02,28.38,26.68,27.43,433753
2020-03-06,26.01,28.5,24.02,25.22,1552545
2020-03-09,22.2935,23.7,21.511,23.16,595608
2020-03-10,23.99,24.4,22.98,24.29,482147
2020-03-11,23.54,23.79,21.37,22.31,757635
2020-03-12,20.01,21.3,20,20.07,658514
2020-03-13,21.14,21.78,19.78,21.7,508467
2020-03-16,19.2,22.79,17.95,19.59,711778
2020-03-17,20.84,24,19.425,23.95,558487
2020-03-18,22.3,23.49,16.38,20.99,1051843
2020-03-19,20.48,21.48,18.06,20.25,671441
2020-03-20,20.56,20.8381,18.24,19.5,591141
2020-03-23,19.58,19.58,16.01,16.47,750511
2020-03-24,18,18.42,15.59,18.12,1246703
2020-03-25,18.2,19.3939,16.71,18.97,651665
2020-03-26,19.26,22.64,18.7,22.6,619145
2020-03-27,21.7,22.97,20.84,21.28,424658
2020-03-30,21.4,22.6,21.01,22.57,426328
2020-03-31,22.24,23,20.38,21.19,534132
2020-04-01,20.22,20.41,17.06,17.53,427839
2020-04-02,17.55,18.5,16.43,16.5,582761
2020-04-03,16.57,17.8018,15.78,17.53,338943
2020-04-06,18.65,19.0885,17.23,18.96,425189
2020-04-07,19.53,20,18.3401,18.69,485529
2020-04-08,19.03,19.67,17.9,19.18,550522
2020-04-09,19.63,21.23,18.8351,21.23,466783
2020-04-13,21.15,21.26,18.77,19.07,378930
2020-04-14,19.51,21.18,19.51,21.16,271932
2020-04-15,21,21,18.8308,20.4,454595
2020-04-16,20.34,21.205,19.7101,20.4,390219
2020-04-17,21.23,23.17,20.69,22.99,583445
2020-04-20,22.4,22.58,21.21,22.12,379406
2020-04-21,21.57,21.7024,20.17,21.38,290346
2020-04-22,20.86,24,20.24,23.38,1466515
2020-04-23,23.4,23.7543,21.17,21.46,930932
2020-04-24,21.75,22.12,20.26,20.73,924224
2020-04-27,21.1,21.7,20.6,21.2,586639
2020-04-28,21.7,22.51,21.35,21.82,524477
2020-04-29,22.45,24.05,22.45,24.05,603039
2020-04-30,23.5,24.0387,23.08,23.43,450407
2020-05-01,22.9,22.9,21.25,22.62,528424
2020-05-04,22.06,22.7,21.36,21.87,319706
2020-05-05,21.75,23.11,21.75,23,381959
2020-05-06,22.68,22.9875,21.395,21.75,503657
2020-05-07,22.06,23.03,21.6,23,565098
2020-05-08,23.24,23.42,21.8,22.02,559351
2020-05-11,21.8,22.29,21.3,21.45,487824
2020-05-12,21.5,22,20.07,20.49,705771
2020-05-13,25.05,27.49,23.66,26.13,5290488
2020-05-14,25.5,25.99,23.71,24.55,1457647
2020-05-15,24.58,25.84,23.32,25.49,1580458
2020-05-18,26.45,28.03,26.3092,27.65,1481642
2020-05-19,26.73,28.38,26.63,27.39,743186
2020-05-20,26.02,26.43,24.73,25.51,2626652
2020-05-21,25.67,25.88,24.3,24.93,901186
2020-05-22,25.15,25.15,23.38,25.1,574187
2020-05-26,25.84,25.9,23.9324,24.06,621760
2020-05-27,24.34,25.21,23.71,24.01,664160
2020-05-28,24.31,25.2,24.1,24.81,1034263
2020-05-29,24.84,25.09,24.22,24.96,927947
2020-06-01,25.4,25.63,23.8,24,821039
2020-06-02,24.48,24.8,23.5,24.39,454582
2020-06-03,24.47,24.89,24.0901,24.35,515014
2020-06-04,24.75,25.145,23.82,24.62,685208
2020-06-05,24.81,25.095,24.1,24.9,692474
2020-06-08,25.18,25.35,23.55,24.85,1534825
2020-06-09,24.78,25.8895,24.41,24.83,1416194
2020-06-10,24.63,25.31,24.1,24.74,686080
2020-06-11,24,24.12,21.21,21.91,1195946
2020-06-12,22.69,23.4699,21.26,22.56,818071
2020-06-15,21.74,22.8,21.5801,22.61,643566
2020-06-16,23.39,24.08,22.99,23.38,537945
2020-06-17,23.3,23.77,22.31,22.55,752682
2020-06-18,22.35,23.64,22.1,23.07,1246912
2020-06-19,23.36,24.74,23.22,23.88,955059
2020-06-22,23.71,24.405,23.59,24.34,853039
2020-06-23,24.32,25.382,24.32,25.08,1618131
2020-06-24,25,26.85,24.5009,25.83,1430543
2020-06-25,26,26.25,24.77,25.66,1007829
2020-06-26,25.4,25.64,24.05,24.69,2797659
2020-06-29,24.8,25.46,23.6901,24.4,415703
2020-06-30,24.08,26.01,23.95,25.81,655185
2020-07-01,26,26.77,25.38,26.61,934326
2020-07-02,26.5,26.93,25.67,26.31,691155
2020-07-06,26.64,27.0273,26.005,26.85,681009
2020-07-07,26.56,26.64,25.47,25.94,566028
2020-07-08,25.74,26.29,25.16,25.87,837795
2020-07-09,25.54,26.15,25.21,26.11,642660
2020-07-10,26.22,27.85,25.76,26.81,1039047
2020-07-13,27.12,27.84,25.25,25.31,843946
2020-07-14,25.25,25.29,24.16,24.77,468701
2020-07-15,24.9,26,24.6,25.86,673233
2020-07-16,25.9,26.36,25.22,25.42,449108
2020-07-17,25.57,27,25.45,26.36,772661
2020-07-20,26.13,26.54,25.61,26.1,568768
2020-07-21,26.38,26.86,25.66,25.83,591212
2020-07-22,26,26,25.345,25.65,392313
2020-07-23,25.6,27.75,25.27,27.18,1201334
2020-07-24,27.03,27.1581,26.08,26.84,491627
2020-07-27,27.03,28,26.25,26.8,705898
2020-07-28,26.66,27.27,26.08,26.2,468728
2020-07-29,26.42,26.74,25.77,25.96,409185
2020-07-30,25.92,26.5,25.3,26.25,418588
2020-07-31,26.29,26.69,25.58,26.625,517744
2020-08-03,26.65,27.45,26.37,26.77,943119
2020-08-04,26.82,27.39,26.06,27.18,581532
2020-08-05,27.25,27.65,26.74,27.56,1125664
2020-08-06,27.56,27.64,25.405,27.28,1752433
2020-08-07,26.8,27.5,26.595,26.81,758354
2020-08-10,26.82,29.83,26.57,29.46,2012841
2020-08-11,29.9,30.95,27.85,29.86,1715910
2020-08-12,30.2,30.5,29.268,29.67,630313
2020-08-13,29.61,30.17,29.05,29.22,471590
2020-08-14,29.04,29.69,28.58,29.66,356303
2020-08-17,29.7,31.05,29.36,29.53,898248
2020-08-18,29.59,29.94,28.27,29.285,1311236
2020-08-19,29.57,32.83,29.33,32.6,1398293
2020-08-20,30.92,31.65,30.16,30.99,1498930
2020-08-21,30.02,31.42,29.35,29.38,1032018
2020-08-24,30.57,30.57,27.52,28.69,1205536
2020-08-25,28.77,29.47,28.0962,29.3,444867
2020-08-26,29.44,29.5,27.66,28.37,919004
2020-08-27,28.28,29.08,28.07,28.73,659722
2020-08-28,28.73,29.3,28.31,28.59,519392
2020-08-31,28.57,28.92,27.67,28.55,579238
2020-09-01,28.15,29.95,28.15,29.65,594135
2020-09-02,30,30,28.32,28.87,506120
2020-09-03,28.51,28.784,26.57,27.3,763819
2020-09-04,27.88,27.99,25.758,26.93,710649
2020-09-08,26.48,28.05,26.3,27.78,678868
2020-09-09,28.03,29.08,27.85,28.5,520676
2020-09-10,28.43,28.91,26.485,26.56,991522
2020-09-11,26.75,27.08,25.21,25.86,837977
2020-09-14,26.19,28,26.12,27.91,657055
2020-09-15,27.52,28.64,27.14,27.37,497906
2020-09-16,27.46,29.375,27.46,29.1,838954
2020-09-17,28.48,28.65,26.93,27.39,1078404
2020-09-18,27.63,27.8999,25.78,26.35,2136597
2020-09-21,25.78,25.7935,24.37,25.4,862494
2020-09-22,25.55,26.75,25.43,26.71,742297
2020-09-23,27.22,27.57,26.5,26.9,944643
2020-09-24,26.52,27.7,26.49,27.43,613603
2020-09-25,27.22,29,27.2,28.62,696770
