Date,Open,High,Low,Close,Volume
2014-06-02,8.85,8.85,8.57,8.6,53498
2014-06-03,8.55,8.67,8.44,8.5,78035
2014-06-04,8.49,8.64,8.41,8.56,61200
2014-06-05,8.58,8.87,8.49,8.85,103855
2014-06-06,8.9,8.97,8.41,8.92,95218
2014-06-09,8.89,8.93,8.81,8.9,47639
2014-06-10,8.87,8.91,8.87,8.89,17700
2014-06-11,8.85,8.88,8.65,8.76,30050
2014-06-12,8.69,8.75,8.57,8.63,24248
2014-06-13,8.65,8.66,8.53,8.59,18901
2014-06-16,8.71,8.72,8.41,8.47,36356
2014-06-17,8.37,8.64,8.37,8.57,28385
2014-06-18,8.52,8.58,8.41,8.56,28331
2014-06-19,8.54,8.58,8.42,8.46,37566
2014-06-20,8.51,8.72,8.4599,8.61,157570
2014-06-23,8.58,8.65,8.41,8.47,77729
2014-06-24,8.55,8.55,8.41,8.42,38502
2014-06-25,8.37,8.51,8.37,8.48,23820
2014-06-26,8.376,8.562,8.376,8.47,25654
2014-06-27,8.42,8.7,8.32,8.64,253468
2014-06-30,8.6,8.64,8.51,8.53,88960
2014-07-01,8.55,8.7,8.42,8.48,80967
2014-07-02,8.49,8.5,8.3,8.35,125000
2014-07-03,8.36,8.4,8.25,8.32,27845
2014-07-07,8.23,8.4,8.23,8.28,39985
2014-07-08,8.27,8.38,8.22,8.32,45498
2014-07-09,8.34,8.44,8.29,8.34,28403
2014-07-10,8.21,8.32,8.2,8.25,62719
2014-07-11,8.21,8.27,8.19,8.25,19516
2014-07-14,8.3,8.41,8.24,8.29,26246
2014-07-15,8.24,8.32,8.13,8.16,45121
2014-07-16,8.19,8.27,8.13,8.14,39195
2014-07-17,8.12,8.22,8.09,8.14,57260
2014-07-18,8.1,8.19,8.085,8.12,68485
2014-07-21,8.05,8.07,7.929,8,141413
2014-07-22,8.0975,8.29,8.0475,8.19,68333
2014-07-23,8.19,8.23,8.16,8.2,41301
2014-07-24,8.31,8.35,8.13,8.17,37831
2014-07-25,8.11,8.18,8.03,8.11,30552
2014-07-28,8.2,8.2,8.0101,8.14,16316
2014-07-29,8.18,8.23,8.08,8.11,13554
2014-07-30,8.17,8.21,8.11,8.2,14958
2014-07-31,8.12,8.16,8.01,8.03,31006
2014-08-01,8.07,8.1,8,8.02,35717
2014-08-04,8.01,8.24,7.97,8.08,26035
2014-08-05,8.07,8.08,8,8.05,25087
2014-08-06,8.07,8.55,7.99,8.5,132425
2014-08-07,8.4,8.75,8.16,8.17,51506
2014-08-08,8.14,8.47,8.13,8.43,34133
2014-08-11,8.5,8.71,8.5,8.62,47060
2014-08-12,8.56,8.61,8.42,8.48,39610
2014-08-13,8.47,8.48,8.42,8.45,20107
2014-08-14,8.42,8.44,8.32,8.37,35956
2014-08-15,8.47,8.47,8.25,8.33,30096
2014-08-18,8.35,8.4,8.25,8.4,19629
2014-08-19,8.38,8.94,8.36,8.84,210877
2014-08-20,8.84,8.9,8.72,8.72,81565
2014-08-21,8.71,8.7748,8.67,8.71,37418
2014-08-22,8.71,8.71,8.52,8.53,39701
2014-08-25,8.59,8.65,8.53,8.57,25010
