Date,Open,High,Low,Close,Volume
2014-06-02,8.06549,8.18649,7.9943,8.16233,387124.75334861
2014-06-03,8.13816,8.2366,8.05425,8.21373,903995.46331371
2014-06-04,8.20219,8.20219,8.12832,8.16233,419487.31862705
2014-06-05,8.19753,8.29715,8.14612,8.22476,466511.95546682
2014-06-06,8.26912,8.26912,8.17664,8.19484,353643.77514821
2014-06-09,8.19484,8.25599,8.16233,8.23064,265985.14508924
2014-06-10,8.18967,8.24783,8.17664,8.23064,341208.47176062
2014-06-11,8.22805,8.2366,8.13618,8.20419,571176.09423475
2014-06-12,8.1838,8.20219,8.10645,8.13816,331930.2710367
2014-06-13,8.1329,8.23064,8.10108,8.1329,385129.31158857
2014-06-16,8.10645,8.131,8.05683,8.08876,351622.18344577
2014-06-17,8.10645,8.25927,8.06211,8.09661,855904.71343683
2014-06-18,8.08876,8.10645,8.04382,8.07821,380546.03129601
2014-06-19,8.10108,8.10307,8.03069,8.03725,385932.91943448
2014-06-20,8.03725,8.10973,7.98565,8.01319,1190786.9106659
2014-06-23,8.04382,8.04382,7.93195,7.93504,497171.75718693
2014-06-24,7.92997,7.96308,7.86008,7.86932,539489.40439116
2014-06-25,7.83153,7.91804,7.79385,7.86932,939828.93056487
2014-06-26,7.84446,7.86534,7.76372,7.8204,838972.62572006
2014-06-27,7.82895,7.88303,7.81056,7.81782,1732789.7268304
2014-06-30,7.84446,7.92529,7.77228,7.9057,933231.09893897
2014-07-01,7.9057,8.00285,7.86266,7.97103,1378457.0012762
2014-07-02,7.96308,8.03725,7.94021,7.99748,953396.72761264
2014-07-03,8.02621,8.03725,7.97809,8.0282,807522.29112526
2014-07-07,8.01577,8.03596,7.94021,7.96308,542454.40555474
2014-07-08,7.94856,7.96576,7.85748,7.872,721089.69105896
2014-07-09,7.89139,7.91227,7.78859,7.80469,582369.2753574
2014-07-10,7.69939,7.82895,7.66738,7.78859,724547.51806047
2014-07-11,7.78331,7.83751,7.75856,7.79585,382916.62415306
2014-07-14,7.84705,7.84705,7.75597,7.78331,470268.49527212
2014-07-15,7.74811,7.83751,7.67772,7.7161,718245.38193731
2014-07-16,7.74613,7.74613,7.58277,7.6804,1028433.987386
2014-07-17,7.67464,7.74115,7.61409,7.62493,603852.45882222
2014-07-18,7.65237,7.72734,7.62493,7.67772,425383.12487567
2014-07-21,7.64402,7.68558,7.58536,7.66738,293536.12096244
2014-07-22,7.6804,7.75329,7.6641,7.69085,525371.45278556
2014-07-23,7.75329,7.75329,7.59848,7.69085,575221.28917368
2014-07-24,7.69681,7.79385,7.67196,7.74424,433279.40171942
2014-07-25,7.7161,7.73529,7.66151,7.683,390801.83755963
2014-07-28,7.70209,7.7326,7.61717,7.66997,553786.38252564
2014-07-29,7.68826,7.71023,7.60872,7.61141,675393.67244751
2014-07-30,7.61409,7.64084,7.56129,7.56845,420815.93685537
2014-07-31,7.5072,7.58277,7.42717,7.45978,948954.25470233
2014-08-01,7.45978,7.52033,7.39327,7.42717,1134518.2691808
2014-08-04,7.45978,7.52799,7.37228,7.50204,708087.13507426
2014-08-05,7.46753,7.56647,7.46753,7.53246,575386.23496433
2014-08-06,7.51098,7.58714,7.4387,7.54568,454479.9646527
2014-08-07,7.58914,7.58914,7.51893,7.52679,413003.13867397
2014-08-08,7.52928,7.61597,7.52231,7.60047,344217.72667292
2014-08-11,7.65366,7.67126,7.60047,7.62692,561780.21876994
2014-08-12,7.60047,7.66867,7.58208,7.64849,519945.33973346
2014-08-13,7.66867,7.73778,7.62692,7.72336,343063.10613839
2014-08-14,7.74811,7.7689,7.70715,7.73191,421363.07411216
2014-08-15,7.77426,7.80986,7.69085,7.74613,511287.69725851
2014-08-18,7.78262,7.8549,7.78262,7.82895,314432.94225685
2014-08-19,7.83153,7.872,7.82895,7.86008,234990.42295275
2014-08-20,7.83751,7.88303,7.8204,7.86534,426887.75233183
2014-08-21,7.82895,7.88303,7.80469,7.87459,409394.44662005
2014-08-22,7.86008,7.9057,7.8549,7.86008,410517.88837708
2014-08-25,7.91555,7.91555,7.82567,7.84705,453294.16534067
2014-08-26,7.86932,7.88563,7.80738,7.86534,402558.24821132
2014-08-27,7.89397,7.89397,7.82308,7.84705,400814.24820533
2014-08-28,7.81722,7.86664,7.78013,7.84187,388271.32774701
2014-08-29,7.85232,7.872,7.79385,7.86664,500618.52075125
2014-09-02,7.89397,8.03407,7.83999,8.02681,1062318.2781599
2014-09-03,8.04112,8.09522,7.96039,7.99161,464464.21382196
2014-09-04,8.01647,8.03407,7.97571,8.00543,667974.12916942
2014-09-05,7.97809,8.07891,7.94856,8.05167,324031.98265893
2014-09-08,8.04112,8.07374,7.995,8.06281,472587.79401134
2014-09-09,8.06281,8.06281,7.99161,8.02492,510086.81144122
2014-09-10,8.05425,8.06609,8.00016,8.03407,508012.91985394
2014-09-11,7.99161,8.06609,7.97571,8.0288,422260.21829055
2014-09-12,8.03656,8.04382,7.96308,7.99161,311956.74386311
2014-09-15,8.01647,8.03656,7.9578,7.99161,281826.98136051
2014-09-16,7.98316,8.04382,7.91555,7.98047,681567.0703926
2014-09-17,7.96576,8.00871,7.92997,7.97103,351193.72669688
2014-09-18,7.995,7.995,7.92997,7.94349,362278.28498181
2014-09-19,7.98316,7.995,7.89139,7.89139,1008650.5501785
2014-09-22,7.872,7.90044,7.81254,7.84187,442844.24604294
2014-09-23,7.79823,7.83751,7.73191,7.74046,497533.83331274
2014-09-24,7.71352,7.82895,7.70715,7.78859,474435.38802
2014-09-25,7.74613,7.79585,7.66867,7.67394,520748.94757936
2014-09-26,7.66609,7.75329,7.63756,7.72932,459589.26109471
2014-09-29,7.65565,7.77158,7.65565,7.76303,369175.83517851
2014-09-30,7.75011,7.76572,7.6987,7.74295,510730.50233156
2014-10-01,7.74811,7.7689,7.56259,7.60246,1571502.9165877
2014-10-02,7.61597,7.69283,7.53385,7.57551,620559.25472738
2014-10-03,7.62692,7.6296,7.57879,7.58714,380113.55147908
2014-10-06,7.61269,7.62692,7.54032,7.57879,316449.50512422
2014-10-07,7.53127,7.56716,7.4902,7.51098,732967.79951962
2014-10-08,7.50402,7.61847,7.43105,7.60445,602237.19699431
2014-10-09,7.57879,7.60743,7.51893,7.5606,985313.73810293
2014-10-10,7.58406,7.5945,7.4387,7.44457,492503.99246501
2014-10-13,7.44914,7.46873,7.30597,7.3164,430478.34057946
2014-10-14,7.35409,7.41206,7.30348,7.40241,837450.90022463
2014-10-15,7.32615,7.51437,7.30597,7.44198,942570.65145087
2014-10-16,7.30348,7.55553,7.30348,7.55354,1314099.9814472
2014-10-17,7.61269,7.63756,7.5606,7.61847,682424.98965736
2014-10-20,7.60743,7.67653,7.5606,7.67653,597501.04011529
2014-10-21,7.72932,7.86266,7.72932,7.86266,432427.51705674
2014-10-22,7.90044,7.92529,7.82567,7.83751,397380.55961222
2014-10-23,7.91804,7.96576,7.87459,7.89726,327757.34368672
2014-10-24,7.90044,7.94081,7.86664,7.89726,174452.30048408
2014-10-27,7.8549,7.93255,7.84187,7.91804,291152.45313419
2014-10-28,7.96308,8.10446,7.95194,8.10178,430101.1779484
2014-10-29,8.19881,8.32767,8.0107,8.23531,871929.59930504
2014-10-30,8.21055,8.42153,8.21055,8.34975,661789.66778716
2014-10-31,8.44948,8.48914,8.36356,8.42869,600213.59375782
2014-11-03,8.44102,8.5315,8.37997,8.42153,577327.36530548
2014-11-04,8.45534,8.55825,8.39936,8.49898,562506.38255559
2014-11-05,8.56213,8.59404,8.43585,8.52365,511528.07557536
2014-11-06,8.56749,8.67885,8.53548,8.65737,584459.25921695
2014-11-07,8.6364,8.69247,8.58808,8.64216,415423.01411481
2014-11-10,8.64951,8.69774,8.6176,8.64216,864482.90031751
2014-11-11,8.63391,8.66364,8.58499,8.64485,652490.34595589
2014-11-12,8.58808,8.68392,8.58808,8.65279,694681.26651608
2014-11-13,8.70539,8.78493,8.63898,8.78493,554827.35138734
2014-11-14,8.80035,8.86955,8.7217,8.74327,592171.48069674
2014-11-17,8.74924,8.77698,8.71654,8.7562,861441.4608607
2014-11-18,8.7562,8.88595,8.73204,8.7562,567020.26492405
2014-11-19,8.73204,8.80035,8.66045,8.76197,429970.42823631
2014-11-20,8.72428,8.85642,8.6866,8.78235,1274387.2708147
2014-11-21,8.8617,8.8617,8.59334,8.61939,476251.80325115
2014-11-24,8.66045,8.73204,8.61442,8.72428,628982.55348758
2014-11-25,8.74327,8.76922,8.67418,8.70351,807175.30150469
2014-11-26,8.71912,8.73989,8.63391,8.64951,371844.13507234
2014-11-28,8.70351,8.74656,8.63391,8.65737,299184.50852511
2014-12-01,8.64951,8.71912,8.55178,8.56749,419096.07525777
2014-12-02,8.55695,8.65469,8.53021,8.64683,369344.80403722
2014-12-03,8.66831,8.70539,8.59871,8.68124,325788.05186912
2014-12-04,8.68124,8.72697,8.60389,8.66831,455332.85508239
2014-12-05,8.66831,8.87671,8.66831,8.85126,711819.53647117
2014-12-08,8.87671,8.96987,8.71912,8.74656,643020.04373189
2014-12-09,8.66045,8.77698,8.56749,8.75372,458746.42833518
2014-12-10,8.76197,8.83445,8.62794,8.64216,358880.80400127
2014-12-11,8.69505,8.8429,8.66364,8.69505,350525.89739817
2014-12-12,8.63052,8.76724,8.63052,8.7217,440152.81350774
2014-12-15,8.75879,8.82252,8.66364,8.67418,976593.73807296
2014-12-16,8.64683,8.82849,8.62198,8.67418,702524.23770797
2014-12-17,8.6866,8.81426,8.51341,8.80303,524701.61195281
2014-12-18,8.9133,8.92553,8.80035,8.91509,633550.7472749
2014-12-19,8.8968,8.91509,8.7562,8.76922,1144709.7063554
2014-12-22,8.80035,8.87671,8.75173,8.8617,421416.37976401
2014-12-23,8.90346,9.0004,8.86955,8.93149,529224.5462244
2014-12-24,8.8968,8.99453,8.86438,8.88257,378846.28503873
2014-12-26,8.94174,8.99722,8.86637,8.8968,261632.18544337
2014-12-29,8.85394,9.0004,8.85394,8.99184,290858.76916547
2014-12-30,8.96987,9.02336,8.92305,8.93915,201874.53817922
2014-12-31,8.95486,9.03082,8.80303,8.8083,553773.30755442
2015-01-02,8.86955,8.91509,8.51341,8.6364,965155.14979837
2015-01-05,8.56163,8.71394,8.53548,8.62794,459436.38450826
2015-01-06,8.66503,8.66503,8.45604,8.49242,453110.10997671
2015-01-07,8.53548,8.8429,8.42681,8.67885,671113.12802681
2015-01-08,8.7739,8.96073,8.70023,8.87423,830257.65452518
2015-01-09,8.87869,8.92553,8.74924,8.75879,365798.46953831
2015-01-12,8.79269,8.81168,8.62526,8.63052,443019.24950375
2015-01-13,8.6715,8.81426,8.6176,8.70351,694180.39454205
2015-01-14,8.63391,8.71912,8.62526,8.67418,485950.41458782
2015-01-15,8.6866,8.6866,8.51141,8.56411,373048.03819066
2015-01-16,8.53021,8.71912,8.53021,8.70539,570694.33183402
2015-01-20,8.69774,8.78235,8.5485,8.66503,374003.516856
2015-01-21,8.66831,8.73989,8.55963,8.72946,934517.47495262
2015-01-22,8.79269,8.88595,8.69247,8.87423,427695.3832458
2015-01-23,8.90346,8.91767,8.81686,8.86955,277506.20625916
2015-01-26,8.85394,8.96073,8.74656,8.95287,551368.51861882
2015-01-27,8.89162,8.99722,8.87423,8.95287,493724.99362261
2015-01-28,9.05329,9.2772,8.92553,9.27521,878167.36633916
2015-01-29,9.32005,9.32005,8.81168,9.04076,1098395.141029
2015-01-30,9.00308,9.01143,8.79011,8.79538,861462.58196804
2015-02-02,8.81168,8.88595,8.68124,8.84608,775107.42596198
2015-02-03,8.90346,8.99722,8.88059,8.94442,608138.03207802
2015-02-04,8.92821,9.01411,8.79269,8.81168,617503.73453234
2015-02-05,8.8617,8.99184,8.84032,8.99006,414245.26093891
2015-02-06,9.02008,9.04812,8.88844,8.947,726300.5699696
2015-02-09,8.94442,9.03082,8.89411,8.99006,426415.04183424
2015-02-10,9.05837,9.08382,8.79209,8.89093,562440.00193253
2015-02-11,8.86826,8.97703,8.86826,8.947,398489.92063102
2015-02-12,8.99184,9.02008,8.92553,9.01411,404660.30127506
2015-02-13,9.00895,9.05329,8.92553,9.01143,420632.88725843
2015-02-17,8.98409,9.07328,8.92235,8.99184,1041233.3784335
2015-02-18,8.95486,9.06492,8.95486,9.04812,480311.0789283
2015-02-19,9.00895,9.07854,8.93089,8.98678,565153.56134208
2015-02-20,8.95287,9.06164,8.8781,9.04812,662101.45556216
2015-02-23,9.05329,9.05329,8.95486,9.02336,406071.39239872
2015-02-24,9.02843,9.06164,8.947,9.06164,361149.81438969
2015-02-25,9.08122,9.08122,8.94174,8.9821,424041.43167614
2015-02-26,9.00636,9.00636,8.86567,8.99453,518458.8160836
2015-02-27,9.0004,9.01143,8.91966,8.95814,397478.11901278
2015-03-02,9.00895,9.17558,8.95486,9.12548,691901.32648347
2015-03-03,9.08122,9.15609,8.99006,9.11832,499453.84254656
2015-03-04,9.09157,9.09157,8.97892,9.05647,474744.15849395
2015-03-05,9.0865,9.11255,8.9821,9.08122,653703.30097737
2015-03-06,9.06492,9.10201,8.97703,9.02575,1255739.3445685
2015-03-09,9.04146,9.15083,9.00308,9.08382,582568.41722661
2015-03-10,9.03947,9.07854,8.83375,8.85572,581818.11503256
2015-03-11,9.19905,9.19905,8.81367,8.99006,829671.29235477
2015-03-12,9.01411,9.06164,8.93786,9.00636,600792.91555911
2015-03-13,9.03082,9.27262,9.03082,9.26348,1059814.9240567
2015-03-16,9.31945,9.4863,9.28773,9.45647,987684.33095998
2015-03-17,9.43161,9.61256,9.3996,9.60063,936506.88211055
2015-03-18,9.60063,9.71696,9.45647,9.66724,748552.15943475
2015-03-19,9.86014,9.86014,9.66327,9.76668,981681.91340763
2015-03-20,9.80546,9.94962,9.73983,9.89196,1956633.2339432
2015-03-23,9.90786,10.0162,9.83131,9.97254,933761.13815647
2015-03-24,9.99537,10.0083,9.90388,9.92079,732083.73031242
2015-03-25,9.97642,9.99537,9.72094,9.73983,621005.81528255
2015-03-26,9.69211,9.80943,9.64737,9.75176,486222.97744919
2015-03-27,9.73585,9.83926,9.70901,9.82733,428066.51127474
2015-03-30,9.87107,9.98041,9.80148,9.89593,677671.73473907
2015-03-31,9.86312,9.94962,9.82733,9.90786,717145.07282165
2015-04-01,9.93272,9.93272,9.75972,9.883,610278.30428837
2015-04-02,9.86312,10.1127,9.86014,9.99238,1212815.2198534
2015-04-06,9.96453,10.1167,9.94166,10.1037,1099995.3163516
2015-04-07,10.0908,10.1335,9.97254,10.0162,785823.87351899
2015-04-08,10.049,10.1167,9.95559,10.0779,735582.79376159
2015-04-09,10.06,10.1246,10.0043,10.0908,473166.11004562
2015-04-10,10.0948,10.1375,10.0083,10.0242,429067.24945581
2015-04-13,9.98041,10.049,9.94962,9.96851,353686.01736289
2015-04-14,9.94564,10.0202,9.86709,9.9367,435054.58050291
2015-04-15,9.96055,10.0162,9.88002,9.90786,582933.51065346
2015-04-16,9.86312,9.89196,9.80943,9.86014,712551.73485892
2015-04-17,9.80943,9.80943,9.70901,9.75972,430816.27829688
2015-04-20,9.80943,9.95559,9.80148,9.86312,477258.57603431
2015-04-21,9.93272,9.95559,9.88002,9.90786,820613.35460738
2015-04-22,9.92079,10.1077,9.82335,10.0868,717425.68181915
2015-04-23,10.064,10.2628,10.06,10.2369,672927.53172393
2015-04-24,10.2479,10.2539,10.0908,10.1465,468098.05005128
2015-04-27,10.1623,10.1853,10.0122,10.06,631487.91912479
2015-04-28,10.056,10.1743,10.0004,10.0908,506690.33622771
2015-04-29,10.0997,10.1037,9.84324,9.92874,707873.91246684
2015-04-30,9.91184,10.1803,9.883,9.9367,1174126.3800435
2015-05-01,9.9834,10.0202,9.88798,9.93272,772018.71545541
2015-05-04,9.97254,9.99537,9.8999,9.94564,658455.55012864
2015-05-05,9.91184,10.0004,9.78954,9.84324,640482.49355016
2015-05-06,9.8999,9.8999,9.75474,9.81341,606146.61338605
2015-05-07,9.78159,9.88798,9.73187,9.77761,538551.02376509
2015-05-08,9.85318,9.93768,9.77065,9.78557,566993.10921461
2015-05-11,9.7637,9.83926,9.73585,9.78954,527181.83341461
2015-05-12,9.75474,9.77363,9.59963,9.73983,707479.65179651
2015-05-13,9.78159,9.82733,9.71696,9.73585,398561.33008917
2015-05-14,9.77761,9.89196,9.75972,9.883,398561.33008917
2015-05-15,9.86014,9.8999,9.81341,9.88002,306313.38513553
2015-05-18,9.85716,9.90388,9.82733,9.86312,415292.26440272
2015-05-19,9.89196,9.94166,9.883,9.91681,619239.6884022
2015-05-20,9.93371,9.94962,9.85716,9.91184,452550.90351574
2015-05-21,9.88798,9.9526,9.80943,9.86312,396068.03365615
2015-05-22,9.86014,9.94564,9.83131,9.883,482158.67293696
2015-05-26,9.83131,9.91184,9.7975,9.83926,1126572.7097532
2015-05-27,9.85716,9.96851,9.80148,9.93768,723729.82947633
2015-05-28,9.92079,9.99238,9.89196,9.98041,622350.52578313
2015-05-29,9.96851,10.0093,9.88798,9.97642,686911.71631638
2015-06-01,9.9844,10.0461,9.93768,9.9844,671963.00115545
2015-06-02,9.96055,10.0043,9.89196,9.97642,996989.68739334
2015-06-03,10.0202,10.1982,9.9844,10.1933,771741.12375894
2015-06-04,10.1295,10.1893,10.1127,10.1703,589135.070075
2015-06-05,10.1545,10.2549,10.0749,10.2459,620483.82220117
2015-06-08,10.2519,10.3662,10.23,10.2916,447322.92656582
2015-06-09,10.2847,10.4865,10.2519,10.4656,886850.15298953
2015-06-10,10.4985,10.6227,10.4696,10.6009,767651.67507131
2015-06-11,10.6009,10.7132,10.5889,10.7092,744484.83762146
2015-06-12,10.7261,10.7261,10.6357,10.7172,493842.6683635
2015-06-15,10.6665,10.6665,10.4945,10.6595,529171.24057255
2015-06-16,10.6595,10.7838,10.6595,10.7669,508771.26818411
2015-06-17,10.7968,10.8902,10.6963,10.8733,748106.6046466
2015-06-18,10.913,11.0015,10.8782,10.9548,1150153.9232137
2015-06-19,11.0015,11.0781,10.8694,10.9012,1164081.7848533
2015-06-22,10.9459,11.0015,10.7719,10.8246,661781.62165103
2015-06-23,10.8206,10.8534,10.743,10.8116,557199.95577842
2015-06-24,10.7758,10.8047,10.6913,10.743,550818.364061
2015-06-25,10.7838,11.0851,10.7261,11.0821,1195929.3974194
2015-06-26,11.097,11.2511,11.0125,11.1736,2322941.6273587
2015-06-29,11.1805,11.4669,11.1348,11.4132,2181377.9083026
2015-06-30,11.4709,11.6528,11.287,11.4669,7020683.2351956
2015-07-01,11.3058,11.439,10.7629,11.1249,2790167.677407
2015-07-02,11.1169,11.1298,10.8246,10.8992,1471339.585217
2015-07-06,10.7968,11.0781,10.7719,11.0533,1139452.5621619
2015-07-07,11.1009,11.1417,10.9498,11.1377,1215584.096449
2015-07-08,11.0781,11.0891,10.929,11.0215,1357889.065796
2015-07-09,11.1298,11.1457,10.9409,10.9777,1044417.6368066
2015-07-10,11.0573,11.097,11.0055,11.0741,1087953.2678674
2015-07-13,11.1249,11.1845,11.0323,11.1209,1148406.9059067
2015-07-14,11.1457,11.2462,11.1209,11.2382,518942.59001837
2015-07-15,11.2551,11.3178,11.1974,11.2988,1033508.0819825
2015-07-16,11.3296,11.5136,11.3256,11.4927,1172540.285459
2015-07-17,11.4967,11.5047,11.3217,11.4082,1027250.199608
2015-07-20,11.3913,11.5136,11.3754,11.5007,1308630.6204133
2015-07-21,11.4669,11.4827,11.2302,11.3386,1326794.7727249
2015-07-22,11.2958,11.5136,11.2958,11.5136,673222.22145965
2015-07-23,11.4927,11.6041,11.4709,11.5007,971270.21325652
2015-07-24,11.4749,11.4827,11.3058,11.3844,648099.16716342
2015-07-27,11.3178,11.4082,11.275,11.3714,864791.67079147
2015-07-28,11.3674,11.4669,11.2551,11.4241,894401.45174673
2015-07-29,11.3844,11.6528,11.2988,11.6091,1605683.9086313
2015-07-30,11.6041,11.803,11.5047,11.803,1859201.5657884
2015-07-31,11.8387,11.8815,11.6438,11.6528,957589.77030294
2015-08-03,11.6488,11.7124,11.5613,11.6041,1115446.9150206
2015-08-04,11.615,11.9819,11.615,11.9073,1075266.5227257
2015-08-05,11.9899,12.1748,11.9659,12.135,1384507.6956452
2015-08-06,12.139,12.2026,11.7721,11.8695,1253954.1081147
2015-08-07,11.8507,11.9491,11.793,11.9233,864980.7549905
2015-08-10,12.0017,12.1062,11.9312,11.9699,692032.07619557
2015-08-11,11.9053,12.2026,11.8367,11.8576,1331256.3552085
2015-08-12,11.8109,11.9272,11.6429,11.9193,578140.02505452
2015-08-13,11.9053,12.0674,11.8666,11.9769,928752.41841608
2015-08-14,11.9611,12.0595,11.9341,12.0296,432739.30483175
2015-08-17,11.9739,12.2484,11.9491,12.2314,959762.22705781
2015-08-18,12.2146,12.2613,12.1261,12.1638,674169.65398886
2015-08-19,12.1062,12.1638,12.0336,12.0485,525040.55543724
2015-08-20,11.9739,12.0057,11.7025,11.7104,994005.57665644
2015-08-21,11.6389,11.6946,11.3615,11.3654,1267940.3042412
2015-08-24,10.8414,11.2561,10.3822,10.7271,2476851.136538
2015-08-25,11.1149,11.2213,10.8832,11.0543,1327733.1533509
2015-08-26,11.3237,11.3446,10.8752,11.268,1004923.1776167
2015-08-27,11.3366,11.4818,11.1855,11.3526,1045620.5341579
2015-08-28,11.3416,11.4191,11.1149,11.2888,884582.14836812
2015-08-31,11.2352,11.3198,11.1676,11.2521,939915.42652825
2015-09-01,11.1019,11.1905,11.0185,11.0383,819567.35691059
2015-09-02,11.1636,11.272,11.1189,11.268,679132.10844652
2015-09-03,11.3276,11.4987,11.2928,11.4331,808903.20923843
2015-09-04,11.3158,11.3933,11.285,11.3446,542162.73312007
2015-09-08,11.4857,11.5235,11.3416,11.5117,647122.56739074
2015-09-09,11.611,11.6468,11.4778,11.5365,673917.20646781
2015-09-10,11.5315,11.6071,11.3694,11.4062,497125.49190418
2015-09-11,11.3198,11.5027,11.3038,11.4987,346139.74744077
2015-09-14,11.5195,11.5265,11.3694,11.3973,410902.09137725
2015-09-15,11.4261,11.5474,11.3446,11.5315,298008.76688324
2015-09-16,11.5474,11.5951,11.4689,11.5792,350360.95160753
2015-09-17,11.5882,11.6986,11.5117,11.5633,381484.41192208
2015-09-18,11.3893,11.5235,11.3008,11.3416,1564451.4840375
2015-09-21,11.4102,11.611,11.3654,11.4499,1326501.0887562
2015-09-22,11.3276,11.3615,11.1825,11.2968,717092.77293681
2015-09-23,11.3237,11.3973,11.1746,11.2282,640169.70000814
2015-09-24,11.098,11.2034,10.9916,11.1149,793992.7132241
2015-09-25,11.1825,11.285,11.0761,11.1069,510157.21513236
2015-09-28,11.0901,11.0951,10.7351,10.7719,702422.65523934
2015-09-29,10.8017,10.8256,10.5432,10.5849,767462.59087227
2015-09-30,10.7132,10.9022,10.6814,10.8306,1660975.9503438
2015-10-01,10.8674,10.93,10.7013,10.7968,957777.84873496
2015-10-02,10.6973,10.8534,10.5353,10.8375,853564.29359027
2015-10-05,10.9111,11.0543,10.8752,10.8912,1031695.6898194
2015-10-06,10.8752,10.8992,10.6357,10.6595,960508.50618379
2015-10-07,10.7172,11.0463,10.6705,11.0105,1259258.523358
2015-10-08,10.9787,11.1746,10.9548,11.1308,489810.54839578
2015-10-09,11.1427,11.268,11.1069,11.2521,433727.97380862
2015-10-12,11.2402,11.4062,11.2124,11.3158,631796.68959875
2015-10-13,11.2888,11.446,11.2213,11.2252,517845.29820375
2015-10-14,11.2252,11.3276,11.1019,11.1269,376664.77638072
2015-10-15,11.1547,11.268,11.0583,11.0623,678881.67245949
2015-10-16,11.0791,11.1189,11.0025,11.0831,926264.15081814
2015-10-19,11.0661,11.2312,10.922,10.93,1329529.4532418
2015-10-20,10.8952,11.0711,10.8922,10.9827,440515.89540057
2015-10-21,11.0235,11.0851,10.926,10.93,470458.58523817
2015-10-22,10.9986,11.0901,10.9628,10.9986,545389.23370785
2015-10-23,11.0661,11.2084,10.9956,11.1547,649105.93994658
2015-10-26,11.1358,11.2282,11.0831,11.0851,370457.18235708
2015-10-27,11.0274,11.0761,10.9379,10.9747,544646.97764994
