Date,Open,High,Low,Close,Volume
2014-06-02,7.49478,7.54965,7.35674,7.38141,1450742.7704797
2014-06-03,7.34138,7.41635,7.31167,7.41114,1858090.1844474
2014-06-04,7.40608,7.41635,7.28343,7.35165,1742631.710627
2014-06-05,7.35165,7.53939,7.32087,7.50504,1614172.9740651
2014-06-06,7.51941,7.71331,7.51941,7.64355,1894010.9883963
2014-06-09,7.63839,7.6625,7.60764,7.64355,1309737.9713893
2014-06-10,7.6625,7.6625,7.51941,7.59738,1371283.0748937
2014-06-11,7.58406,7.58406,7.43633,7.48964,807895.47024408
2014-06-12,7.48506,7.51426,7.41635,7.45012,764582.70403469
2014-06-13,7.44555,7.49478,7.36194,7.4266,734276.04863807
2014-06-16,7.4266,7.69796,7.4266,7.69279,1771447.1078143
2014-06-17,7.67796,7.70821,7.51019,7.53424,1072275.0824851
2014-06-18,7.51941,7.62813,7.45476,7.61279,1451440.6403345
2014-06-19,7.59738,7.79082,7.58406,7.78614,1499776.899884
2014-06-20,7.79592,7.83641,7.62813,7.75119,1949435.1104927
2014-06-23,7.75641,7.76667,7.68248,7.75641,956703.54595074
2014-06-24,7.77691,7.79082,7.65792,7.69279,1405851.02499
2014-06-25,7.65792,7.74147,7.53939,7.71331,1475907.021751
2014-06-26,7.71794,7.77176,7.53424,7.60247,816948.28478462
2014-06-27,7.57531,7.78156,7.57531,7.61279,8704899.1269483
2014-06-30,7.58868,7.73173,7.53939,7.70821,1990203.9656395
2014-07-01,7.73173,7.81081,7.62304,7.68769,2820801.6490919
2014-07-02,7.64819,7.73173,7.48506,7.72721,2404346.8385838
2014-07-03,7.74147,7.83641,7.68769,7.76667,704236.45516912
2014-07-07,7.73173,7.73173,7.48506,7.51019,1113084.8741316
2014-07-08,7.51019,7.59738,7.46453,7.52915,1156407.3871267
2014-07-09,7.5548,7.72251,7.49989,7.69796,2105644.8952457
2014-07-10,7.59325,7.73173,7.46453,7.70821,1667246.1714555
2014-07-11,7.69279,7.74147,7.58868,7.64819,963970.74935452
2014-07-14,7.69279,7.72251,7.59325,7.62304,863898.55141016
2014-07-15,7.61279,7.6677,7.57989,7.60764,1106724.1217962
2014-07-16,7.6333,7.73173,7.61788,7.67276,1190955.8436517
2014-07-17,7.64819,7.7615,7.58868,7.60247,1039814.387453
2014-07-18,7.58868,7.90466,7.58868,7.71794,901178.05728302
2014-07-21,7.67796,7.68769,7.5548,7.68769,695049.13498617
2014-07-22,7.71794,7.80054,7.6333,7.77691,781871.55247571
2014-07-23,7.78614,7.80054,7.65792,7.71331,1046089.3680744
2014-07-24,7.72721,7.78614,7.64819,7.68769,918593.6139379
2014-07-25,7.75641,7.75641,7.60764,7.70306,733784.81063974
2014-07-28,7.71794,7.80564,7.65792,7.78156,713174.25763863
2014-07-29,7.80564,7.93438,7.79082,7.92928,2288040.3944092
2014-07-30,7.96467,7.98935,7.87951,7.91953,1081349.3399541
2014-07-31,7.86109,7.86109,7.65792,7.67796,1057015.5148229
2014-08-01,7.69279,7.77176,7.58406,7.60764,1171265.3872189
2014-08-04,7.61788,7.69279,7.60247,7.64355,1277883.5264265
2014-08-05,7.62813,7.89493,7.62813,7.68769,1660745.0654062
2014-08-06,7.64819,7.78156,7.60764,7.78156,1967285.3737892
2014-08-07,7.81591,7.83641,7.68248,7.78614,1442524.2807935
2014-08-08,7.53424,7.70306,6.15078,6.81351,10177585.810711
2014-08-11,6.79869,7.16441,6.72887,6.91611,2272527.4103193
2014-08-12,6.89305,6.89305,6.77301,6.8525,1397689.0666607
2014-08-13,6.86744,6.95719,6.86744,6.91611,1179641.7748332
2014-08-14,6.95719,7.02589,6.90123,6.97612,1679829.2717697
2014-08-15,7.01564,7.03979,6.85771,6.87249,1457039.1940297
2014-08-18,6.90639,6.96743,6.8474,6.86744,1237488.9478501
2014-08-19,6.88794,7.04083,6.86222,6.94745,1654657.2230698
2014-08-20,6.92694,6.99207,6.83199,6.94745,1251411.2565168
2014-08-21,6.94745,7.01157,6.88275,6.91147,1451062.4650501
2014-08-22,6.92173,7.00179,6.8525,6.96274,1270780.0690222
2014-08-25,6.97206,6.99664,6.83199,6.8474,1183212.9971066
2014-08-26,6.8525,7.00643,6.84224,7.00179,1461686.4614424
2014-08-27,6.99664,7.06133,6.92694,7.01157,1444087.6652168
2014-08-28,6.96743,7.01667,6.93199,6.97718,942408.91007093
2014-08-29,6.9818,7.03563,6.91664,6.97718,1083134.9510909
2014-09-02,6.99664,6.99664,6.90639,6.95771,1029905.8051296
2014-09-03,6.96743,6.97718,6.70791,6.71763,1907660.3870639
2014-09-04,6.7484,6.80273,6.40984,6.45954,1967856.53543
2014-09-05,6.44419,6.5637,6.34515,6.55908,2259975.4997191
2014-09-08,6.55908,6.75811,6.51398,6.75355,2412711.5300554
2014-09-09,6.74329,6.76734,6.65861,6.70321,1506122.0573622
2014-09-10,6.6981,6.75355,6.64834,6.65861,1222714.7701147
2014-09-11,6.63294,6.73815,6.60427,6.71763,1735362.557866
2014-09-12,6.71763,6.74329,6.52374,6.62321,2797686.1721707
2014-09-15,6.62321,6.62321,6.48931,6.49905,1404303.2354239
2014-09-16,6.48469,6.534,6.44929,6.48931,1516658.3326835
2014-09-17,6.51904,6.57854,6.44419,6.4647,1519531.6851023
2014-09-18,6.47496,6.54424,6.43394,6.47961,1161543.9431806
2014-09-19,6.47961,6.50421,6.43905,6.4647,2742306.8852882
2014-09-22,6.44929,6.45954,6.2949,6.3354,985797.70120863
2014-09-23,6.3354,6.41957,6.2759,6.34005,941662.30628777
2014-09-24,6.33029,6.3744,6.2708,6.35492,1124406.7403787
2014-09-25,6.34515,6.34976,6.12616,6.1312,1515603.7304727
2014-09-26,6.12093,6.26564,6.10096,6.21079,944638.97463478
2014-09-29,6.17587,6.19133,6.07118,6.15534,1628062.1436606
2014-09-30,6.16562,6.16562,5.97685,5.9871,1624180.9736024
