Date,Open,High,Low,Close,Volume
2014-06-02,30.31,30.59,29.4,29.61,16003
2014-06-03,29.56,30.58,29.56,30.33,37120
2014-06-04,30.09,31.137,29.85,30.97,24743
2014-06-05,31.05,31.98,30.58,31.98,22893
2014-06-06,32.04,32.25,31.81,32.21,15983
2014-06-09,32,32.55,31.37,32.53,31386
2014-06-10,32.52,32.65,32.25,32.4,13600
2014-06-11,32.14,32.14,30.82,31.1,10907
2014-06-12,30.86,31,30.01,30.26,18183
2014-06-13,30.24,30.67,29.92,30.48,12638
2014-06-16,30.9,30.9,29.66,29.96,15050
2014-06-17,30.46,31.02,29.78,31,23425
2014-06-18,30.87,31.22,30.348,31.21,10076
2014-06-19,31.15,31.27,30.81,31.06,8192
2014-06-20,31.03,31.03,30.22,30.4,46825
2014-06-23,30.38,30.38,29.81,29.89,12286
2014-06-24,29.81,30.15,29.73,29.85,19226
2014-06-25,29.75,30.16,29.68,30,31081
2014-06-26,30.79,30.87,30.04,30.31,23001
2014-06-27,30.06,30.55,29.81,30.47,57523
2014-06-30,30.31,30.78,29.869,30.6,15106
2014-07-01,30.52,31.8,30.24,31.32,27807
2014-07-02,31.42,31.75,31.05,31.33,12300
2014-07-03,31.21,31.51,30.71,31.26,8902
2014-07-07,30.93,31.3,30.6,30.98,32096
2014-07-08,30.37,30.94,29.84,30.07,35731
2014-07-09,30.2,31.056,30.12,30.88,17911
2014-07-10,30.39,31.15,30.39,30.77,8557
2014-07-11,30.67,30.95,30.34,30.36,5407
2014-07-14,30.69,30.95,30.45,30.7,9289
2014-07-15,30.5,30.85,30.12,30.2,12798
2014-07-16,30.46,30.46,30.12,30.13,20393
2014-07-17,30.06,30.24,29.34,29.45,17370
2014-07-18,29.58,30.78,29.4,30.11,32322
2014-07-21,29.8,30.29,29.8,29.92,8885
2014-07-22,30.29,30.85,29.8,30.74,9614
2014-07-23,30.37,30.66,30.11,30.31,14434
2014-07-24,30.16,30.39,29.495,29.68,12339
2014-07-25,29.4,29.62,29.16,29.44,16353
2014-07-28,29.55,29.71,29.31,29.49,13040
2014-07-29,29.47,29.8,29.42,29.42,12994
2014-07-30,29.56,29.75,29.02,29.32,7293
2014-07-31,29.41,29.59,28.62,28.62,24045
2014-08-01,28.91,29.18,28.46,28.64,14937
2014-08-04,28.75,28.95,28.3,28.56,13999
2014-08-05,28.54,28.63,28.08,28.48,22739
2014-08-06,28.4,30.48,28.4,30,45302
2014-08-07,30.22,30.82,29.28,29.72,26641
2014-08-08,29.66,29.76,28.61,29.53,13382
2014-08-11,29.7,30.06,29.6,29.93,16587
2014-08-12,29.67,30.468,29.601,29.68,8434
2014-08-13,29.44,30.1,29.21,30.08,13286
2014-08-14,29.76,30.04,29.76,30.04,2929
2014-08-15,30.33,30.33,29.76,29.9,18592
2014-08-18,30.23,30.36,29.72,30.17,10787
2014-08-19,30.1,30.48,30.1,30.47,6322
2014-08-20,30.44,30.49,30.02,30.23,8788
2014-08-21,30.15,30.32,30.093,30.29,8626
2014-08-22,30.2,30.31,30.1,30.28,5860
2014-08-25,30.26,30.49,29.88,30.04,12309
2014-08-26,29.97,30.53,29.97,30.46,19572
2014-08-27,30.28,30.52,30.28,30.46,4253
2014-08-28,30.17,30.18,30,30.03,8782
2014-08-29,30.03,30.21,30,30.17,7748
2014-09-02,30.13,30.92,30.13,30.67,14387
2014-09-03,30.55,30.96,30.35,30.52,16975
2014-09-04,30.848,30.848,30.37,30.49,11741
2014-09-05,30.47,30.7,30.14,30.24,7282
2014-09-08,30.37,30.68,30.05,30.11,12157
2014-09-09,30.05,30.23,29.9,29.91,12462
2014-09-10,29.9,30.17,29.9,30.17,4361
2014-09-11,30.01,30.24,29.9,30.18,15591
2014-09-12,30.13,30.24,29.9,29.9,10254
2014-09-15,29.92,30.07,29.85,29.92,10564
