Date,Open,High,Low,Close,Volume
2014-06-02,98.7778,99.2486,97.8365,99.0028,356679.4599764
2014-06-03,99.0028,99.0028,98.1404,98.3072,231901.00513328
2014-06-04,98.513,98.513,97.6894,97.7384,298301.36197991
2014-06-05,97.7678,98.513,97.611,98.1404,569278.49829076
2014-06-06,98.4641,99.5819,98.1404,99.3664,319880.68755961
2014-06-09,99.0917,100.071,98.5621,99.6008,277743.94122704
2014-06-10,99.8947,99.9046,98.8755,99.6107,198483.08551185
2014-06-11,99.1795,99.1795,98.5424,99.0127,121319.07243533
2014-06-12,98.8657,99.0127,97.8953,98.0227,166575.58609851
2014-06-13,98.513,98.6307,97.8953,98.1601,137636.91398149
2014-06-16,97.8561,98.0914,97.3442,97.9542,157617.09108966
2014-06-17,97.6207,99.0818,97.6207,98.9545,281889.69284485
2014-06-18,98.8558,99.7775,98.1601,99.71,275347.25824995
2014-06-19,99.5819,99.8858,98.513,99.7875,200412.67027467
2014-06-20,99.9642,100.415,99.4836,100.415,721023.20615402
2014-06-23,100.465,100.485,99.1411,99.3862,261970.70764248
2014-06-24,99.1499,99.8669,98.4738,98.513,418049.84216642
2014-06-25,98.3953,99.3366,98.0816,99.2388,238385.30741769
2014-06-26,99.1499,99.4538,98.1601,99.3862,214651.00688879
2014-06-27,99.0522,100.014,99.0522,99.71,331148.15714724
2014-06-30,99.5819,99.8858,98.9545,99.5918,259724.96469968
2014-07-01,99.7189,100.807,99.3862,100.532,231276.84769414
2014-07-02,100.338,101.141,99.8172,100.268,233844.86800747
2014-07-03,100.592,101.18,100.522,101.111,106689.1076241
2014-07-07,100.513,100.994,99.8669,100.365,216717.25357459
2014-07-08,100.268,100.288,99.4051,99.8172,209897.41567338
2014-07-09,100.258,100.328,99.8768,100.161,209128.43739052
2014-07-10,98.6503,99.5233,98.5915,99.0127,171836.05026696
2014-07-11,99.1795,99.3167,98.7088,99.2881,266667.18641248
2014-07-14,100.121,100.807,99.7189,100.151,388244.28471726
2014-07-15,99.7477,100.622,99.3068,99.5531,397713.73213952
2014-07-16,100.014,100.465,99.2486,100.034,394083.0123955
2014-07-17,103.328,106.387,102.926,104.111,1155774.3591429
2014-07-18,104.221,104.827,103.788,103.906,820775.1913908
2014-07-21,103.121,104.004,103.121,103.278,457963.28258833
2014-07-22,103.954,104.582,103.66,103.916,441854.51338698
2014-07-23,104.044,104.221,103.278,103.612,449880.8516975
2014-07-24,103.867,104.004,103.033,103.817,504499.7269478
2014-07-25,103.974,104.936,103.651,104.749,461585.84341158
2014-07-28,104.445,105.033,103.71,104.475,665031.59248365
2014-07-29,104.7,105.131,103.867,103.887,699088.96752068
2014-07-30,104.082,104.435,102.573,103.367,380302.59520976
2014-07-31,102.494,102.778,100.906,100.974,451007.80262929
2014-08-01,100.954,101.337,99.5134,100.602,471606.01798603
2014-08-04,100.984,102.102,100.288,101.866,775792.00157351
2014-08-05,101.415,101.866,100.052,100.395,457019.90737395
2014-08-06,100.328,100.328,99.3952,99.9841,530885.67672794
2014-08-07,100.582,100.582,99.8073,100.151,438332.91920829
2014-08-08,100.258,101.936,99.9742,101.906,332045.63843228
2014-08-11,102.288,102.867,102.063,102.317,240190.46863873
2014-08-12,102.484,103.2,102.386,102.72,312841.57866264
2014-08-13,103.121,104.121,102.827,103.867,365659.37215228
2014-08-14,104.091,104.68,104.054,104.671,294625.76817164
2014-08-15,105.024,105.024,103.396,104.091,448311.27931378
2014-08-18,104.632,105.2,104.229,105.053,197005.30098682
2014-08-19,105.141,105.749,105.063,105.416,246370.85112435
2014-08-20,105.425,106.396,105.19,106.161,316854.74781789
2014-08-21,106.063,106.436,105.485,106.249,307403.65796737
2014-08-22,106.053,106.19,105.24,105.406,346658.26553687
2014-08-25,105.789,106.249,105.328,106.122,191178.81168974
2014-08-26,105.995,106.2,105.338,105.425,218110.38929659
2014-08-27,105.396,105.572,104.827,105.367,228351.87459699
2014-08-28,105.121,105.749,104.455,105.582,262112.46889091
2014-08-29,105.779,105.828,105.131,105.367,366317.1851396
2014-09-02,105.642,106.132,105.249,105.779,508112.08912007
2014-09-03,106.249,106.563,105.916,106.327,489572.98139344
2014-09-04,106.514,107.367,105.965,106.259,310526.48489327
2014-09-05,106.269,107.083,105.514,107.083,286876.8331674
2014-09-08,106.956,107.044,105.455,105.936,559523.48864146
2014-09-09,106.053,106.309,105.357,105.396,415835.71504163
2014-09-10,105.514,105.965,104.769,105.642,256641.91251255
2014-09-11,105.377,105.799,105.151,105.572,434184.10799519
2014-09-12,105.622,106.132,105.328,106.033,460610.85237921
2014-09-15,105.916,106.063,105.259,105.71,241680.49154492
2014-09-16,105.739,106.396,104.886,106.112,308752.93949023
2014-09-17,106.484,106.641,104.799,105.396,349836.16517798
2014-09-18,105.612,106.249,105.014,105.68,444352.16300864
2014-09-19,106.446,106.446,104.229,104.435,684909.78308217
2014-09-22,104.121,104.121,103.18,103.563,339147.97896525
2014-09-23,103.425,103.964,102.769,102.788,435065.27143869
2014-09-24,102.817,103.867,102.426,103.66,421314.43034075
2014-09-25,103.22,103.22,101.65,101.729,400371.50058135
2014-09-26,102.22,102.926,101.739,102.651,364724.15585866
2014-09-29,101.856,102.513,101.65,102.367,366876.07121256
2014-09-30,102.092,102.621,101.542,102.122,492268.48484385
2014-10-01,102.043,102.043,99.6206,99.9642,547057.67756529
2014-10-02,100.081,100.699,99.0423,99.8768,370034.59341684
2014-10-03,100.375,101.983,100.268,101.965,488973.30071662
2014-10-06,102.063,102.71,101.709,101.955,568069.95815126
2014-10-07,101.2,101.523,99.6504,99.7189,343377.35952099
2014-10-08,99.5233,101.435,98.8953,101.258,361395.31618324
2014-10-09,101.719,101.836,99.1311,99.3267,354177.73089435
2014-10-10,99.5233,99.5233,97.6207,97.6404,380081.28448379
2014-10-13,97.8365,98.2581,95.4469,95.5333,611449.92003663
2014-10-14,95.9176,98.013,95.9176,96.6942,415119.76974378
2014-10-15,94.7615,97.0226,93.8271,96.5588,805750.53878718
2014-10-16,97.2854,103.416,95.9852,102.72,1292490.3349422
2014-10-17,102.651,103.798,101.876,103.161,971204.27327939
2014-10-20,103.229,104.974,102.827,104.847,653597.88488528
2014-10-21,105.406,107.789,105.338,107.769,639775.65323058
2014-10-22,107.946,108.465,105.916,105.956,621509.86934984
2014-10-23,107.406,108.582,107.211,107.632,568424.87120489
2014-10-24,107.75,108.465,106.994,108.151,346614.4113377
2014-10-27,107.485,107.946,106.827,107.897,261900.33695081
2014-10-28,108.465,109.867,108.465,109.789,427818.110062
2014-10-29,109.779,110.269,108.093,109.103,367653.2084162
2014-10-30,108.72,114.446,105.406,110.063,361140.34990908
