Date,Open,High,Low,Close,Volume
2014-06-02,38.62,38.86,38.33,38.54,521472
2014-06-03,38.31,38.78,38.21,38.36,691353
2014-06-04,38.24,38.41,37.985,38.04,719215
2014-06-05,38.19,38.2,37.78,38.03,1025657
2014-06-06,38.3,39.13,38.22,39.11,480409
2014-06-09,38.97,39.34,38.92,39.06,455261
2014-06-10,38.92,39.23,38.84,39.22,458677
2014-06-11,39.01,39.24,38.75,39.18,432945
2014-06-12,39.06,39.16,38.7,38.85,343169
2014-06-13,38.97,39.348,38.87,39.04,418552
2014-06-16,38.67,39.1,38.67,38.9,618747
2014-06-17,38.71,39.5,38.71,39.17,652548
2014-06-18,39.16,39.27,38.7,38.88,480076
2014-06-19,38.96,38.98,38.65,38.69,436353
2014-06-20,38.62,38.78,38.46,38.66,762203
2014-06-23,38.58,38.98,38.57,38.97,370155
2014-06-24,38.86,39.48,38.785,38.79,593109
2014-06-25,38.64,39.02,38.5,38.89,481119
2014-06-26,38.96,38.97,38.71,38.795,409260
2014-06-27,38.63,39.08,38.62,38.97,781992
2014-06-30,38.97,38.97,38.59,38.82,878285
2014-07-01,38.85,39.29,38.84,39.12,1221970
2014-07-02,39.04,39.2,38.74,38.87,685100
2014-07-03,38.94,39.1,38.81,38.94,614154
2014-07-07,38.8,39.09,38.65,39.03,696526
2014-07-08,38.9,38.99,38.5,38.91,811418
2014-07-09,39.1,39.11,38.625,38.73,752397
2014-07-10,38.28,39,37.99,38.78,709434
2014-07-11,38.66,38.673,38.26,38.66,675930
2014-07-14,38.86,39.45,38.7,39.16,802369
2014-07-15,39.26,39.44,39.06,39.37,681323
2014-07-16,39.49,39.55,38.79,39.21,911634
2014-07-17,39,39.295,38.92,39.07,585929
2014-07-18,39.12,39.29,38.85,39.26,476231
2014-07-21,39.07,39.26,38.89,38.94,455106
2014-07-22,39.08,39.17,38.8,39.085,612225
2014-07-23,39.24,39.24,38.81,38.86,308562
2014-07-24,38.97,39.12,38.86,39.03,370686
2014-07-25,39,39.1,38.73,38.99,548850
2014-07-28,38.9,39.16,38.77,38.97,510040
2014-07-29,39,39.19,38.64,38.66,551974
2014-07-30,38.77,38.95,38.53,38.78,394181
2014-07-31,38.6,38.67,37.75,37.77,704773
2014-08-01,37.73,37.87,37.27,37.81,836580
2014-08-04,37.97,38.05,37.46,37.95,305914
2014-08-05,37.78,38.13,37.63,37.93,319206
2014-08-06,37.8,38.1,37.72,38.03,438757
2014-08-07,38.2,38.37,37.8,37.9,365675
2014-08-08,37.86,38.29,37.74,38.19,358871
2014-08-11,38.26,38.68,38.182,38.46,399850
2014-08-12,38.5,38.59,38.18,38.48,455212
2014-08-13,38.67,39.03,38.59,38.75,322527
2014-08-14,38.78,39.04,38.73,38.86,271956
2014-08-15,39.14,39.18,38.49,38.78,309182
2014-08-18,38.96,39.3,38.91,39.02,416898
2014-08-19,39.2,39.26,39.065,39.1,570849
2014-08-20,38.95,39.37,38.95,39.3,547193
2014-08-21,39.5,41.82,39.49,41.75,1834146
2014-08-22,42.55,42.55,40.69,40.69,1013601
2014-08-25,40.84,41,40.56,40.64,687238
2014-08-26,40.76,41,40.6,40.9,523889
2014-08-27,41,41.29,40.75,40.89,559362
2014-08-28,40.69,40.91,40.63,40.75,404384
2014-08-29,40.56,40.995,40.56,40.9,535686
2014-09-02,40.57,41,40.55,40.79,1184594
2014-09-03,40.82,41.37,40.76,41.36,967382
2014-09-04,41.36,41.64,41.26,41.35,718688
2014-09-05,41.31,41.6,41.29,41.445,332976
2014-09-08,41.38,41.63,40.99,41.3,363439
2014-09-09,41.19,41.29,40.93,41.025,300415
2014-09-10,41.13,41.62,40.99,41.5,507730
2014-09-11,41.27,41.58,41.22,41.48,354531
2014-09-12,41.43,41.45,41.06,41.15,309110
2014-09-15,41.01,41.13,40.72,40.81,368632
2014-09-16,40.68,41.13,40.47,40.84,620456
2014-09-17,41.04,41.07,40.58,40.605,484197
2014-09-18,40.73,41.06,40.73,41.04,324110
2014-09-19,41.07,41.26,40.755,40.86,872958
2014-09-22,40.85,40.965,40.43,40.44,600669
2014-09-23,40.37,40.42,39.87,39.88,320639
2014-09-24,39.97,40.47,39.79,40.42,423254
2014-09-25,40.22,40.22,39.73,39.98,571707
2014-09-26,39.88,40.15,39.84,40.03,268916
2014-09-29,39.77,40.03,39.53,39.935,358029
2014-09-30,39.99,39.99,39.55,39.695,423408
2014-10-01,39.6,39.75,39.37,39.52,894108
2014-10-02,39.49,39.78,39.19,39.45,350969
2014-10-03,39.55,39.86,39.43,39.625,300645
2014-10-06,39.67,40.01,39.67,39.73,442830
