Date,Open,High,Low,Close,Volume
2014-06-02,28.39,28.5,26.98,27.5,194764
2014-06-03,27.315,28.325,26.785,27.845,349910
2014-06-04,27.555,27.735,27.24,27.285,78360
2014-06-05,27.345,28.06,26.96,28.045,139876
2014-06-06,28.28,30,27.975,29.81,224278
2014-06-09,29.345,30.175,29.335,29.88,130978
2014-06-10,29.64,30.005,29.085,29.4,116000
2014-06-11,29.21,29.405,28.735,29.33,60484
2014-06-12,29.175,29.175,27,27.955,241840
2014-06-13,28.08,29.06,27.619,29.01,208706
2014-06-16,29,29.895,28.75,29.835,99974
2014-06-17,29.75,30.55,29.63,30.36,143818
2014-06-18,30.25,30.85,28.994,30.585,121098
2014-06-19,30.78,31.04,30.505,30.81,111374
2014-06-20,30.99,30.99,29.82,30.375,139612
2014-06-23,30.45,30.83,30.105,30.75,92572
2014-06-24,30.725,31.255,30.04,30.31,157290
2014-06-25,30.06,31.145,29.96,30.935,152278
2014-06-26,30.93,31.085,30.205,31.005,86624
2014-06-27,30.79,31.86,30.79,31.595,214654
2014-06-30,31.51,32.05,31.375,31.595,184692
2014-07-01,31.88,32.465,31.605,32.1,106182
2014-07-02,32.29,32.495,31.705,31.955,157400
2014-07-03,32.23,32.475,31.99,32.475,53748
2014-07-07,32.21,32.21,31.16,31.29,128134
2014-07-08,31.16,31.16,28.955,29.225,194892
2014-07-09,29.225,29.225,28.845,29.12,141892
2014-07-10,28.31,29.59,27.835,29.3,117296
2014-07-11,29.335,29.985,29.125,29.615,129184
2014-07-14,30.095,30.47,29.515,29.66,70968
2014-07-15,29.555,29.555,28.645,28.685,69936
2014-07-16,28.7,28.925,27.955,28.335,72510
2014-07-17,27.98,28.305,26.81,26.845,104966
2014-07-18,25.005,27.565,25.005,27.19,237454
2014-07-21,27.04,27.36,26.52,27.19,101476
2014-07-22,27.39,28.17,27.025,27.725,109824
2014-07-23,27.565,27.725,26.845,26.955,78906
2014-07-24,27.025,27.435,26.45,26.71,217318
2014-07-25,25.52,26.73,24.99,26.175,468724
2014-07-28,26.125,26.66,25.45,26.285,108550
2014-07-29,26.45,26.855,26.28,26.65,93726
2014-07-30,26.96,27.57,26.815,27.5,156816
2014-07-31,27.05,27.45,26.368,26.675,172484
2014-08-01,26.775,26.95,26.19,26.72,308208
2014-08-04,26.925,27.795,26.575,27.67,154656
2014-08-05,27.33,28.18,26.915,27.33,132122
2014-08-06,27.045,28,26.76,27.35,202488
2014-08-07,27.54,27.705,27.07,27.305,74396
2014-08-08,27.305,28.11,27.065,27.785,59718
2014-08-11,27.8,28.66,26.685,28.395,254544
2014-08-12,28.165,28.425,27.27,27.52,67570
2014-08-13,27.705,27.935,27.355,27.505,59656
2014-08-14,27.505,27.505,27.112,27.215,40154
2014-08-15,27.355,27.63,26.61,26.805,183744
2014-08-18,27.205,27.5,26.95,27.085,81668
2014-08-19,27.27,27.465,26.839,27.28,59152
2014-08-20,27.095,27.355,26.7,27.05,63492
