Date,Open,High,Low,Close,Volume
2012-01-03,100.628,101.128,100.399,100.458,245784580
2012-01-04,100.209,100.657,99.8168,100.584,161136265
2012-01-05,100.046,100.983,99.5784,100.842,220636732
2012-01-06,100.953,100.973,100.276,100.592,187863016
2012-01-09,100.823,100.935,100.381,100.833,126261659
2012-01-10,101.949,102.141,101.579,101.721,146212258
2012-01-11,101.404,101.919,101.242,101.79,141324780
2012-01-12,102.113,102.189,101.252,102.039,150757307
2012-01-13,101.329,101.661,100.599,101.482,228130767
2012-01-17,102.488,102.65,101.531,101.891,167739061
2012-01-18,101.873,103.012,101.681,102.964,207216143
2012-01-19,103.347,103.654,102.993,103.557,160245641
2012-01-20,103.377,103.95,103.09,103.625,175408726
2012-01-23,103.596,104.172,103.148,103.693,164061673
2012-01-24,102.993,103.586,102.851,103.557,130600108
2012-01-25,103.387,104.669,102.945,104.439,251927955
2012-01-26,104.87,105.08,103.464,103.904,234439750
2012-01-27,103.396,104.028,103.29,103.846,171668883
2012-01-30,102.783,103.54,102.458,103.473,186539811
2012-01-31,103.998,104.134,102.909,103.435,199511883
2012-02-01,104.209,104.861,104.104,104.354,210535462
2012-02-02,104.582,104.774,104.153,104.524,143449478
2012-02-03,105.55,106.028,105.387,105.98,203853298
2012-02-06,105.54,105.952,105.426,105.904,136639277
2012-02-07,105.693,106.372,105.271,106.172,171914198
2012-02-08,106.239,106.516,105.799,106.498,176492604
2012-02-09,106.67,106.813,105.98,106.622,188437262
2012-02-10,105.683,105.923,105.426,105.818,213030523
2012-02-13,106.602,106.764,106.132,106.622,146898574
2012-02-14,106.362,106.554,105.741,106.498,210687301
2012-02-15,106.842,106.984,105.78,105.98,247107474
2012-02-16,105.99,107.242,105.818,107.148,236680904
2012-02-17,107.531,107.617,107.082,107.443,164803319
2012-02-21,107.711,107.97,107.148,107.491,170107117
2012-02-22,107.32,107.551,106.955,107.13,157709212
2012-02-23,107.082,107.711,106.745,107.617,174722414
2012-02-24,107.877,108.095,107.617,107.877,133936654
2012-02-27,107.13,108.354,106.965,108.056,184910237
2012-02-28,108.095,108.498,107.877,108.384,164133969
2012-02-29,108.526,108.853,107.541,107.951,235867773
2012-03-01,108.173,108.699,107.877,108.498,183947169
2012-03-02,108.43,108.573,107.932,108.173,153109817
2012-03-05,107.998,108.095,107.35,107.731,178571406
2012-03-06,106.622,106.69,105.818,106.132,256459957
2012-03-07,106.411,107.052,106.295,106.871,71997736
2012-03-08,107.521,108.183,107.311,107.961,148286113
2012-03-09,108.173,108.649,108.027,108.384,155929246
2012-03-12,108.384,108.526,107.998,108.393,132033260
2012-03-13,108.937,110.382,108.785,110.335,233704306
