Date,Open,High,Low,Close,Volume
2024-07-10,45.04,46.24,44.4,45.83,9427792
2024-07-11,45.48,46.92,45.35,46.87,12526282
2024-07-12,46.91,49.31,46.86,49.08,41461229
2024-07-15,48.35,49.43,48.26,48.84,8170727
2024-07-16,48.42,49.445,48,49.26,7455012
2024-07-17,48.61,49.09,47.825,47.85,8435089
2024-07-18,46.86,47.34,46.25,46.82,10475485
2024-07-19,46.82,46.91,46.31,46.53,3633785
2024-07-22,46.51,48.02,46.3804,48,3955449
2024-07-23,48.09,49.5,47.7,49.11,5854737
2024-07-24,48.29,49.25,48.21,48.86,5061425
2024-07-25,48.42,48.51,47.58,47.69,5094092
2024-07-26,47.72,49.17,47.71,48.81,4084081
2024-07-29,48.45,48.56,47.52,47.55,11100379
2024-07-30,47.14,47.57,46.1,46.74,4676172
2024-07-31,43.29,45.74,43.18,44.84,11198956
2024-08-01,44.8,45.11,42.92,43.32,7035142
2024-08-02,42.78,42.78,41.3,41.78,3582808
2024-08-05,39.74,40.93,39.54,40.04,4282101
2024-08-06,40.2,40.95,40.005,40.33,3621093
2024-08-07,40.81,40.87,38.965,39.06,3048534
2024-08-08,39,40.08,39,39.31,3649731
2024-08-09,38.91,39.57,38.55,38.96,3452839
2024-08-12,39.01,39.25,38.8,38.85,2991692
2024-08-13,39.25,40.71,39.12,40.35,4026393
2024-08-14,40.63,41.49,40.51,41.21,4175928
2024-08-15,41.18,43.25,41.18,42.74,5062903
2024-08-16,42.46,43.02,42.26,42.91,4801391
2024-08-19,42.53,43.53,42.46,43.49,3677606
2024-08-20,43,43.55,42.6,43.01,3761074
2024-08-21,42.94,44.07,42.64,44.02,4669434
2024-08-22,44.13,44.46,43.43,43.79,4514317
2024-08-23,44.61,45.39,44.455,45.33,3891008
2024-08-26,45.55,46.52,45.43,46.18,4700882
2024-08-27,46.26,46.9,45.86,46.89,4821068
2024-08-28,46.36,47.486,46.36,47.07,4958188
2024-08-29,47.2,47.25,46.67,47.17,3098368
2024-08-30,46.97,47.59,46.925,47.42,6225696
2024-09-03,46.32,46.56,45.41,45.7,5512473
2024-09-04,45.08,46.16,45.08,45.57,5056877
2024-09-05,45.82,46.3,45,45.34,3258789
2024-09-06,45.13,45.615,44.38,44.72,3739985
2024-09-09,45.11,45.3,44.125,44.47,4549857
2024-09-10,44.68,44.72,43.11,43.32,4092006
2024-09-11,42.86,43.74,42.43,43.53,4936586
2024-09-12,43.66,44.65,43.64,44.59,4026750
2024-09-13,44.67,45.88,44.59,44.92,3634469
2024-09-16,44.71,46.8,44.705,46.73,6043035
2024-09-17,46.9,47.83,46.69,47.33,4550665
2024-09-18,47.44,48.565,47.17,47.86,4135351
2024-09-19,49,49.43,48.28,49.02,3846691
2024-09-20,48.46,48.51,46.97,47.41,19056698
2024-09-23,47.19,47.3,46.27,46.74,2890015
2024-09-24,46.71,47.55,46.62,47.5,2795841
2024-09-25,48.23,48.54,47.27,47.8,4339426
2024-09-26,48.72,49.745,48.58,49.51,5066839
2024-09-27,50,50.6,49.61,50.09,3874772
2024-09-30,50.27,50.425,49.165,49.42,5572733
2024-10-01,49.74,49.85,48.64,48.77,4199352
2024-10-02,48.46,48.775,47.7801,47.83,3020023
2024-10-03,47.33,47.48,46.6,46.63,3322589
2024-10-04,46.94,47.02,46.22,46.76,1919738
2024-10-07,46.34,46.555,45.62,46.45,3356157
2024-10-08,45.9,46.36,45.3803,46.12,2683734
2024-10-09,46.27,46.75,46.06,46.06,2617925
2024-10-10,45.82,45.92,45.02,45.4,3571497
2024-10-11,45.45,46.05,45.32,45.6,1936256
2024-10-14,45.19,45.4,44.955,45.29,2362554
2024-10-15,44.2,44.675,43.7,44.44,5012351
2024-10-16,43.95,45.42,43.85,45.39,5656401
2024-10-17,43.74,43.92,43.06,43.42,5411124
2024-10-18,44.17,44.53,43.49,44.35,6080360
2024-10-21,44.39,44.44,43.9,44.2,2243118
2024-10-22,44.36,44.65,43.98,44.54,1987160
2024-10-23,45.5,46.715,45.37,46.65,3394914
2024-10-24,46.8,46.85,45.54,45.86,2135172
2024-10-25,46.17,46.21,45.515,45.84,2392440
2024-10-28,45.45,45.92,45,45.29,3511034
2024-10-29,45.05,45.14,44.44,44.71,4465495
2024-10-30,47.06,50.89,46.96,50.07,7886364
2024-10-31,51.37,52.76,51.24,51.5,6137154
2024-11-01,50.99,51.52,50.53,51.46,3613467
2024-11-04,51.42,51.99,51.2,51.75,4212767
2024-11-05,51.73,52.655,51.65,51.82,4263207
2024-11-06,53.7,54.32,51.99,53.21,4702725
2024-11-07,52.85,53.74,52.8,53.45,2977352
2024-11-08,52.79,53.13,52,52.39,3590553
2024-11-11,52.75,52.83,51.99,52.31,1949133
2024-11-12,51.32,51.63,50.64,50.66,2942111
2024-11-13,50.4,51.05,50.24,50.99,2834298
2024-11-14,50.67,50.79,49.96,50.35,5760216
2024-11-15,49.76,51.72,49.745,51.66,3028239
2024-11-18,50.82,53.49,50.41,53.44,4036737
2024-11-19,52.67,53.3,52.11,53.16,2871220
2024-11-20,53,55.8,52.57,55.7,7857385
2024-11-21,55.145,56.39,54.4,56.37,4499799
2024-11-22,56.5,56.9857,56.39,56.64,3566274
2024-11-25,56.42,56.76,55.62,56.25,6532950
2024-11-26,55.935,56.075,54.96,55.53,2552030
2024-11-27,54.45,55.28,54.14,54.76,3037746
2024-11-29,54.23,55.05,54.2,55.02,2145337
2024-12-02,55.06,55.32,54.42,55.11,3050149
2024-12-03,55.29,55.4,54.6,55.22,2630069
2024-12-04,55.5,55.5,54.33,54.57,2891899
2024-12-05,54.62,54.85,54.08,54.77,2428914
2024-12-06,54.79,54.95,54.44,54.61,1633315
2024-12-09,55.01,55.18,54.11,54.34,2568238
2024-12-10,53.45,53.915,52.965,53.43,3202158
2024-12-11,53.64,53.73,52.84,53.48,2543508
2024-12-12,52.86,53.83,52.62,53.45,4059983
2024-12-13,53.6,53.86,53.15,53.73,2440098
2024-12-16,54.08,54.98,53.685,54.7,4670439
2024-12-17,54.34,54.576,53.8,53.93,4341440
2024-12-18,53.94,54.27,51.7,51.74,4314529
2024-12-19,52.13,52.45,51.16,51.18,3318839
2024-12-20,51.14,53.36,50.925,53.28,10253463
2024-12-23,53.04,53.98,52.715,53.93,3253703
2024-12-24,54.125,54.56,53.89,54.53,1009502
2024-12-26,54.34,54.78,54.05,54.15,1543081
2024-12-27,54.03,54.47,53.85,54.35,2612292
2024-12-30,54.29,54.35,53.01,53.62,2442804
2024-12-31,53.7201,54.145,53.645,53.86,2559565
2025-01-02,54.1,54.18,52.97,53.6,3365965
2025-01-03,53.875,53.96,52.29,52.3,2619327
2025-01-06,52.7,53.635,52.66,53.35,2760381
2025-01-07,52.96,53.04,51.605,52.11,3565358
2025-01-08,50.96,52.26,50.86,51.93,2316513
2025-01-10,52.09,52.14,51.4,51.77,2242332
2025-01-13,51.72,52.18,51.33,52.16,1908063
2025-01-14,52.46,53.11,52.13,52.93,2276270
2025-01-15,53.3,53.97,52.41,52.95,2651386
2025-01-16,52.38,53.04,51.91,52.22,2887521
