Date,Open,High,Low,Close,Volume
2014-06-02,38.6726,39.4388,37.7819,37.9331,2846077.2645291
2014-06-03,39.3238,40.416,38.9732,40.2068,8138254.4276153
2014-06-04,40.0723,41.2087,40.0723,41.183,4557657.5931699
2014-06-05,41.2528,41.3697,40.5418,40.9376,3524820.9644787
2014-06-06,41.1202,41.3422,40.6556,41.2273,3151471.5594284
2014-06-09,41.3943,41.7115,41.0417,41.1202,3299647.5635878
2014-06-10,41.1389,41.3609,40.4082,41.2891,3956041.6145417
2014-06-11,41.3864,42.5571,41.3363,42.1083,4647796.3920968
2014-06-12,41.9511,42.4265,41.1202,41.3265,3877179.9652788
2014-06-13,41.5711,42.1427,41.4198,41.5622,2679985.7019109
2014-06-16,41.5711,41.9335,41.192,41.7204,2869757.6497662
2014-06-17,41.6054,42.7771,41.5347,42.232,3839815.4981089
2014-06-18,42.399,42.399,41.684,41.8589,2282916.2033497
2014-06-19,41.8961,42.1869,41.3363,41.8185,2427375.9203771
2014-06-20,41.9747,42.7133,41.8008,42.5768,3282910.0172418
2014-06-23,43.0325,43.2427,41.9924,42.1771,2961809.5729456
2014-06-24,42.3087,42.4088,40.8825,41.2273,4167440.3171836
2014-06-25,41.2174,41.3363,39.8611,41.2087,4760119.8979605
2014-06-26,41.5102,41.5278,40.2933,40.8296,2899843.2849617
2014-06-27,40.6556,40.8019,40.3021,40.5643,5283892.388184
2014-06-30,40.7666,41.4374,40.7666,41.3609,3483924.4972921
2014-07-01,41.63,42.5228,41.63,42.0376,4172927.1860479
2014-07-02,41.8775,42.2753,41.5965,41.9423,2267780.2240334
2014-07-03,42.1869,42.459,41.9158,42.3548,1728282.2393568
2014-07-07,42.2753,42.7958,41.6663,41.7389,3047518.3539789
2014-07-08,41.6122,41.7301,40.5161,41.5425,3875020.4460989
2014-07-09,41.4287,42.0916,41.0682,41.9825,2782347.521939
2014-07-10,40.6459,41.6221,40.0723,41.2617,4009265.9733979
2014-07-11,41.076,41.7017,41.0338,41.5965,2244899.0950698
2014-07-14,41.9256,42.1525,41.4925,41.8008,2166515.9814103
2014-07-15,41.8412,42.0543,41.244,41.8775,2935878.0340511
2014-07-16,42.1083,42.451,41.7576,42.0818,3963007.8711327
2014-07-17,41.9747,42.1604,40.6998,40.8119,7251005.6381822
2014-07-18,44.1325,47.075,43.7475,46.5653,20853488.087004
2014-07-21,46.4151,48.0003,46.3434,47.7714,7890939.0825436
2014-07-22,47.8225,47.9139,47.1733,47.7546,5043702.1327971
2014-07-23,47.7714,47.7861,47.0387,47.075,4166335.6126526
2014-07-24,47.0387,47.3442,46.1567,46.3699,4390124.3147766
2014-07-25,46.3964,46.4151,45.2325,45.3043,4664581.7920031
2014-07-28,45.5046,46.0968,44.6983,45.9583,4100418.8605395
2014-07-29,46.0261,46.6509,45.8503,45.923,3361533.4168637
2014-07-30,46.1567,46.4692,45.5144,45.9505,2744305.9777985
2014-07-31,45.3582,45.5881,44.2759,44.708,4163212.9133009
2014-08-01,44.2935,46.0968,44.2759,45.8601,4541315.0932369
2014-08-04,46.1205,46.2648,45.2876,45.9054,3087413.9690421
2014-08-05,45.6039,46.0694,45.2964,45.7963,2838647.7447476
2014-08-06,45.6745,46.3257,45.6568,46.0261,2738580.8592934
2014-08-07,46.2501,46.5585,44.9055,45.1274,3439939.948223
2014-08-08,45.1274,45.3229,44.544,45.2482,3547315.1923163
2014-08-11,45.8867,46.5309,45.5409,46.0025,2748245.2421584
2014-08-12,46.4248,46.4701,45.4594,46.2579,2509994.5832062
2014-08-13,46.5585,47.7036,46.2157,47.6683,4379752.3101153
2014-08-14,47.7666,47.9363,46.8826,47.2185,3140295.2076892
2014-08-15,47.5986,48.4353,47.2185,48.0042,3296620.5713567
2014-08-18,48.2605,48.347,47.2185,47.9276,3121198.582635
2014-08-19,47.9463,49.1082,47.9276,48.8783,2916959.587147
2014-08-20,48.5522,49.4951,48.5522,49.2624,2062398.8520627
2014-08-21,49.3105,49.4174,48.6219,48.7722,2093584.1009849
2014-08-22,48.9117,48.9372,48.1103,48.6741,2518786.4022157
2014-08-25,49.0698,49.1269,48.1987,48.3323,2521217.7703448
2014-08-26,48.4078,48.4442,47.5515,48.2773,2645939.4209774
2014-08-27,48.5611,48.6574,47.6516,48.4178,2105915.0471371
2014-08-28,48.0906,49.1269,47.8176,49.0178,2085365.5065386
2014-08-29,49.5295,50.2543,49.5128,50.0068,3479560.6598544
2014-09-02,50.4517,50.4714,49.5227,49.6808,3769598.0345313
2014-09-03,49.7072,49.9184,48.3323,48.9726,4063969.719981
2014-09-04,49.1179,49.5668,48.2773,48.4904,2940032.130352
2014-09-05,48.4442,49.6876,48.4353,49.6719,2901804.2627745
2014-09-08,49.8595,50.0796,49.4274,49.8831,2485231.8929768
2014-09-09,49.943,50.0953,49.0895,49.0934,2652726.4812574
2014-09-10,49.0984,49.5914,48.3647,49.4351,2379138.5134036
2014-09-11,49.0266,49.4274,48.7074,49.281,1985412.6551005
2014-09-12,49.2712,49.3655,48.3824,48.5611,2854078.9907127
2014-09-15,48.7074,48.9304,47.4051,47.6595,3416810.3880098
2014-09-16,47.4513,49.337,47.244,49.2624,3504060.6645824
2014-09-17,49.1269,49.6375,48.8616,49.3193,2295424.3094913
2014-09-18,49.8831,51.1697,49.6375,51.0155,4010128.3556448
2014-09-19,51.5617,51.6156,49.9626,50.9065,6751571.2651103
2014-09-22,50.9065,51.5793,49.9096,50.103,3478390.7930284
2014-09-23,49.8055,50.5971,49.4853,50.218,2602102.5052327
2014-09-24,50.5185,51.9594,50.3604,51.9328,3559693.9920289
