Date,Open,High,Low,Close,Volume
2014-06-02,41.1276,41.1481,40.7215,40.987,230478.40246134
2014-06-03,40.9615,41.065,40.5615,40.6014,177423.18206991
2014-06-04,40.5185,40.783,40.2658,40.541,166123.15173895
2014-06-05,40.5615,41.2992,40.4073,41.2915,159404.40864136
2014-06-06,41.5266,41.5266,41.2602,41.4779,227883.94500777
2014-06-09,41.3558,41.6906,41.1187,41.1481,134840.06087893
2014-06-10,41.1187,41.1334,40.7128,40.9166,115395.9753185
2014-06-11,40.8377,40.9479,40.376,40.3994,121156.65454599
2014-06-12,40.3994,40.6591,39.9202,40.5185,179319.84113254
2014-06-13,40.6698,40.6873,40.3662,40.4531,120979.38711334
2014-06-16,40.4678,40.8552,40.4307,40.6962,191659.90871286
2014-06-17,40.6093,41.1578,40.6093,40.7342,275910.09858161
2014-06-18,40.7674,41.0006,40.5615,40.8054,268737.42789637
2014-06-19,40.8133,40.9166,40.6347,40.7303,204703.92268758
2014-06-20,40.8747,40.9333,40.6591,40.783,405864.54605664
2014-06-23,40.9479,41.065,40.5615,40.7977,281320.34161275
2014-06-24,40.7674,41.5109,40.7674,41.0006,356218.39357519
2014-06-25,40.783,41.4642,40.783,41.432,318641.79652249
2014-06-26,41.5501,41.5501,41.0895,41.1578,168999.39268373
2014-06-27,40.9391,41.5266,40.9391,41.3169,336667.74262172
2014-06-30,41.1481,41.4018,40.9166,41.3558,257352.35018443
2014-07-01,41.4935,41.7862,41.2427,41.266,452178.48067119
2014-07-02,41.1918,41.2075,40.4531,40.5,271898.52633408
2014-07-03,40.4678,40.5615,40.0237,40.2014,170402.16213631
2014-07-07,40.173,40.5712,40.0686,40.3058,329538.10796061
2014-07-08,40.2823,40.6181,40.1809,40.5253,421283.73869541
2014-07-09,40.541,40.9166,40.3419,40.7977,438858.83120872
2014-07-10,40.3839,40.9479,40.3839,40.8552,242652.47394866
2014-07-11,40.7128,41.0739,40.6659,40.7303,234252.25190902
2014-07-14,40.9391,40.9615,40.6014,40.6591,236063.86359065
2014-07-15,40.5253,40.8552,40.4161,40.4531,394992.82663232
2014-07-16,40.6591,40.6591,40.0773,40.4073,199409.46705464
2014-07-17,40.3994,40.5712,40.2091,40.299,310196.48912426
2014-07-18,40.2336,40.9479,40.1809,40.8552,347618.36142359
2014-07-21,40.6591,40.7215,40.4238,40.541,145074.43727951
2014-07-22,40.7342,40.7595,40.4922,40.5253,114435.86211393
2014-07-23,40.6424,40.6659,40.3282,40.4384,139703.13160352
2014-07-24,40.4238,40.7595,40.3136,40.3419,204019.44497076
2014-07-25,40.1008,40.4766,39.8256,39.891,225549.75303334
2014-07-28,39.8423,40.4463,39.7339,40.3136,203394.3979539
2014-07-29,40.4238,40.5185,39.9135,40.0773,126743.14034254
2014-07-30,40.2091,40.2404,39.2869,39.4245,250384.61294734
2014-07-31,39.2479,39.4664,38.5892,38.8009,319402.09961513
2014-08-01,38.8546,38.998,38.6037,38.7053,245710.08099505
2014-08-04,38.8634,39.0117,37.4434,38.3529,344350.69759285
2014-08-05,37.9859,38.313,37.4112,37.5614,263357.92488244
2014-08-06,37.4532,37.8278,37.0471,37.2999,222793.39815573
2014-08-07,37.4005,37.5,36.9828,37.3272,299038.88753976
2014-08-08,37.3272,38.4789,37.3272,38.4271,248900.89478273
2014-08-11,38.713,39.121,38.552,39.0839,534909.0890219
2014-08-12,39.044,39.1698,38.7862,39.0517,404879.84083828
2014-08-13,39.1112,39.5075,38.9922,39.284,285163.86843278
2014-08-14,39.2986,40.1692,39.1025,40.1115,376773.21842458
2014-08-15,40.3633,40.6962,40.1614,40.54,414102.87067225
