Date,Open,High,Low,Close,Volume
2014-06-02,30.2583,30.3908,29.9669,30.375,3633323.4303194
2014-06-03,30.2505,30.2851,30.0578,30.0658,3180922.397245
2014-06-04,30.0361,30.1458,29.9373,30.0272,2215283.2885533
2014-06-05,30.0984,30.3502,29.9304,30.2929,2569432.9281692
2014-06-06,30.2989,30.4609,30.2505,30.4026,1994713.9567926
2014-06-09,30.4609,30.5972,30.366,30.4282,2386694.0222804
2014-06-10,30.3976,30.5665,30.2929,30.5261,2921385.7730048
2014-06-11,30.4955,30.5181,30.3325,30.4026,2207130.8515187
2014-06-12,30.3137,30.4441,30.2851,30.3908,2683289.6633501
2014-06-13,30.3592,30.375,29.5037,29.802,9744748.805081
2014-06-16,29.6637,29.7753,29.5896,29.7665,4776042.420558
2014-06-17,29.7249,29.8712,29.638,29.7753,3630567.8195398
2014-06-18,29.7921,30.043,29.6963,30.0361,3805743.474828
2014-06-19,30.1052,30.1714,29.9057,30.0499,3174415.0254259
2014-06-20,30.0499,30.1368,30.0025,30.0173,3343616.8161989
2014-06-23,30.0746,30.4096,30.0499,30.2989,4047085.1716097
2014-06-24,30.2505,30.5261,30.1714,30.4955,4042295.7540497
2014-06-25,30.5113,30.5261,30.1714,30.2209,3587192.7646303
2014-06-26,30.1714,30.3502,29.9837,30.3404,2452450.0629048
2014-06-27,30.2751,30.5665,30.2751,30.5429,3038545.7991386
2014-06-30,30.4865,30.6554,30.0904,30.2209,5869580.5411109
2014-07-01,29.8306,30.1714,29.7497,29.9749,3627584.4304996
2014-07-02,30.0272,30.1546,29.9136,29.9837,1940704.1879817
2014-07-03,30.0085,30.1873,29.9453,30.0499,1975377.1009875
2014-07-07,29.9749,30.0904,29.7832,29.9057,2439777.4928316
2014-07-08,29.889,29.9453,29.6291,29.6548,2960777.2392229
2014-07-09,29.7249,29.9521,29.6805,29.9521,3547599.841195
2014-07-10,29.6963,29.9837,29.6548,29.8188,4137697.3883809
2014-07-11,29.7753,29.881,29.6202,29.8306,1395623.7238773
2014-07-14,29.9057,30.0085,29.6716,29.7249,2590958.4799719
2014-07-15,29.7497,29.9749,29.7339,29.7417,3487848.0355207
2014-07-16,29.8544,29.9215,29.638,29.9215,2555117.317576
2014-07-17,29.7753,29.7753,29.4019,29.4019,2817451.0588567
2014-07-18,29.4958,29.7575,29.4503,29.6548,3197858.976357
2014-07-21,29.6291,29.7033,29.5244,29.6124,2118960.4177014
2014-07-22,29.6202,29.8464,29.6044,29.8188,1741198.7774155
2014-07-23,29.7832,29.9136,29.6963,29.8632,2333630.7986858
2014-07-24,29.8544,30.0578,29.6963,29.7832,1941685.153024
2014-07-25,29.6805,29.7417,29.557,29.6548,1996902.6527902
2014-07-28,29.6291,29.6963,29.3901,29.5502,2487977.3974749
2014-07-29,29.6044,29.8188,29.5244,29.5244,1968062.887952
2014-07-30,29.5244,29.7575,29.1017,29.2419,3530178.3474748
2014-07-31,29.1195,29.2261,28.8004,28.8004,3502255.769766
2014-08-01,28.7095,28.9851,28.6552,28.8735,3095654.3646419
2014-08-04,28.8883,29.0829,28.7016,29.0513,2412551.4104263
2014-08-05,29.0088,29.0878,28.6483,28.6759,2776992.578031
2014-08-06,28.7016,29.0671,28.7016,29.0266,4589083.0365869
2014-08-07,29.1461,29.3496,28.7925,29.2736,5586181.8662878
2014-08-08,29.2646,29.4089,29.0878,29.2646,5577582.9838625
2014-08-11,29.1461,30.375,29.075,30.2129,6155259.0232357
2014-08-12,30.1546,30.2435,29.7575,30.1368,3815128.9515135
2014-08-13,30.2041,30.4688,30.1368,30.4609,3757103.1988808
2014-08-14,30.5665,30.614,30.3502,30.3818,2694895.2188157
2014-08-15,30.4688,30.5339,30.0578,30.2209,2684037.7883927
2014-08-18,30.2989,30.3818,30.13,30.3404,3496441.8562071
2014-08-19,30.4096,30.4777,30.2989,30.3976,2613045.8848175
2014-08-20,30.3226,30.4441,30.1368,30.3137,2511315.0518844
2014-08-21,30.366,30.4609,30.2583,30.3908,2177866.9129417
2014-08-22,30.4282,30.4955,30.2209,30.3325,1413979.61464
2014-08-25,30.4609,30.5429,30.3404,30.4865,1375263.3844212
2014-08-26,30.5033,30.5893,30.3976,30.4777,3186075.2476741
2014-08-27,30.5587,30.6554,30.4441,30.4688,2067284.1106269
2014-08-28,30.4096,30.5261,30.3404,30.4955,2094836.1690319
2014-08-29,30.5181,30.5587,30.3592,30.5261,3509337.1428018
2014-09-02,30.5113,30.8411,30.5113,30.8263,4749631.2781519
2014-09-03,30.9054,31.1642,30.7918,31.0743,2549324.6633214
2014-09-04,31.0674,31.3262,31.0091,31.1731,3932276.8294734
2014-09-05,31.1395,31.1879,30.9923,31.1731,3323337.4645687
2014-09-08,31.18,31.3509,31.0951,31.265,2685755.7426516
2014-09-09,31.265,31.3262,30.8411,30.8896,4705045.4552437
2014-09-10,31.0457,31.1494,30.6644,30.8728,3478980.8809217
2014-09-11,30.8649,30.8985,30.7296,30.8827,2147976.3310612
2014-09-12,30.8649,30.8728,30.4194,30.5181,2561371.6024388
2014-09-15,30.6298,30.6554,30.4282,30.4955,2820819.1400704
2014-09-16,30.366,30.8333,30.3404,30.7918,4463474.9678537
2014-09-17,30.8017,30.8263,30.5429,30.6644,3811636.3515173
2014-09-18,30.7296,30.7493,30.5804,30.6644,4985984.1248521
2014-09-19,30.8105,30.855,30.5804,30.6387,6973725.0298262
2014-09-22,30.6466,30.6644,30.2751,30.3058,5019321.7510768
2014-09-23,30.2209,30.2209,29.6469,29.6548,6846614.6369206
2014-09-24,29.6716,30.7335,29.6716,30.6644,10343081.801824
2014-09-25,30.4777,30.6554,30.0658,30.2297,5153134.8989316
2014-09-26,30.2209,30.366,30.0904,30.2851,3237457.9738793
2014-09-29,30.123,30.6722,30.0746,30.614,4243613.2672226
2014-09-30,30.696,30.7414,30.5261,30.6229,3982619.8744622
2014-10-01,30.3295,30.5804,30.0539,30.0786,5279321.0182729
2014-10-02,30.1349,30.3888,30.1004,30.2337,3049438.6617354
2014-10-03,30.373,30.7296,30.3562,30.6554,4501249.7145952
2014-10-06,30.8421,30.857,30.4767,30.5587,2515098.1957064
2014-10-07,30.4589,30.614,30.126,30.1349,3319000.5664865
2014-10-08,30.2337,30.6802,30.0934,30.6298,3998218.1297497
2014-10-09,30.5972,30.8037,30.21,30.21,2917160.2331832
2014-10-10,30.2564,30.5735,30.1102,30.1182,3483464.5694385
2014-10-13,29.9877,30.1004,29.6044,29.6301,3528338.9114767
2014-10-14,29.6479,29.9324,29.4869,29.8277,5183733.1119418
2014-10-15,29.6479,29.9551,29.1253,29.7595,4695322.8667326
2014-10-16,29.4247,29.7201,29.2478,29.4503,4638433.9807073
2014-10-17,29.7516,29.7842,29.4415,29.6815,6109374.3580682
2014-10-20,29.6815,30.1102,29.6044,30.0786,5999146.8898399
2014-10-21,30.1754,30.5893,30.0045,30.5893,4496303.3831224
2014-10-22,30.7138,30.9478,30.6061,30.614,3823639.7596781
2014-10-23,30.7345,30.9706,30.6229,30.8421,3384405.3224156
2014-10-24,30.8205,30.94,30.5972,30.931,2642211.6256555
2014-10-27,30.931,31.1257,30.8115,31.0931,4241054.051921
2014-10-28,31.1345,31.1345,30.9084,31.0635,2930204.3349083
2014-10-29,31.0763,31.3479,30.8421,31.0703,3350256.805583
2014-10-30,30.94,31.4605,30.94,31.3637,2251956.6008614
2014-10-31,31.6947,31.7292,31.2344,31.3391,5186459.3646346
2014-11-03,31.0841,31.0841,30.29,30.4856,6588547.9417222
2014-11-04,30.3966,30.4767,30.2564,30.3808,3475303.0212734
2014-11-05,30.5339,30.8481,30.451,30.7503,3669353.9017586
