Date,Open,High,Low,Close,Volume
2014-06-02,9.64448,9.65326,9.44049,9.53397,88504.8
2014-06-03,9.46614,9.48304,9.35556,9.37266,139640
2014-06-04,9.33852,9.48304,9.26187,9.45748,225515
2014-06-05,9.49153,9.6361,9.39785,9.50847,147907
2014-06-06,9.57652,9.57652,9.36398,9.50847,109623
2014-06-09,9.44889,9.68739,9.44049,9.58505,184248
2014-06-10,9.57652,9.64448,9.46614,9.5935,120547
2014-06-11,9.58495,9.71407,9.5593,9.67077,156516
2014-06-12,9.61065,9.87744,9.61065,9.73986,248393
2014-06-13,9.83435,9.84301,9.65384,9.79968,210334
2014-06-16,9.75705,10.1696,9.73986,10.0923,169474
2014-06-17,10.0234,10.5564,9.98898,10.4275,1199743
2014-06-18,10.4533,10.4876,10.0234,10.1007,404105
2014-06-19,10.1783,10.1783,9.73187,9.97184,186219
2014-06-20,10.0147,10.0407,9.73107,10.0234,205675
2014-06-23,9.98051,10.2301,9.88582,10.195,313117
2014-06-24,10.195,10.2728,9.97184,10.0147,178723
2014-06-25,9.96327,10.1608,9.88582,10.0663,183720
2014-06-26,10.0491,10.1007,9.89441,9.93778,487903
2014-06-27,9.91158,9.99774,9.77392,9.96327,186076
2014-06-30,10.0234,10.264,9.99774,10.2555,540012
2014-07-01,10.3153,10.3587,10.0577,10.1007,349159
2014-07-02,10.1007,10.3244,10.1007,10.2039,256387
2014-07-03,10.195,10.3244,10.1783,10.3153,122261
2014-07-07,10.2812,10.4451,10.1527,10.2129,96909
2014-07-08,10.187,10.2129,9.81707,9.97184,120258
2014-07-09,9.97184,9.99774,9.84301,9.95485,221266
2014-07-10,9.79968,10.0491,9.79968,9.90296,139174
2014-07-11,9.93778,10.1542,9.90296,10.1265,148954
2014-07-14,10.195,10.4533,10.1527,10.3846,122939
2014-07-15,10.3587,10.4351,10.1696,10.2555,169396
2014-07-16,10.2986,10.3931,10.1696,10.2129,134566
2014-07-17,10.1783,11.1756,10.1783,10.8315,128740
2014-07-18,10.814,11.2268,10.7198,10.7885,508132
2014-07-21,10.7455,10.8228,10.5348,10.7198,288806
2014-07-22,10.7283,11.0721,10.668,10.8831,138142
2014-07-23,10.8743,10.9343,10.6768,10.8657,300802
2014-07-24,10.8488,11.0204,10.7626,10.8488,149900
2014-07-25,10.7885,10.8315,10.5306,10.6511,171611
2014-07-28,10.6165,10.6939,10.3931,10.5994,109336
