Date,Open,High,Low,Close,Volume
2014-06-02,17.8017,17.9651,17.5129,17.8741,423780.17113616
2014-06-03,17.8565,18.0865,17.6599,17.8017,1363005.2739899
2014-06-04,17.7283,17.9172,17.7195,17.8272,322494.07425206
2014-06-05,17.8272,18.3313,17.7019,18.3224,470742.55014737
2014-06-06,18.3597,18.619,18.1003,18.5299,453848.76276675
2014-06-09,18.4173,18.7795,18.4086,18.7434,252037.73450196
2014-06-10,18.7591,18.7952,18.5818,18.6611,230034.43211132
2014-06-11,18.6278,18.6816,18.4614,18.5299,284713.70111866
2014-06-12,18.4526,18.5466,18.295,18.4976,250878.10652028
2014-06-13,18.5612,18.7501,18.2852,18.344,303659.05941313
2014-06-16,18.3831,18.3831,18.0865,18.3029,264300.16184651
2014-06-17,18.2373,18.8128,18.2294,18.5936,472763.47010134
2014-06-18,18.5466,18.8294,18.4448,18.7501,261010.29215401
2014-06-19,18.7668,18.7795,18.5681,18.712,181853.16659602
2014-06-20,18.7795,18.8724,18.5612,18.7277,688383.77748536
2014-06-23,18.5818,18.7746,18.5299,18.619,230265.33600899
2014-06-24,18.5388,18.9048,18.3597,18.3684,474402.27475562
2014-06-25,18.3831,18.6738,18.0865,18.6611,284220.22066478
2014-06-26,18.6816,18.6905,18.3831,18.5466,200730.07108011
2014-06-27,18.4173,18.7668,18.4173,18.6611,708975.09232474
2014-06-30,18.6131,18.8657,18.4761,18.8578,427241.68620393
2014-07-01,18.8441,19.1622,18.7208,18.9586,799505.76739112
2014-07-02,18.9048,19.1338,18.6611,18.7208,258837.13909936
2014-07-03,18.8294,19.0966,18.8294,19.0104,220379.37975287
2014-07-07,18.942,19.0057,18.7591,18.7591,268453.36690864
2014-07-08,18.7364,18.7364,18.4242,18.5065,611943.34867034
2014-07-09,18.6053,18.6905,18.4389,18.4761,344943.85895811
2014-07-10,18.2852,18.5231,18.1003,18.344,342915.78711351
2014-07-11,18.338,18.3831,18.0807,18.2236,231631.34712045
2014-07-14,18.4448,18.4448,18.1414,18.1795,239339.04182861
2014-07-15,18.1727,18.3762,18.0807,18.3518,225336.6616622
2014-07-16,18.4389,18.4614,18.0024,18.0102,492572.16376542
2014-07-17,17.9574,18.0308,17.4837,17.5933,495139.6925037
2014-07-18,17.559,17.927,17.559,17.8106,280096.64486386
2014-07-21,17.6833,17.7879,17.5423,17.695,238889.49441721
2014-07-22,17.7107,17.835,17.5669,17.6499,298822.33794594
2014-07-23,18.0865,18.0865,17.6902,17.9172,754168.91095157
2014-07-24,17.8741,18.115,17.8565,17.9574,426424.32727411
2014-07-25,17.8428,17.9642,17.7107,17.835,348359.39758608
2014-07-28,17.8898,17.8948,17.5669,17.6765,389414.31493205
2014-07-29,17.6599,17.8272,17.6412,17.6833,505063.45161033
2014-07-30,17.7812,17.9721,17.6344,17.7879,363727.78886394
2014-07-31,17.7283,17.8948,17.5766,17.5933,834772.76181534
2014-08-01,17.6765,17.7371,17.2555,17.3143,781472.78600206
2014-08-04,17.4063,17.5266,17.1871,17.3828,473340.72984552
2014-08-05,17.2693,17.5669,17.2615,17.4131,460897.46183774
2014-08-06,17.3534,17.7019,17.2693,17.5423,372293.7104484
2014-08-07,17.5844,17.5844,17.3623,17.468,345371.95069761
2014-08-08,17.4601,17.6344,17.4416,17.5933,244303.47562858
2014-08-11,17.6344,17.8506,17.559,17.695,338157.73644332
2014-08-12,17.7577,17.8106,17.5071,17.6236,339839.45244142
2014-08-13,17.8017,17.8506,17.6686,17.7695,345970.66611369
2014-08-14,17.7655,17.9984,17.7655,17.927,587469.57891434
2014-08-15,18.0562,18.0865,17.6599,17.8272,628295.63575997
2014-08-18,17.9818,18.1795,17.8898,18.1561,318820.04586254
2014-08-19,18.115,18.2461,18.0347,18.1414,299853.23189617
2014-08-20,18.0562,18.1727,17.9574,18.1491,253365.94276291
2014-08-21,18.1228,18.3762,17.9721,18.2696,353271.72475427
2014-08-22,18.2696,18.3929,18.1061,18.2167,243512.68086398
2014-08-25,18.3097,18.3831,18.1658,18.2627,257296.41751665
2014-08-26,18.2294,18.4683,18.2294,18.4566,350016.59281628
2014-08-27,18.5231,18.5231,18.3293,18.4448,513751.97703426
2014-08-28,18.3753,18.4086,18.1707,18.2607,293446.15958508
2014-08-29,18.2843,18.4007,18.1521,18.3058,420670.1204082
2014-09-02,18.4007,18.5994,18.3126,18.4526,503341.88936441
2014-09-03,18.5906,18.62,18.3597,18.4389,361643.52359291
2014-09-04,18.4614,18.6689,18.3205,18.4389,265915.46743157
2014-09-05,18.3508,18.5065,18.2843,18.4643,235282.8981394
2014-09-08,18.4683,18.6141,18.4007,18.5994,295889.04108656
2014-09-09,18.5398,18.5398,18.3029,18.4389,261268.78191556
2014-09-10,18.4086,18.7139,18.4086,18.7071,239682.33257914
2014-09-11,18.6298,18.8167,18.5622,18.7835,335335.80473813
2014-09-12,18.8334,19.0321,18.6465,18.847,398540.12738345
2014-09-15,18.9293,18.9293,18.5994,18.6141,291798.15964284
2014-09-16,18.5838,18.7618,18.4242,18.4614,567952.069369
2014-09-17,18.4614,18.6934,18.3029,18.5065,352979.51893687
2014-09-18,18.6552,19.0389,18.5759,18.8911,471338.20046748
