Date,Open,High,Low,Close,Volume
2014-06-02,61.3303,61.3303,60.6213,61.276,922324.66645939
2014-06-03,61.2004,61.5357,60.7025,61.4718,1245260.9306086
2014-06-04,61.307,61.8215,60.8954,61.8001,1367695.6921884
2014-06-05,62.116,62.9491,61.5637,62.8522,1851835.8332992
2014-06-06,62.9123,63.3521,62.83,63.2863,1206166.6575682
2014-06-09,63.294,63.4936,62.9491,63.3453,1032304.3413415
2014-06-10,63.0431,63.5023,62.5781,62.6633,1813796.5162182
2014-06-11,62.6256,62.6633,62.083,62.2129,1485995.274147
2014-06-12,62.1809,62.1809,61.6171,61.8796,1517564.4699432
2014-06-13,62.1964,62.2032,61.4805,61.6839,1052555.9861222
2014-06-16,61.3158,61.9047,61.2004,61.4931,1571716.1231975
2014-06-17,61.5918,62.6033,61.2277,62.3543,1385656.7819067
2014-06-18,62.5771,62.9423,61.7353,62.9326,1841394.6595923
2014-06-19,63.3259,63.4916,62.4443,62.9423,1290903.7756704
2014-06-20,63.3424,63.3424,62.612,62.7398,1910248.6002521
2014-06-23,62.9423,63.1069,62.5713,62.9084,1375571.7332546
2014-06-24,62.6991,63.1439,62.3466,62.4657,949061.91622283
2014-06-25,62.3068,63.0789,62.1674,62.9695,1066171.317926
2014-06-26,62.6991,63.1351,62.1809,62.8464,718042.04483038
2014-06-27,62.5636,63.2281,62.4289,63.1439,1002084.2917671
2014-06-30,63.1351,63.9789,63.0624,63.6176,1943411.5846991
2014-07-01,63.7057,64.3655,63.7057,64.1117,1449056.3318729
2014-07-02,63.8104,64.0864,63.5895,63.9604,1058899.141083
2014-07-03,64.3015,64.6212,64.1117,64.5398,717683.85528254
2014-07-07,64.3839,64.3839,63.9285,64.193,846207.83917553
2014-07-08,64.0342,64.3267,63.3192,63.7057,987276.71521489
2014-07-09,63.9885,64.132,62.8531,63.3192,1879738.4894012
2014-07-10,62.5054,62.5054,61.217,61.4931,3648836.6661377
2014-07-11,61.0503,61.5774,61.0503,61.4872,2221539.0589874
2014-07-14,62.24,62.3785,61.4872,62.1208,1775955.3904719
2014-07-15,62.2129,62.5442,61.6887,61.9368,1720174.8521846
2014-07-16,62.271,62.4153,61.371,61.7353,1964434.3176419
2014-07-17,61.4272,61.7353,60.4148,60.5979,2571992.9512808
2014-07-18,60.9205,61.338,60.3111,61.2315,2478824.4434766
2014-07-21,61.0281,61.4504,60.8905,61.2471,1921677.6338935
2014-07-22,61.5406,61.9939,61.4291,61.7837,2282771.9234753
2014-07-23,61.7837,62.0452,61.0135,61.9939,2645108.0056394
2014-07-24,60.5301,60.8547,59.9711,60.5475,2927049.6308763
2014-07-25,60.2967,60.658,59.8239,60.5146,2635606.1762798
2014-07-28,60.3645,60.658,59.9634,60.4875,1797899.9195709
2014-07-29,60.47,60.7946,59.8161,59.8161,2552558.8457563
2014-07-30,61.524,61.524,59.6127,60.0932,2115102.0542152
2014-07-31,59.79,60.0089,58.5199,58.5354,2614757.8930016
