Date,Open,High,Low,Close,Volume
2014-06-02,36.5401,37.3226,36.5058,37.2618,3429600.6064455
2014-06-03,36.2731,37.4562,36.0935,36.1287,9421230.1977222
2014-06-04,36.1867,36.3781,35.5014,35.572,5764212.5614539
2014-06-05,35.6535,35.7321,34.9436,35.1135,6813529.7924712
2014-06-06,34.8926,35.038,34.3428,34.4459,6267912.0465689
2014-06-09,34.0924,34.1298,32.0943,32.1926,14278415.601331
2014-06-10,31.5936,31.739,30.4861,30.9702,16997199.346744
2014-06-11,30.9525,31.2009,30.5892,30.9849,7694106.5959987
2014-06-12,30.6079,30.8219,30.0767,30.1965,9189781.9587202
2014-06-13,30.1867,30.4764,30.0933,30.4204,6904218.7585528
2014-06-16,30.439,30.4764,29.9618,30.1768,4702684.5758001
2014-06-17,30.2053,30.4764,30.1415,30.4547,4179618.3795821
2014-06-18,30.813,31.1567,30.6334,30.9427,9307215.6246102
2014-06-19,30.9427,31.0036,30.7208,30.8818,5999654.3252646
2014-06-20,30.9702,31.3874,30.8455,31.2864,7436842.5260037
2014-06-23,31.2549,31.4404,31.0605,31.1409,3247002.5154655
2014-06-24,31.1312,31.3522,30.8297,30.9338,3927262.4442601
2014-06-25,30.8455,31.303,30.6403,31.2363,3623106.7950283
2014-06-26,31.2774,31.8097,31.1409,31.79,5793376.1904693
2014-06-27,31.739,32.1562,31.5671,32.1484,4622565.5664804
2014-06-30,31.9304,32.2466,31.7105,32.2308,5563386.438467
2014-07-01,32.1926,32.926,32.1699,32.5107,6815475.1208019
2014-07-02,32.548,33.6202,32.4027,33.4493,8485966.2426843
2014-07-03,33.5691,33.5779,32.8652,33.0586,4086348.5433488
2014-07-07,33.0055,33.5779,32.9358,33.4984,5031436.9157045
2014-07-08,33.5534,33.7596,33.4817,33.6909,4826384.0322085
2014-07-09,33.7596,33.8971,33.2706,33.3207,4314723.9783855
2014-07-10,33.0369,33.7331,32.926,33.5966,3009544.1285686
2014-07-11,33.6909,34.1023,33.3638,34.0679,2986446.6647561
2014-07-14,34.1719,34.3525,33.9893,34.2122,3123185.9319587
2014-07-15,34.273,34.3074,33.6359,33.7075,3265199.9925772
2014-07-16,33.8971,34.0306,33.526,33.683,2393019.6742632
2014-07-17,33.6987,33.8971,33.3541,33.5357,2118330.1475097
2014-07-18,33.4817,34.0227,33.4179,33.8971,1992469.441511
2014-07-21,33.8096,33.8096,33.1587,33.2785,3115455.5434616
2014-07-22,33.4258,34.0227,33.3453,33.9461,2457215.509174
2014-07-23,33.9137,34.1298,33.6987,33.7331,2097351.1564341
2014-07-24,33.6545,34.1965,33.526,34.1474,2992899.8586319
2014-07-25,33.4335,33.9893,33.4335,33.9461,2673081.7700973
2014-07-28,35.1498,35.957,34.6079,34.8209,9147426.7629308
2014-07-29,34.9505,35.2687,33.5073,33.6289,10873866.953497
2014-07-30,33.6987,33.7241,32.7032,32.7964,9027844.0694085
2014-07-31,32.2534,32.4204,31.845,31.9471,37645939.874031
2014-08-01,31.8548,32.2466,31.7625,31.8097,13275255.613569
2014-08-04,31.9392,32.1699,31.7713,31.9727,7158081.0502105
2014-08-05,31.9471,32.0669,31.5014,31.5426,7122197.3812342
2014-08-06,31.3432,31.9392,31.303,31.8784,6368701.4425222
2014-08-07,31.9304,32.0148,31.0133,31.2451,5805643.9809104
2014-08-08,31.6476,31.6928,31.1744,31.6565,5651581.1066
2014-08-11,31.7803,32.1484,31.683,32.0296,4357460.091869
2014-08-12,32.0227,32.1287,31.8695,32.0855,3861465.5328384
2014-08-13,32.1562,32.3673,32.0384,32.331,4050956.8081859
2014-08-14,32.4125,32.4538,32.1621,32.2731,2844976.4812729
2014-08-15,32.3074,32.4538,31.9471,32.1032,3296465.7983854
2014-08-18,32.3399,32.3399,31.955,32.0384,2741173.3541519
2014-08-19,32.1386,32.5107,32.1189,32.2466,4523087.9940297
2014-08-20,32.3948,32.3948,31.9637,32.1287,3158306.7470504
2014-08-21,32.4635,32.4635,32.1189,32.1562,3070863.7293404
2014-08-22,32.2731,32.3143,31.631,31.7803,3104851.9763149
2014-08-25,32.0384,32.1621,31.8951,32.1621,2498098.977509
2014-08-26,32.2024,32.2407,31.5936,31.955,4232903.0614007
2014-08-27,32.0434,32.604,31.7272,32.4428,5785616.2655734
2014-08-28,32.4341,32.8622,32.2446,32.7277,5900309.15736
2014-08-29,32.7188,32.7847,32.5343,32.7414,3628631.1200887
2014-09-02,32.8121,33.0271,32.6913,33.0114,3631338.2838074
2014-09-03,33.0114,33.0271,32.4508,32.5087,4436288.6661128
2014-09-04,32.5343,32.767,32.0895,32.1661,3870847.9226717
2014-09-05,32.1749,32.6138,32.0197,32.598,2715829.0870423
2014-09-08,32.5912,33.1822,32.5166,32.9691,4037173.4949406
2014-09-09,32.8799,32.9231,32.7188,32.8877,3375307.6130838
2014-09-10,33.0949,33.463,32.9604,33.4002,4538814.5986125
