Date,Open,High,Low,Close,Volume
2014-06-02,44.49,46.82,44.37,46.7,7957551
2014-06-03,46.63,47.75,46.5,47.51,7507026
2014-06-04,47.4,48.06,46.28,46.87,10945127
2014-06-05,46.93,47.69,46.83,47,4454792
2014-06-06,47.25,48.13,47.15,48.05,4178238
2014-06-09,47.57,48.13,46.18,46.38,7622036
2014-06-10,46.26,47.9,45.5,47.76,6689100
2014-06-11,46.99,47.27,44.92,45.26,9454708
2014-06-12,44.02,44.13,41.6,42.6,17072486
2014-06-13,42.65,43.37,41.91,42.78,10900478
2014-06-16,42.49,42.77,41.76,42.53,6974514
2014-06-17,42.58,44.05,42.4,43.92,6883084
2014-06-18,43.79,43.9,43.01,43.76,5034942
2014-06-19,44.24,44.7,43.13,43.63,3676698
2014-06-20,43.8,44.18,43.5,43.66,4864927
2014-06-23,43.64,43.66,42.25,43.15,5023972
2014-06-24,43.15,43.59,41.59,41.79,6871438
2014-06-25,41.58,42.21,40.74,41.81,5059975
2014-06-26,41.49,42.23,41.04,41.51,6673380
2014-06-27,41.58,42.08,41.04,41.49,4881455
2014-06-30,41.62,42.19,41,41.07,4457035
2014-07-01,41.74,42.4,41.31,42.26,6202039
2014-07-02,40.88,40.99,39.22,39.27,12844800
2014-07-03,39.55,40.49,39.55,39.88,4290675
2014-07-07,39.89,40.01,38.08,38.62,8454781
2014-07-08,37.44,39.78,36.65,39.54,15925199
2014-07-09,40.59,40.98,39.24,40.07,7503673
2014-07-10,41.6,45.26,41.2,45.17,20818084
2014-07-11,44.96,45.81,44.66,45.7,7650949
2014-07-14,45.73,45.83,44.82,44.92,5269494
2014-07-15,45.24,45.9,44.89,45.22,5158432
2014-07-16,45.35,45.59,44.74,44.9,3880387
2014-07-17,44.68,45.33,42.96,43.35,8266405
2014-07-18,43.76,44.59,43.65,44.25,5226088
2014-07-21,44.25,44.27,43.55,43.79,2591154
2014-07-22,44.09,45.1,43.96,44.82,3546088
2014-07-23,44.75,46.31,44.6,46,7820783
2014-07-24,48.93,49.28,44.55,44.92,14792727
2014-07-25,45.52,47.99,45.22,46.78,11748466
2014-07-28,46.8,47.29,45.88,46.55,5312953
2014-07-29,46.78,46.9,45.75,45.84,4900631
2014-07-30,47.43,47.74,46.15,46.97,7006188
2014-07-31,46.03,47.22,45.45,46.39,5015723
2014-08-01,46.5,46.77,45.63,46.73,3360923
2014-08-04,46.68,47.39,44.95,45.5,5029496
2014-08-05,45.68,46.17,43.5,43.94,8486254
2014-08-06,43.55,44.24,42.66,43.89,5368693
2014-08-07,44.09,44.72,42.71,43.26,5836657
2014-08-08,43.23,43.23,41.93,42.95,6789116
2014-08-11,43.43,43.75,42.75,43.12,4972753
2014-08-12,43.41,43.64,42.6,42.8,4529875
2014-08-13,43.09,44.66,42.71,44.11,4068762
2014-08-14,44.15,45.94,44.15,45.92,5620924
2014-08-15,45.96,46.4,44.99,46.01,5649609
2014-08-18,46.4,47.89,46.32,47.84,5664978
2014-08-19,47.8,48.32,47.42,47.68,5412942
2014-08-20,47.98,49.36,47.81,49.25,4813809
2014-08-21,49.45,49.52,47.83,48.01,5271508
2014-08-22,48.19,48.85,48,48.46,3380737
2014-08-25,48.8,49,48.08,48.51,3591054
2014-08-26,48.54,48.82,48.08,48.22,2270156
2014-08-27,48.18,48.75,47.92,48.22,2438136
2014-08-28,47.83,48.5,47.52,48.32,2203741
2014-08-29,48.15,48.41,47.23,47.61,4095976
2014-09-02,48,50,48,49.99,6237764
2014-09-03,48.73,49.15,48.2,49.03,5439376
2014-09-04,48.98,50.86,48.8,50.42,5688330
2014-09-05,50.29,51.7,49.83,50.73,6309158
2014-09-08,51.17,51.74,50.86,51.13,5489486
2014-09-09,50.9,52.45,50.5,50.84,6349269
2014-09-10,51,51.9,50.56,51.74,4671364
2014-09-11,52,52.41,50.6,51.03,5889113
2014-09-12,51.04,51.48,50.37,50.41,5294819
2014-09-15,50.41,50.5,49.17,49.56,4064841
2014-09-16,49.27,49.96,48.44,49.54,4920914
2014-09-17,49.84,50.63,48.72,48.93,5042634
2014-09-18,49,50.05,48.47,49.9,3552337
2014-09-19,50.02,50.18,49.22,49.38,5738493
2014-09-22,49.47,49.47,47.54,47.79,4804810
2014-09-23,47.73,48.76,47,48.25,4098832
2014-09-24,48.15,48.75,47.89,48.2,3987468
2014-09-25,47.96,47.96,46.43,47.01,5666336
2014-09-26,47.06,47.48,46.65,47.33,2837659
2014-09-29,46.68,47.22,46.27,46.75,3585617
2014-09-30,46.76,47.26,45.72,46.79,5216476
2014-10-01,45.62,46.15,44.37,45.47,10630065
2014-10-02,45.8,46.94,45.27,46.13,5260717
2014-10-03,46.93,48.85,46.93,48.28,6526631
2014-10-06,48.34,48.8,46.89,46.94,5318383
2014-10-07,46.63,46.81,45.36,45.49,5849058
2014-10-08,45.98,46,42.86,43.83,10651588
2014-10-09,46.2,47.18,44.46,45.04,15993364
2014-10-10,44.89,45.71,42.86,43.74,7869628
2014-10-13,44.08,44.21,39.46,40.55,14870533
2014-10-14,41.57,43.87,41.42,43.17,10138494
2014-10-15,40.48,44.19,39.79,42.55,15808264
2014-10-16,41.4,44.44,41.36,43.77,10699247
2014-10-17,44.25,45.45,43.97,44.68,4644022
2014-10-20,45.65,47.63,45.23,47.29,8639605
2014-10-21,48.13,50,48.07,49.51,9313975
2014-10-22,49.68,49.94,48.83,49.06,7622887
2014-10-23,46.66,50.55,46.66,49.42,15770753
2014-10-24,49.32,50.22,48.15,49.62,7256330
2014-10-27,49.64,51.84,49.26,51.73,10248959
2014-10-28,51.96,53.26,51.13,52.36,8493929
2014-10-29,52.31,52.74,51.54,52.26,5327961
2014-10-30,52.18,52.43,51.37,51.74,3917400
2014-10-31,53.18,53.65,52.44,52.81,6390321
2014-11-03,52.95,54.46,52.81,54.28,4793481
2014-11-04,54.99,56.9,54.97,55.21,7707511
2014-11-05,55.58,55.65,53.77,54.11,3867797
2014-11-06,54.85,56.47,54.6,55.66,6666380
2014-11-07,55.43,55.84,53.87,54.18,5310441
2014-11-10,53.7,54.96,53.26,54.83,3902098
2014-11-11,54.77,55.25,54.24,54.66,3632718
2014-11-12,54.28,54.74,53.56,54.6,3119918
2014-11-13,54.79,56.79,54.68,56.76,6223180
2014-11-14,56.25,57.2,55.72,56.1,5260493
2014-11-17,56.08,57,55.86,55.99,4927862
2014-11-18,56.23,58.86,56.04,58.29,6591542
2014-11-19,57.45,58.27,56.47,57.54,3836534
2014-11-20,56.78,57.64,56.04,56.39,4670786
2014-11-21,56.49,56.63,54.61,55.33,5273718
2014-11-24,56.13,56.5,55.25,55.91,3794401
2014-11-25,55.68,56.77,55.11,56.25,6844022
2014-11-26,56.53,56.8,56.24,56.6,3549752
2014-11-28,59.63,61.93,59.01,61.23,8699384
2014-12-01,61,61.21,58.97,59.57,5293079
2014-12-02,60.14,60.76,58.12,59.38,5597146
2014-12-03,59.53,60.21,57.89,59.29,4098407
2014-12-04,61.9,63.15,61.19,61.75,8910080
2014-12-05,62.58,64.98,61.95,63.03,8156715
2014-12-08,63.19,64.94,62.84,64.25,5474312
2014-12-09,61.53,63.34,61.11,62.52,9159533
2014-12-10,64.24,66.35,63.37,63.69,8787356
2014-12-11,64.44,66.5,64.38,65.8,6767303
2014-12-12,67.31,67.4,63.77,64.1,8170518
2014-12-15,64.19,64.84,62.42,64.04,6777118
2014-12-16,64.85,65.04,61.56,61.63,6411110
2014-12-17,62.12,63.43,59.65,62.85,8608503
2014-12-18,63.52,64.6,62,64.25,5512860
2014-12-19,63.42,64.79,63.03,64.14,5101502
2014-12-22,64.61,65.99,63.78,64,4112394
2014-12-23,64.09,64.31,61.8,62.48,4957863
2014-12-24,63.12,65.47,63.12,64.93,2714807
2014-12-26,65.2,65.69,64.61,65.28,3062153
2014-12-29,64.6,65.52,63.87,65.22,2874473
2014-12-30,65.3,66.4,64.86,66.05,2644511
2014-12-31,66.61,67.77,65.92,66.89,4451135
2015-01-02,67.74,68.08,65.71,66.34,6215071
2015-01-05,66.87,67.35,65.5,66.15,5033712
2015-01-06,66.63,67,63.11,64.58,6051891
2015-01-07,64.96,66.11,64,65.53,5133939
2015-01-08,65.7,67.52,65.41,66.64,6889597
2015-01-09,66.76,66.97,64.9,65.34,3488873
2015-01-12,66.28,66.85,63.84,65.92,5246508
2015-01-13,66.84,68.26,65.45,66.41,6265791
2015-01-14,65.11,65.54,62.65,64.05,6747887
2015-01-15,64.28,66.03,63.72,63.83,6255211
2015-01-16,63.56,65.75,62.37,65.75,8141113
2015-01-20,67.74,68.54,65.85,68.03,9456309
2015-01-21,67.61,69.46,66.68,69.21,7079380
2015-01-22,71,73.2,69.82,72.34,9680014
2015-01-23,72.26,73.22,71.51,73.1,3811025
2015-01-26,72.55,74.52,72.31,73.62,5594103
2015-01-27,72.21,73.51,71.61,71.8,4391943
2015-01-28,72.68,73.8,70.41,70.77,4432170
2015-01-29,71.38,73.79,70.71,73.53,6116906
2015-01-30,72.88,73.52,68.26,69.37,8056683
2015-02-02,69.08,69.38,65.74,69.38,9992168
2015-02-03,67.3,68.97,66.7,67.97,8797698
2015-02-04,68.82,72.23,68.8,71.7,6394908
