Date,Open,High,Low,Close,Volume
2019-05-10,42,45,41.06,41.57,186322536
2019-05-13,38.79,39.24,36.08,37.1,79442420
2019-05-14,38.31,39.96,36.85,39.96,46661147
2019-05-15,39.37,41.88,38.95,41.29,36086065
2019-05-16,41.48,44.06,41.25,43,38115524
2019-05-17,41.98,43.29,41.27,41.91,20225687
2019-05-20,41.19,41.68,39.46,41.59,29222330
2019-05-21,42,42.24,41.25,41.5,10802851
2019-05-22,41.05,41.28,40.5,41.25,9089469
2019-05-23,40.8,41.09,40.02,40.47,11119870
2019-05-24,41.28,41.51,40.5,41.51,8786751
2019-05-28,41.7,41.8,40.6,40.95,13391605
2019-05-29,40.52,40.71,39.1473,39.94,14060447
2019-05-30,40.07,40.38,39.5,39.8,26451864
2019-05-31,41.15,41.57,39.41,40.41,23209848
2019-06-03,40.7435,41.85,40.24,41.25,16605261
2019-06-04,42.56,42.88,40.7,42.75,23432141
2019-06-05,42.87,45.66,42.5,45,28609604
2019-06-06,45,45.75,44.28,44.92,16403691
2019-06-07,44.92,45.67,44.13,44.16,12654670
2019-06-10,44.02,44.59,42.53,42.61,11618701
2019-06-11,43.22,43.65,41.8,42.45,9095044
2019-06-12,42.52,42.65,41.71,42.17,5965250
2019-06-13,43.05,44.35,42.8,44.31,10178935
2019-06-14,44.75,44.8,43.11,43.23,7902223
2019-06-17,43.28,44.079,42.93,43.78,6557589
2019-06-18,44.3,44.89,43.75,43.86,7313602
2019-06-19,44.46,45.5,43.95,44.86,10331520
2019-06-20,45.03,45.29,43.51,43.86,9567367
2019-06-21,43.85,44.14,43.38,44,4973987
2019-06-24,44,44.07,42.82,43.09,5985052
2019-06-25,43.28,43.79,42.4431,43.09,5755107
2019-06-26,43.25,43.4,42.36,42.5,8109056
2019-06-27,43.35,45.3,43.2,45.13,20155079
2019-06-28,45.1,47.08,45.08,46.38,28657002
2019-07-01,46.98,47.04,44.06,44.27,17739998
2019-07-02,44.55,44.68,43.75,44,11881274
2019-07-03,44,44.46,43.79,44.23,3380003
2019-07-05,44.31,44.55,43.01,43.53,8239452
2019-07-08,43.59,43.85,42.75,42.95,9304101
2019-07-09,43.18,44.23,42.98,44.2,5251564
2019-07-10,44.48,44.8,43.56,43.7,9746505
