Date,Open,High,Low,Close,Volume
2014-06-02,14.7761,14.9722,14.5443,14.7513,134227.22848678
2014-06-03,14.7235,14.891,14.4927,14.5947,286950.73629099
2014-06-04,14.4382,14.582,14.3184,14.4927,360882.35526312
2014-06-05,14.6007,15.0485,14.5126,15,313248.68243029
2014-06-06,15.1466,15.525,14.9415,15.3714,222725.52541295
2014-06-09,15.4528,15.8757,15.323,15.6647,182498.84328254
2014-06-10,15.5636,15.6905,15.4309,15.5499,141808.84570754
2014-06-11,15.4933,15.4933,14.9911,15.1198,154778.64995058
2014-06-12,15.1258,15.1258,14.7285,14.8474,128994.48934787
2014-06-13,14.8504,14.9326,14.582,14.7265,151683.82390893
2014-06-16,14.7722,14.8117,14.4819,14.6512,173211.33695207
2014-06-17,14.6097,14.7879,14.6097,14.7602,242684.42799663
2014-06-18,14.8088,14.8088,14.5443,14.6225,176343.5108618
2014-06-19,14.7265,14.7443,14.578,14.6354,151936.17436895
2014-06-20,14.6344,14.7672,14.5156,14.6829,429486.35132338
2014-06-23,14.6829,14.8117,14.5096,14.5888,98174.42296506
2014-06-24,14.572,14.894,14.4065,14.5274,197987.10511655
2014-06-25,14.463,14.7939,14.4422,14.7345,129815.13304385
2014-06-26,14.779,14.8197,14.572,14.7008,123535.64419678
2014-06-27,14.7166,14.7166,14.4274,14.5888,459230.39534467
2014-06-30,14.5126,14.7909,14.4512,14.7038,172626.89328667
2014-07-01,14.8256,15.313,14.8256,15.1417,170910.91015855
2014-07-02,15.105,15.2109,14.8603,14.9445,203853.74861103
2014-07-03,14.9811,15.1258,14.9287,15.0703,96714.827904321
2014-07-07,15.0416,15.0515,14.568,14.7166,341015.30824689
2014-07-08,14.6681,14.7543,14.4274,14.6582,350769.15822748
2014-07-09,14.8117,15.002,14.5126,14.578,212475.04972705
2014-07-10,14.3006,14.3888,13.9627,14.0638,274531.05605078
2014-07-11,14.0241,14.039,13.8755,13.929,246378.83873128
2014-07-14,14.1182,14.2015,14.044,14.1341,261674.30481383
2014-07-15,14.1856,14.1956,13.9796,14.041,273492.38155736
2014-07-16,14.0727,14.0727,13.8874,13.9994,285660.72073938
2014-07-17,13.5862,13.9548,13.0117,13.8627,1187041.4228929
2014-07-18,13.7359,14.1916,13.6199,13.9162,695668.64475496
2014-07-21,13.7726,13.8023,13.5327,13.7042,267646.93550151
2014-07-22,13.7666,13.9687,13.6288,13.8458,200622.65332097
2014-07-23,13.8498,14.1489,13.7537,14.0469,276730.54266029
