Date,Open,High,Low,Close,Volume
2014-06-02,66.8859,67.0227,66.5136,66.6343,2368945
2014-06-03,66.504,67.2316,66.4777,66.979,3388299
2014-06-04,66.8546,67.5602,66.642,67.508,4237084
2014-06-05,67.4833,67.7093,66.8147,66.9135,4118813
2014-06-06,67.0741,67.3523,66.7218,67.0227,3919546
2014-06-09,67.1243,67.2916,66.4605,66.8782,3341241
2014-06-10,66.7485,67.0835,66.6343,66.9211,2932790
2014-06-11,66.8782,67.3667,66.5937,67.2231,3259968
2014-06-12,67.2098,67.3951,66.6363,66.9231,3038684
2014-06-13,66.8414,66.8633,66.2183,66.7054,2688756
2014-06-16,66.7054,66.732,65.5518,65.712,5398241
2014-06-17,65.6255,65.9221,65.3142,65.8537,4072496
2014-06-18,65.8858,66.8633,65.5251,66.732,5724984
2014-06-19,66.8508,68.0617,66.7752,67.8281,5394100
2014-06-20,68.0949,68.6524,67.7836,68.5842,8744144
2014-06-23,68.5662,68.7855,68.2212,68.6524,3640403
2014-06-24,68.6011,69.4094,68.5927,68.8625,5561710
2014-06-25,68.5328,69.4027,68.0798,69.3704,4314312
2014-06-26,69.4854,69.4854,68.7938,69.3268,3461213
2014-06-27,68.8195,69.175,68.4985,69.0819,5644965
2014-06-30,69.3173,69.5357,68.7416,68.8718,4648479
2014-07-01,68.8625,69.3791,68.7855,68.9868,6507663
2014-07-02,68.9146,69.5195,68.2975,69.4939,4384093
2014-07-03,69.5777,70.2956,69.3525,70.2185,2591663
2014-07-07,69.9148,70.0087,68.907,69.2631,3036986
2014-07-08,69.1007,69.1416,68.5576,69.0201,3528065
2014-07-09,69.0628,69.7134,68.9868,69.7047,3655445
2014-07-10,68.4721,69.5102,68.2781,69.1502,4545478
2014-07-11,69.0115,70.0334,68.8528,69.815,3274211
2014-07-14,70.2024,71.3467,70.1017,70.9953,4511453
2014-07-15,70.8037,71.3923,70.5406,70.679,5194306
2014-07-16,70.8264,70.8748,70.1102,70.5655,4694909
2014-07-17,70.9784,73.497,70.286,71.7001,8449542
2014-07-18,72.0033,72.2641,71.1247,72.0448,4619896
2014-07-21,71.7922,71.8549,70.7939,71.6613,4777773
2014-07-22,72.0448,73.0886,72.0033,72.4923,5183525
2014-07-23,72.7123,72.9168,72.2558,72.403,3081864
2014-07-24,71.9611,72.7287,71.8549,72.1825,4774654
2014-07-25,70.8653,71.6194,70.7664,71.3384,3991416
2014-07-28,71.6357,72.3678,71.2716,72.2377,2619573
2014-07-29,71.7087,72.081,70.7581,70.9953,5813767
2014-07-30,71.4078,71.4998,68.8442,69.8804,8513155
2014-07-31,68.89,69.2328,67.8606,68.2781,6345001
2014-08-01,68.358,69.1416,67.8699,68.6524,5489980
2014-08-04,68.7351,69.5281,68.3752,69.3076,3795709
2014-08-05,68.9394,69.5281,67.8764,68.2298,5459689
2014-08-06,68.1966,69.1823,68.0189,68.661,3930554
2014-08-07,68.2385,68.3135,66.6865,66.7752,6494276
2014-08-08,66.8975,67.5574,66.3341,67.4985,4407833
2014-08-11,67.7245,67.942,67.1927,67.2868,4107082
2014-08-12,67.0693,67.7245,67.0009,67.583,3805723
2014-08-13,67.9194,68.8017,67.7245,68.6696,3620219
2014-08-14,68.8387,69.1416,67.5316,68.9307,2660197
2014-08-15,69.2556,69.3173,68.0798,68.6373,2899527
2014-08-18,68.89,69.4854,68.5328,69.3704,3318584
2014-08-19,69.4939,70.5655,69.1254,70.322,4213062
2014-08-20,69.7818,70.5575,69.3876,70.286,3062035
2014-08-21,70.4379,70.8502,70.4199,70.5746,3143824
2014-08-22,70.4294,70.7664,70.3136,70.5833,2479972
2014-08-25,71.0941,71.3992,70.7248,70.9687,2359896
2014-08-26,71.1435,71.8966,70.8912,71.7087,2693560
2014-08-27,71.7589,73.2682,71.5737,72.7695,6889655
2014-08-28,72.4514,73.2948,72.0448,72.736,3263946
2014-08-29,73.0802,73.4875,72.7439,73.0232,3914141
2014-09-02,73.3945,73.4791,72.247,72.7793,4422872
2014-09-03,73.1684,73.5892,72.8039,73.1153,3352534
2014-09-04,73.0886,74.5141,73.0478,73.3414,4332754
2014-09-05,73.2528,73.968,73.0715,73.9263,4597816
2014-09-08,73.8835,74.1361,73.6471,74.0593,2727740
2014-09-09,74.1361,74.853,73.7068,74.6091,5239435
2014-09-10,74.8256,74.8722,73.3404,73.8169,3966522
2014-09-11,73.4011,73.7068,72.931,73.6717,3587781
2014-09-12,73.8085,73.8085,72.6402,72.9139,3052360
2014-09-15,73.0126,73.4545,72.6157,72.7847,2886210
2014-09-16,72.758,73.9188,72.6337,73.7401,3515011
2014-09-17,73.5635,74.0792,73.158,73.5975,3903748
2014-09-18,73.9605,74.4279,73.7676,74.139,3054226
2014-09-19,74.8806,75.0603,74.1477,74.2805,7666671
2014-09-22,74.2899,74.8256,74.0107,74.254,2760393
2014-09-23,73.8749,74.1911,73.0782,73.2595,3120719
2014-09-24,73.2832,74.8428,73.2663,74.628,3145813
2014-09-25,74.2711,74.4497,72.7847,72.9139,4322610
2014-09-26,72.9719,73.5807,72.6849,73.2663,2671860
2014-09-29,72.4067,73.5635,72.4067,73.192,3681601
2014-09-30,73.3325,73.6717,72.8503,72.9719,3360627
2014-10-01,72.758,72.9804,71.5833,71.8112,4893679
2014-10-02,71.7846,72.1437,70.8369,71.8283,3601495
2014-10-03,72.2244,72.9985,71.9718,72.7754,3673679
2014-10-06,73.3099,73.5635,71.8729,71.9877,3068507
2014-10-07,71.8283,72.022,71.0108,71.2291,4038806
2014-10-08,71.312,73.4703,71.0592,73.2832,5663050
2014-10-09,73.0546,73.2253,71.6013,71.8644,5239508
2014-10-10,71.9974,73.4545,71.9548,72.2405,4771479
2014-10-13,72.1,72.7173,70.8616,71.0268,4347265
2014-10-14,71.3544,71.5481,69.8368,70.0675,7008608
2014-10-15,69.5613,70.2051,68.2906,69.5102,9820926
2014-10-16,71.7087,73.3499,71.1503,72.2405,12095234
2014-10-17,73.4781,75.1352,73.3936,74.6044,10085677
2014-10-20,74.6536,75.1607,74.4497,74.9063,5786850
2014-10-21,75.3308,77.0565,75.1705,76.9483,6952566
2014-10-22,77.3623,77.3623,75.9005,75.9492,5071016
2014-10-23,76.9397,77.2257,76.4973,76.7005,3734089
2014-10-24,76.7005,77.5799,76.6416,77.5315,3519153
2014-10-27,77.3938,78.07,77.3112,77.9456,4667563
2014-10-28,77.032,78.4944,76.4469,78.3777,5615609
2014-10-29,78.597,79.2589,78.4223,78.6492,5118831
2014-10-30,78.3063,79.6551,78.2591,79.428,3352540
2014-10-31,80.3739,80.9408,79.7917,80.3835,5947191
2014-11-03,80.7538,80.9325,79.9503,80.2563,4733022
2014-11-04,80.3643,80.8811,79.729,80.3569,5245214
2014-11-05,80.9228,81.2269,80.39,81.0492,4083410
2014-11-06,81.2545,81.7595,81.1355,81.396,4424455
2014-11-07,80.7966,80.9826,78.6919,79.1982,7275592
2014-11-10,79.2589,80.3739,79.1021,80.163,4831556
2014-11-11,80.4137,81.0074,80.1364,80.9579,2708348
2014-11-12,80.5686,81.1915,79.9675,80.9495,3424980
2014-11-13,80.9142,81.8459,80.7139,81.1355,3271341
2014-11-14,81.2352,81.3237,80.2646,80.467,3202655
2014-11-17,80.5429,81.8032,80.239,81.6171,3897748
2014-11-18,82.0586,83.4291,81.937,83.0702,5107156
2014-11-19,82.6477,83.2574,81.8869,81.9467,4058745
2014-11-20,81.6171,81.937,81.3636,81.937,3920225
2014-11-21,82.4033,82.9477,81.7187,81.8214,5210839
2014-11-24,82.3055,82.3123,81.6486,81.98,4726492
2014-11-25,82.0682,83.0291,81.9893,82.8261,4806237
2014-11-26,82.903,83.5383,82.7597,83.0036,3269209
2014-11-28,83.5982,84.1129,83.2745,83.4453,2573747
2014-12-01,83.5449,84.4594,82.9221,83.8108,5783241
2014-12-02,83.7568,84.6001,83.0787,84.4594,6256482
2014-12-03,84.8242,86.0513,84.6678,85.6031,7876461
2014-12-04,85.6383,85.7142,84.4292,84.6411,4815893
2014-12-05,84.659,85.5231,84.6505,85.2091,3656090
2014-12-08,85.2003,85.6876,84.6165,84.8594,3633678
2014-12-09,84.1072,85.8527,83.8604,85.792,4465497
2014-12-10,85.5764,85.792,84.0834,84.148,4602607
2014-12-11,84.4035,85.491,84.2773,84.6935,3462644
