Date,Open,High,Low,Close,Volume
2014-06-02,20.9433,21.0199,20.6373,20.7993,47620.320592678
2014-06-03,20.8022,20.99,20.5627,20.8847,87678.313665419
2014-06-04,20.8389,20.8847,20.6184,20.8847,124942.45244014
2014-06-05,20.7565,21.3169,20.7565,21.2702,133645.06703488
2014-06-06,21.6408,21.9389,21.4461,21.7948,156706.44217354
2014-06-09,22.069,22.2191,21.8882,22.1316,53968.891526372
2014-06-10,21.9409,22.1078,21.7253,21.9439,45299.489176525
2014-06-11,21.7422,21.7849,21.4461,21.6667,56919.749163909
2014-06-12,21.5534,21.613,21.2871,21.5047,64565.610511922
2014-06-13,21.6408,21.6408,21.3755,21.5683,67321.22040673
2014-06-16,21.613,21.616,21.2473,21.4629,78580.171426899
2014-06-17,21.5385,22.0889,21.5385,21.9687,138407.50166681
2014-06-18,22.0353,22.0939,21.6945,22.0353,180530.69251317
2014-06-19,21.9836,22.0909,21.8445,22.0353,67291.027456824
2014-06-20,22.1734,22.2618,22.0651,22.1108,170134.25342866
2014-06-23,22.1178,22.1674,21.9498,22.085,74206.219417097
2014-06-24,22.2211,22.4675,21.9409,22.1267,125545.30500661
2014-06-25,21.9598,22.383,21.9598,22.3394,71376.133579186
2014-06-26,22.2499,22.5252,21.8296,22.3394,76586.4303014
2014-06-27,22.3125,22.6572,22.2459,22.4884,495191.55212304
2014-06-30,22.4884,22.7596,22.3711,22.6056,83993.767345151
2014-07-01,22.8024,23.6082,22.8024,23.1144,123448.90785142
2014-07-02,23.1928,23.3677,22.7726,22.86,81145.565737295
2014-07-03,22.9633,23.2455,22.9633,23.2187,14574.136919912
2014-07-07,22.4764,22.9534,22.4764,22.5638,87272.721705007
2014-07-08,22.8162,22.8162,22.2141,22.4724,59230.516263427
2014-07-09,22.4298,22.4298,22.1575,22.2002,52286.13778491
2014-07-10,21.8415,22.1406,21.453,21.9568,116142.21397403
2014-07-11,21.7223,21.8783,21.6011,21.6567,70763.216696082
2014-07-14,21.9498,21.9498,21.6736,21.8375,57366.604822527
2014-07-15,21.7948,21.8783,21.4491,21.6835,72533.529992272
2014-07-16,21.8654,21.8654,21.4481,21.456,46287.805070134
2014-07-17,21.2533,21.3924,20.9929,21.0745,81943.666046493
2014-07-18,21.3239,21.5881,20.6313,21.5335,78449.335310637
2014-07-21,21.3099,21.3755,21.0933,21.2413,100861.5620263
2014-07-22,21.3705,21.4659,21.1778,21.3239,143489.98156775
